COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	u m e									
96-1	a t									
99-1	a r i									
114-1	t o k									
115-1	u r									
133-1	t i p a n									
144-1	a t a w									
150-1	k a w ʔ									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a z a									
2-1	u m									
65-1	i w									
74-1	p a n a									
106-1	t u n a									
128-1	p o k									
147-1	t o k u									
231-1	p a n a w o ʔ									
232-1	p i									
239-1	n a m a k a n									
266-1	i s i m									
51-1	u w e ʔ									
97-1	m a p u m									
109-1	u p e k									
121-1	k a p a j a k									
149-1	t o k									
160-1	k i r i k									
163-1	u p i n									
167-1	p a ʔ									
207-1	m i ʔ									
259-1	t o w a ʔ									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	k i r i m o n ʔ									
142-1	p a t a m									
145-1	k a t a t									
148-1	tʃ a w a n									
162-1	i n i n ʔ									
166-1	i m i ʔ									
179-1	t a ʔ									
201-1	p e									
21-1	t a n									
24-1	w a k o r a n									
52-2		e t e								
56-2		u m e								
96-2		r a s i								
99-2		r e j e n								
114-2		t e k i s i								
115-2		j o l i s i								
133-2		t i p r a s i								
144-2		a r a w a s i								
150-2		k a w								
234-2		k o								
236-2		p a k e n								
241-2		a w i								
249-2		i s e								
74-2		p a n a								
93-2		t u p a r e s i								
95-2		w i t								
106-2		t i n j i								
119-2		i t i s i								
128-2		e k i s i								
147-2		t e m i s i								
231-2		p a n a u								
232-2		u p i u								
239-2		m a n a k a n								
266-2		e t i m ʔ								
51-2		u w e								
55-2		i h a m ʔ								
97-2		a h o m i								
121-2		k a p i a k a s i								
163-2		u p e j a m ʔ								
167-2		p a								
259-2		t o a								
66-2		k r a k a o n								
112-2		t r a i s i								
116-2		t u p a k a s i								
125-2		k a t i m a s i								
135-2		t o k o t e p a s i								
139-2		m e n e s i								
142-2		u p r a m a s i								
148-2		t r a w a n a s i								
162-2		i n j i n								
166-2		i m i								
179-2		t a								
52-3			t a t i a							
56-3			h u m e							
96-3			t a r i tʃ e							
99-3			t i r a n t i a							
114-3			k u tʃ i							
115-3			t u r u tʃ e							
133-3			tʃ e p a r a j u							
144-3			t o t o j a tʃ e							
150-3			k a w							
234-3			a k o							
236-3			p i k u i							
241-3			a w e n							
249-3			i s e							
1-3			w a j a							
2-3			a h u m							
65-3			a h i h i							
93-3			p a r i tʃ e							
95-3			a w e i tʃ e							
106-3			tʃ u m i tʃ e							
119-3			i j a d i tʃ e							
128-3			k o h o tʃ i							
147-3			s i m i tʃ e							
231-3			p n a t o							
232-3			p i l ʔ a h u							
239-3			e m a k a n							
266-3			p a i t i n							
3-3			a r i k o							
4-3			w a tʃ e							
55-3			i h a m							
109-3			p a i tʃ e							
121-3			k a p i k a k a tʃ e							
149-3			k o t							
160-3			t i r i g							
207-3			m e							
112-3			t a t i a t a tʃ e							
125-3			k a i m a tʃ e							
134-3			i p a t i							
135-3			k i m o tʃ e							
139-3			w a e m e m i tʃ e							
52-4				i t e						
56-4				u m e						
96-4				a t						
99-4				a r i ʒ̟ a						
114-4				t o k						
115-4				u ʒ̟						
133-4				t i p a n						
144-4				a t a w						
