COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	ʔ e t a ʔ									
56-1	i m e ʔ									
96-1	ʔ a a Ø e ʔ									
99-1	a r a n									
114-1	t o k a i ʔ									
115-1	ʔ Ø ø tʃ e ʔ									
133-1	t i p a a j ʔ									
144-1	Ø a e w a t e ʔ									
150-1	k a w									
234-1	k o m									
236-1	p a k Ø									
241-1	ʔ ʔ ʔ a w e n									
249-1	i tʃ e ʔ									
1-1	w a j a ʔ									
2-1	ʔ ʔ m ʔ									
65-1	a w Ø									
74-1	p a n a									
52-2		Ø i t a								
56-2		i m e n								
96-2		a r a t ʔ								
99-2		a r i k i n								
114-2		t o k ʔ ʔ								
115-2		e r ʔ e ʔ								
133-2		t i p i r a j i ʔ								
144-2		a r a w a tʃ ʔ								
150-2		k a w ʔ								
234-2		k o m								
236-2		p a k e n								
241-2		ʔ ʔ ʔ a w i n								
249-2		i tʃ e								
74-2		p a n a								
93-2		t p a r i w								
95-2		ʔ w tʃ i e								
52-3			ʔ e t ʔ							
56-3			i m o ʔ							
96-3			a t a t ʔ							
99-3			a ʔ ʔ r i ɲ t							
114-3			t o k n n i ʔ							
115-3			ʔ n n tʃ i ʔ							
133-3			ʔ t i p n a tʃ i ʔ							
144-3			a t a w a n ʔ							
150-3			k a w ʔ							
234-3			ʔ k o m							
236-3			p e k n n							
241-3			ʔ ʔ ʔ a w i n							
249-3			i tʃ n ʔ							
1-3			w a t a ʔ							
2-3			w ʔ m ʔ ʔ							
65-3			a w ʔ ʔ							
93-3			t o p a r n i ʔ							
95-3			ʔ w i tʃ ʔ ʔ							
52-4				t ʔ e ʔ						
56-4				ʔ m e e						
96-4				ʔ a r a ʔ ʔ						
99-4				a r a r e n ʔ ʔ ʔ						
114-4				t o k e ʔ i ʔ						
115-4				ʔ r ʔ ʔ						
133-4				t a p a r a i ʔ						
144-4				tʃ a e w a ʔ i ʔ						
150-4				k a w ʔ						
234-4				ʔ k o m						
236-4				p a k e ʔ						
241-4				ɲ ɲ a w i						
249-4				i tʃ e e						
1-4				w a t a ʔ						
2-4				w m						
65-4				a w ʔ ʔ i						
74-4				p a n a						
93-4				t o p i r i tʃ i						
95-4				w k i t						
52-5					t e ʔ					
56-5					ʔ e m e ʔ					
96-5					ʔ a r a t i ʔ					
99-5					ʔ ʔ a r e ʔ j ʔ a ʔ					
114-5					o k w i ʔ					
115-5					ʔ w e r tʃ i ʔ					
133-5					ʔ t i p a r a i ʔ					
144-5					w a w a tʃ i ʔ					
150-5					k a w ʔ					
234-5					ʔ k o m					
236-5					p a k e n ʔ					
241-5					ʔ ʔ ʔ a w i n					
249-5					i tʃ e ʔ					
1-5					w a tʃ a ʔ					
2-5					w w a ʔ m ʔ ʔ					
65-5					w w ʔ					
74-5					p a n a					
93-5					o p a r i i ʔ					
95-5					w i ʔ i ʔ					
52-6						ɲ t Ø ʔ				
56-6						ʔ m Ø ʔ				
96-6						ʔ a r t i ʔ				
99-6						ʔ ʔ e i ʔ Ø o				
114-6						t o k t i ʔ				
115-6						t i ʔ				
133-6						t p a Ø a w ʔ				
144-6						ʔ a r Ø Ø a t i ʔ				
150-6						k a w ʔ				
234-6						ʔ k o m				
236-6						p e k Ø n				
241-6						ɲ ʔ ɲ a w i n				
249-6						i tʃ w ʔ				
1-6						w a a ʔ				
2-6						ʔ o ʔ ʔ m ʔ ʔ				
65-6						i w ʔ				
74-6						p a n a				
93-6						t o p a i t i ʔ				
95-6						w w Ø ʔ i t i				
52-7							e t ʔ e ʔ			
56-7							ʔ m e n			
96-7							ʔ a r a tʃ a ʔ			
99-7							a r j ʔ e m			
114-7							t o k m i ʔ			
115-7							r m ʔ			
133-7							t i p r a m ʔ			
144-7							n tʃ a r a w a i			
150-7							k a w			
234-7							k o m			
236-7							p o k n ʔ			
241-7							ɲ ɲ a w i n			
249-7							i tʃ e n			
1-7							w a w a			
2-7							w i m ʔ ʔ			
65-7							i w ʔ i			
74-7							p a n a			
93-7							t o p a r i m ʔ			
95-7							w k tʃ ʔ			
52-8								i t ʔ e ʔ		
56-8								ʔ m Ø ʔ		
96-8								ʔ r a tʃ i		
99-8								ʔ a r Ø o n ʔ ʔ ʔ		
114-8								tʃ o k ʔ		
115-8								r ʔ ʔ		
133-8								tʃ i p o r a n i		
144-8								ʔ ʔ a r a w a ʔ		
150-8								k a w		
234-8								o k o m		
236-8								p i k n ʔ		
241-8								a w i n		
249-8								i tʃ e ʔ		
1-8								w a t a ʔ		
2-8								ʔ w Ø ʔ m ʔ		
65-8								i w ʔ		
74-8								p a n a		
93-8								tʃ o p a r i		
95-8								ʔ w k		
52-9									a e t ʔ e ʔ	
56-9									ʔ m e	
96-9									ʔ a r a tʃ ʔ	
99-9									a r i ʔ a	
114-9									t o k o tʃ i ʔ	
115-9									e r o tʃ i ʔ	
133-9									t i p a r a tʃ i ʔ	
144-9									w r w i tʃ ʔ	
150-9									k a w ʔ	
234-9									a k o m	
236-9									p a k e n ʔ	
241-9									ʔ ʔ ʔ a w i n	
249-9									i tʃ e ʔ	
1-9									w a tʃ a	
2-9									w i ʔ m ʔ	
65-9									i w ʔ i	
74-9									p a n a	
93-9									t o p a r i tʃ i ʔ	
95-9									a w i Ø i ʔ	
52-10										t e a
56-10										ʔ m ʔ
96-10										a r a tʃ
99-10										a r j o n a
114-10										t o k i tʃ i ʔ
115-10										r tʃ i ʔ
133-10										t i p a r a tʃ i ʔ
144-10										ʔ ʔ r w i tʃ i
150-10										k a w ʔ
234-10										a k o m
236-10										p a k n
241-10										a w i n
249-10										i tʃ e
1-10										w a tʃ a ʔ
2-10										w o m
65-10										i w i
74-10										p a n a
93-10										t o p a r i tʃ i
95-10										a w k i.ʔ
