COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	ʔ i t ʔ Ø ʔ									
56-1	ʔ i m e ʔ									
96-1	ʔ a r a e ʔ									
99-1	a r j ø n ʔ									
114-1	t ø k i i ʔ									
115-1	Ø ø r i tʃ e ʔ									
133-1	t i p k r a tʃ i ʔ									
144-1	ʔ a r a w a t e ʔ									
150-1	k a w									
234-1	k o m									
236-1	p a k Ø ʔ n									
241-1	ʔ ʔ ʔ a w e n									
249-1	i tʃ e ʔ									
1-1	w a t a ʔ									
2-1	ʔ i ʔ m ʔ									
65-1	i w ʔ ʔ									
74-1	p a n a									
106-1	t i n i e									
128-1	ʔ o k i i									
147-1	t i m i i									
231-1	p a n a Ø o ʔ									
232-1	ʔ i p i ʔ j a ʔ									
239-1	n e m a k a n ʔ									
266-1	e tʃ i m ʔ									
51-1	i w e ʔ									
97-1	Ø a h a m k k ʔ									
109-1	ʔ p i i tʃ e ʔ									
121-1	k a p i ʔ a k a e ʔ									
149-1	t a k ʔ									
160-1	k i r i k									
163-1	i p Ø n									
167-1	p a									
207-1	m e ʔ									
259-1	t o Ø a									
66-1	k ʔ r a k a w									
134-1	n i p a t i ʔ ʔ ʔ									
139-1	ʔ m o n Ø e									
142-1	i p k r a m a tʃ i									
145-1	k a r k t i tʃ i									
148-1	t k r a w a n k tʃ i									
162-1	i ʔ j i n									
166-1	i m i									
179-1	t a ʔ ʔ ʔ									
201-1	p e ʔ									
21-1	ʔ ʔ ʔ ʔ t a ʔ									
24-1	Ø a k Ø ʔ i Ø									
52-2		t a t a i								
56-2		h i m e ʔ								
96-2		a t a t								
99-2		ʔ a t a n k a i n								
114-2		t o k Ø ʔ								
115-2		Ø Ø t Ø ʔ								
133-2		i t p a t a j ʔ								
144-2		Ø a r a w a ʔ								
150-2		k a w ʔ								
234-2		a k o m								
236-2		p a k Ø n a								
241-2		a w ɲ								
249-2		ʔ e ʔ								
74-2		p a ɲ a								
93-2		t p a t e ʔ								
95-2		i w k h e								
106-2		t Ø i ʔ								
119-2		ʔ j i t k ʔ								
128-2		k o k ʔ								
147-2		t n Ø ʔ								
231-2		p a ɲ a p o ʔ								
232-2		w i p i j a h Ø								
239-2		tʃ a m a k a n ʔ								
266-2		t m								
51-2		e w e ʔ								
55-2		i h a m								
97-2		m a r o m i								
121-2		k a tʃ Ø a k k								
163-2		Ø tʃ e ɲ								
167-2		tʃ a w								
259-2		t o w a ʔ								
66-2		k a t a k a w								
112-2		t a i t ʔ a j a k ʔ								
116-2		t o p a k a k ʔ								
125-2		k a m a e ʔ								
135-2		k a m Ø e ʔ								
139-2		a ʔ m y ɲ i e ʔ								
142-2		p a t a m a w ʔ								
148-2		t a t a w a n a w ʔ								
162-2		Ø ɲ ɲ ʔ								
166-2		Ø m ʔ								
179-2		t a h								
52-3			ʔ i t ɲ							
56-3			ɲ m o ɲ							
96-3			Ø tʃ tʃ ʔ							
99-3			Ø ɲ ɲ Ø i ɲ tʃ ɲ							
114-3			t k ɲ ɲ ʔ							
115-3			ɲ ɲ ɲ ɲ tʃ ʔ							
133-3			ɲ t i p ʔ ɲ Ø i ʔ							
144-3			tʃ Ø ɲ i ʔ							
150-3			k Ø ʔ							
234-3			ɲ k o m							
236-3			p a k ɲ ɲ							
241-3			ʔ a ʔ Ø i Ø							
249-3			i tʃ ɲ ɲ							
1-3			Ø tʃ ʔ							
2-3			ʔ Ø ʔ m ʔ a							
65-3			i Ø ʔ ʔ ʔ							
93-3			t o p i Ø i ɲ i ʔ							
95-3			ʔ Ø i k Ø ʔ Ø							
106-3			t ɲ ɲ Ø ɲ ɲ i ʔ							
119-3			ʔ Ø i t i ɲ i ʔ							
128-3			a o k ɲ ɲ ʔ							
147-3			t i m ɲ i ʔ							
231-3			p ɲ Ø o ʔ							
232-3			a a p i Ø ɲ ʔ							
239-3			m m k i ʔ							
266-3			ɲ a ɲ tʃ i ɲ m ɲ							
3-3			Ø o Ø i n ʔ ʔ i ʔ							
4-3			Ø t i tʃ ʔ							
55-3			tʃ a tʃ a m ʔ							
109-3			p ɲ Ø i k ʔ							
121-3			k p i Ø k ɲ ɲ ɲ							
149-3			t o k ɲ							
160-3			k i Ø i k							
207-3			m i ʔ							
112-3			t i ʔ tʃ Ø a tʃ i a							
125-3			k i tʃ i m tʃ i tʃ							
134-3			Ø i p t i ɲ ɲ ɲ							
135-3			ʔ ʔ k i m ʔ ʔ ʔ ʔ i ʔ							
139-3			ɲ m ʔ k a tʃ i a a a ʔ							
