ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGNACY	COGIDS
1032	125_afternoon	Afternoon	cojubim	Cojubim	irawin	irawin	i r a w i n	kuyu1236	-11.75	-64.0	Chapacuran	285	285
1033	125_afternoon	Afternoon	more	Moré	irawin	irawin	i r a w i n	itor1239			Chapacuran	285	285
1034	125_afternoon	Afternoon	orowin	Oro Win	irawin	irawin	i r a w i n	orow1243	-10.737	-64.0299	Chapacuran	285	285
1035	125_afternoon	Afternoon	tora	Torá	ireawidn	ireawidn	i r e a w i d n	tora1263	-6.19532	-61.7416	Chapacuran	285	285
1036	125_afternoon	Afternoon	wanyam	Wanyam	irawin	irawin	i r a w i n	wany1246	-12.1	-63.1	Chapacuran	285	285
1037	125_afternoon	Afternoon	wari	Wari'	irawin	irawin	i r a w i n	wari1268	-10.69948	-64.56152	Chapacuran	285	285
161	20_animal	Animal	cojubim	Cojubim	patiʔ	patiʔ	p a t i ʔ	kuyu1236	-11.75	-64.0	Chapacuran	53	53
162	20_animal	Animal	more	Moré	patiʔ	patiʔ	p a t i ʔ	itor1239			Chapacuran	53	53
163	20_animal	Animal	wanyam	Wanyam	patiʔ	patiʔ	p a t i ʔ	wany1246	-12.1	-63.1	Chapacuran	53	53
164	20_animal	Animal	wari	Wari'	karawa	karawa	k a r a w a	wari1268	-10.69948	-64.56152	Chapacuran	54	54
925	111_ashes	Ashes	jaru	Jarú	burete pakon	burete pakon	b u r e t e + p a k o n	yaru1257	-10.25	-62.0	Chapacuran	250	250
926	111_ashes	Ashes	more	Moré	rupitsikon	rupitsikon	r u p i ts i k o n	itor1239			Chapacuran	250	250
927	111_ashes	Ashes	orowin	Oro Win	morotipakon	morotipakon	m o r o t i p a k o n	orow1243	-10.737	-64.0299	Chapacuran	250	250
928	111_ashes	Ashes	tora	Torá	murooton	murooton	m u r oː t o n	tora1263	-6.19532	-61.7416	Chapacuran	250	250
929	111_ashes	Ashes	urupa	Urupá	murupatekon	murupatekon	m u r u p a t e k o n	urup1245	-10.25	-62.75	Chapacuran	250	250
930	111_ashes	Ashes	wari	Wari'	topakon	topakon	t o p a k o n	wari1268	-10.69948	-64.56152	Chapacuran	250	250
522	61_back	Back	cojubim	Cojubim	ataw	ataw	a t a w	kuyu1236	-11.75	-64.0	Chapacuran	144	144
523	61_back	Back	jaru	Jarú	arawasi	arawasi	a r a w a s i	yaru1257	-10.25	-62.0	Chapacuran	144	144
524	61_back	Back	kitemoka	Kitemoka	totojatʃe	totojatʃe	t o t o j a tʃ e	kite1237	-16.0	-62.75	Chapacuran	144	144
525	61_back	Back	more	Moré	ataw	ataw	a t a w	itor1239			Chapacuran	144	144
526	61_back	Back	orowin	Oro Win	arawasi	arawasi	a r a w a s i	orow1243	-10.737	-64.0299	Chapacuran	144	144
527	61_back	Back	tapakura	Tapakura	otowatʃi	otowatʃi	o t o w a tʃ i	chap1269	-14.8	-62.2	Chapacuran	144	144
528	61_back	Back	tora	Torá	wuritim	wuritim	w u r i t i m	tora1263	-6.19532	-61.7416	Chapacuran	144	144
529	61_back	Back	urupa	Urupá	erawasi	erawasi	e r a w a s i	urup1245	-10.25	-62.75	Chapacuran	144	144
530	61_back	Back	wanyam	Wanyam	awaraʃiʔ	awaraʃiʔ	a w a r a ʃ i ʔ	wany1246	-12.1	-63.1	Chapacuran	144	144
531	61_back	Back	wari	Wari'	waratʃiʔ	waratʃiʔ	w a r a tʃ i ʔ	wari1268	-10.69948	-64.56152	Chapacuran	144	144
492	58_belly	Belly	jaru	Jarú	tokotepasi	tokotepasi	t o k o t e p a s i	yaru1257	-10.25	-62.0	Chapacuran	135	135
493	58_belly	Belly	kitemoka	Kitemoka	kimotʃe	kimotʃe	k i m o tʃ e	kite1237	-16.0	-62.75	Chapacuran	135	135
494	58_belly	Belly	more	Moré	tim	tim	t i m	itor1239			Chapacuran	135	135
495	58_belly	Belly	orowin	Oro Win	kimi	kimi	k i m i	orow1243	-10.737	-64.0299	Chapacuran	135	135
496	58_belly	Belly	tapakura	Tapakura	tekematʃe	tekematʃe	t e k e m a tʃ e	chap1269	-14.8	-62.2	Chapacuran	135	135
497	58_belly	Belly	tora	Torá	tosipa	tosipa	t o s i p a	tora1263	-6.19532	-61.7416	Chapacuran	135	135
498	58_belly	Belly	wanyam	Wanyam	kimijekin	kimijekin	k i m i j e k i n	wany1246	-12.1	-63.1	Chapacuran	135	135
499	58_belly	Belly	orowin	Oro Win	tapawakon	tapawakon	t a p a w a k o n	orow1243	-10.737	-64.0299	Chapacuran	136	136
500	58_belly	Belly	cojubim	Cojubim	tʃakaw ta	tʃakaw ta	tʃ a k a w + t a	kuyu1236	-11.75	-64.0	Chapacuran	137	137
501	58_belly	Belly	more	Moré	tʃakaw	tʃakaw	tʃ a k a w	itor1239			Chapacuran	137	137
502	58_belly	Belly	wari	Wari'	pemenetʃiʔ	pemenetʃiʔ	p e m e n e tʃ i ʔ	wari1268	-10.69948	-64.56152	Chapacuran	138	138
80	12_big	Big	jaru	Jarú	hora	hora	h o r a	yaru1257	-10.25	-62.0	Chapacuran	27	27
81	12_big	Big	orowin	Oro Win	foraʔ	foraʔ	f o r a ʔ	orow1243	-10.737	-64.0299	Chapacuran	27	27
82	12_big	Big	wari	Wari'	hwaraʔ	hwaraʔ	h w a r a ʔ	wari1268	-10.69948	-64.56152	Chapacuran	27	27
83	12_big	Big	orowin	Oro Win	ekem	ekem	e k e m	orow1243	-10.737	-64.0299	Chapacuran	28	28
84	12_big	Big	tora	Torá	ukadn	ukadn	u k a d n	tora1263	-6.19532	-61.7416	Chapacuran	28	28
85	12_big	Big	urupa	Urupá	evekem	evekem	e v e k e m	urup1245	-10.25	-62.75	Chapacuran	28	28
86	12_big	Big	wari	Wari'	kote ne	kote ne	k o t e + n e	wari1268	-10.69948	-64.56152	Chapacuran	29	29
87	12_big	Big	cojubim	Cojubim	ina	ina	i n a	kuyu1236	-11.75	-64.0	Chapacuran	30	30
88	12_big	Big	more	Moré	ina	ina	i n a	itor1239			Chapacuran	30	30
89	12_big	Big	wanyam	Wanyam	iparinaj	iparinaj	i p a r i n a j	wany1246	-12.1	-63.1	Chapacuran	31	31
90	12_big	Big	tapakura	Tapakura	kowikon	kowikon	k o w i k o n	chap1269	-14.8	-62.2	Chapacuran	32	32
91	12_big	Big	kitemoka	Kitemoka	karatsaiko	karatsaiko	k a r a ts a i k o	kite1237	-16.0	-62.75	Chapacuran	33	33
173	22_bird	Bird	cojubim	Cojubim	ume	ume	u m e	kuyu1236	-11.75	-64.0	Chapacuran	56	56
174	22_bird	Bird	jaru	Jarú	ume	ume	u m e	yaru1257	-10.25	-62.0	Chapacuran	56	56
175	22_bird	Bird	kitemoka	Kitemoka	hume	hume	h u m e	kite1237	-16.0	-62.75	Chapacuran	56	56
176	22_bird	Bird	more	Moré	ume	ume	u m e	itor1239			Chapacuran	56	56
177	22_bird	Bird	orowin	Oro Win	yme	yme	y m e	orow1243	-10.737	-64.0299	Chapacuran	56	56
178	22_bird	Bird	tapakura	Tapakura	ime	ime	i m e	chap1269	-14.8	-62.2	Chapacuran	56	56
179	22_bird	Bird	tora	Torá	uma	uma	u m a	tora1263	-6.19532	-61.7416	Chapacuran	56	56
180	22_bird	Bird	urupa	Urupá	ume	ume	u m e	urup1245	-10.25	-62.75	Chapacuran	56	56
181	22_bird	Bird	wanyam	Wanyam	imeʔ	imeʔ	i m e ʔ	wany1246	-12.1	-63.1	Chapacuran	56	56
182	22_bird	Bird	wari	Wari'	me	me	m e	wari1268	-10.69948	-64.56152	Chapacuran	56	56
579	67_bite	Bite	cojubim	Cojubim	kiwʔ	kiwʔ	k i w ʔ	kuyu1236	-11.75	-64.0	Chapacuran	151	151
580	67_bite	Bite	more	Moré	kiw	kiw	k i w	itor1239			Chapacuran	151	151
581	67_bite	Bite	orowin	Oro Win	kiw	kiw	k i w	orow1243	-10.737	-64.0299	Chapacuran	151	151
582	67_bite	Bite	tora	Torá	kiw	kiw	k i w	tora1263	-6.19532	-61.7416	Chapacuran	151	151
583	67_bite	Bite	wanyam	Wanyam	kiw	kiw	k i w	wany1246	-12.1	-63.1	Chapacuran	151	151
584	67_bite	Bite	wari	Wari'	kiw	kiw	k i w	wari1268	-10.69948	-64.56152	Chapacuran	151	151
585	67_bite	Bite	jaru	Jarú	tapitʔ	tapitʔ	t a p i t ʔ	yaru1257	-10.25	-62.0	Chapacuran	152	152
961	116_black	Black	orowin	Oro Win	mesem	mesem	m e s e m	orow1243	-10.737	-64.0299	Chapacuran	261	261
962	116_black	Black	tora	Torá	morem	morem	m o r e m	tora1263	-6.19532	-61.7416	Chapacuran	261	261
963	116_black	Black	wari	Wari'	mitʃem	mitʃem	m i tʃ e m	wari1268	-10.69948	-64.56152	Chapacuran	261	261
964	116_black	Black	wanyam	Wanyam	tukan	tukan	t u k a n	wany1246	-12.1	-63.1	Chapacuran	262	262
965	116_black	Black	jaru	Jarú	sagaj	sagaj	s a g a j	yaru1257	-10.25	-62.0	Chapacuran	263	263
966	116_black	Black	urupa	Urupá	skaid	skaid	s k a i d	urup1245	-10.25	-62.75	Chapacuran	263	263
967	116_black	Black	kitemoka	Kitemoka	juitamake	juitamake	j u i t a m a k e	kite1237	-16.0	-62.75	Chapacuran	264	264
968	116_black	Black	tapakura	Tapakura	witam	witam	w i t a m	chap1269	-14.8	-62.2	Chapacuran	264	264
969	116_black	Black	cojubim	Cojubim	tom	tom	t o m	kuyu1236	-11.75	-64.0	Chapacuran	265	265
970	116_black	Black	more	Moré	tom	tom	t o m	itor1239			Chapacuran	265	265
971	116_black	Black	orowin	Oro Win	tom	tom	t o m	orow1243	-10.737	-64.0299	Chapacuran	265	265
972	116_black	Black	wari	Wari'	tom	tom	t o m	wari1268	-10.69948	-64.56152	Chapacuran	265	265
296	38_blood	Blood	jaru	Jarú	wit	wit	w i t	yaru1257	-10.25	-62.0	Chapacuran	95	95
297	38_blood	Blood	kitemoka	Kitemoka	aweitʃe	aweitʃe	a w e i tʃ e	kite1237	-16.0	-62.75	Chapacuran	95	95
298	38_blood	Blood	more	Moré	wyk	wyk	w y k	itor1239			Chapacuran	95	95
299	38_blood	Blood	orowin	Oro Win	wikisi	wikisi	w i k i s i	orow1243	-10.737	-64.0299	Chapacuran	95	95
300	38_blood	Blood	tapakura	Tapakura	awi	awi	a w i	chap1269	-14.8	-62.2	Chapacuran	95	95
301	38_blood	Blood	tora	Torá	wi	wi	w i	tora1263	-6.19532	-61.7416	Chapacuran	95	95
302	38_blood	Blood	urupa	Urupá	wikisi	wikisi	w i k i s i	urup1245	-10.25	-62.75	Chapacuran	95	95
303	38_blood	Blood	wanyam	Wanyam	wiki	wiki	w i k i	wany1246	-12.1	-63.1	Chapacuran	95	95
304	38_blood	Blood	wari	Wari'	kitʃiʔ	kitʃiʔ	k i tʃ i ʔ	wari1268	-10.69948	-64.56152	Chapacuran	95	95
305	39_bone	Bone	cojubim	Cojubim	at	at	a t	kuyu1236	-11.75	-64.0	Chapacuran	96	96
306	39_bone	Bone	jaru	Jarú	rasi	rasi	r a s i	yaru1257	-10.25	-62.0	Chapacuran	96	96
307	39_bone	Bone	kitemoka	Kitemoka	taritʃe	taritʃe	t a r i tʃ e	kite1237	-16.0	-62.75	Chapacuran	96	96
308	39_bone	Bone	more	Moré	at	at	a t	itor1239			Chapacuran	96	96
309	39_bone	Bone	orowin	Oro Win	aran	aran	a r a n	orow1243	-10.737	-64.0299	Chapacuran	96	96
310	39_bone	Bone	tapakura	Tapakura	atat	atat	a t a t	chap1269	-14.8	-62.2	Chapacuran	96	96
311	39_bone	Bone	tora	Torá	ataʃi	ataʃi	a t a ʃ i	tora1263	-6.19532	-61.7416	Chapacuran	96	96
312	39_bone	Bone	urupa	Urupá	arasi	arasi	a r a s i	urup1245	-10.25	-62.75	Chapacuran	96	96
313	39_bone	Bone	wanyam	Wanyam	araj	araj	a r a j	wany1246	-12.1	-63.1	Chapacuran	96	96
314	39_bone	Bone	wari	Wari'	aratʃiʔ	aratʃiʔ	a r a tʃ i ʔ	wari1268	-10.69948	-64.56152	Chapacuran	96	96
532	62_breast	Breast	cojubim	Cojubim	katat	katat	k a t a t	kuyu1236	-11.75	-64.0	Chapacuran	145	145
533	62_breast	Breast	more	Moré	katat	katat	k a t a t	itor1239			Chapacuran	145	145
534	62_breast	Breast	orowin	Oro Win	karatisi	karatisi	k a r a t i s i	orow1243	-10.737	-64.0299	Chapacuran	145	145
535	62_breast	Breast	tora	Torá	katasan	katasan	k a t a s a n	tora1263	-6.19532	-61.7416	Chapacuran	145	145
536	62_breast	Breast	urupa	Urupá	karatisi	karatisi	k a r a t i s i	urup1245	-10.25	-62.75	Chapacuran	145	145
537	62_breast	Breast	wanyam	Wanyam	karatiʃiʔ	karatiʃiʔ	k a r a t i ʃ i ʔ	wany1246	-12.1	-63.1	Chapacuran	145	145
538	62_breast	Breast	wari	Wari'	karatʃitʃiʔ	karatʃitʃiʔ	k a r a tʃ i tʃ i ʔ	wari1268	-10.69948	-64.56152	Chapacuran	145	145
539	62_breast	Breast	jaru	Jarú	ikimasi	ikimasi	i k i m a s i	yaru1257	-10.25	-62.0	Chapacuran	146	146
540	62_breast	Breast	kitemoka	Kitemoka	kematakama	kematakama	k e m a t a k a m a	kite1237	-16.0	-62.75	Chapacuran	146	146
541	62_breast	Breast	more	Moré	kima	kima	k i m a	itor1239			Chapacuran	146	146
542	62_breast	Breast	orowin	Oro Win	ikimasi	ikimasi	i k i m a s i	orow1243	-10.737	-64.0299	Chapacuran	146	146
543	62_breast	Breast	tora	Torá	ikima	ikima	i k i m a	tora1263	-6.19532	-61.7416	Chapacuran	146	146
544	62_breast	Breast	wari	Wari'	kimatʃiʔ	kimatʃiʔ	k i m a tʃ i ʔ	wari1268	-10.69948	-64.56152	Chapacuran	146	146
597	70_breathe	Breathe	more	Moré	awi ram	awi ram	a w i + r a m	itor1239			Chapacuran	155	155
598	70_breathe	Breathe	orowin	Oro Win	woram	woram	w o r a m	orow1243	-10.737	-64.0299	Chapacuran	155	155
599	70_breathe	Breathe	wanyam	Wanyam	uram	uram	u r a m	wany1246	-12.1	-63.1	Chapacuran	155	155
600	70_breathe	Breathe	wari	Wari'	wereme	wereme	w e r e m e	wari1268	-10.69948	-64.56152	Chapacuran	155	155
601	70_breathe	Breathe	cojubim	Cojubim	zak	zak	z a k	kuyu1236	-11.75	-64.0	Chapacuran	156	156
602	70_breathe	Breathe	more	Moré	ʒ̟ak	ʒ̟ak	ʒ̟ a k	itor1239			Chapacuran	156	156
125	17_child	Child	jaru	Jarú	onjan	onjan	o n j a n	yaru1257	-10.25	-62.0	Chapacuran	45	45
126	17_child	Child	more	Moré	joma	joma	j o m a	itor1239			Chapacuran	45	45
127	17_child	Child	orowin	Oro Win	ifijama	ifijama	i f i j a m a	orow1243	-10.737	-64.0299	Chapacuran	45	45
