COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	u m e									
96-1	a t									
99-1	a r i									
114-1	t o k									
115-1	u r									
133-1	t i p a n									
144-1	a t a w									
150-1	k a w ʔ									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a z a									
2-1	u m									
65-1	i w									
74-1	p a n a									
106-1	t u n a									
128-1	p o k									
147-1	t o k u									
231-1	p a n a w o ʔ									
232-1	p i									
239-1	n a m a k a n									
266-1	i s i m									
51-1	u w e ʔ									
97-1	m a p u m									
109-1	u p e k									
121-1	k a p a j a k									
149-1	t o k									
160-1	k i r i k									
163-1	u p i n									
167-1	p a ʔ									
207-1	m i ʔ									
259-1	t o w a ʔ									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	k i r i m o n ʔ									
142-1	p a t a m									
145-1	k a t a t									
148-1	tʃ a w a n									
162-1	i n i n ʔ									
166-1	i m i ʔ									
179-1	t a ʔ									
201-1	p e									
21-1	t a n									
24-1	w a k o r a n									
50-1	i n a ʔ									
57-1	t o k o w a n									
84-1	p i w a n									
91-1	m o k o n									
131-1	t o k o z i m									
151-1	k i w ʔ									
154-1	w e ʔ									
192-1	t o t									
197-1	t i t i m ʔ									
205-1	i p a n									
227-1	m a p i t o ʔ									
246-1	i w i ʔ									
251-1	w a n a									
271-1	tʃ i w ʔ									
285-1	i r a w i n									
75-1	u p e j i									
79-1	t a n									
104-1	k i p u n									
153-1	tʃ a k									
157-1	t a s a m									
174-1	p u r u									
240-1	t i m a k									
270-1	k a w a z i ʔ									
52-2		e t e								
56-2		u m e								
96-2		r a s i								
99-2		r e j e n								
114-2		t e k i s i								
115-2		j o l i s i								
133-2		t i p r a s i								
144-2		a r a w a s i								
150-2		k a w								
234-2		k o								
236-2		p a k e n								
241-2		a w i								
249-2		i s e								
74-2		p a n a								
93-2		t u p a r e s i								
95-2		w i t								
106-2		t i n j i								
119-2		i t i s i								
128-2		e k i s i								
147-2		t e m i s i								
231-2		p a n a u								
232-2		u p i u								
239-2		m a n a k a n								
266-2		e t i m ʔ								
51-2		u w e								
55-2		i h a m ʔ								
97-2		a h o m i								
121-2		k a p i a k a s i								
163-2		u p e j a m ʔ								
167-2		p a								
259-2		t o a								
66-2		k r a k a o n								
112-2		t r a i s i								
116-2		t u p a k a s i								
125-2		k a t i m a s i								
135-2		t o k o t e p a s i								
139-2		m e n e s i								
142-2		u p r a m a s i								
148-2		t r a w a n a s i								
162-2		i n j i n								
166-2		i m i								
179-2		t a								
45-2		o n j a n								
84-2		p i w a n								
131-2		t o k e t e k i l i p a s i								
146-2		i k i m a s i								
154-2		w e								
192-2		t e t								
197-2		t r e m								
235-2		s o i								
237-2		n a m a j e k u n								
246-2		i w i								
250-2		b u r e t e								
267-2		t o a								
39-2		j a m i r i m a n								
42-2		k i t r a m a n								
44-2		w a n j a n								
75-2		o p i ã								
94-2		i k e k r e n								
122-2		p i s i k i n i s i								
52-3			t a t i a							
56-3			h u m e							
96-3			t a r i tʃ e							
99-3			t i r a n t i a							
114-3			k u tʃ i							
115-3			t u r u tʃ e							
133-3			tʃ e p a r a j u							
