COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t e									
56-1	u m e ʔ									
96-1	a a ʔ									
99-1	a t e o n									
114-1	t o k ʔ									
115-1	ʔ o ʔ									
133-1	t i p a ʔ									
144-1	ʔ a t a w ʔ									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	ʔ ʔ ʔ a w i n									
249-1	i tʃ e ʔ									
1-1	w a z a									
2-1	p o m r									
65-1	a w									
74-1	p a n a									
106-1	t o n ʔ ʔ ʔ									
128-1	p o k ʔ									
147-1	t i m i ʔ									
231-1	p a n a w o ʔ									
232-1	p p i j									
239-1	n a m a k a n ʔ									
266-1	t i m									
51-1	e w ʔ									
97-1	a p o m									
109-1	u p i									
121-1	k a p i j a k i ʔ									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
52-2		e t e								
56-2		o m e								
96-2		a r a t								
99-2		r j e								
114-2		t o k e s i								
115-2		o r e s i								
133-2		t i p r a s i								
144-2		r a a s i								
150-2		k a w								
234-2		k o n								
236-2		p i k u n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t u p a r i s i								
95-2		w i s i								
106-2		t u n u s i								
119-2		i j i t i s i								
128-2		o k e s e								
147-2		t u m e s								
231-2		p a n a o								
232-2		p i j e								
239-2		n a m a k a n								
266-2		n u n t i n n								
51-2		i w e								
55-2		i a m								
97-2		p a p a n a s								
121-2		k a p i j a k a s i								
163-2		u p e n								
52-3			a e t o							
56-3			i m							
96-3			a t.i a tʃ i							
99-3			a r e n o							
114-3			t o k e tʃ e							
115-3			e u r e tʃ e							
133-3			tʃ e p a r a s e							
144-3			a t.i a w a tʃ e							
150-3			k a w							
234-3			a k o m							
236-3			p e k i							
241-3			a w e							
249-3			e s							
1-3			w a tʃ a							
2-3			a j m							
65-3			a w e							
93-3			t p a r e tʃ e							
95-3			a w e s e							
106-3			tʃ o e tʃ e							
119-3			n a tʃ e tʃ							
128-3			n o k e tʃ e							
147-3			t a m e tʃ e							
231-3			p a a w o							
232-3			e p e t a o							
239-3			a m a k a							
266-3			i tʃ e m							
3-3			k a r i k a o							
4-3			w a t.i e a							
55-3			e n e a m							
109-3			e p s s a s							
121-3			k a p a t a k a tʃ a n							
149-3			t o k n							
160-3			k e r e k							
52-4				i t i						
56-4				u m						
96-4				a o tʃ						
99-4				i i j i n e						
114-4				t o k e						
115-4				e u r						
133-4				t i p a i						
144-4				o t a w i						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a ʒ̟ a						
2-4				u m						
65-4				i w						
74-4				p a n o						
93-4				ʒ̟ o p a r i						
95-4				w k n e						
106-4				t u n i						
119-4				j t i tʃ i						
128-4				p o k e						
147-4				t i m e i						
231-4				p o n a w o ʔ						
232-4				p i j						
239-4				n o m a k a n						
266-4				i t i m						
3-4				o i k o						
4-4				w a e						
51-4				u w						
97-4				m a p u m						
109-4				u p e j e tʃ i						
121-4				k a p i j a k						
149-4				t o k						
160-4				k i r i k						
163-4				u p e e n						
52-5					i t e					
56-5					i m e					
96-5					a r a s i					
99-5					a r i k e					
114-5					t o k s i					
115-5					f i r s i					
133-5					t i p r a s i					
144-5					f o r a r a s i					
150-5					k a w					
234-5					k o m					
236-5					p a k y n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a					
2-5					f i m					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w i k i s i					
106-5					t y n i s i					
119-5					j i t i s i					
128-5					f o k i s i					
147-5					t i m i s i					
239-5					n a m a k a n					
266-5					i t i m					
3-5					w a r i k o					
4-5					w a r t i					
51-5					i w e					
55-5					i f f a m					
97-5					m a f o m a					
109-5					y p i j y s i					
149-5					t o k					
160-5					k i r i k					
163-5					i p a n					
52-6						i t a				
56-6						u m i				
96-6						a t tʃ i				
99-6						a r i p e				
114-6						t u k i tʃ i				
115-6						u t i tʃ i				
133-6						t i p a t a tʃ i				
144-6						a t a a tʃ i				
150-6						k a w				
234-6						k u m				
236-6						p i k i n				
241-6						a w i n				
249-6						i tʃ i				
1-6						w a a				
2-6						a m				
65-6						i w i				
74-6						p a n a				
93-6						t u p a t i tʃ i				
95-6						i i tʃ i				
106-6						t a n i tʃ i				
119-6						w a t i tʃ i				
128-6						w u k i tʃ i				
147-6						t a m i tʃ a				
231-6						p a a w u				
232-6						i p i t i				
239-6						n i m a k a n				
266-6						i t i m				
3-6						k a r i k u				
4-6						w a t i				
55-6						i Ø a m				
97-6						w a p u m i				
109-6						i p i i i tʃ i				
160-6						k i r i k				
52-7							i t a.d			
56-7							u m e			
96-7							r a			
99-7							r i j i			
114-7							t o k i i			
115-7							j u r a a			
133-7							t i p r a a			
144-7							w a t a w a			
150-7							k a w			
234-7							k o m			
236-7							p k u n			
241-7							a w i n			
249-7							i r e			
1-7							w a z a			
2-7							o m			
65-7							i w i			
74-7							p a n a			
93-7							t u p r i a			
95-7							w i k a ʔ			
106-7							t n i a			
119-7							u n a t i i			
128-7							k o k i i			
147-7							t m i i			
231-7							p a n a o			
232-7							i p i u j			
266-7							i t i m			
3-7							a r i k			
4-7							w a t i.d			
51-7							u w e			
55-7							i w a m			
97-7							m a p o m a			
109-7							p i i a			
121-7							k a p i u a k a u			
149-7							t o k			
160-7							k i r i k			
163-7							u p u n			
52-8								y t e		
56-8								e m e		
96-8								a r a s		
99-8								r o		
114-8								t o k i s i		
