COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
167	p a ʔ	p a		p a	p a ʔ		p a	t u p a b	p a	p a ʔ
207	m i ʔ		m e	m i	m i ʔ	m i	m i ʔ		m i n	m i ʔ
259	t o w a ʔ	t o a		t o w a	t o w a ʔ		t u a g	t u a	t o w a	t o w o ʔ
66	k a r a k a w	k r a k a o n		k a r a k a w	k a r a k a w		k a r a k a w	k r a k a w	k a r a k a w	
112		t r a i s i	t a t i a t a tʃ e		t r a j i s i	t a i t a t a tʃ i		t r a i s i	t a r a j i ʃ i ʔ	t a r a j i tʃ i ʔ
116		t u p a k a s i		t o p a k	t o p a k a s i	t u p a k a tʃ i		t u p a k a s i	t o p a k a ʃ i ʔ	t o p a k
125		k a t i m a s i	k a i m a tʃ e			k a i m a tʃ i	k a z i m a	k a t i m a s i	k a t i m a ʃ i ʔ	k a tʃ i m a tʃ i ʔ
134	n i p a t		i p a t i	n i p a t	n a p a t i n a n	h i p a tʃ i			n i p a t	t a p a tʃ i
135		t o k o t e p a s i	k i m o tʃ e	t i m	k i m i	t e k e m a tʃ e	t o s i p a		k i m i j e k i n	
139	k i r i m o n ʔ	m e n e s i	w a e m e m i tʃ e	m u k u r i	m o n o s i	a m u n i tʃ i				m o n o tʃ i ʔ
142	p a t a m	u p r a m a s i		p a t a m	o p a r a m a s i		p a t a m a		u p a r a m a ʃ i ʔ	p a r a m a tʃ i ʔ
145	k a t a t			k a t a t	k a r a t i s i		k a t a s a n	k a r a t i s i	k a r a t i ʃ i ʔ	k a r a tʃ i tʃ i ʔ
148	tʃ a w a n	t r a w a n a s i		s a w a n	t r a w r i s i		t r a w a n a		t a r a w a n e ʃ i ʔ	t a r a w a n a tʃ i ʔ
162	i n i n ʔ	i n j i n		i j i n	i j i n		e j i d n		i n i n	j i n ʔ
166	i m i ʔ	i m i		i m i	i m i ʔ		i m i		i m i	m i ʔ
179	t a ʔ	t a		t a	t a		t a		t a k a t	t a
201	p e			p w e	p e	p e p e	p i		p e	p e ʔ
21	t a n			t a n	k a w a s a n	t a n	k w a t a d n		k a w a tʃ y k	
24	w a k o r a n			p o k o r a n		w a g a r a g a t a n	k u r a d n		k a r i k a n	t y k y
45		o n j a n		j o m a	i f i j a m a			u h u n j a m	m a r a h u j a m a	h w i j i m a ʔ
50	i n a ʔ			i n a ʔ	i n a		i n j a		i n a ʔ	n a ʔ
57	t o k o w a n		t u k a w a n	t o k o w a n		t u k a w a	t u k a w a d n		t o k a w a n	
71			o m i	u m i	o m i		u m i		o m i	m i
