COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	z oː n			
2054-1	d ɪ n t ə r			
1375-1	l ɪ x t			
760-1	w ɪ n d			
756-1	s n aː			
726-1	m oː d ə			
1351-1	x r ɛɪ n n ə v eː r			
1353-1	x r ɛɪ n m d ə			
412-1	v ɛ eː eː r r n l ə			
406-1	s ə r ə n ɛɪ r r t ə			
1005-1	s t eː n v aː d ə			
1012-1	s t ə p m d ə			
1016-1	w ɪ t v ə r			
1069-1	ə			
509-1	v ɑ l			
693-1	m r r			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b iː r			
2032-1	h oː r			
2241-1	n eː z			
2244-1	l p			
610-1	n ɑu			
945-1	h ɛ t ts			
1534-1	l ɑ			
384-1	z oː k			
1650-1	n ɔ t k			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ɪ			
471-1	z ə			
1385-1	z ɛɪ t t			
792-1	r ɔ k			
1111-1	m ɑ s t			
197-1	z ə d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r d			
1970-1	v l l			
1230-1	d t r t aː n			
2017-1	n ɑ x			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h uː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ s ə r			
1027-1	z ɛɪ			
1832-1	r ɔ r			
-1816-1	oː t			
-335-1	l ɑ x ə n			
1043-1	œy t r oː m			
423-1	s t eː n			
2049-1	m ɪ n t			
2062-1	s t ɑ r m			
2065-1	r ɛɪ n ə x ɣ b oː ɣ ə			
1368-1	s ɑ d ə			
1365-1	t ɑu r			
754-1	r aː x ə			
768-1	w eː d ə r			
1211-1	v oː r r			
106-1	m ɑ n			
-98-1	b eː x iː			
719-1	v ɛ l ə r			
1341-1	z oː n			
-2027-1	d ɑ n t			
-2026-1	n eː v ə ə			
409-1	z oː n t ə r + z oː n			
402-1	d ɔ eː ɣ r r ɛɪ n l ɣ ə r			
1014-1	s t ɪ p + d ɔ x t ə			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː			
2194-1	ɔ eː s			
2199-1	k ɑ l p			
2197-1	s ɛɪ p			
1523-1	z ɑu			
1521-1	r ɔ x			
512-1	m ɛ r			
2141-1	h uː n			
2147-1	x ɑ n			
814-1	k r			
810-1	d ɔ w ə			
1755-1	h ɔ n t			
1758-1	m uː r			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ ɑ s			
1309-1	l uː s			
1307-1	n ɪ t			
1305-1	v l iː			
711-1	w ɛ s p			
1442-1	v l iː ɣ ə			
62-1	r ʉ x			
-73-1	m ɪ s k ə t			
1810-1	h oː d			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r ʉ p			
2177-1	h ɛ p			
246-1	r x ə r eː b r ɑu			
249-1	ɛɪ x ə n d iː t			
1506-1	n aː z ə n ə l k			
2242-1	m uː n			
2245-1	t ɔ ŋ ə			
1196-1	n ɑ s			
2174-1	s ɔ s t ə r			
575-1	n eː + h ɔ			
603-1	d l ə k ɣ b oː ɣ ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ ə r r			
