COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o ɣ d o ŋ						
514-1	m i k						
464-1	s̪ n̪ ɑ						
1020-1	s̪ n̪ ɜ m u ʊ l						
1355-1	s̪ o						
1464-1	l̪ tɕ e						
302-1	b l ɜ ŋ						
237-1	l̪ t̪ β̞ ɑ						
205-1	p r̪ ɜ q p ɜ						
1089-1	l ɜ q p i l						
804-1	k ɜ ŋ m ɜ						
1263-1	b ɑ x s̪ p ɜ						
286-1	ɾ u s̪ p ɜ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ ɜ q r̪						
1512-1	x tɕ i n̪						
555-1	p ɜ k p ɜ						
751-1	n̪ ɜ ŋ						
439-1	z̪ g o						
601-1	ɕ i ŋ						
320-1	p ɜ x m ɜ						
1106-1	b u						
693-1	h ɜ p o ɽ ɑ						
221-1	s̪ t̪ ɜ r̪ e						
1199-1	t̪ʰ ɜ q p ɜ						
1424-1	s̪ k u t̪ p ɜ						
904-1	l dð o t̪						
1273-1	s̪ n̪ ɜ m						
1323-1	s̪ k ɜ r̪ m ɜ						
1127-1	tɕʰ ɜ r̪ p ɜ						
1529-1	tɕʰ u						
1175-1	ɾ gʲ ɛ m p o						
383-1	p s̪ i l						
820-1	l̪ o k						
1636-1	x p u ŋ						
1331-1	ʊ ɾ d̪ β̞ ɑ						
1097-1	l ɜ m						
1223-1	p ɜ ŋ ɑ						
592-1	m kʰ						
1290-1	t̪ u t̪ p ɜ						
669-1	x s̪ ɛ ɾ						
1472-1	s̪ t̪ ɑ q ʑ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɜ						
626-1	m ɛ n̪ d o q						
844-1	ɑ m						
879-1	tɕʰ ɑ						
1151-1	b l ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ t̪ ɛ r̪ m ɜ						
1480-1	j u ŋ						
653-1	z̪ g o k p ɜ						
1081-1	p o ŋ						
1448-1	p ɑ ɣ ɜ n̪						
1029-1	m ɑ ɾ						
863-1	ɕ ɜ						
539-1	tθʰ i l						
610-1	p ɑ						
350-1	p ɜ ŋ o						
871-1	o ŋ ɑ						
734-1	ɾ β̞ ɑ						
431-1	kʰ i						
1298-1	o l b ʊ l						
929-1	dz̪ ɜ ŋ k i						
1315-1	t̪ ɑ x s̪ k ɜ n̪						
964-1	m i n̪ t̪ ɜ x						
836-1	m i						
1644-1	b u s̪ t̪ r̪ i ŋ						
547-1	ɜ t̪ ɜ						
1048-1	k ɜ k ɑ						
1692-1	pʰ o n̪ o						
1306-1	b u						
405-1	b o ŋ o						
294-1	p u u						
661-1	b o ŋ o						
413-1	ʑ ɜ q						
996-1	tθʰ ɜ n̪						
1012-1	t̪ r̪ o b ɜ r̪						
181-1	pʰ i r̪ r̪ o						
1660-1	g ʊ n̪ d e						
1440-1	d̪ i r̪ i ŋ						
1652-1	l o						
1037-1	s̪ ȵ i ŋ m ɜ						
677-1	p ɜ x m o						
1561-1	ɕ tɕ ɛ p k						
447-1	s̪ k ɜ m b o						
828-1	ɾ i ŋ m o						
1247-1	tɕ ɜ t̪						
391-1	i ɜ x m o						
972-1	ȵ i m o ɾ						
531-1	t̪ʰ ɜ q r̪ i ŋ						
253-1	tɕ o ɣ o						
1282-1	p u n̪ p e						
812-1	j ɑ ŋ m o						
245-1	t̪ʰ u r̪ u						
1609-1	k ɑ r̪ p o						
261-1	n̪ ɑ q p o						
1143-1	m ɑ r̪ p o						
1065-1	tɕ i k						
1504-1	ȵ i s̪						
1432-1	s̪ u m						
634-1	b ʑ i						
1255-1	t̪ ʊ u t̪						
488-1	ɛ gʲ ɾ p						
1004-1	r̪ ɾ ʊ						
506-1	tɕ u s̪ tɕ i k						
1488-1	tɕ o ŋ ɜ s̪						
1496-1	ȵ i ɕ u						
1073-1	ɾ gʲ ɜ						
1617-1	s̪ u						
1569-1	tɕ i						
1593-1	g ɑ r̪						
1585-1	n̪ ɑ m						
759-1	p ɑ m						
1415-1	d̪ ʈ n̪						
1215-1	p o q s̪ ɑ x o q s̪						
422-1	l o x s̪ o						
310-1	tɕʰ ɜ q p o						
189-1	g ɑ ŋ m ɑ						
25-1	z̪ ʊ s̪						
9-1	l̪ t̪ o k s̪						
