COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t i k a k									
56-1	t e m a ʔ									
96-1	t a									
99-1	a r a a									
114-1	t i k									
115-1	t t a r									
133-1	t t i n a									
144-1	t a i w									
150-1	k a i									
234-1	k a n									
236-1	t i k i n									
241-1	t a k p a a n									
249-1	i k i ʔ									
1-1	i a a									
2-1	t i i k m a i									
65-1	a w									
74-1	p a m i									
106-1	t i k i n									
128-1	t a									
147-1	t a k i									
231-1	t i m a w a ʔ									
232-1	t a n i a a									
239-1	k a m a k a									
266-1	t i n i ʔ m									
51-1	e w i									
97-1	t e p k a m									
109-1	i p e a a k t									
121-1	t i t i w a t k t									
149-1	t a k									
160-1	t a r a k									
163-1	e p i n k									
167-1	t p p a									
207-1	m i k									
259-1	t a a a									
66-1	t a r a k a t n									
134-1	k a t a t									
139-1	t n j a a n a									
142-1	t a r a w									
145-1	t a k a ʔ									
148-1	t a a k a n t									
162-1	e p r a n									
166-1	e r i									
179-1	t a p									
201-1	p a p									
21-1	t a a p a t n									
24-1	t a t a n t a n									
50-1	n a ʔ									
57-1	t i k a a a n									
84-1	p o o i n									
91-1	k a k a m									
131-1	t i t t n a k a n									
151-1	k a r									
154-1	p a a k									
192-1	t o k									
197-1	t k									
205-1	i p a m									
227-1	t a n a m a t									
246-1	a w a t									
251-1	a a r a									
52-2		k a k p a								
56-2		k o m a								
96-2		t a r a m i								
99-2		o r a a n p p								
114-2		t a k a m a								
115-2		a r a m a								
133-2		k o t r a m a								
144-2		i r a r a s a								
150-2		k a a								
234-2		t a								
236-2		t a k a n p								
241-2		k a k m a n								
249-2		i m a								
74-2		t a a								
93-2		i t a r a m a								
95-2		j a h a a								
106-2		k i k m i n i								
119-2		j a k a s a								
128-2		o k i n								
147-2		o r i n a								
231-2		k a m a a								
232-2		u k p j a p								
239-2		j a s k a n								
266-2		k o k a p n								
51-2		i a a								
55-2		h u a m n								
97-2		i o k k k i n i n								
121-2		k j k i a p i s i								
163-2		i k a m p								
167-2		k e m a								
259-2		t a a								
66-2		k i r o k o p								
112-2		k r a a r a m a								
116-2		k a k a k o m a								
125-2		k k m p a								
135-2		a k p o								
139-2		k k k m e m e								
142-2		i k i r i n i n a								
148-2		k r e i k i n n i								
162-2		i k e a p n								
166-2		i r a								
179-2		t a k								
45-2		k k k i h a e r a n a								
84-2		k o e a								
131-2		k k k k p p u p p								
146-2		k e m e k e p p								
154-2		e a a								
192-2		t a								
197-2		u k i m p n								
235-2		k a a a								
237-2		i i r e i i								
246-2		i e i p								
250-2		k j s a h u h i p a p a								
52-3			tʃ a o a a							
56-3			t a m a							
96-3			n a s a r o							
99-3			e j a m a m a r e							
114-3			tʃ a h a j i							
115-3			t a m a j i							
133-3			t a t e m a k i							
144-3			n a m a m a j i							
150-3			tʃ a m							
234-3			a tʃ a							
236-3			tʃ a tʃ a							
241-3			n a tʃ e a a							
249-3			a m a							
1-3			m a m o							
2-3			m m t m a i							
65-3			e m a t i							
93-3			t a o a m a j i							
95-3			n a i tʃ i i							
106-3			t e m e m i tʃ e							
119-3			p m a tʃ a k a							
128-3			tʃ a k a j i							
147-3			p u m i t e							
231-3			t a m a a i							
232-3			p u t a t m i a e							
239-3			j a m a k a a							
266-3			t a a t m k							
3-3			i i m m k k i n e							
4-3			m u m i t i							
55-3			a m o o a j							
109-3			e t o k a k i							
121-3			s a o m j a tʃ a a a							
149-3			tʃ e k r m							
160-3			tʃ i m a							
207-3			m m							
112-3			t i i i p a a tʃ i							
125-3			t a k e m a tʃ i							
134-3			p i p i tʃ i k							
135-3			t a o o m a m i k e							
139-3			t i k o ɲ e tʃ e tʃ i							
57-3			t a o a a i a							
71-3			u m							
131-3			t a t o o a tʃ o tʃ e t e tʃ e							
146-3			a p i tʃ i tʃ i k k a							
227-3			i a o a a t k i e							
52-4				t i t a						
56-4				t e m a						
96-4				t a w i m						
99-4				a w i						
114-4				t i k						
115-4				t i r						
133-4				t t i a						
144-4				t a w i w						
150-4				k a w						
234-4				k i m						
236-4				t i k a n						
241-4				t a k a i n						
249-4				i tʃ i						
1-4				w a i						
2-4				i k						
65-4				a w						
74-4				t i m i						
93-4				t a						
95-4				u u k						
106-4				t a m k i						
119-4				w k						
128-4				k a						
147-4				t a i						
231-4				t a m a w a						
232-4				t i i						
239-4				k a m a k a m						
266-4				t i k a						
3-4				i w k						
4-4				w a w						
51-4				e w i						
97-4				k e k a k u						
109-4				i p a k t						
121-4				t i t a w a t i k o						
149-4				t i						
160-4				k a w a						
163-4				e p i n k p						
167-4				t p p i						
207-4				m i						
259-4				t a a i						
66-4				t a r a k a t n						
116-4				t a k e a						
134-4				k a k a t						
135-4				k u k						
139-4				t a a a j o n						
142-4				a t a a						
145-4				t i w k a						
148-4				t i a a n						
162-4				e p r a						
166-4				e r a						
179-4				t a p						
201-4				p p a						
21-4				t a t a t n						
24-4				t a a i a k k a n						
45-4				k						
50-4				i n a						
57-4				t i k a a a k n						
71-4				a w i						
84-4				p o o o m						
91-4				t a k k a m						
131-4				t i t t a j k k a n k						
146-4				t k k						
151-4				k a w						
154-4				p a a						
192-4				t o						
205-4				i p a m						
227-4				a a p a a t						
235-4				p a w a						
237-4				a						
246-4				i w i p						
250-4				k w t t k k k						
251-4				w a r a						
52-5					t u t p a ʔ					
56-5					t i r i ʔ					
96-5					t i r a m a					
99-5					i r u m e s a p					
114-5					t o k a m a					
115-5					e j i r a m a					
133-5					e k u t i r e s a					
144-5					k i r a w a s a					
150-5					k o a					
234-5					i k o m					
236-5					t u t i m ʔ					
241-5					t r m a i i n					
249-5					i t a k					
1-5					w u t i ʔ					
2-5					f i s n					
65-5					i r ʔ					
74-5					t o w a					
93-5					t o t a r a m a					
95-5					w i s i					
106-5					t i r a n i s i					
119-5					i k e m a					
128-5					t o k i t i					
147-5					t o j i s i ʔ					
239-5					j a r a s a m					
266-5					t i k i k m					
3-5					m i r i k a n					
4-5					w i i i					
51-5					i r i ʔ					
55-5					i f a a m ʔ					
97-5					k i k e r i s n					
109-5					i p e f a p e t					
149-5					t u k y					
160-5					f a r i ʔ					
163-5					i p i j r a					
167-5					t t i k					
207-5					m i n					
259-5					t u r i ʔ					
66-5					w r r a k a n					
112-5					t i e r s a m a s a					
116-5					t a a a a m a					
134-5					k a p a t i n a i					
135-5					w y i i k o m					
139-5					t t a m i n e s e					
142-5					y k i r i m e s i					
145-5					k i r a k w s i					
148-5					t a r a w a e n a s i					
162-5					i k w i n					
166-5					i r i ʔ					
179-5					t a k y t					
201-5					p a i					
21-5					t w f a a n					
45-5					m i k w a s r a m i					
50-5					i r s a ʔ					
71-5					o w w					
84-5					s u w a m					
91-5					t a a a s n i n					
146-5					e p u m u s e p ʔ					
151-5					k i w					
154-5					i w a k					
192-5					t a k					
197-5					w i r i k i m ʔ					
205-5					i p i m					
235-5					t a w a					
237-5					s m e e i n a					
250-5					s s k e s s s a o n					
251-5					i r ʔ i ʔ					
52-6						t i t i i				
56-6						t i m i				
96-6						t i m a k i				
99-6						i t i m a m k i i				
114-6						t i t i t i				
115-6						t t i m i k i				
133-6						t t i t i m i i				
144-6						t a i i m a tʃ i				
150-6						t a i				
234-6						a t i				
236-6						t i k i i				
241-6						t i k t a i				
249-6						i m i				
1-6						i i m i				
2-6						i m i t m a				
65-6						i i u t i				
74-6						t i w i				
93-6						t a t a m i tʃ i				
95-6						i a i t i i				
106-6						t i m i p i tʃ i				
119-6						i m i t a k				
128-6						t i m i t i				
147-6						t i m i t i				
231-6						t i m i a i				
232-6						t i t i a i n i				
239-6						t i m a k i				
266-6						tʃ i i t i k a				
3-6						t i m i k k i n				
4-6						i i m i				
55-6						a tʃ t a a				
97-6						t i k t p a k a tʃ a				
109-6						i t a tʃ i k i				
160-6						t i m i				
207-6						m i				
112-6						t i t i i a i tʃ i n				
116-6						t a p i tʃ p a				
125-6						t i t i m i tʃ i				
134-6						t i tʃ i tʃ i k n				
135-6						t u t p a tʃ a n				
139-6						u t m i m i tʃ i				
201-6						tʃ a i a				
21-6						t i k k i				
24-6						t k t i i i k k p e				
57-6						t i k i i i i				
131-6						t u t t t i k k i tʃ i n i				
227-6						t i t a i t i i n				
52-7							t i k k i			
56-7							t i m a			
96-7							t i r i			
99-7							i i i m o r d d i			
114-7							t i k o r o			
115-7							t i r o k o			
133-7							t t i k a r i m o			
144-7							t i i o n o			
150-7							t i			
234-7							a k i n			
236-7							t i k a n			
241-7							t i k k a n			
249-7							i k i			
1-7							i i a i			
2-7							a a i k i n i			
65-7							i i k i			
74-7							t i i			
93-7							t i k r o o			
95-7							a u i k i a			
106-7							t i k k r a			
119-7							u k o a			
128-7							t i k o r o			
147-7							t i m o a			
231-7							t e m a a i			
232-7							t e t i k a i			
266-7							t i a k i d a			
3-7							m i r i k k i n			
4-7							i i i			
51-7							i i i			
55-7							a k k a a			
97-7							p i k k k a r o i			
109-7							i i k i			
121-7							t a t a a k n o			
149-7							t i k d			
160-7							t i i			
163-7							i t i i d			
167-7							t k i			
207-7							m i			
259-7							t i i			
66-7							t a n a k o n			
125-7							t a a a a			
135-7							t a k i k a k o i			
142-7							i t i r o			
145-7							t i m a k i i			
148-7							t a a k i n o			
162-7							a i i i d n			
166-7							a m i			
179-7							t i k			
201-7							t n i			
21-7							t k r k i d			
24-7							a t a a k i n a			
50-7							a m k i			
57-7							t a k i i i n			
71-7							e m i			
84-7							t i a n			
131-7							t a t i k a k i k i m i i			
146-7							t t r a r i d			
151-7							i			
197-7							t m k k k r			
205-7							a k i n			
227-7							a k a a k k i			
237-7							m i r			
246-7							a a o p			
250-7							t i k k k u k a k o n			
251-7							i i r i			
52-8								i e a a		
56-8								m a		
96-8								i r b		
99-8								i j a m b		
114-8								k i k a		
115-8								r a a		
133-8								t a k r a		
144-8								r a r a a		
150-8								t i v		
234-8								t i j		
236-8								k i k a		
241-8								k e e r a		
249-8								i m a b		
1-8								i a y j		
2-8								e i m		
65-8								i v		
74-8								t i a		
93-8								k a p r a a		
95-8								u k a		
119-8								k a a		
231-8								k a j a m a b		
232-8								k e i e b		
239-8								m i a b		
3-8								u u k k u		
4-8								u u		
51-8								i i a b		
55-8								e k		
109-8								e e e e e		
121-8								k a s e e i a i a		
149-8								s i k a		
163-8								i v i m e m		
167-8								k e k a		
259-8								t i v a b		
66-8								k e j k e d		
112-8								r b a a		
116-8								k a p i i a		
125-8								k a a		
145-8								k i k i a		
45-8								k k k k e e r a m a		
91-8								v k k k i a j		
235-8								k a a i		
246-8								j e		
250-8								e e v v e k e a a		
52-9									t a t i a ʔ	
56-9									t i r a	
96-9									t a r a m i ʔ	
99-9									a r a r a r i ʔ	
114-9									t a t a k a ʔ	
115-9									t a a r a m a ʔ	
133-9									p k a t a r a m a ʔ	
144-9									k i r a w a m a ʔ	
150-9									t a w	
234-9									i t a n	
236-9									k a t a m	
241-9									p a t a a a n	
249-9									i ʃ a	
1-9									w a i i ʔ	
2-9									i w a i m	
65-9									a w	
74-9									t a m a	
93-9									t a t a r a m a ʔ	
95-9									i i a k i	
106-9									t a r a k a m i ʔ	
119-9									w m a k a k a ʔ	
128-9									t a t i k i ʔ	
147-9									t a i k i	
231-9									p i t a w i ʔ	
232-9									p i p i i k a ʔ	
239-9									w a r a k a m	
266-9									t i j i ʔ n	
3-9									w a r i e i a	
4-9									i a w a ʔ	
51-9									i w a	
55-9									i t a a m ʔ	
97-9									k i h k a m i	
109-9									a p a h a k ʔ	
121-9									k a t i w a k i ʃ a ʔ	
149-9									t a k	
160-9									k a r a	
163-9									i p a r i i	
167-9									t ʃ t a	
207-9									r i	
259-9									t a a a	
66-9									k a r a k a ʔ n	
112-9									p a r k a a a m i ʔ	
116-9									t i t a k a k a ʔ	
125-9									p i t a m a ʔ a ʔ	
134-9									t a p a t i n	
135-9									p i a i i i o ʔ	
142-9									i k a r a m a ʃ i ʔ	
145-9									t a i k a t i ʔ	
148-9									k a r a a i a m a ʃ i ʔ	
162-9									i k w a n	
166-9									i r i	
179-9									t a t	
201-9									t r a	
21-9									t h i i a n	
