COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
1880					j o ŋ j o ŋ		j o ŋ j o ŋ	
864		g o ŋ			g o ŋ			
2498	l e k aː l o	l e k a ʔ a n z u		l e k a ă n tʃʰ a m	l e k aː l o	l e k a ʔ a l o		
2072		g e p ʃ u			g e p k a n	g e p k a n	g e p kʰ ə n	g e p a n
1851	kʰ u m i n			kʰ ŏ m i n				kʰ ŏ m i n
2276		ɲ e p ʃ u		ɲ e p ă n tʃʰ a m			ɲ e p a kʰ e n	ɲ e p a n
1180	ʃ a	ʃ a	ʃ j a	ɕ a	ʃ a		ʃ a	ʃ a
1108	t̪ a ŋ h e p k a							t̪ a ŋ h e m p a n
154		ʃ i	ɕ i		ʃ i	ʃ i	ʃ i	ʃ i
229	kʰ a	kʰ a	kʰ a	kʰ a	kʰ a	kʰ a		kʰ a
2654	b o ŋ	b o ŋ	b o ŋ	b o ŋ	r a ŋ b o ŋ		b o ŋ	
2034						g o k u	g o kʰ e n	
1654	l i	l i	l i	l i	l i	l i		l i
2100	ʃ i k a		ʃ i l o		ʃ i k a n	ʃ i k a n	ʃ i kʰ e n	
72	d̪ a n		d̪ a n			d̪ a n		
493			ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	ɾ i d o n	
1486	p a s a g o ŋ			p a s a g o m				
190	p u tʃ i	p u tʃ i	p u tʃ i		p u tʃ i	p u tʃ i	p u tʃ i	p u tʃ i
1646		tʃ o	tʃ o	tʃ o			tʃ o	
2625		b e n a m z u m	b i n a z u ŋ			b o i n a m z u ŋ	b i n a z u ŋ	i n a ŋ z u m
2081		d̪ o ŋ b a	d̪ o ŋ b a			d̪ o ŋ k a n	d o ŋ kʰ e n	
136					g e tʃ i k	g e tʃ i	g e tʃ i k	
1547	j a s			j a s				j a s
535	s o s o		s o s o	s o s o	s o s o	s o s o	s ŭ s u	s o s o
2397			ɾ i g a ɲ j e w o			ɾ i g a ŋ j a p ʃ o		
990		tʃ o tʃ o			tʃ o tʃ o	tʃ o tʃ o	tʃ o tʃ o	tʃ o
1603		r a	r a		ɾ u	r a	ɾ u	
2483					n a m kʰ a n	n a m kʰ a n	n a m kʰ e n	
2054		ŭ ɾ u	ŭ ɾ u			ŭ ɾ u		
563		s a ŋ b u	s a ŋ b o l a		s a ŋ b u	s a ŋ b u	s a ŋ b u	s a ŋ b u
1918					o tʰ u g a ŋ p u	u t u g a m p u	u t g a m b u	
446		n a ɾ i j a l			n a ɾ i j a l		n a ɾ i j a l	
2266		g ɾ a n tʃ u			g ɾ a kʰ e n	g r a k a n	g ɾ a kʰ e n	
2737	ɲ i z o k a	ŋ i z a	ŋ i z a		n i z a	ŋ i z a	ɲ i dʒ a	
415	kʰ a m u ŋ		kʰ a u		kʰ a u		kʰ a u	kʰ a m u
2607		tʃ i k p a	tʃ i k p a			tʃ i k p a		tʃ i k p a
