COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e									
56-1	u m e ʔ									
96-1	a t a tʃ									
99-1	a r i z a n									
114-1	t o k u tʃ i ʔ									
115-1	u o u tʃ tʃ i									
133-1	t i p a a tʃ tʃ									
144-1	a w a w a tʃ i ʔ									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a t a ʔ									
2-1	w o m m									
65-1	i w									
74-1	p a n a									
106-1	t u n i tʃ i									
128-1	p o k tʃ tʃ u									
147-1	t u m u tʃ i ʔ									
231-1	p a n a w o ʔ									
232-1	p i n i ʔ a									
239-1	m a m a k a n									
266-1	u t i m									
51-1	u w e ʔ									
97-1	m a p o m									
109-1	u p w j u tʃ i									
121-1	k a p u j a k tʃ i ʔ									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m m j u tʃ i									
142-1	p p t a m a tʃ tʃ									
145-1	k a t a t u tʃ u ʔ									
148-1	t a a w w tʃ tʃ tʃ									
162-1	u j i n									
166-1	i m i									
179-1	t a									
201-1	p w									
21-1	k a w tʃ ʔ k									
24-1	p o k u tʃ a n									
50-1	i n a ʔ									
57-1	t o k a w a n									
84-1	p i w a n									
91-1	m o k o n									
131-1	t u k a z i m t									
151-1	k i w									
154-1	w e									
192-1	t u t									
197-1	t a m m m									
205-1	i p a n									
227-1	w a p w i t o									
246-1	i w i									
251-1	w a n a ʔ									
52-2		t t e								
56-2		o m e								
96-2		a t a n								
99-2		a r i k o k								
114-2		t o k o s i								
115-2		o t a i								
133-2		t i p r a s n								
144-2		a t a a n s i								
150-2		k a w								
234-2		k o m								
236-2		p i k o ã								
241-2		a w i ã n								
249-2		i s e								
74-2		p a k a n								
93-2		t o p a r i s i								
95-2		w i k i s								
106-2		t o ã i s i								
119-2		ã h t t i s i								
128-2		h o k o s i								
147-2		t i m i s i								
231-2		p a k a w o								
232-2		p i ã w j								
239-2		ã a m a k a ã								
266-2		w t i m n								
51-2		i w e								
55-2		i h a m								
97-2		m a h o m n								
121-2		k a p i ã a k n								
163-2		i p e ã n								
167-2		p a								
259-2		t o w a								
66-2		k a r a k a w n								
112-2		t r a i j i s t								
116-2		t o p a k a s i								
125-2		k a t i m r s i								
135-2		t i m i j a k								
139-2		m o k o j i n								
142-2		p p t a m a s								
148-2		t r a a w i								
162-2		i ã i ã								
166-2		i m i								
179-2		t a								
45-2		h h i ã a m m								
84-2		p i w a ã n								
131-2		t o k s p a m n								
146-2		k i m m e s								
154-2		w e n								
192-2		t i t n								
197-2		t o m i m								
235-2		s o w i								
237-2		k i m a ã i								
