COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə																		
63-1	ʔ a s ɨ																		
107-1	g ə m ə																		
112-1	d ə b ə n a																		
331-1	ʔ ɨ g ə s																		
377-1	ʔ ə																		
381-1	ʔ ə ə n d																		
417-1	r ɨ																		
451-1	s ə ɨ n ə																		
454-1	ʔ a t ɨ r																		
484-1	s ɨ ɨ s																		
535-1	ʔ ə s ɨ r																		
543-1	s ə ə s																		
593-1	ʔ ə ə ɨ																		
640-1	ʔ ə n																		
1-1	d ə rː ə r ə																		
65-1	ʔ ɨ b ə																		
212-1	ʔ ə n																		
244-1	ʔ ə r b ɨ																		
248-1	ʔ ə ə ə																		
293-1	ʔ ə r ə																		
373-1	ʔ a ɨ m a																		
408-1	ʔ ə ə r																		
414-1	ʔ ə b a ə a																		
601-1	ʔ ə b ə																		
642-1	ʔ ɨ f a																		
60-1	ʔ ə ə s ə																		
115-1	ʔ a																		
209-1	s ə m ə ɨ t																		
242-1	ʔ ə ə ɨ s																		
415-1	ʔ ɨ n a																		
450-1	s ə r																		
490-1	ʔ ə b ə ə																		
638-1	s a r ə ə																		
645-1	ʔ a																		
160-1	ʔ ə r ə a																		
208-1	ʔ ə n g ə ə a																		
214-1	ʔ a b																		
378-1	ʔ a n ə ə t a																		
379-1	ʔ ɨ ɨ t ə n a																		
409-1	ʔ ə t ə r																		
598-1	ʔ ɨ ə																		
646-1	ʔ a n ə																		
210-1	ʔ ə ə ə n a																		
215-1	ʔ a ə ə ə ə																		
285-1	ʔ ɨ a																		
332-1	ʔ ɨ a g ə r																		
380-1	ʔ a h a a																		
412-1	s ə ɨ n																		
64-1	ʔ a ə a																		
67-1	ʔ ə																		
251-1	ʔ ɨ ə j a																		
294-1	ʔ a g ə ɨ n a																		
597-1	ʔ ə ə ə ə ə n a																		
7-1	ʔ a h a a																		
158-1	ʔ ə ə ɨ																		
372-1	ʔ ə ɲː ə ə																		
374-1	ʔ a a ə ə ə ə a a																		
375-1	s ə b																		
411-1	ʔ ə r ə ə																		
541-1	ʔ ə ɨ																		
6-1	ʔ a g ə a																		
113-1	ʔ ə																		
330-1	ʔ ə ə																		
