COGID	Albanian	English	French	German	Latin
560-1	ɟ i				
438-1	d r u				
1222-1	p ə				
353-1	p e p ə				
201-1	ɟ e				
20-1	s a				
503-1	p e m				
957-1	r				
728-1	m i ð				
244-1	n u m				
289-1	n a m				
911-1	r u ə e				
724-1	d r u r				
145-1	d e				
992-1	m				
1181-1	m e				
741-1	p e				
1150-1	d e p r				
585-1	m ə				
814-1	p e				
916-1	t r				
1079-1	l i ʃ t y				
630-1	r ə				
343-1	l ə ə r				
8-1	d r p ə				
385-1	r u r				
683-1	ɟ a				
650-1	ɟ e l n				
612-1	n e m				
871-1	ə r s e				
667-1	s e p				
527-1	t y d				
499-1	n o				
1029-1	p ə				
560-2		k ɪ m			
438-2		g r			
1222-2		d r			
353-2		p ʊ ʃ			
201-2		f ɛ n			
20-2		k ɛ d			
503-2		p l ʃ			
957-2		d			
728-2		h a θ			
244-2		n ɪ m			
289-2		n a			
911-2		r ɛ s e			
724-2		d r			
145-2		d u			
992-2		k			
706-2		e			
106-2		p ɛ r			
741-2		p ʊ			
421-2		b l ə m			
227-2		p ʊ s			
920-2		h ɛ r			
1083-2		h ɛ r			
1066-2		ɪ u			
1125-2		k r			
1197-2		m ɛ r			
473-2		h ɪ			
284-2		n ɪ r			
661-2		h			
701-2		r ʊ d			
315-2		r au θ			
1169-2		s ɛ l			
1150-2		k r r			
982-2		s ɪ l			
987-2		s i			
1055-2		ʃ l i r			
1130-2		s e n			
433-2		s i n			
625-2		s au θ			
1186-2		m ɛ θ			
416-2		k au			
1233-2		s ɪ n			
884-2		ð ɛ r			
1016-2		ɛ r i h ɛ r			
952-2					
78-2		b l a s			
514-2		b r i n			
116-2		h s			
188-2		p r r			
745-2		p ʊ v			
1100-2		f r i s			
47-2		g ɪ ɛ			
111-2		m ʊ k			
1061-2		ʃ au r			
24-2		n ɪ			
232-2		n au n			
671-2		g r j d			
385-2		s i			
945-2		s ɛ m			
644-2		p ʊ			
1041-2		s r			
492-2		θ ɛ			
1209-2		g ʊ ð s			
527-2		w ɑ t ə			
14-2		g o l			
1-2		o l			
915-2		ɛ s d			
271-2		o ʃ			
560-3			v ɑ̃		
438-3			g r		
1222-3			p ɑ̃		
353-3			p u s		
201-3			p u s		
20-3			k u s		
503-3			p l e		
957-3			d		
728-3			s ɔ		
244-3			n r ɑ̃		
289-3			n ɛ ʃ		
911-3			r i		
724-3			ɛ r		
145-3			d u		
992-3			v ɔ		
1181-3			ʃ ə		
706-3			ʒ k		
106-3			p u t r		
741-3			p u s		
421-3			k l r s		
227-3			p u		
920-3			ʃ ɔ r		
1083-3			ʃ ɛ r n e		
1066-3			s		
1125-3			g ɛ		
1197-3			m u r r		
473-3			n ɔ		
284-3			n ɛ r		
661-3			k n e		
701-3			r u s r		
315-3			r ɔ̃ e		
1169-3			s ɛ v e		
1150-3			p r t e		
982-3			s		
987-3			s r		
1055-3			s e		
1130-3			s ɛ n e		
433-3			s ɔ̃		
585-3			e		
625-3			v u		
1186-3			ʒ u n		
814-3			p ɑ̃ r		
416-3			v ɛ		
1233-3			k ɑ̃ t e		
884-3			ɛ r		
916-3			v		
1016-3			o n ɛ r ɛ l		
952-3			d		
514-3			r ɔ̃ e		
1079-3			a r e		
1100-3			g u ɔ̃ e		
47-3			v ɔ v		
111-3			l ɛ k		
1061-3			m ɔ t e e		
1155-3			ʃ ɔ d l ɛ		
343-3			v ɛ r ɛ r		
671-3			k ɔ̃ g		
460-3			p u e		
8-3			p ɑ̃ s		
644-3			s u		
683-3			s ɑ̃		
650-3			ʃ o v ɛ z		
612-3			f ø m		
871-3			r i		
1209-3			v ɛ m m e		
667-3			l ɔ v		
499-3			n		
14-3			ʃ ə j e		
1029-3			v		
272-3			s t ɛ r		
560-4				n eː m	
438-4				n r	
1222-4				d t	
353-4				f a ʃ	
201-4				f ai s	
20-4				f eː ə	
503-4				f l l t	
957-4				n	
728-4				l t	
244-4				n aː m ə	
289-4				n aː s	
911-4				r r n	
724-4				n r iː	
145-4				m	
992-4				h r	
1181-4				m i t	
706-4				ai s	
106-4				f a n ə	
421-4				f l l t r	
227-4				f l t	
920-4				h aː r s	
1083-4				h aː r n	
1066-4				d ə	
1125-4				n eː	
1197-4				m aː n ə	
473-4				n aː t	
284-4				n aː s	
661-4				h n	
701-4				r aː t	
315-4				r eː n d	
1169-4				f a l	
1150-4				ʃ a r	
982-4				n eː aː	
987-4				n t s	
1055-4				ai s ŋ r	
1130-4				n i n	
433-4				ʃ i n	
585-4				n ə	
625-4				m u n	
1186-4				m n	
814-4				l t	
416-4				v ai s	
1233-4				n eː n ə	
884-4				n t r m	
78-4				b l iː s	
514-4				b aː r d	
116-4				ai s	
188-4				f l r g	
745-4				f aː l ə ə	
1100-4				f r ai s	
630-4				n eː t s	
1155-4				k ə	
24-4				n ai s	
232-4				n aː n	
671-4				v ai s	
460-4				f t g	
8-4				aː r r ai eː t	
385-4				ʃ t	
945-4				z i t	
1041-4				z s a n d	
492-4				n eː n	
527-4				v ai s ə	
14-4				d e l iː s	
1-4				a l	
915-4				a n d	
271-4				a ʃ	
560-5					w i s a
438-5					n r m
1222-5					p a
353-5					p oː u o
201-5					k e n
20-5					k a l e eː
503-5					p l aː
957-5					a a o
728-5					l a a
244-5					n e b u
289-5					n uː i
911-5					r r m n o
724-5					n r i d o
145-5					w i d o
992-5					k r t
1181-5					k a n n o
706-5					k a t a
106-5					p e n u l o
741-5					p oː lː o
421-5					f l aː s o
227-5					p u t a
920-5					k a r e a
1083-5					k a r n a
1066-5					k e
1125-5					n e o
1197-5					m a r a l o
473-5					n a w i
284-5					n e u
661-5					k a o
701-5					k e p u
315-5					r e d p u
1169-5					s e l a
982-5					n l o o
987-5					n e a
1055-5					aː e e a l o
1130-5					s e m a
433-5					k e n u
585-5					n e a
625-5					n a n u
1186-5					n a n o
814-5					w r n
416-5					k u d eː
1233-5					m e n o u
884-5					w i r e a
916-5					n
1016-5					a nː uː m a l a
952-5					a eː o
78-5					k l s
1079-5					w i d o
116-5					n p a
188-5					k e n t o
745-5					k u b u l o
47-5					k m a n a o
111-5					l a k u
1061-5					m eː m e eː o
630-5					n r u u
1155-5					k u l
24-5					n e e n
232-5					n e n o
343-5					w i n s i eː n
460-5					p u l iː t o
945-5					aː e p u n o
644-5					k u
683-5					s e n t o
650-5					l i i l o
612-5					f u m o
1041-5					n e p u t
871-5					d r iː d i d o
492-5					k e a
1209-5					w o m t a
667-5					l a m o
499-5					n o
1029-5					w i n
272-5					s e i r d
