COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a ɨ m																		
107-1	kʼ a m ə l																		
112-1	d a m ə ɲː a																		
331-1	m ɨ g u r																		
377-1	b u kʼ l o																		
381-1	ʔ a																		
417-1	r a l																		
451-1	s ə t																		
454-1	ʔ a u r																		
484-1	s ɨ ɨ r t																		
535-1	ʔ a sː ɨ r																		
543-1	s ə t																		
593-1	m a m u s																		
640-1	m u r																		
1-1	d ə bː ə r ə																		
65-1	kʼ u b																		
212-1	ʔ ɨ n																		
244-1	ʔ a r b a t																		
248-1	m u lː u																		
293-1	f ə r ə s																		
373-1	kʼ u m a l																		
408-1	b a u r a																		
414-1	d ɨ b a a																		
601-1	m ə b u																		
642-1	m ə ə a																		
60-1	m ə tʼː ə ɲː ə																		
115-1	m a a																		
209-1	s ɨ n u t																		
242-1	ʔ a m ɨ r																		
415-1	s ɨ n a																		
450-1	s ə r e																		
490-1	d ə bː ə																		
61-2		d ə																	
63-2		ʔ a h u m																	
107-2		kʼ ɨ m ə l																	
112-2		d ə m ə n a																	
331-2		m ɨ g u																	
377-2		ə kʼ																	
381-2		ʔ ɨ h a l																	
417-2		ɨ a																	
451-2		ʒ ə ɨ e																	
454-2		ʔ a u r																	
484-2		s ɨ d ɨ s d																	
535-2		ʔ a sː ɨ																	
543-2		s ɨ ə ə t																	
593-2		h a m u																	
640-2		m k a																	
1-2		d ə m ə l e																	
65-2		d ɨ kʼ																	
163-2		s ə d e																	
212-2		ʔ ɨ ɲ																	
244-2		ʔ a r ə																	
248-2		m kʼ u ɨ a																	
293-2		f ə r ə																	
373-2		kʼ u m a																	
408-2		kʼ ɨ ə r e																	
414-2		d ɨ h a kʼ a																	
642-2		n ɨ a																	
60-2		n ə tʼː ə s e																	
115-2		ə a																	
209-2		s ɨ m u j t																	
242-2		ʔ a m u t																	
415-2		m ɨ m e																	
450-2		s ə r																	
490-2		tʼ ə h e																	
61-3			tʼ ə m																
63-3			ʔ a i m																
107-3			g a m ə r a																
112-3			d a b ə r a																
331-3			n ɨ g w s																
377-3			b ə kʼ ɨ r ə																
381-3			ʔ a t																
417-3			r a z																
451-3			s ə b a t																
454-3			ʔ a t ɨ r																
484-3			s ɨ tʼ ɨ r t																
535-3			ʔ a x ɨ r																
543-3			s a u t																
593-3			ʔ a m i s																
640-3			m w a n																
1-3			tʼ ə b ə r ə m																
65-3			tʼ ə																
163-3			s ə t ə																
212-3			ʔ e n																
244-3			ʔ a r ə t																
248-3			m ə r a																
293-3			f ə r ə z																
373-3			kʼ ɨ m a r																
408-3			b ɨ r a																
414-3			tʼ ə b a kʼ u r a																
601-3			ʔ ə r a																
642-3			n ɨ a a s																
60-3			n ə n ə s ə m																
115-3			s ə r a m																
209-3			s ɨ m o t																
242-3			ʔ a m i s t																
415-3			z ɨ n a b																
450-3			s ə r																
490-3			tʼ ə b w ə m																
61-4				d ə m															
63-4				ʔ a ɨ															
107-4				kʼ a m ə l a															
112-4				d a m ə r a															
331-4				n ɨ g s															
377-4				b a a r a															
381-4				ʔ a t															
417-4				r a s															
451-4				s ɨ ʔ e t															
454-4				ʔ a ʔ ɨ r															
484-4				s ɨ t ɨ s															
535-4				ʔ a s ɨ r															
543-4				s a ə s t															
593-4				ʔ a m ʔ ə s															
640-4				m a n															
1-4				d ə b ə r ə															
65-4				d ɨ															
163-4				s ə ə															
408-4				b a r a															
414-4				d ə b ə ə r a															
601-4				ʔ ə r ə ʔ															
642-4				m ə a s															
60-4				n ə ə s ə															
115-4				ʔ ə r a n															
450-4				s ə r															
490-4				t ə ə															
61-5					tʼ ə m														
63-5					ʔ a ɨ m														
107-5					g a m ə r a														
112-5					d a b ə r a														
331-5					n ɨ g w sː														
377-5					b ɨ kʼ u r ə														
381-5					ʔ a t														
417-5					ɨ a														
451-5					s ə b a t														
454-5					ʔ a t ɨ r														
