COGID	Albanian	English	French	German	Latin
560-1	d ə				
438-1	g ə r				
1222-1	f				
353-1	s e j t				
201-1	d r				
20-1	r e ə u				
503-1	p e ə n				
957-1	d				
728-1	c r				
244-1	n m				
289-1	n t ə				
911-1	r ə r ə				
724-1	f r e j				
145-1	d j				
992-1	ʃ				
1181-1	k ə n d				
741-1	p e				
1150-1	n a r v i ʃ				
585-1	t				
814-1	j u r r				
916-1	d o				
1079-1	m e j t				
630-1	r t t				
343-1	c ə m ə				
560-2		v ɑ m			
438-2		g r			
1222-2		θ			
353-2		p au s s i			
201-2		s ɪ n o			
20-2		s i r			
503-2		p ʊ i n			
957-2		h n			
728-2		s au t			
244-2		n i d			
289-2		s a ɪi t			
911-2		w i r			
724-2		θ r			
145-2		j w ai			
992-2		w i			
706-2		s o			
106-2		p ʊ t			
741-2		p ʊ h			
421-2		b l ə m			
227-2		p ʊ t			
920-2		h ɪ r			
1083-2		h ɑ r n			
1066-2		j f			
1125-2		θ ɪ n			
1197-2		m a t			
473-2		n r m			
284-2		n a s			
661-2		ai n			
701-2		r i t			
315-2		r a n			
1169-2		s i l			
1150-2		s i r			
982-2		s ɪ			
987-2		s p			
1055-2		s t ɪ r n			
1130-2		s			
433-2		s i n			
625-2		s ɪ θ			
1186-2		j i n			
416-2		w			
1233-2		v ɪ n			
884-2		θ ɑ i d			
1016-2		s i m r r			
952-2		s			
78-2		b l a s			
514-2		v r i n			
116-2		s t			
188-2		p r ə n			
745-2		p a n ə			
1100-2		f r a s d			
47-2		s ɑ d			
111-2		h ɛ h			
1061-2		m ə n t r			
24-2		θ ɪ n d			
232-2		n ə n			
671-2		g r t t			
560-3			v ɑ̃ t i		
438-3			g r		
1222-3			t		
353-3			p u s		
201-3			p u		
20-3			p ɛ r r		
503-3			p u r		
957-3			ɛ̃		
728-3			s ɛ t		
244-3			n u s		
289-3			n ɛ t		
911-3			r i		
724-3			t r		
145-3					
992-3			k		
1181-3			s ɑ̃ t		
706-3					
106-3			p u r r		
741-3			p i		
421-3			f i		
227-3			p u		
920-3			e ɔ r		
1083-3			e r n		
1066-3			p		
1125-3			s ɑ̃ t		
1197-3			m i r		
473-3			n		
284-3			p r		
661-3			p		
701-3			k ɥ a r		
315-3			r ɛ t		
1169-3			s ɛ t i		
1150-3			s ɛ t r ɑ̃		
982-3			s ɛ t		
987-3			s		
1055-3			t ɛ		
1130-3			s ɛ s		
433-3			k u		
585-3			t		
625-3			t		
1186-3			d ɑ̃ t		
814-3			v r		
416-3			v		
1233-3			ɛ ɑ̃ t r		
884-3			a r i s		
916-3			t		
1016-3			ɛ̃ t ɛ m i		
952-3			o		
514-3			p t		
1079-3			s s ɛ r		
1100-3			p r i		
47-3			n ɛ s		
111-3			l a k		
1061-3			m ɔ t e		
1155-3			e v		
343-3			v t t r		
671-3			r i t		
560-4				k iː	
438-4				k r	
1222-4				ʃ	
353-4				f au z	
201-4				f i m	
20-4				f au r	
503-4				f au l eː	
957-4				h n	
728-4				f au t	
244-4				n aː m ə n	
289-4				n ai s	
911-4				r r	
724-4				d t	
145-4				t	
992-4				h	
1181-4				h au t	
706-4				h	
106-4				f au l	
421-4				f l au	
227-4				f au t	
920-4				h ai r	
1083-4				h aː r n	
1066-4				g	
1125-4				g eː n	
1197-4				m d n ə	
473-4				n eː	
284-4				n eː z	
661-4				v ə	
701-4				f au m	
315-4				r u n	
1169-4				z a l t	
1150-4				ʃ au eː	
982-4				z aː s	
987-4				ʃ	
1055-4				ʃ t aː r	
1130-4				z i m	
433-4				z a n	
585-4				t	
625-4				z i n	
1186-4				d y n ə	
814-4				k r r l	
416-4				v a s	
1233-4				v y n d	
884-4				v eː r m	
78-4				b l eː	
514-4				b ə r n	
116-4				ai t	
188-4				f au au	
745-4				f a n d ə r	
1100-4				f s	
630-4				n n eː t	
1155-4				h l	
24-4				n ai s	
232-4				n au n	
671-4				r ai s	
560-5					w e t iː n
438-5					o r d iː
1222-5					o l iː
353-5					p r t i iː
201-5					p e n u eː
20-5					p u t e eː n
503-5					p u aː r e
957-5					a n u i
728-5					k l o
244-5					n m m i n
289-5					n u
911-5					m e m e i o
724-5					t i k t eː
145-5					m i d
992-5					k aː
1181-5					k ae n oː
706-5					o l i o
106-5					p o r e r i
741-5					p i d a
421-5					f l o m r
227-5					p u t i
920-5					k o t r i n
1083-5					k o t n u i
1066-5					t e r
1125-5					t e n i
1197-5					m a r e r i
473-5					n u l i
284-5					n u s u
661-5					k e
701-5					s eː m i n
315-5					r e n t
1169-5					s u l a
982-5					s e aː i
987-5					s t aː
1055-5					s t a t o u
1130-5					s e m i
433-5					s i m u iː o
585-5					l t r
625-5					t e m i i
1186-5					t eː m i i
814-5					a r aː iː t o
416-5					k o t o
1233-5					w e n u i
884-5					l o r m e i
916-5					k
1016-5					a n o m a r
952-5					a
78-5					o o t s i i
1079-5					w i d
116-5					e t i i
188-5					p o t n u i
745-5					p aː r t r i i
47-5					m a m e i
111-5					l a k u
1061-5					m e n t e
630-5					n n p u e
1155-5					k u t i u
24-5					n e i
232-5					n e n
343-5					w i t o r eː n
