COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e									
56-1	o m									
96-1	a t a tʃ ʔ									
99-1	a t i r a n									
114-1	t o k u tʃ i									
115-1	o t i i tʃ tʃ ʔ									
133-1	t i p a a tʃ i									
144-1	a a a w a tʃ i									
150-1	k a w									
234-1	k o m									
236-1	p i k o n									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a z a									
2-1	w e m m									
65-1	i w ʔ									
74-1	p a n a									
106-1	t o n i i									
128-1	p o k tʃ i									
147-1	t i m i tʃ									
231-1	p a n a w o									
232-1	p i p p j o									
239-1	n a m a k a n									
266-1	i t i m ʔ									
51-1	w w i ʔ									
97-1	m a p o m									
109-1	p p i t i tʃ i ʔ									
121-1	k a p i m a k tʃ ʔ									
149-1	t o k									
160-1	k i r i k									
163-1	o p e n									
167-1	p a ʔ									
207-1	m i									
259-1	t o w a ʔ									
66-1	k a r a k a w									
134-1	n i p a t									
139-1	m o n o tʃ i ʔ									
142-1	p p a a m m									
145-1	k a t a t i tʃ i									
148-1	t a a a w tʃ i									
162-1	i m n n									
166-1	i m i									
179-1	t a									
201-1	p i ʔ ʔ									
21-1	k a m a k									
24-1	p o k o n									
52-2		t t e								
56-2		o m e								
96-2		a k a s i								
99-2		a k i k u n								
114-2		t o k i s i								
115-2		o r i n i l								
133-2		t i p r k e i								
144-2		a r a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p r k o k								
241-2		g w i k								
249-2		i s e								
74-2		p a k a								
93-2		t o p a k l s i								
95-2		w i s i l								
106-2		t o k r n l								
119-2		j j t t i s i								
128-2		h o k i s i								
147-2		t i m o s l								
231-2		p g k a w o								
232-2		p i m o e								
239-2		k r j a k a								
266-2		i t e m u								
51-2		e w h								
55-2		o h a m								
97-2		j a h o m s								
121-2		k g p i j a k r l i								
163-2		i p e k								
167-2		p a								
259-2		t o w a								
66-2		k r r a k r w								
112-2		t r a t j t s i l								
116-2		t o p a k a s i								
125-2		k a t i m a s i								
135-2		t i m i n e								
139-2		m o k o s o								
