COGID	Beijing	Changsha	Chaozhou	Chengdu	Fuzhou	Guangzhou	Hankou	Jinan	Meixian	Nanchang	Shanghai	Shuangfeng	Suzhou	Taiyuan	Wenzhou	Xiamen	XiAn	Yangzhou	ZhongyuanYinyun
2-1	i ³⁵																		
4-1	ʈʂʰ i ³⁵																		
5-1	ʈʂʰ a ŋ ⁵¹																		
6-1	ʂ a n ⁵⁵																		
7-1	ʂ a ŋ ⁵¹																		
8-1	x j a ⁵¹																		
9-1	p u ⁵⁵																		
17-1	ʈʂ u ŋ ⁵⁵																		
31-1	tɕ j ou ²¹⁴																		
32-1	j i ²¹⁴																		
33-1	tɕʰ y ²¹⁴																		
38-1	i ⁵¹																		
40-1	y n ³⁵																		
42-1	u ²¹⁴																		
43-1	tɕʰ i ŋ ²¹⁴																		
46-1	w a ŋ ³⁵																		
52-1	l j a ŋ ⁵⁵																		
53-1	ʂ ə n ⁵⁵																		
56-1	tɕ i n ⁵⁵																		
59-1	tʰ o ⁵⁵																		
60-1	ʈʂʰ a ŋ ⁵¹																		
64-1	l i ŋ ³⁵																		
68-1	tɕ j a n ⁵¹																		
85-1	w ei ⁵¹																		
86-1	t i ⁵¹																		
87-1	tɕʰ u ⁵¹																		
93-1	l i ²¹⁴																		
98-1	l ai ³⁵																		
109-1	ɕ i n ⁵⁵																		
115-1	t au ⁵¹																		
118-1	tɕ j a ⁵¹																		
124-1	tɕ j e ²¹⁴																		
127-1	ts w o ⁵¹																		
133-1	tʰ ou ⁵⁵																		
144-1	ʂ ou ⁵⁵																		
161-1	ɕ y ŋ ⁵⁵																		
166-1	k w a ŋ ⁵⁵																		
170-1	tʰ i ³⁵																		
171-1	tʰ u ²¹⁴																		
173-1	t i ⁵¹																		
174-1	l w ei ⁵¹																		
175-1	tɕʰ j a n ³⁵																		
176-1	l j a ŋ ²¹⁴																		
177-1	p a ⁵⁵																		
179-1	l ou ³⁵																		
181-1	p i ŋ ⁵⁵																		
182-1	tɕʰ i ⁵⁵																		
189-1	k w a n ⁵⁵																		
191-1	t u ŋ ⁵⁵																		
193-1	l i ŋ ⁵⁵																		
198-1	t u ŋ ⁵¹																		
199-1	ɕ y ŋ ⁵⁵																		
2-2		ʅ ²⁴																	
4-2		tsʰ ɤ ²⁴																	
5-2		ʈʂʰ a n ⁵⁵																	
6-2		s a n ³³																	
7-2		ɕ a n ¹³																	
8-2		x j ai ²¹																	
9-2		p o ²⁴																	
17-2		ʈʂ o ŋ ³³																	
31-2		tɕ j ɤu ⁴¹																	
32-2		n e ⁴¹																	
33-2		tɕ y ⁴¹																	
38-2		i ⁴¹																	
40-2		y n ¹³																	
42-2		u ⁴¹																	
43-2		tsʰ i n ⁴¹																	
46-2		w a n ¹³																	
52-2		n j a n ⁴¹																	
53-2		ʂ ə n ³³																	
56-2		tɕ i n ³³																	
59-2		t ei ³³																	
60-2		ʈʂ a n ⁵⁵																	
64-2		n i n ¹³																	
68-2		ts ieː ⁵⁵																	
85-2		w ei ⁵⁵																	
86-2		t i ³³																	
87-2		tɕ y ⁵⁵																	
93-2		n i ⁴¹																	
98-2		n ai ¹³																	
109-2		s i n ³³																	
115-2		t au ⁵⁵																	
118-2		ts j e ²⁴																	
124-2		tɕ j ai ⁴¹																	
127-2		ts o ⁴¹																	
133-2		tʰ ɤu ³³																	
144-2		ʂ au ³³																	
161-2		ɕ j o ŋ ³³																	
166-2		k w a n ³³																	
170-2		ts i ⁴¹																	
171-2		tʰ ɤu ⁴¹																	
173-2		t i ²⁴																	
174-2		n ei ⁵⁵																	
175-2		ts ieː ¹³																	
176-2		n j a n ⁴¹																	
177-2		p a ²⁴																	
179-2		n j ɤu ²⁴																	
181-2		p i n ³³																	
182-2		tɕʰ i ¹³																	
189-2		k oː ³³																	
191-2		t o ŋ ³³																	
193-2		n ə n ³³																	
198-2		t o ŋ ⁵⁵																	
199-2		ɕ j o ŋ ³³																	
2-3			i k ²¹																
4-3			tsʰ i k ²¹																
5-3			tsʰ a ŋ ³⁵																
6-3			s uaː ³³																
7-3			s a ŋ ⁵⁵																
8-3			h e ³⁵																
9-3			p a k ²¹																
17-3			ts e ŋ ³³																
31-3			k j u ⁵³																
32-3			l e ⁵⁵																
33-3			tsʰ u ⁵³																
38-3			h i ³⁵																
40-3			e ŋ ⁵⁵																
42-3			k ou ⁵³																
43-3			tsʰ eː ⁵³																
46-3			w a ŋ ⁵⁵																
52-3			l ieː ³⁵																
53-3			ts i ŋ ³³																
56-3			k ɯ ŋ ³³																
59-3			tʰ o ³³																
60-3			tsʰ a ŋ ⁵⁵																
64-3			l e ⁵⁵																
68-3			tsʰ oiː ²¹³																
85-3			w i ³⁵																
86-3			t i ³³																
87-3			ts u ⁵³																
93-3			l i ⁵³																
98-3			l ai ⁵⁵																
109-3			s i ŋ ³³																
115-3			t o ³⁵																
118-3			ts j e ʔ ²¹																
124-3			k e ⁵³																
127-3			ts o ²¹³																
133-3			tʰ au ³³																
144-3			s u ³³																
161-3			h e ŋ ³³																
166-3			k w a ŋ ³³																
170-3			t iː ⁵⁵																
171-3			tʰ ou ²¹³																
173-3			t i ʔ ⁴																
174-3			l w i ¹¹																
175-3			tsʰ oiː ŋ ⁵⁵																
176-3			l ieː ³⁵																
177-3			p a k ²¹																
179-3			l o k ⁴																
181-3			p e ³³																
182-3			kʰ i ³³																
189-3			k e ŋ ³³																
191-3			t a ŋ ³³																
193-3			l i ŋ ³³																
198-3			t a ŋ ²¹³																
199-3			h e ŋ ³³																
2-4				ɿ ³¹															
4-4				tsʰ e ³¹															
5-4				tsʰ a ŋ ¹³															
6-4				s a n ⁴⁴															
7-4				s a ŋ ¹³															
8-4				x j ai ¹³															
9-4				p ɿ ³¹															
17-4				ts o ŋ ⁴⁴															
31-4				tɕ j əu ⁵³															
32-4				j i ⁵³															
33-4				ts u ⁵³															
38-4				s i ¹³															
40-4				o n ³¹															
42-4				v u ⁵³															
