COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	t u r															
1089-1	n a m a															
1319-1	n ɔ n															
1398-1	s u u r u															
1557-1	k i r e															
1626-1	b a w a															
1840-1	t i r u															
2247-1	k ɔ															
4677-1	k u r a j															
5162-1	m i n r ɛ															
5406-1	t a n d u															
359-1	k a r u															
1577-1	k i r e															
2196-1	n a r a															
2230-1	s i															
2533-1	b a r i															
3605-1	k a n d a															
3866-1	b ɔ s u															
4553-1	t a n a															
4822-1	k u m b ɔ															
5254-1	d u r ɔ															
503-1	k i r a															
1356-1	m a j a															
1881-1	n u m u j															
3218-1	b u s u															
3372-1	n a m a															
3718-1	k a r a															
4135-1	b a r u															
4694-1	k u s i u															
807-1	k ɔ m b u															
2320-1	k a n ɛ															
2476-1	k u n															
3719-1	m u															
4081-1	t a m b i															
4313-1	n ɛ m															
4460-1	s u j ɔ															
5810-1	b i n r u															
93-1	k ɔ															
260-1	b i n r e															
385-1	z ɛ m b ɛ															
890-1	k a m b i r u															
1336-1	t e r e															
1703-1	b a															
1769-1	t ɛ m b u															
2162-1	b ɛ r ɛ															
2635-1	s ɔ															
3031-1	t ɛ r ɛ															
4591-1	k a r i															
5301-1	b ɛ r u															
5605-1	t i m a j															
463-1	d u m b u															
1432-1	t a r u															
1474-1	t u n															
1788-1	s i r															
2044-1	k i m b e															
2713-1	t a m b ɛ n d ɛ r ɛ															
3219-1	b a s a															
3425-1	j u															
4184-1	n a j															
4629-1	n u n ɔ															
4759-1	n i n j̃ i															
4904-1	n u n ɔ															
4960-1	k i n a r u															
4980-1	t ɔ															
5059-1	k u r ɔ															
5339-1	b a r a															
5549-1	t a w a															
5905-1	t i r u															
5922-1	b i r a															
5938-1	t a b u n ɔ															
1-1	b ɛ															
483-1	k e s u															
629-1	t ɔ															
667-1	ɛ w ɛ															
1254-1	s u t i r u															
1415-1	n ɛ															
1542-1	n u															
1683-1	s i															
1898-1	b u r u j															
2901-1	t u n u															
2957-1	m a n d i															
3048-1	b i j e															
3251-1	b a r a															
3885-1	k ɔ r ɔ															
4402-1	j i															
5622-1	b e r i j e j															
6006-1	b i r a															
135-1	t u n d u															
158-1	m b ɔ s u															
194-1	b ɛ j															
221-1	ɛ s u															
650-1	b ɛ s u															
1152-1	t i r ɛ															
1374-1	k ɔ r ɔ															
1452-1	k a r a															
1862-1	i s u															
2083-1	k a n r u															
2108-1	n a n															
2636-1	m															
2924-1	b ɔ r u															
2941-1	b i r u															
3405-1	k ɛ m ɛ j															
3751-1	b a															
4066-1	k ɔ r ɔ															
4535-1	s u w ɔ															
4888-1	s a m n a															
5583-1	k a n a															
5751-1	t i j ɛ															
5981-1	a r a															
114-1	d ɔ j a															
851-1	k u															
1941-1	k u s u															
2179-1	n d i															
2351-1	b a r a															
2496-1	n u															
3482-1	m i z i a															
3497-1	k a a															
3588-1	k a r ɔ															
4202-1	k a r i o															
4293-1	z e															
4921-1	s a m b a															
408-1	k e m b i															
545-1	a r u															
978-1	t a m															
1052-1	n a m b u															
1070-1	k u r o															
1942-1	n e															
