COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ o ³¹								
495-1	n Ø ŋ ⁵⁵								
838-1	ŋ l Ø ⁵⁵								
438-1	m l ɯ Ø ⁵⁵								
334-1	l̥ o ʔ ³¹								
360-1	l̥ ɯ Ø								
394-1	m ŋ Ø ŋ ³¹								
221-1	Ø Ø p ⁵⁵								
202-1	k Ø ŋ ³¹								
935-1	ŋ Ø Ø								
93-1	Ø Ø p ⁵⁵								
7-1	p Ø n Ø								
664-1	ɯ ŋ ³¹								
246-1	k ŋ ɯ ʔ ⁵⁵								
547-1	ŋ Ø Ø k ⁵⁵								
555-1	Ø Ø m ³¹								
464-1	m Ø ŋ ³¹								
119-1	m Ø Ø ŋ ³⁵								
835-1	ŋ n ɯ Ø ⁵⁵								
79-1	Ø ŋ o ŋ ³¹								
693-1	ŋ Ø ŋ ³¹								
477-1	n ŋ ɯ ⁵⁵								
891-1	ʈ Ø ŋ ŋ								
528-1	ŋ Ø o ³¹								
797-1	k tʃʰ ɔ ʔ ⁵⁵								
493-1	n Ø k ³¹								
217-1	Ø ɯ Ø ³¹								
896-1	Ø o Ø ⁵⁵								
452-1	m Ø u ʔ ³¹								
580-1	ŋ ŋ u ʔ ⁵⁵								
833-1	Ø ɯ ŋ ³⁵								
390-1	m o ŋ Ø								
696-1	ŋ ŋ Ø ³¹								
86-1	ʈ u ŋ ³¹								
384-1	m Ø n ⁵⁵								
61-1	Ø a n ³¹								
536-1	ŋ Ø a ʔ ⁵⁵								
731-1	Ø ŋ ³¹								
779-1	Ø a ³⁵								
589-1	Ø ŋ ³⁵								
658-1	Ø m ³¹								
456-1	m Ø Ø ŋ ³¹								
183-1	k Ø Ø Ø								
785-1	ɯ ⁵⁵								
714-1	ŋ Ø ŋ								
331-1	l̥ ɯ ⁵⁵								
930-1	ŋ o Ø ⁵⁵								
161-1	k Ø ŋ ³¹								
814-1	ŋ ɯ ⁵⁵								
179-1	Ø Ø o ʔ ³¹								
194-1	Ø ɯ ʔ ³¹								
727-1	Ø ɯ ŋ ³¹								
260-1	Ø a Ø ⁵⁵								
144-1	k ŋ a Ø ³¹								
53-1	p Ø m ³¹								
59-1	Ø ɯ ʔ ³¹								
506-1	Ø Ø p ⁵⁵								
29-1	p Ø ʔ ³¹								
316-1	Ø ɔ ʔ ⁵⁵								
389-1	m Ø ɯ ŋ ³¹								
118-1	m o ⁵⁵								
312-1	ŋ o ⁵⁵								
