COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	ŋ ɔ ⁵⁵								
495-1	n ɔ ⁵⁵								
838-1	j o k								
438-1	l ɔ ʔ								
334-1	l ɔ ʔ ³¹								
360-1	l ai ³⁵								
394-1	m j i								
221-1	j t p								
202-1	k au ³¹								
935-1	u ³¹								
93-1	s ɔ ŋ								
7-1	p a n								
664-1	v a ŋ								
246-1	k ɔ̱ ʔ ⁵⁵								
547-1	s i k ⁵⁵								
555-1	j n m								
464-1	m au ³¹								
119-1	m j ³¹								
835-1	n a p ⁵⁵								
79-1	t o ³¹								
693-1	ŋ au ⁵⁵								
477-1	n a ³¹								
891-1	tʰ i ŋ ⁵⁵								
528-1	ʐ o ⁵⁵								
797-1	j u ʔ ⁵⁵								
493-1	n i k ³¹								
217-1	j a p ⁵⁵								
896-1	ts u t ⁵⁵								
452-1	m j u ʔ								
580-1	s ɔ ʔ ⁵⁵								
833-1	n̥ a p								
390-1	m a ŋ								
696-1	ŋ ui ⁵⁵								
86-1	t u ŋ ⁵⁵								
384-1	m a n ⁵⁵								
61-1	t a n								
536-1	s a ʔ ⁵⁵								
731-1	ʃ ɿ ³¹								
779-1	o̱ ⁵⁵								
589-1	tʰ u ŋ								
658-1	w a m								
456-1	m j a ŋ								
183-1	k ɯ ³¹								
785-1	kʰ ɔ ⁵⁵								
714-1	u								
331-1	l ɔ ⁵⁵								
930-1	ŋ a p ⁵⁵								
161-1	k a ŋ ⁵⁵								
814-1	kʰ ui ³¹								
179-1	ʐ ɔ ʔ ⁴								
194-1	j ɔ ʔ ³¹								
727-1	ʃ a ŋ								
260-1	kʰ j a p ⁵⁵								
144-1	k a m ⁵⁵								
53-1	p u m ⁵⁵								
59-1	t ɔ ʔ ³¹								
506-1	pʰ e k ⁵⁵								
29-1	p i k								
316-1	tʰ ɔ ʔ ⁵⁵								
389-1	m j a ŋ								
118-1	m ɔ ⁵⁵								
312-1	kʰ o ⁵⁵								
490-1	n j ³⁵								
436-1	m j a ⁵⁵								
927-1	ŋ a̱ n								
383-1	m ɔ ʔ ⁵⁵								
211-1	j a m								
873-1	x ɤ ŋ ⁵⁵								
877-1	s a ³⁵								
344-1	l a m								
666-1	ŋ ɔ ³¹								
595-1	tʰ a ŋ								
660-1	w u t ³¹								
642-1	tʃʰ a ŋ								
257-1	kʰ j a m								
167-1	k j ɔ ³¹								
880-1	t a ʔ ⁵⁵								
484-1	n a ŋ								
574-1	s u m ⁵⁵								
718-1	ʃ a n ⁵⁵								
811-1	kʰ au ⁵⁵								
458-1	tʰ u ŋ ³¹								
884-1	tʃ i̱ ⁵⁵								
205-1	k u ʔ ⁴								
499-1	n a ⁵⁵								
706-1	s ɔ ⁵⁵								
920-1	u ŋ ⁵⁵								
36-1	p j a ŋ								
12-1	p i ⁵⁵								
350-1	l a ŋ ⁵⁵								
