COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d u															
1089-1	n a															
1319-1	n ɔ															
1398-1	s u g d															
1557-1	g i r e															
1626-1	w a w a															
1840-1	t i r̃ d															
2247-1	g o															
4677-1	k u r e															
5162-1	m i r̃ e															
5406-1	t a n d															
359-1	g a r u															
1577-1	g i r e															
2196-1	n a r a															
2230-1	s u g e															
2533-1	b a r a															
3605-1	k a ŋ d a															
3866-1	o s u															
4553-1	t a															
4822-1	k u m b e															
5254-1	d u r ɔ															
503-1	k i r̃ e															
1356-1	m a m															
1881-1	n u m															
3218-1	b i s u															
3372-1	n a m															
3718-1	a r a															
4135-1	b a n i															
4694-1	g u s u															
807-1	k ɔ m															
2320-1	k a ŋ															
2476-1	k ɔː															
3719-1	m															
4081-1	d a m b a															
4313-1	n ɛ m															
4460-1	s u j															
5810-1	m̩ i r d i															
93-1	d o															
260-1	b i r e															
385-1	z ɛ m b a															
890-1	a m b a															
1336-1	t e															
1703-1	b a															
1769-1	t e m b e															
2162-1	b ɛ r u															
2635-1	s o															
3031-1	d o															
4591-1	t a r u															
5301-1	p i r u															
5605-1	t i m b															
463-1	d u m b															
1432-1	t a r u															
1474-1	t ɔ															
1788-1	s u															
2044-1	d i m b e															
2713-1	t e m b a															
3219-1	b a															
3425-1	j															
4184-1	n a															
4629-1	n u m															
4759-1	n iː															
4904-1	n u m															
4960-1	g i															
4980-1	t ɔ															
5059-1	g o m u															
5339-1	m̩ a															
5549-1	t a w a															
5905-1	t i															
5922-1	b i r u															
5938-1	a															
1-1	m̩ i															
483-1	g o s u															
629-1	d o															
667-1	ɛ															
1254-1	z a m u															
1415-1	k															
1542-1	n															
1683-1	s u															
1898-1	m̩ u m e															
2901-1	t u m															
2957-1	m a															
3048-1	b i															
3251-1	s a															
3885-1	d o															
4402-1	j															
5622-1	m̩ e															
6006-1	m̩ i r̃ e															
135-1	t u n d															
158-1	m ɔ m															
194-1	b u															
221-1	ɛ															
650-1	b e															
1152-1	t i															
1374-1	k ɔ															
1452-1	g a															
1862-1	i															
2083-1	k a															
2108-1	n															
2636-1	m															
2924-1	m̩ o															
2941-1	b i															
3405-1	ɛ m m															
3751-1	m̩															
4066-1	g o															
4535-1	s u g															
4888-1	s a m															
5583-1	t a															
5751-1	t i j															
5981-1	a															
114-1	d o															
851-1	g ɔ															
1941-1	k i															
2179-1	t d															
2351-1	b a															
2496-1	n															
3482-1	m															
3497-1	n															
3588-1	k ɔ															
4202-1	g o r o															
4293-1	z															
4921-1	s a m															
408-1	j															
545-1	i															
978-1	t e m															
1052-1	n															
1070-1	k u g															
1942-1	j															
2456-1	k ɔ															
2514-1	d o m u															
2666-1	s u															
2817-1	a															
3132-1	d o m															
3300-1	ɛ															
3976-1	s															
4152-1	k i															
4361-1	t e															
4570-1	g o															
4648-1	j															
715-2		s u														
1089-2		n a														
1319-2		n iː														
1398-2		s u g u														
1557-2		g i r i														
1626-2		w a g a														
1840-2		t i n i														
2247-2		g o														
4677-2		g u r o														
5162-2		m i r i														
5406-2		t a n i														
359-2		g a r a														
1577-2		g i r i														
2196-2		n a r a														
2230-2		s u r														
2533-2		b a r a														
3605-2		k a n a														
3866-2		ɔ s u														
4553-2		t a g														
4822-2		k u m														
5254-2		dʒ u r ɔ														
503-2		k i r̃ i														
1356-2		m														
1881-2		n iː														
2084-2		j a														
2420-2		k u r														
3218-2		b u s u														
3372-2		n a m ɛ														
3718-2		a r a														
4135-2		b a														
4694-2		g u s u														
807-2		k ɔ̃ː r														
2320-2		k a ŋ														
2476-2		k ɔ̃ː														
2842-2		s i r u														
4081-2		dʒ a m														
4313-2		n iː														
4460-2		s u														
5514-2		n ɛ n														
5810-2		i i r i														
93-2		s ɔ														
260-2		b i r i														
385-2		dʒ ɛ m														
890-2		a m														
1336-2		t e														
1703-2		b a														
1769-2		t u m														
2162-2		b a r i														
2635-2		s ũ														
2735-2		dʒ a n a														
3031-2		dʒ u														
4591-2		t i r i														
5301-2		i i r i														
5605-2		t i														
296-2		dʒ a m														
463-2		dʒ u m														
762-2		b a														
1432-2		t a r i														
1474-2		t ɔ														
1788-2		s u														
2044-2		dʒ i m														
2713-2		t u														
3219-2		b a														
3425-2		j u														
4184-2		n a														
4629-2		n u														
4759-2		n iː														
4904-2		n u														
4960-2		g i														
4980-2		t ɔ														
5059-2		g u														
5125-2		ɔ														
5339-2		b a														
5549-2		t a w														
5771-2		dʒ u g														
5905-2		t i														
5938-2		a r u														
1-2		b a														
483-2		g o														
629-2		s oː														
667-2		ɛ j̃														
1254-2		dʒ a														
1415-2		k a														
1542-2		n iː														
1683-2		s ũ														
1898-2		k u														
2551-2		k a														
2901-2		t u														
2957-2		m														
3048-2		b i														
3251-2		s a														
3885-2		t u														
4402-2		j u														
5081-2		b i														
5622-2		i a														
6006-2		b a														
43-2		s a														
135-2		t u														
158-2		m														
194-2		b a														
221-2		ɛ s u														
650-2		b a														
1152-2		t i														
1374-2		k ɔ̃ː														
1452-2		g a r a														
1862-2		i r														
2108-2		n a														
2636-2		m														
2880-2		k u														
2924-2		k a														
2941-2		b i r i														
3405-2		ɛ j̃ ɛ														
3959-2		t o r														
4066-2		g o														
4535-2		s u														
4888-2		s a m														
5180-2		s u														
5751-2		t i														
5981-2		a r̃ ɛ														
114-2		k ɔ														
702-2		ɔ														
851-2		k ɔ̃ː														
872-2		ɛ j̃														
952-2		k u														
2179-2		k iː														
2351-2		b a														
2496-2		n iː														
4609-2		k ɔ̃ː														
4740-2		g u														
4921-2		s a														
5982-2		g u														
978-2		t a														
999-2		j a														
1052-2		n a														
1989-2		m														
2456-2		k ɔ̃ː														
2666-2		s u														
2817-2		k														
3132-2		k u														
3300-2		k j̃														
3977-2		m r														
3978-2		m r														
4260-2		ɔ														
4278-2		k u														
4334-2		s ũ														
4361-2		t a														
4570-2		g o														
4648-2		j a														
715-3			d u													
1089-3			n a													
1319-3			n i													
1398-3			s u n u													
1557-3			g i l e													
1626-3			w a g a													
1840-3			t i n g													
2247-3			g e													
4677-3			k u l e													
5162-3			m i n i													
5406-3			t aː n d e													
359-3			g a l e													
1577-3			g i l e													
2196-3			n a l a													
2533-3			b a r a													
3866-3			m i n ɛ													
4553-3			t a g e													
5254-3			d u l ɛ													
503-3			k i ŋ a													
1881-3			n u m i													
2084-3			j ɔ ŋ i													
2420-3			k u l ɛ													
3218-3			p u l ɛ													
3372-3			n a m a													
3718-3			ŋ a													
2320-3			k a n a													
2476-3			k ɛ													
3719-3			m i													
4460-3			s u m													
5514-3			n ɛ n d e													
890-3			s i													
1336-3			t e g e													
1703-3			b a													
2162-3			b u													
2635-3			s o													
2735-3			d a n a													
762-3			b a n a													
1788-3			s eː													
2713-3			t o m ɛ													
3219-3			p u l ɛ													
4629-3			n u n g													
4904-3			n u n g													
5125-3			m o													
5771-3			k ɔ g u													
5938-3			k i													
1898-3			p u l ɛ													
2901-3			t u													
2957-3			m a n d e													
3048-3			b i w a													
5081-3			b i n i													
6006-3			p u n u													
716-3			j ɔ													
1152-3			t i b ɛ													
1789-3			n u m ɛ													
2083-3			k a													
2108-3			n a													
2618-3			k ɛ													
2880-3			k u n dʒ													
2941-3			b i													
3405-3			s i													
3811-3			l ɛ													
5583-3			t a													
5751-3			t i													
2442-3			n u m ɛ													
2496-3			n u													
4921-3			s a													
196-3			k u l ɛ													
3639-3			t u n ɛ													
3905-3			n i													
3977-3			m ɔ n i													
3978-3			m ɔ													
4361-3			t e													
715-4				d u												
1089-4				n a												
1319-4				n i												
1398-4				s u m u												
1557-4				l i r u												
1626-4				w a												
1840-4				t i n												
2247-4				l u												
4677-4				k a r u												
5162-4				m i n e												
5406-4				t ɛ̃ː n a												
359-4				k ɛ r u												
1577-4				l i r u												
2196-4				n a r a												
2230-4				s i												
2533-4				b a r u												
3605-4				k a n a												
3866-4				d												
4553-4				t a r u												
4822-4				k a m												
5254-4				d u r u												
503-4				k i n e												
1356-4				m aː												
1881-4				n i m												
2084-4				j aː												
2420-4				k a r u												
3218-4				b i												
3718-4				a r u												
4135-4				b a												
4694-4				l u												
807-4				k a												
2320-4				k a												
2842-4				d i												
4313-4				n ɛ m												
4460-4				s ɔ												
5514-4				n ɛ m												
5810-4				b i r u												
93-4				d ɔ												
260-4				b ɛ r u												
385-4				dʒ ɛ m												
890-4				a a												
1769-4				t ɛ m												
2162-4				b ɛ r u												
2635-4				s ɔ												
2735-4				d a												
3031-4				d ɛ												
5301-4				b i r u												
5605-4				t i m												
63-4				k a r u												
296-4				dʒ ɛ m												
463-4				d u m												
762-4				b a												
1432-4				t a r u												
1474-4				t ɔ												
2044-4				d i												
3219-4				b i												
4120-4				k a												
4184-4				t ɛ												
4423-4				d ɔ												
4629-4				n u												
4759-4				n i												
4904-4				n u												
4960-4				dʒ i n												
4980-4				t ɛ̃ː												
5059-4				l u												
5125-4				ɔ												
5549-4				t a												
5771-4				dʒ u												
5922-4				b i r u												
1-4				b i												
629-4				d ɔ												
667-4				ɛ w												
1254-4				dʒ ɛ												
1415-4				t ɛ												
1542-4				n i												
1683-4				s i												
1898-4				b i												
2551-4				r e												
3251-4				b a												
3885-4				d ɛ												
5622-4				b i r												
6006-4				b i												
43-4				s aː												
135-4				t u												
158-4				m aː												
221-4				ɛ												
650-4				b ɛ												
1374-4				k a												
1452-4				l u r u												
1789-4				n u m												
1862-4				b												
2108-4				n a												
2636-4				m												
3113-4				t ɛ												
3136-4				j a r u												
3751-4				b i												
4888-4				s a												
5180-4				s ɛ m												
5583-4				t ɛ												
5981-4				a												
25-4				a												
114-4				d ɔ												
702-4				ɔ												
851-4				k u												
872-4				ɛ												
952-4				k a												
1941-4				k i												
2442-4				n i												
3448-4				b ɔ												
3482-4				m aː												
3497-4				n a												
3588-4				k a r ɔ												
4101-4				a												
4293-4				dʒ ɔ												
4520-4				b i												
4609-4				k a r u												
4740-4				l u												
4781-4				s a												
5982-4				k a												
196-4				k a												
545-4				b												
931-4				b ɛ												
978-4				t ɛ												
999-4				j ɛ												
1052-4				n a												
1070-4				l aː												
1298-4				l u												
1989-4				m ɛ												
