COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	d i															
1089-1	t a															
1319-1	t															
1398-1	s u m d															
1557-1	j i r u															
1626-1	t a															
1840-1	t i															
2247-1	j oː															
4677-1	k u															
5162-1	m															
5406-1	t u n d															
359-1	k a															
1577-1	j i r u															
2196-1	t a															
2230-1	s u															
2533-1	b a r u															
3605-1	k a															
3866-1	ɔ r u															
4553-1	t a															
4822-1	k u m															
5254-1	d u															
503-1	k i															
1356-1	m															
1881-1	t															
3218-1	p iː															
3372-1	t a m															
3718-1	a r u															
4135-1	b a															
4694-1	k u															
807-1	k ɔ m															
2320-1	k a															
2476-1	k ɛ															
3719-1	m															
4081-1	d a m															
4313-1	t															
4460-1	s u															
5810-1	p i															
93-1	d o															
260-1	b i															
385-1	d ɛ m															
890-1	a m															
1336-1	t u															
1703-1	b a															
1769-1	t o m															
2162-1	b ɛ															
2635-1	s u															
3031-1	d ɛ															
4591-1	t a															
5301-1	p iː															
5605-1	t i m															
463-1	d u m															
1432-1	t a															
1474-1	t ɔ															
1788-1	s u															
2044-1	d i m															
2713-1	t o m															
3219-1	p iː															
3425-1	j															
4184-1	k a															
4629-1	k															
4759-1	t															
4904-1	k															
4960-1	k i															
4980-1	t o															
5059-1	k															
5339-1	p iː															
5549-1	t a															
5905-1	t i															
5922-1	b i															
5938-1	a															
1-1	p iː															
483-1	k															
629-1	d o															
667-1	ɛ															
1254-1	k a m															
1415-1	m															
1542-1	k															
1683-1	s u															
1898-1	p i															
2901-1	t u															
2957-1	m															
3048-1	b i															
3251-1	s a															
3885-1	d ɛ															
4402-1	j															
5622-1	p iː															
6006-1	p i															
135-1	t u															
158-1	m ɔ m															
194-1	b ɛ															
221-1	ɛ															
650-1	b ɛ															
1152-1	t i															
1374-1	k ɔ															
1452-1	k															
1862-1	k															
2083-1	k a															
2108-1	k															
2636-1	m															
2924-1	p iː															
2941-1	b i															
3405-1	ɛ															
3751-1	p iː															
4066-1	k ɔ															
4535-1	s u															
4888-1	s a m															
5583-1	t a															
5751-1	t i															
5981-1	a															
114-1	d ɔ															
851-1	k ɔ															
1941-1	k i															
2179-1	k d															
2351-1	k iː															
2496-1	k															
3482-1	m															
3497-1	k															
3588-1	k ɔ															
4202-1	k															
4293-1	k															
4921-1	s a															
408-1	j															
545-1	k															
978-1	t o															
1052-1	k															
1070-1	k															
1942-1	j															
2456-1	k ɔ															
2514-1	d u															
2666-1	s u															
2817-1	a															
3132-1	d u															
3300-1	k															
3976-1	s															
4152-1	k i															
4361-1	t															
4570-1	k															
4648-1	j															
5318-1	d ɔ															
5673-1	d ɛ															
5887-1	j															
446-1	k															
521-1	k															
1108-1	k															
1124-1	k															
1745-1	k															
1823-1	k															
2143-1	k a															
2265-1	u															
2392-1	k															
2579-1	d o															
2774-1	k a															
3339-1	k a															
3550-1	k															
4024-1	k															
4219-1	k o															
4240-1	k															
4259-1	k															
4738-1	k															
5197-1	k															
5447-1	k															
5531-1	k															
5733-1	k															
5828-1	j															
562-1	k u															
998-1	k															
1022-1	k i															
1023-1	j															
1205-1	j															
1275-1	t															
1578-1	k															
2063-1	k															
2334-1	k															
2798-1	k															
3252-1	k															
3463-1	k															
3683-1	k															
3772-1	t															
3790-1	k															
4052-1	k a															
4220-1	k															
4440-1	t															
4479-1	k															
4711-1	j															
4778-1	k u															
4821-1	k u															
4941-1	ɔ															
5272-1	t															
5423-1	k															
5424-1	k ɔ															
563-1	k u															
613-1	m															
684-1	k															
742-1	k															
1204-1	k															
1373-1	k															
1787-1	k															
1988-1	k															
2283-1	k ɛ															
2372-1	k o															
2441-1	k															
2598-1	k															
2773-1	k a															
3011-1	k a															
3176-1	k															
3283-1	k															
3318-1	k															
715-2		d u														
1089-2		n a														
1319-2		n i														
1398-2		s u														
1557-2		g i														
1626-2		b a														
1840-2		t i														
2247-2		g u														
4677-2		k u														
5162-2		m														
5406-2		t m w														
359-2		g a r a														
1577-2		g i														
2196-2		n a														
2230-2		s u														
2533-2		b a r a														
3605-2		k a														
3866-2		o														
4553-2		t a														
4822-2		k u m														
5254-2		d u														
503-2		k i														
1356-2		m														
1881-2		n u m														
2084-2		j i														
2420-2		k u														
3218-2		b u														
3372-2		n a m														
3718-2		a r														
4135-2		b a														
4694-2		g u														
807-2		k u m														
2320-2		k a														
2476-2		k u														
2842-2		d i														
4081-2		d a m														
4313-2		m ɛ														
4460-2		s u														
5514-2		tʃ ɛ														
5810-2		j i														
93-2		d u														
260-2		b i														
385-2		tʃ ɛ														
890-2		a m														
1336-2		t														
1703-2		b aː														
1769-2		t m														
2162-2		b aː														
2635-2		s u														
2735-2		d a														
3031-2		d i														
4591-2		t i														
5301-2		tʃ														
5605-2		t i														
296-2		tʃ a m														
463-2		d u m														
762-2		b a														
1432-2		t a														
1474-2		t ɔ														
1788-2		s u														
2044-2		d i														
2713-2		t														
3219-2		b a														
3425-2		j														
4184-2		m														
4629-2		tʃ u														
4759-2		k i														
4904-2		k u														
4960-2		g i														
4980-2		t o														
5059-2		g u														
5125-2		ɔ														
5339-2		j a														
5549-2		t a														
5771-2		j u														
5905-2		t i														
5938-2		a														
1-2		m														
483-2		g u														
629-2		tʃ i														
667-2		tʃ														
1254-2		tʃ a														
1415-2		m														
1542-2		tʃ														
1683-2		s u														
1898-2		tʃ u														
2551-2		tʃ														
2901-2		t u														
2957-2		m														
3048-2		b i														
3251-2		s a														
3885-2		t i														
4402-2		j														
5081-2		b i														
5622-2		tʃ														
6006-2		tʃ ɔ														
43-2		s u														
135-2		t u														
158-2		m														
194-2		b aː														
221-2		tʃ														
650-2		b o														
1152-2		t i														
1374-2		k ɔ														
1452-2		g														
1862-2		tʃ														
2108-2		k														
2636-2		m														
2880-2		k u														
2924-2		tʃ ɔ														
2941-2		b i														
3405-2		m														
3959-2		t o														
4066-2		g														
4535-2		s u														
4888-2		s a														
5180-2		s u														
5751-2		t i														
5981-2		a														
114-2		tʃ ɔ														
702-2		ɔ														
851-2		g														
872-2		tʃ														
952-2		k u														
2179-2		k														
2351-2		b a														
2496-2		k														
4609-2		k ɔ														
4740-2		g u														
4921-2		s a														
5982-2		k u														
978-2		t														
999-2		j														
1052-2		k														
1989-2		m														
2456-2		k														
2666-2		s u														
2817-2		a														
3132-2		tʃ u														
3300-2		tʃ														
3977-2		m														
3978-2		m														
4260-2		ɔ														
4278-2		k u														
4334-2		s u														
4361-2		t														
4570-2		g														
4648-2		j														
5673-2		tʃ u														
5887-2		j														
446-2		g														
1108-2		j														
1124-2		k														
1237-2		k														
1745-2		tʃ a														
1823-2		g														
2143-2		b														
2265-2		u														
2392-2		k														
2579-2		tʃ														
2902-2		j														
3197-2		k														
3339-2		k														
3550-2		k														
3943-2		k														
4240-2		k														
5197-2		tʃ														
5531-2		tʃ														
5733-2		k														
409-2		j														
562-2		s u														
1022-2		k														
1205-2		j														
1275-2		t														
1524-2		k														
1578-2		k														
2063-2		k														
2798-2		k														
3088-2		tʃ														
3683-2		k														
3772-2		t														
4711-2		j														
4778-2		s u														
4821-2		k														
4941-2		ɔ														
5272-2		t														
5319-2		t														
5375-2		m														
5423-2		ɔ														
5424-2		k														
5465-2		m														
5497-2		tʃ														
178-2		k														
563-2		s u														
684-2		k														
742-2		k														
787-2		k														
1126-2		k														
1204-2		k														
1373-2		k														
1787-2		k														
1969-2		j														
2283-2		k														
2441-2		k														
2598-2		j														
2773-2		k														
2863-2		k														
3011-2		k														
3176-2		k														
3319-2		k														
715-3			d u													
1089-3			n a													
1319-3			n i													
1398-3			s u g e													
1557-3			g i													
1626-3			w a g a													
1840-3			t i n g													
2247-3			g e													
4677-3			k u l ɛ													
5162-3			m i n ɛ													
5406-3			t eː n d e													
359-3			g a l a													
1577-3			g i													
2196-3			n a l a													
2533-3			b a m a													
3866-3			t u g i													
4553-3			t a g e													
5254-3			d u l ɛ													
503-3			k i													
1881-3			n i m b													
2084-3			j a													
2420-3			k u l ɛ													
3218-3			p i n u													
3372-3			n a m a													
3718-3			g a m													
2320-3			k a m dʒ													
2476-3			k ɛ													
3719-3			m i													
4460-3			s e l													
5514-3			n ɛ n d e													
890-3			g a m b													
1336-3			t eː													
1703-3			b a													
2162-3			b ɛ													
2635-3			s e													
2735-3			d a n a													
762-3			b a n a													
1788-3			s e													
2713-3			t eː m b													
3219-3			p aː													
4629-3			n u													
4904-3			n u													
5125-3			k a													
5771-3			t u g e													
5938-3			g a m													
1898-3			p aː													
2901-3			t u													
2957-3			m a n d e													
3048-3			b i													
5081-3			b i n i													
6006-3			p i m													
716-3			j a													
1152-3			t i w													
1789-3			n u m b													
2083-3			k a m i													
2108-3			n a													
2618-3			k ɛ													
2880-3			k u n dʒ													
2941-3			b i													
3405-3			k a													
3811-3			k ɛ													
5583-3			t a													
5751-3			t i													
2442-3			n u m b													
2496-3			n ɔ													
4921-3			s a m b a													
196-3			k ɛ													
3639-3			t eː n													
3905-3			k i													
3977-3			k a n i													
3978-3			k a													
4361-3			t eː													
5532-3			k a													
1237-3			k a													
1579-3			k a m													
2143-3			b a													
2774-3			k a													
3198-3			s e													
3534-3			k eː													
3550-3			k a													
3684-3			k i													
3943-3			p aː													
4259-3			g e													
4611-3			k ɛ m b													
4983-3			s aː													
5656-3			k a n i													
5830-3			j a													
1026-3			k ɛ													
1170-3			g a													
1187-3			k a													
1275-3			t eː													
1454-3			s e													
1668-3			k a													
1841-3			g e													
1970-3			k aː													
2977-3			k ɛ m a													
3301-3			k a													
3498-3			k i													
4442-3			t eː													
4479-3			k ɛ													
5038-3			k e													
5391-3			k ɛ													
5888-3			j a													
6007-3			p aː													
178-3			k ɛ													
684-3			k a													
1257-3			k ɛ													
1433-3			k aː													
1501-3			k i													
1684-3			s aː													
1864-3			k ɛ													
1988-3			k aː													
2046-3			k e													
2127-3			k ɔ													
2599-3			k a													
2756-3			k a													
2775-3			k a													
3254-3			k ɛ													
715-4				d u												
1089-4				n a												
1319-4				n i												
1398-4				s u w̃ u												
1557-4				g i r u												
1626-4				w a ɣ a												
1840-4				t i												
2247-4				g ɔ												
4677-4				k i r u												
5162-4				m i r̃ e												
5406-4				t o n a												
359-4				g a r u												
1577-4				g i r u												
2196-4				n a r̃ a												
2230-4				s i w u												
2533-4				b aː r a												
3605-4				k a n a												
3866-4				o s u												
4553-4				t a ɣ u												
4822-4				k i m a												
5254-4				d u d u												
503-4				k i r̃ e												
1356-4				m a												
1881-4				n u												
2084-4				j aː r												
2420-4				k i												
3218-4				b u												
3718-4				a r u												
4135-4				b aː n a												
4694-4				g u												
807-4				k o m												
2320-4				k a												
2842-4				d i												
4313-4				n ɛ m												
4460-4				s i												
5514-4				n ɛ n												
5810-4				j i r u												
93-4				d ɔ												
260-4				b ɛ r u												
385-4				dʒ ɛ m a												
890-4				a m												
1769-4				t ɛ m a												
2162-4				b ɛ r u												
2635-4				s i												
2735-4				d a n a												
3031-4				d ɛ ŋ u												
5301-4				s a r u												
5605-4				t i												
63-4				k a r u												
296-4				dʒ a m a												
463-4				d u												
762-4				b aː n a												
1432-4				t a r u												
1474-4				t ɔ												
2044-4				d i												
3219-4				b a												
4120-4				k o												
4184-4				ɲ ɛ												
4423-4				d ɔ r ɔ												
4629-4				n u												
4759-4				n i												
4904-4				n u												
4960-4				dʒ i												
4980-4				t o												
5059-4				g u												
5125-4				ɔ n o												
5549-4				t a												
5771-4				dʒ u												
5922-4				b i r u												
1-4				s a												
629-4				d eː												
667-4				ɛ w												
1254-4				dʒ ɛ												
1415-4				ɲ ɛ												
1542-4				n i												
1683-4				s i												
1898-4				j u												
2551-4				j e												
3251-4				s a												
3885-4				d ɛ												
5622-4				j a												
6006-4				j a												
43-4				s aː												
135-4				t u												
158-4				m ɔ												
221-4				ɛ												
650-4				b ɛ												
1374-4				k ɔ												
1452-4				g i r u												
1789-4				n u												
1862-4				i												
2108-4				n a												
2636-4				m												
3113-4				t ɛ												
3136-4				j aː r u												
3751-4				b a												
4888-4				s a												
5180-4				s i m												
5583-4				t a												
5981-4				a												
25-4				a												
114-4				d ɔ												
702-4				ɔ												
851-4				k i												
872-4				ɲ n ɛ												
952-4				k i												
1941-4				k i												
2442-4				n u												
3448-4				b aː												
3482-4				m i												
3497-4				n a												
3588-4				k ɔ r ɔ												
4101-4				a												
4293-4				dʒ ɔ												
4520-4				s a												
4609-4				k ɔ r ɔ												
4740-4				g u												
4781-4				s i												
5982-4				k i												
196-4				k i												
545-4				i												
931-4				b ɛ												
978-4				t o												
999-4				j e												
1052-4				n a												
1070-4				l aː												
1298-4				g u												
1989-4				m												
2145-4				dʒ ɛ												
2306-4				a												
2456-4				k ɔ												
2514-4				d u												
3132-4				d u												
3300-4				ɛ w												
3774-4				t i												
3976-4				s i												
4039-4				d ɔ												
4278-4				k i												
4361-4				t ɛ												
4570-4				g i												
5318-4				d ɔ												
5673-4				d eː												
5752-4				t i												
521-4				k aː												
685-4				s aː												
744-4				l aː												
1646-4				ɔ												
1745-4				dʒ ɛ												
2066-4				n a												
2216-4				j aː												
2265-4				s												
2579-4				d aː												
2958-4				m												
3197-4				k aː												
3339-4				k aː												
3812-4				s a												
4219-4				t ɛ												
4337-4				s i												
5197-4				e												
5531-4				i												
5733-4				n iː												
409-4				g ɔ												
1002-4				l i												
1022-4				b i												
1238-4				i												
1612-4				n												
2334-4				s												
2396-4				n ɛ												
2553-4				b aː												
2671-4				n ɛ												
2798-4				s												
2978-4				k i												
3407-4				s												
3551-4				b aː												
3683-4				tʃ i												
4220-4				k aː												
4383-4				k aː												
4440-4				t i												
4651-4				d eː												
4711-4				j aː												
4821-4				k i												
5272-4				t ɛ												
5375-4				m												
5465-4				m												
5481-4				j ɔ												
5497-4				s												
5641-4				l aː												
5692-4				a												
347-4				tʃ i												
448-4				n ɛ												
567-4				n												
613-4				m												
787-4				n i												
1126-4				n iː												
1208-4				g i												
1502-4				d eː												
1669-4				d eː												
1971-4				s a												
2283-4				b ɛ												
2354-4				t i												
2619-4				tʃ i												
2714-4				s i												
3011-4				b aː												
3159-4				j e												
3199-4				k aː												
3319-4				b aː												
3358-4				ɲ ɛ												
715-5					d u											
1089-5					n a g											
1319-5					n i											
1398-5					s u g u											
1557-5					g i ŋ e											
1626-5					w a g a											
1840-5					t i											
2247-5					g e											
4677-5					k u l e											
5162-5					n i											
5406-5					t aː n d u											
359-5					g a l a											
1577-5					g i ŋ e											
2196-5					n a											
2230-5					s i g ɛ											
3605-5					k a n a a											
3866-5					d ɛː u											
4553-5					t a											
4822-5					k u n o											
5254-5					d u l e											
1356-5					a a											
1881-5					n u l o											
2084-5					j aː g u											
2420-5					k u l e											
3218-5					p e											
3372-5					n a											
3718-5					a											
4135-5					b a n i											
4694-5					g u											
2476-5					k u											
2842-5					d i g u											
3719-5					n o											
4081-5					d a											
5514-5					n i											
260-5					b e											
385-5					g e											
890-5					a n b											
1703-5					b a g											
1769-5					t u											
2735-5					d a n a											
4591-5					t a g a											
5301-5					p e											
63-5					k a											
296-5					k a											
463-5					d u											
762-5					b a n a											
1788-5					s a											
3219-5					p e											
4120-5					k a l e											
4759-5					n i											
4960-5					g i n i											
5059-5					g u l											
5549-5					t a											
5771-5					j u g u											
5905-5					t i											
5938-5					a											
1415-5					g o											
1542-5					n ɛː											
1898-5					p u											
2551-5					g a											
2957-5					n a n d											
3048-5					b i											
4402-5					j ɛː											
5081-5					b i n i i											
6006-5					p i											
135-5					t u n d u											
194-5					b ɛ											
716-5					j ɛː											
2083-5					k a											
2618-5					k a											
2880-5					k u n d											
3113-5					t e											
3136-5					j a											
3405-5					s i b											
3572-5					b ɛ											
4535-5					s u											
5751-5					t i j											
851-5					g e											
2179-5					n i l											
2351-5					b a											
2496-5					n i											
3448-5					b ɛ l a											
4781-5					s a g a a											
4921-5					s a											
196-5					k a											
789-5					g a g a											
931-5					b ɛ											
1298-5					g a											
2145-5					k a											
3639-5					t u											
3977-5					k o											
3978-5					k a											
4260-5					k n b ɛ											
5200-5					s i e											
5532-5					s n i											
5866-5					k a											
432-5					k a											
446-5					g e											
521-5					k a											
1124-5					g											
1237-5					k n d a											
1579-5					k ɛː ŋ ɛ											
1748-5					j											
2774-5					k a											
3198-5					s iː											
3339-5					k a											
3534-5					k i											
3550-5					k n i											
3684-5					k a											
3944-5					k a											
4611-5					k a											
4738-5					g a											
4983-5					s o											
5447-5					g i											
5656-5					k a											
5830-5					j ɛː											
1074-5					n i											
1170-5					g a											
1187-5					j ɛː a											
1454-5					s iː											
1841-5					g e											
1970-5					p e											
2977-5					k a											
3252-5					k i b ɛ											
3301-5					j											
3463-5					j a											
3498-5					n i											
4363-5					d a											
5038-5					k a											
5228-5					b ɛ											
5229-5					k											
5391-5					d a											
5481-5					j n a											
5793-5					s i b ɛ											
5888-5					j a											
6007-5					p e											
178-5					k a											
568-5					n i											
569-5					n i											
1257-5					k a											
1433-5					p e											
1501-5					n i											
1684-5					s i											
1787-5					n i											
1864-5					k a											
1923-5					g a											
1988-5					k e											
2046-5					g a											
2067-5					k											
2109-5					k a											
2127-5					n i											
2372-5					b ɛ											
2599-5					k											
2756-5					j a											
2775-5					b a											
3254-5					d i											
3319-5					b ɛ											
3358-5					k a g											
715-6						d u										
1089-6						n a										
1319-6						n e										
1398-6						s u g dʒ										
1557-6						g i j										
1626-6						i a g a										
1840-6						t i ŋ g										
2247-6						g e										
4677-6						k u l ɛ										
5162-6						m i n dʒ										
5406-6						t e n d i										
359-6						g a l a										
1577-6						g i j										
2196-6						n a l a										
2230-6						s u g u										
2533-6						b a l i										
3605-6						k a n d a										
4553-6						t a g a										
4822-6						k u m b ɛ										
5254-6						d u l ɛ										
503-6						k u n dʒ										
1356-6						m a g										
1881-6						n u m b										
2084-6						j a g ɛ										
2420-6						k u l ɛ										
3218-6						p u b u										
3372-6						n a m b										
3718-6						a a a										
4135-6						b a n dʒ										
4694-6						g u b u										
807-6						k o m b ɛ										
2320-6						k a ŋ g										
2842-6						d i g i										
3719-6						m u										
4081-6						d a m b i										
4313-6						n e										
4460-6						s ɛ										
5514-6						n e n d ɛ										
5810-6						p i l i										
93-6						d e										
890-6						a m b i										
1336-6						t e g e										
1703-6						b e										
4591-6						t e										
5605-6						t e m b										
63-6						k a g										
296-6						dʒ a m b i										
463-6						d u m b ɛ										
762-6						b a n a										
3425-6						j a										
4120-6						k o ŋ ɛ										
4423-6						d e n ɛ										
4759-6						n e										
4904-6						n g ŋ										
4960-6						g i n d										
5125-6						o n dʒ a										
5339-6						p i g a										
5771-6						dʒ u g u										
5922-6						b i										
5938-6						a a b n dʒ										
483-6						g o ŋ u										
1542-6						n g										
1683-6						s aː										
2551-6						s e										
2957-6						m a n d i										
3048-6						b e										
4402-6						j a										
5081-6						p i n d i										
5622-6						p i										
650-6						b e ŋ a										
716-6						j a										
1152-6						t e b ɛ										
1789-6						n u m b										
1862-6						i n u										
2618-6						k e										
2880-6						k u n dʒ										
2924-6						p i ŋ ɛ										
3136-6						j a g										
3405-6						ɛ u b										
3811-6						l ɛ										
4535-6						s u g e										
4888-6						s a m i										
5751-6						t e j ɛ										
2179-6						s e e										
2442-6						n e m b										
3482-6						m i b										
4202-6						g o										
4781-6						s a ŋ a										
4921-6						s a m b ɛ										
5982-6						g u ŋ dʒ										
408-6						j a m b ɛ										
526-6						d a o										
789-6						g e										
1298-6						g u m										
1942-6						j a										
2666-6						s aː g e										
3015-6						n a n d										
3905-6						s e										
3977-6						s u ŋ dʒ										
3978-6						s u ŋ dʒ										
4152-6						k e										
4334-6						s aː g dʒ										
4648-6						j a										
5200-6						ɛ a ɛ										
5318-6						d e n ɛ										
5532-6						i n o										
5673-6						d e m b ɛ										
5866-6						k e ŋ										
66-6						k e ŋ										
432-6						k e ŋ dʒ										
446-6						s e ŋ dʒ o										
1579-6						s e e										
1748-6						j e										
1823-6						g e										
2902-6						j a										
3684-6						k e										
3812-6						p e										
3943-6						p e										
4259-6						g e										
4611-6						k e m										
4738-6						g u n d ɛ										
4983-6						s aː n dʒ ɛ										
5447-6						g e										
5656-6						s u ŋ dʒ										
5830-6						j a										
5868-6						k e ŋ										
348-6						k e										
998-6						s e										
1023-6						j a										
1074-6						s e										
1172-6						s e l ɛ										
1205-6						j a										
1668-6						s e										
1841-6						s e										
2063-6						i e										
2671-6						s e										
2977-6						k e ŋ b ɛ										
3256-6						s u ŋ										
3287-6						s n dʒ										
3301-6						s u e										
3498-6						s e										
4363-6						d e m										
4442-6						t e										
4941-6						s n ŋ										
5228-6						s e n d ɛ										
5229-6						s e ŋ d										
5391-6						s e										
5793-6						s e ŋ b ɛ										
5888-6						j a										
1373-6						s g o										
1727-6						s e										
1899-6						p i b dʒ										
1923-6						s e										
1971-6						p e b ɛ										
2046-6						s e										
2109-6						s e										
2127-6						s e										
2268-6						s e ɛ										
2714-6						s e										
2863-6						s e										
2999-6						s e										
3318-6						s e										
715-7							d u									
1089-7							n ɔː									
1319-7							n ɔː									
1398-7							k u g i									
1557-7							g o r i									
1626-7							k a									
1840-7							t i ŋ i									
2247-7							g o									
4677-7							k u r o									
5162-7							m ɛ n i									
5406-7							t aː n d i									
359-7							g ɛ r i									
1577-7							g o r i									
2196-7							n a									
2230-7							k u									
2533-7							b a r a									
3605-7							k a n d ɛ									
3866-7							o r i									
4553-7							t a									
4822-7							k u m b									
5254-7							d u r i									
503-7							k i									
1356-7							m a r									
1881-7							n u									
3372-7							n a m a									
3718-7							a r i									
4135-7							b a n i									
4694-7							g o r i									
807-7							k ɔ m ɔ									
2320-7							k a									
2476-7							k ɔː									
2842-7							d i									
3719-7							m ɔː									
4081-7							d ɛ m b									
4313-7							n ɛ m a									
4460-7							k ɔ w a									
5514-7							n ɛ n d ɛ									
5810-7							p iː									
93-7							d ɔ									
260-7							b ɛː r d i									
385-7							dʒ ɛ m b									
890-7							a m b ɔ									
1336-7							t u									
1703-7							b aː									
1769-7							t ɛ m b									
2162-7							b ɛː r i									
2635-7							k ɔ									
2735-7							d									
3031-7							d ɛ									
4591-7							t ɔː r i									
5301-7							p ɛ r i									
5605-7							t i m a									
296-7							dʒ ɛ m b									
463-7							d u m b									
1432-7							t a r i									
1474-7							t ɔ									
1788-7							k e									
2044-7							d o									
2713-7							t u m b									
3425-7							j ɔ									
4184-7							ŋ ɔː									
4423-7							d ɔ g i									
4629-7							n u w ɔ									
4759-7							n ɔː									
4904-7							n u w									
4960-7							g o									
5059-7							g o w o									
5125-7							ɔ n d ɔ									
5339-7							p iː									
5549-7							t ɔ									
5771-7							dʒ u g o									
5905-7							t i									
5922-7							b i r i									
1-7							p iː									
483-7							g o									
667-7							ɛ									
1542-7							n ɔː g									
1683-7							k i									
1898-7							p u g i									
2551-7							r̃ i									
2901-7							t u w									
2957-7							m a n d i									
3048-7							b i									
3251-7							b a									
3885-7							d ɛ									
4402-7							j ɛ									
5081-7							b i									
5622-7							p iː									
6006-7							p iː									
43-7							k ɔ									
135-7							t u n d i									
158-7							m ɔ									
194-7							b ɛː									
221-7							ɛ									
650-7							b ɔ									
1152-7							t i w a									
1374-7							k ɔ									
1452-7							g o r a									
1862-7							i									
2083-7							k a									
2108-7							n a									
2880-7							k u n d									
2924-7							p iː									
2941-7							b i									
3113-7							t u									
3136-7							j a r a									
3405-7							ɛ									
3572-7							b ɛː r i									
3751-7							p iː									
3959-7							t u r i									
4066-7							g o									
4535-7							k u g ɔ									
5180-7							k ɛ									
5583-7							t ɔ									
5981-7							a									
25-7							a o									
114-7							d ɔ w a									
702-7							ɔ g i									
872-7							ɛ									
1941-7							k i									
2179-7							n d i									
2351-7							b iː									
2496-7							n u g									
3588-7							k ɔ									
4202-7							g o									
4609-7							k ɔ									
4921-7							k ɔ									
408-7							j ɔ									
526-7							d ɛ									
545-7							i r i									
978-7							t u									
999-7							j ɛ s									
1052-7							n ɔː m b									
1070-7							l ɔ g o									
1942-7							j ɔ									
2456-7							k ɔ									
2514-7							d u g i									
2666-7							k u									
2817-7							a									
3300-7							ɛ									
3977-7							m									
3978-7							m									
4039-7							d ɔ									
4152-7							k i									
4260-7							ɔ									
4278-7							k u g d									
4648-7							j ɔ									
5752-7							t u									
5866-7							k ɔ									
5887-7							j a									
446-7							g o									
1108-7							j ɔ									
1646-7							ɔ g i									
1748-7							j ɔ									
1823-7							g o									
2143-7							b ɔ									
2392-7							l ɔ									
2579-7							d u									
2902-7							j ɔ									
3197-7							k ɔː									
3339-7							k ɔ									
3944-7							k ɔ									
4240-7							k o s									
4337-7							k ɔ									
4738-7							g o n d									
4983-7							k u									
5197-7							t									
5447-7							g o									
5656-7							m									
5733-7							n ɔː									
5828-7							j a									
5868-7							k ɔ									
245-7							t ɔ									
562-7							k ɔ g ɔ									
1170-7							g o									
1205-7							j ɔ									
1524-7							k ɔ									
2063-7							i									
2334-7							ɛ									
2671-7							t									
3088-7							t									
3252-7							t ɔː									
3463-7							g									
3772-7							t u g a									
3790-7							g o									
4052-7							b ɔ									
4383-7							k ɔ									
4479-7							k ɔː									
4711-7							j a									
4778-7							k u									
4941-7							ɔ									
5038-7							g ɔ									
5228-7							b ɔ									
5319-7							t u									
5424-7							k ɔ									
5793-7							t u									
563-7							k ɔ g ɔ									
684-7							t									
742-7							t u									
1126-7							t ɔː									
1204-7							k ɔ									
1669-7							d u									
2283-7							b ɔ									
2372-7							b ɔ									
2441-7							t ɔː									
2773-7							b ɔ									
2863-7							dʒ u									
2999-7							d u									
3176-7							t ɔ									
3199-7							k ɔ									
3283-7							t									
3318-7							n ɔː									
3358-7							r̃									
715-8								d u								
