COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ³						
4-1	l a ⁵						
18-1	m j eː n						
19-1	n i ³¹						
44-1	l o ʔ ³						
50-1	ʃ ə ŋ ⁵²						
62-1	s ə k ⁵						
70-1	b a n ⁴						
75-1	m j ɔ ʔ ³¹						
97-1	tʃʰ a ŋ						
112-1	tsʰ o ³¹						
122-1	m j o ʔ ³²						
127-1	kʰ w i ³¹						
132-1	w a ʔ ³¹						
133-1	n ũ ³						
135-1	n au ⁴						
142-1	d z i ³¹						
143-1	ŋ ɔ̰ ʔ ⁵²						
149-1	ʔ u ʔ						
152-1	ŋ ə ³						
157-1	p a ³¹						
183-1	ʔ u ⁵						
184-1	n o ʔ ⁵¹						
185-1	tsʰ a m ⁵³						
189-1	m j ɔ ʔ ³²						
192-1	n ũ ³						
195-1	n ai ³						
200-1	k i n ⁵³						
216-1	s ə ŋ ⁵						
218-1	l ɔ̰ ʔ ³²						
225-1	s ə ŋ ³¹						
235-1	kʰ j e ⁵³						
244-1	s w i						
253-1	m i ³						
270-1	m i ⁴						
278-1	m j ə ŋ ³¹						
279-1	w a ⁴						
285-1	j ɛ̰ m ⁴						
308-1	b j e						
322-1	m i ³¹						
325-1	kʰ au ³¹						
337-1	m j a ŋ ³¹						
341-1	d z ɔ ³						
347-1	ʃ o ʔ ³¹						
362-1	j i ³¹						
391-1	j ø p ⁵						
394-1	m ɔ ʔ ²¹						
397-1	tʃʰ i ⁵						
443-1	n j ø p ⁵³						
460-1	s a ʔ ⁴²						
463-1	w ɨ ³¹						
464-1	ʔ õ ŋ ⁵⁴						
473-1	s a m ³						
476-1	kʰ j o k ⁵³						
481-1	tsʰ e ³						
494-1	k i ³						
496-1	x ə ŋ ⁴³						
516-1	w e ²						
1-2		m au ³					
4-2		l a ⁴³					
18-2		m ḭ n					
19-2		n i ³¹					
44-2		l au k					
50-2		x a ŋ ⁴²					
62-2		s a k ⁵					
70-2		p a n ⁴					
75-2		m j o ʔ ³¹					
97-2		tʃʰ a ŋ					
112-2		tsʰ o ³¹					
122-2		m j u ʔ ³²					
127-2		kʰ w i					
132-2		w a ʔ ³¹					
133-2		n u ³					
135-2		n au ŋ					
142-2		d z w i ³¹					
