ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY
725	139_abdomen	abdomen	Achang	Achang	wom³ dau³	wom³ dau³	w o m ³ + d au ³	acha1249	24.25	97.8333	Sino-Tibetan	6 7 4 8 9 1 7 8	AXLT_AXT	WUM6_TA6	1	1.W.C 1.U.V 1.M.c 1.6.T 1._._ 1.T.C 1.A.V 1.6.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	wom³+dau³	0	1 2
726	139_abdomen	abdomen	Bela	Bela	xuĩ³ tau⁵²	xuĩ³ tau⁵²	x u/w ĩ ³ + t au ⁵²	pela1242	24.45	98.6	Sino-Tibetan	3 6 7 8 9 1 7 8	ACXT_AXT	GWI6_TA3	2	2.G.C 2.W.C 2.I.V 2.6.T 2._._ 2.T.C 2.A.V 2.3.T	1.6 1.2 3.0 1.0 0.0 1.6 3.0 1.0	xu/wĩ³+tau⁵²	0	3 2
727	139_abdomen	abdomen	Lashi	Lashi	wɛm³ dau³²	wɛm³ dau³²	w ɛ m ³ + d au ³²	lash1243	24.45	98.6	Sino-Tibetan	6 7 4 8 9 1 7 8	AXLT_AXT	WEM6_TA3	3	3.W.C 3.E.V 3.M.c 3.6.T 3._._ 3.T.C 3.A.V 3.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	wɛm³+dau³²	0	1 2
728	139_abdomen	abdomen	WrittenBurmese	Written_Burmese	wam:	wam:	w a mː/m	oldb1235	21.16	94.90	Sino-Tibetan	6 7 4	AXN	WAM	6	6.W.C 6.A.V 6.M.c	2.0 1.5 0.8	wamː/m	0	1
729	139_abdomen	abdomen	Zaiwa	Zaiwa	βʷam³ dau³¹	βʷam³ dau³¹	β w a m ³ + d au ³¹	zaiw1241	24.45	98.6	Sino-Tibetan	3 6 7 4 8 9 1 7 8	ACXLT_AXT	BWAM6_TA3	7	7.B.C 7.W.C 7.A.V 7.M.c 7.6.T 7._._ 7.T.C 7.A.V 7.3.T	1.6 1.2 3.0 1.1 1.0 0.0 1.6 3.0 1.0	βwam³+dau³¹	0	1 2
730	139_abdomen	abdomen	Maru	Maru	duk³²	duk³²	d u k ³²	maru1249	24.45	98.6	Sino-Tibetan	1 7 1 8	AXLT	TYK3	4	4.T.C 4.Y.V 4.K.c 4.3.T	1.6 3.0 1.1 1.0	duk³²	0	4
1342	259_afraid	afraid	Achang	Achang	gjuk⁴²	gjuk⁴²	g j u k ⁴²	acha1249	24.25	97.8333	Sino-Tibetan	1 6 7 1 8	ACXLT	KJYK3	1	1.K.C 1.J.C 1.Y.V 1.K.c 1.3.T	1.6 1.2 3.0 1.1 1.0	gjuk⁴²	0	12
1343	259_afraid	afraid	Lashi	Lashi	gjok³²	gjok³²	g j o k ³²	lash1243	24.45	98.6	Sino-Tibetan	1 6 7 1 8	ACXLT	KJUK3	3	3.K.C 3.J.C 3.U.V 3.K.c 3.3.T	1.6 1.2 3.0 1.1 1.0	gjok³²	0	12
1344	259_afraid	afraid	Maru	Maru	gjæuɂ⁴³	gjæuɂ⁴³	g j æu ʔ ⁴³	maru1249	24.45	98.6	Sino-Tibetan	1 6 7 1 8	ACXLT	KJEH3	4	4.K.C 4.J.C 4.E.V 4.H.c 4.3.T	1.6 1.2 3.0 1.1 1.0	gjæuʔ⁴³	0	12
1345	259_afraid	afraid	WrittenBurmese	Written_Burmese	krauk	krauk	k r au k	oldb1235	21.16	94.90	Sino-Tibetan	1 5 7 1	ACXN	KRAK	6	6.K.C 6.R.C 6.A.V 6.K.c	2.0 1.5 1.5 0.8	krauk	0	12
