COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
2181	m au ³⁴	m au ⁵²	m au ³		m u ³¹	m w iː	m au ³
2182	kʰ o ŋ ³²		kʰ o ŋ ³¹	g au ŋ ⁵¹		k au ŋ	kʰ u ŋ ⁵³
2417	p w i ³¹	p w i ³	b e ⁵¹	b a ³¹			b w i ³
1506	l a̰ ⁵	l ḛ ²³	l a ⁵	l o̰ ⁴³	l a ³¹	l aˀ	l ə ⁴
1507	m ṵ ⁵		m ɔ ⁵³				m ɔ ⁴
2361	g i ²	k ḭ ³	k ḭ ⁵³	g i ⁵²			k ḭ ⁵³
417	dʒ ə ³²		dʒ ɛ ⁵³				
418		ts a̰ m ³		dʒ a̰ m ³¹		t i m	d u m ⁴²
1488			ŋ ãɪ ³	ŋ ɪ n ⁴²		h n a ŋ	ŋ a̰ n ⁵³
1828	j a ŋ ⁵³				j ʊ ŋ		
1829	k a n ²			g e n ⁴			g a n ²
1830			s ə ŋ ⁴³	s a ŋ k ⁵³	s ə	s a k	
1390			l æ̰ p ⁵³			h l j a p	l a̰ p ⁴
2578			g w ɛ m ³				g u m ⁵³
2075			j ø p ³				v ʊ p ³
1644	n j ɛ n ³⁵	m j a n ²³	m j eː ŋ ⁵				m j ɪ n ³⁴
1645				m ḭ ⁵	m eɪ ³¹		
546	n j ei ⁴⁵	n e ʔ ⁵²	n j eː ⁵	n a ³¹	n i ³¹	n eˀ	n i ⁴⁵
1518	n a p ³		n æ p ³²	n ɛ ʔ ³²		n a k	n a p ³
1659	k u ŋ ⁵¹	k a̰ː ⁵²	g o ŋ ⁵¹	g au ³¹			g u ŋ ⁵³
2877		j ə ²³		j ɛ ʔ ²³		j a	
2878		ʔ a ŋ ³	ʔ ai ²⁵	ʔ a ³²			ʔ ə ³
2613	j ɔ ³¹		j ɔ ⁴²				
2614		m a ²³		m ɔ ³⁵			m a ³
2868	d z a n ⁴²			d z ɪ n ³¹			d z a n ⁵¹
680	b w i ⁴²	p w i ³	b ø ⁵³	b a ³¹			b a ³¹
681	tʰ u ʔ ⁵⁴		tʰ u ʔ ⁵²				tʰ ɔ ʔ ⁵
2733	w a ŋ ³¹	w ã ŋ ³	w a ŋ ³¹	w a ³²			w a ŋ ³¹
1665	d z o̰ ŋ ³²	ts a ŋ ³	ts o̰ ŋ ³²				
2290		p i ³	b i ³²				
2701		ɣ i ³		ɣ i t ⁴			
1918	l a ŋ ³²	l a ŋ ⁵²	l a̰ ŋ ³¹				l a ŋ ³¹
2021			b a ŋ ²³	b a ŋ ³		p a ŋ	b a ŋ ³
2022			l ai ³²	l ai ³²		l ai	l ai ³¹
668	d z ɔ ⁴⁵						d z ɛ ³¹
670		m i ³	m j ḛ ⁵³	m i ʔ ³	m j i ⁵⁵	m r e	
1566	tʰ ɔ m ⁵		tʰ ø m ⁵	tʰ a m ³²			
1567	b ɔ p ⁴³		b ø p ²¹	b a p ³²			
642	pʰ ə ⁵		pʰ ə ⁵	b ə t ³			pʰ w i ²
643	l a̰u ⁵¹		l au ⁵¹				l au ⁵³
2375	l u k ³	l au ʔ ²³	l o k ³	l au ⁴³	l o ʔ ³¹		l u ʔ ³
1988	ʃ ɔ ³¹	ʃ a ³			ʃ e	s a	s u ³⁵
1990			m j ḛ ⁴³	m a ³²	m u		m w i ⁵²
1989			tʃʰ o ³¹	tʃʰ ø ³¹			
1395	h w i ⁵						h w i ³
1093	x j e n ³	x a ŋ ³	ʃ ə ŋ ⁵²	x a ŋ ⁴²	ʃ ai ŋ ⁵⁵		h ɯ ŋ ⁵³
