COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1506-1	l a̰ ⁵						
546-1	n j ei ⁴⁵						
944-1	p a n ³⁴						
1495-1	n j u k ⁴²						
592-1	kʰ w i ⁴⁵						
1755-1	w u ʔ ⁴²						
496-1	n j u ³						
758-1	d z w i ³¹						
909-1	n ⁴³						
1021-1	p ṵ ⁵						
327-1	pʰ ə ³						
657-1	n ɔ ³						
1151-1	l ɔ ʔ ⁴²						
969-1	kʰ j ei ³						
215-1	s w i ⁵						
2841-1	m ɛ ³¹						
1595-1	n j e ŋ ³¹						
2030-1	n j a ŋ ³¹						
609-1	m ɔ ʔ ³¹						
311-1	n j ɔ̰ p ⁵²						
1315-1	s a t ⁵²						
832-1	w ɛ ³						
193-1	n ɔ ʔ ³¹						
1856-1	n ɛ ³¹						
185-1	kʰ ɔ ⁵						
2181-1	m au ³⁴						
2375-1	l u k ³						
1093-1	x j e n ³						
2551-1	d z u ³⁴						
1029-1	ʃ i ⁵						
2038-1	ʔ a ³²						
84-1	w u ³⁴						
2405-1	pʰ ɨ ŋ ⁵						
1727-1	m j ɛ ³						
1048-1	s o n ³						
1973-1	tsʰ ɔ ⁵						
1793-1	t j ṵ ³						
1479-1	n au ⁵						
292-1	l w i ⁴						
299-1	kʰ j æu ³						
165-1	ŋ ɔ̰ ʔ ⁵²						
2813-1	d u ŋ ³¹						
1535-1	k j a̰ ŋ ³						
147-1	d j ɔ ³						
815-1	n j ɔ ʔ ⁴³						
253-1	ʔ u ⁴⁵						
793-1	n j ɔ ʔ ³						
1669-1	n ɔ̰ ³						
369-1	b ə ⁴						
134-1	n ɔ̰ t ⁵⁴						
1188-1	l a m ³²						
924-1	ʃ ɔ ⁵						
2788-1	m u ⁵						
741-1	m a ŋ ³						
602-1	kʰ w a m ⁵						
1933-1	kʰ o ŋ ³						
1626-1	ŋ a̰ p ⁵⁴						
902-1	tʰ a ŋ ⁵						
2224-1	kʰ au ⁵						
2305-1	l a̰ m ³						
1177-1	g j ɔ ⁴¹						
691-1	d z ɔ ³						
617-1	ʃ o k ⁵²						
1702-1	n ɔ ³¹						
1468-1	tʃʰ ei ⁵						
567-1	ʃ ei ³						
2157-1	d z o̰ ŋ ³						
506-1	d u ³						
1086-1	d j e ³						
578-1	d u ³						
1800-1	tʰ u ŋ ⁵						
530-1	g ɔ ⁵						
319-1	w i ³¹						
2564-1	s ɔ m ⁵³						
2060-1	n j ɛ̰ ⁵³						
2483-1	tsʰ i ³						
1451-1	n j ɔ ³⁵						
2210-1	ŋ i ³¹						
1416-1	x j e ŋ ³						
2508-1	tʰ ɨu ³						
554-1	n ɔ ʔ ³²						
1036-1	d j e ŋ ⁵						
1895-1	l ɔ ʔ ⁴³						
1121-1	n j æu ³¹						
631-1	k j ṵ k ⁵⁴						
2085-1	d z u ʔ ³¹						
2182-1	kʰ o ŋ ³²						
2417-1	p w i ³¹						
2361-1	g i ²						
1518-1	n a p ³						
1659-1	k u ŋ ⁵¹						
680-1	b w i ⁴²						
2733-1	w a ŋ ³¹						
1988-1	ʃ ɔ ³¹						
2134-1	ŋ w i ⁴²						
1285-1	tʰ j ɛ ʔ ⁴²						
1554-1	b w ɔ m ³¹						
268-1	k ɔ̰ ³¹						
109-1	k ṵ k ⁵⁴						
1850-1	g j ɛ n ⁴²						
98-1	ŋ ɔ ʔ ³						
1709-1	s a ŋ ³						
431-1	ʔ u n ³¹						
707-1	kʰ ə ³						
1075-1	tʃʰ a ŋ ⁵						
1696-1	g u k ³						
2588-1	l u ³						
127-1	w ɔ m ³¹						
424-1	tʰ j ɔ ⁴²						
958-1	j a ŋ ³						
254-1	n u k ⁴²						
1135-1	tsʰ a m ³						
977-1	ŋ a ³						
1560-1	n ṵ ə̰ t ⁵⁴						
729-1	tʰ u ŋ ⁵						
887-1	n j æ̰ ṵ ⁵						
241-1	ʃ e ³						
843-1	tsʰ ɨu ³						
780-1	kʰ j ei ⁵						
854-1	ʔ a ³						
855-1	b a ⁵						
2886-1	n u ⁵						
2659-1	w ʊ ³						
1907-1	l ɔ ʔ ³²						
1529-1	tsʰ ɔ m ³						
2217-1	n a m ³¹						
2726-1	ŋ au ³¹						
275-1	s ɔ ʔ ⁵³						
2398-1	dʒ ɔ̰ p ⁵³						
404-1	kʰ j ɛ n ³						
12-1	g j u k ⁴²						
22-1	j ɔ̰ ³²						
1296-1	j ɔ ³						
2103-1	n a n ³¹						
1336-1	tʰ u k ⁵³						
449-1	l ɔ ³¹						
1816-1	d w a n ³						
826-1	g j ɔ ⁴³						
2693-1	tʃʰ ei ⁵						
2852-1	m u ⁵						
2052-1	ʔ u ŋ ⁵						
2368-1	kʰ au ⁵						
1682-1	j u k ³²						
1005-1	n j ei ³						
917-1	ŋ ³						
2164-1	kʰ j u k ⁵³						
1652-1	g au ³⁴						
1506-2		l ḛ ²³					
546-2		n e ʔ ⁵²					
944-2		p j e ⁵²					
1495-2		m j au ʔ ⁵²					
592-2		kʰ w i ²³					
1755-2		v w a ⁵²					
496-2		n au ⁵²					
758-2		t w i ³					
909-2		ŋ ə					
1021-2		p a ²³					
327-2		pʰ ə ³					
657-2		n e ³					
1151-2		l a̰ ⁵²					
969-2		kʰ i ³					
215-2		s w i ²³					
2841-2		m ɛ ³					
1595-2		m a ŋ ²³					
2030-2		m j a̰ ŋ ⁵²					
609-2		m a ⁵²					
311-2		n j æ̰ p ⁵²					
1315-2		s ḛ ʔ ⁵²					
832-2		v e ⁵²					
193-2		n a ʔ ⁵²					
1856-2		n ẽ ³					
185-2		kʰ a ²³					
2181-2		m au ⁵²					
2375-2		l au ʔ ²³					
1093-2		x a ŋ ³					
2038-2		ʔ a					
1727-2		m e ³					
1048-2		s au n ²³					
1973-2		tʰ a ²³					
1479-2		n au ²³					
292-2		l w i ⁵²					
299-2		kʰ j u ³					
2457-2		m i ⁵²					
165-2		ŋ a̰ ʔ ⁵²					
1535-2		k j a̰ ŋ ³					
147-2		p j a ⁵²					
815-2		m j a ʔ ²³					
253-2		ʔ u					
793-2		m j a ²³					
1669-2		n ã ³					
134-2		n au ⁵²					
1188-2		l a m ⁵²					
1409-2		s a ŋ ²³					
1583-2		s a ŋ ²³					
2800-2		m i ⁵²					
602-2		kʰ a m ²³					
1626-2		n e ʔ ⁵²					
895-2		m i ⁵²					
2224-2		kʰ au ²³					
1177-2		k j a					
691-2		t a ⁵²					
617-2		ʃ au ²³					
1468-2		tʃʰ ə ²³					
2157-2		ts aː ŋ ³					
506-2		t a̰u ⁵²					
