COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e									
56-1	u m e									
96-1	a t a n									
99-1	a e i e o n									
114-1	t a k									
115-1	u e n u									
133-1	t i p a a a									
144-1	a t a w a									
150-1	k a w									
234-1	k o m									
236-1	p u k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a t a									
2-1	w o m									
65-1	i w									
74-1	p a n a									
106-1	t i n u n									
128-1	w o k									
147-1	t u m u									
231-1	p a n a w o									
232-1	p i p i									
239-1	n a m a k a n									
266-1	i t i m									
51-1	r w i									
97-1	m a p a m									
109-1	u p u j u									
121-1	k a p u j a k i									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a a a k a w									
134-1	n a p a t									
139-1	m a k a a i									
142-1	p a a a m a a									
145-1	k a t a t									
148-1	t a a w r n									
162-1	i j i n									
166-1	i m i									
179-1	t a									
201-1	p a									
21-1	k a w									
24-1	p o k a n a									
50-1	i n a									
57-1	t o k a w a n									
84-1	p i w a n									
91-1	m o k o n									
131-1	t u k a z i m									
151-1	k i w									
154-1	w e									
192-1	t u t									
197-1	t a m									
205-1	i p a n									
227-1	w a p w i t									
246-1	i w i									
251-1	w a n a									
271-1	tʃ i w									
285-1	i a a w i n									
75-1	u p i j a									
79-1	t a n									
104-1	k a p u									
153-1	tʃ a k									
157-1	t a a a m									
174-1	p u n									
240-1	t i m a k									
270-1	k a w a t i									
52-2		e t e								
56-2		i m e								
96-2		a k a e								
99-2		a r i h s n								
114-2		t o k i								
115-2		o j i								
133-2		t i p a p s								
144-2		a a a a a								
150-2		k a w								
234-2		k o m								
236-2		a i h o n								
241-2		a w i								
249-2		i s e								
74-2		a a n a								
93-2		t a a a n o								
95-2		r o k o								
106-2		t i e k								
119-2		j a e t o s								
128-2		j i k o								
147-2		t i m i								
231-2		a a n a r								
232-2		i								
239-2		m a m a k a								
266-2		i s i m								
51-2		a w e								
55-2		h h a m								
97-2		k a j a k k								
121-2		k a a a w a h u								
163-2		o a e n								
167-2		p a								
259-2		t o w a								
66-2		k a r a k a r								
112-2		t a a a a o s o								
116-2		t a a a h								
