COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g a															
241-1	ʔ i t															
2163-1	g u n															
2181-1	n̥ ă m															
2060-1	ʔ o m															
410-1	d ai̯															
1841-1	m ai̯															
2017-1	h o															
1004-1	m ai̯															
614-1	p ou̯ h															
686-1	p a ai̯															
88-1	k ă ʔ															
872-1	n ɔ ŋ															
1891-1	d ai̯															
68-1	s i m															
631-1	p a n															
594-1	g ai̯															
1759-1	h a n															
805-1	g i n															
1859-2		ŋ ai̯														
175-2		g a														
241-2		ʔ i ʔ														
2163-2		g uː														
2181-2		n̥ aː m														
2060-2		ʔ eː m														
410-2		d ai̯														
1841-2		m ai̯														
2017-2		h ai̯														
1004-2		m ai̯														
614-2		b ɔ h														
686-2		b l oːi̯														
88-2		k o k														
872-2		n aː ŋ														
1891-2		d ai̯														
68-2		kʰ iː m														
631-2		b oː n														
594-2		k ai̯														
1759-2		h oː n														
805-2		g e n														
1859-3			ŋ ɔːi̯													
175-3			k a													
241-3			ʔ a t													
2163-3			k a r													
2181-3			n̥ a m													
2060-3			ʔ aː m													
410-3			ɗ ai̯													
1841-3			m ai̯													
2017-3			h ai̯													
1004-3			m ai̯													
614-3			b o h													
686-3			b l ai̯													
88-3			k a ʔ													
872-3			n aː ŋ													
1891-3			ɗ ai̯													
68-3			s i m													
631-3			ɓ a n													
594-3			k ai̯													
1759-3			h u n													
805-3			k i ŋ													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ i ʔ												
2163-4				k uː												
2181-4				n̥ ɔː m												
2060-4				ʔ ɛː m												
410-4				t aːi̯												
1841-4				m aːi̯												
2017-4				h iː												
1004-4				n aːi̯												
614-4				p o h												
686-4				p a aːi̯												
88-4				k a k												
872-4				n aː ŋ												
1891-4				t a												
68-4				kʰ iː m												
631-4				b a												
594-4				k a												
1759-4				h oː n												
805-4				dʑ ə n												
1859-5					ŋ iː											
175-5					k aː											
241-5					ʔ uː ʔ											
2163-5					k uː											
2181-5					n̥ a m											
2060-5					ʔ aː m											
410-5					ɗ ei̯											
1841-5					m ei̯											
2017-5					h ei̯											
1004-5					r̥ ei̯											
614-5					b ai̯ h											
686-5					b a ei̯											
88-5					k a ʔ											
872-5					n a ŋ											
1891-5					ɗ iː											
68-5					s i m											
631-5					b ei̯ r											
594-5					k aː											
1759-5					h a ŋ											
805-5					k i ɲ											
1859-6						ŋ iː										
175-6						k a r										
241-6						ʔ a t										
2163-6						d u r										
2181-6						n̥ a m										
2060-6						ʔ aː m										
410-6						ɗ ei̯										
1841-6						m ei̯										
2017-6						h iː										
1004-6						m a										
614-6						ʔ ai̯ h										
686-6						b a ai̯										
88-6						k a t										
872-6						n aː ŋ										
1891-6						ɗ a										
68-6						s i m										
631-6						b a r										
594-6						ʔ aː										
1759-6						h a ŋ										
805-6						d e ɲ										
1859-7							ŋ ai̯									
175-7							g a									
241-7							ʔ i ʔ									
2163-7							g u r									
2181-7							n̥ a m									
2060-7							ʔ aː m									
410-7							ɗ aːi̯									
1841-7							m aːi̯									
2017-7							h ai̯									
1004-7							m ai̯									
614-7							t ɔ h									
686-7							b l ai̯									
88-7							k a k									
872-7							n a ŋ									
1891-7							ɗ a									
68-7							s i m									
631-7							p ɔː n									
594-7							g a									
1759-7							h ɔː n									
805-7							g i n									
1859-8								ŋ ai̯								
175-8								k a								
241-8								ʔ i ʔ								
2163-8								g uː								
2181-8								n̥ ɔː m								
2060-8								ʔ aː m								
410-8								t aːi̯								
1841-8								m aːi̯								
2017-8								h i								
1004-8								m aːi̯								
614-8								p o h								
686-8								p a aːi̯								
88-8								k a k								
872-8								n ɔː ŋ								
1891-8								t aː								
68-8								kʰ iː m								
631-8								b ɔː								
594-8								k a								
1759-8								h o n								
805-8								g ə n								
1859-9									ŋ əi̯							
175-9									k a							
241-9									ʔ u t							
2163-9									k a r							
2181-9									n̥ a m							
2060-9									ʔ ɛː m							
410-9									d ai̯							
1841-9									m ai̯							
2017-9									h iː							
1004-9									m ai̯							
614-9									b o h							
686-9									b l ai̯							
88-9									k ɔ ʔ							
872-9									n a ŋ							
1891-9									d ai̯							
68-9									s i m							
631-9									b a ŋ							
594-9									k ai̯							
1759-9									h a n							
805-9									k i ŋ							
1859-10										ŋ iː						
175-10										k a n						
241-10										ʔ u ʔ						
2163-10										k u r						
2181-10										n̥ aː m						
2060-10										ʔ ɔː m						
410-10										ɗ ɛː						
1841-10										m ɛː						
2017-10										h ɔː						
1004-10										m a						
614-10										b ɛ h						
686-10										b a a						
88-10										k a ʔ						
872-10										n aː ŋ						
1891-10										ɗ a						
68-10										s i m						
631-10										b a n						
594-10										ʔ a						
1759-10										h a ŋ						
805-10										k ɨ ŋ						
1859-11											ŋ ai̯					
175-11											k a					
241-11											ʔ i ʔ					
2163-11											k uː					
2181-11											n̥ aː m					
2060-11											ʔ aː m					
410-11											t aːi̯					
1841-11											m aːi̯					
2017-11											h a					
1004-11											m aːi̯					
614-11											b o h					
686-11											b a aːi̯					
88-11											k a k					
872-11											n aː ŋ					
1891-11											t a					
68-11											k iː m					
631-11											b a					
594-11											k a					
1759-11											h a n					
805-11											k ə n					
1859-12												ŋ ɛ				
175-12												g ă				
241-12												ʔ u ʔ				
2163-12												g u n				
2181-12												n̥ ă m				
2060-12												ʔ a m				
410-12												d ai̯				
1841-12												m ai̯				
2017-12												h ai̯				
1004-12												m ai̯				
614-12												b o h				
686-12												b a ai̯				
88-12												k ă ʔ				
872-12												n a ŋ				
1891-12												d ai̯				
68-12												s i m				
631-12												b a n				
594-12												g ai̯				
1759-12												h a n				
805-12												g i ɲ				
1859-13													ŋ ɛ			
175-13													g ă			
241-13													ʔ u ʔ			
2163-13													g u n			
2181-13													n̥ ă m			
2060-13													ʔ a m			
410-13													d ai̯			
1841-13													m ai̯			
2017-13													h ai̯			
1004-13													m ai̯			
614-13													p ou̯ h			
686-13													p a ai̯			
88-13													k ă ʔ			
872-13													n a k			
1891-13													d ai̯			
68-13													s i m			
631-13													p a n			
594-13													g ai̯			
1759-13													h a n			
805-13													g i n			
1859-14														ŋ ai̯		
175-14														k a		
241-14														ʔ iː t		
2163-14														g uː n		
2181-14														n̥ ɔː m		
2060-14														ʔ aː m		
410-14														ɗ aːi̯		
1841-14														m aːi̯		
2017-14														h ai̯		
1004-14														m ai̯		
614-14														d o h		
686-14														b a ai̯		
88-14														k a ʔ		
872-14														n a ŋ		
