COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ai̯															
175-1	g o															
241-1	ʔ u ʔ															
2163-1	g u n															
2181-1	n o m															
2060-1	ʔ o m															
410-1	d o															
1841-1	m o															
2017-1	s e															
1004-1	ŋ o															
614-1	c ou̯ h															
686-1	p u e															
88-1	g o ʔ															
872-1	n e ŋ															
1891-1	d o															
68-1	s e m															
631-1	p e n															
594-1	g o															
1759-1	s e n															
805-1	g e ɲ															
756-1	s o															
1201-1	m o ʔ															
2042-1	ʔ o															
1968-1	d o ʔ															
2000-1	s o ŋ															
17-1	s o															
4-1	d o m															
788-1	d o															
1219-1	s o m															
141-1	ʔ o ŋ															
541-1	p r j o n															
1687-1	s u ŋ															
123-1	n o m															
1652-1	c e ɲ															
576-1	ŋ o															
1738-1	d o ʔ															
442-1	s o m															
368-1	ʔ j o n															
1778-1	p o ʔ															
957-1	n o															
1704-1	ʔ o ʔ															
304-1	j o m															
1796-1	c e ŋ															
720-1	t o h															
287-1	g o															
321-1	c o h															
206-1	d o ʔ															
1950-1	ʔ o															
665-1	g n ɔ n															
703-1	n ou̯ ʔ															
1290-1	m o															
1391-1	g o															
269-1	g ɔ ʔ															
855-1	c e ɲ															
2078-1	s ɛ															
2213-1	m o															
1858-1	s o															
1151-1	g j o n															
737-1	p o															
1859-2		ŋ aːi̯														
175-2		d a														
241-2		ʔ u ʔ														
2163-2		d oː n														
2181-2		n oː m														
2060-2		ʔ oː m														
410-2		d aːi̯														
1841-2		m aːi̯														
2017-2		s i														
1004-2		l aːi̯														
614-2		ʔ ɔ h														
686-2		b l aːi̯														
88-2		oː k														
872-2		n ɔː ŋ														
1891-2		d au̯														
68-2		s i m														
631-2		b oː n														
594-2		d au̯														
1759-2		s ɔː n														
805-2		d ɔː n														
756-2		s ɔ ʔ														
1201-2		m oː h														
2042-2		ʔ ɔ														
1968-2		d ɔ ʔ														
2000-2		s ɔː ŋ														
