index	index_p	rindex	rindex_p	cogid	id_Eryuan	segment_Eryuan	segment_Eryuan_L1	segment_Eryuan_L2	segment_Eryuan_L3	segment_Eryuan_R1	segment_Eryuan_R2	segment_Eryuan_R3	SC_Eryuan	SC_Eryuan_L1	SC_Eryuan_L2	SC_Eryuan_L3	SC_Eryuan_R1	SC_Eryuan_R2	SC_Eryuan_R3	PROSODY_Eryuan	PROSODY_Eryuan_L1	PROSODY_Eryuan_L2	PROSODY_Eryuan_L3	PROSODY_Eryuan_R1	PROSODY_Eryuan_R2	PROSODY_Eryuan_R3	id_Heqing	segment_Heqing	segment_Heqing_L1	segment_Heqing_L2	segment_Heqing_L3	segment_Heqing_R1	segment_Heqing_R2	segment_Heqing_R3	SC_Heqing	SC_Heqing_L1	SC_Heqing_L2	SC_Heqing_L3	SC_Heqing_R1	SC_Heqing_R2	SC_Heqing_R3	PROSODY_Heqing	PROSODY_Heqing_L1	PROSODY_Heqing_L2	PROSODY_Heqing_L3	PROSODY_Heqing_R1	PROSODY_Heqing_R2	PROSODY_Heqing_R3	id_Jianchuan	segment_Jianchuan	segment_Jianchuan_L1	segment_Jianchuan_L2	segment_Jianchuan_L3	segment_Jianchuan_R1	segment_Jianchuan_R2	segment_Jianchuan_R3	SC_Jianchuan	SC_Jianchuan_L1	SC_Jianchuan_L2	SC_Jianchuan_L3	SC_Jianchuan_R1	SC_Jianchuan_R2	SC_Jianchuan_R3	PROSODY_Jianchuan	PROSODY_Jianchuan_L1	PROSODY_Jianchuan_L2	PROSODY_Jianchuan_L3	PROSODY_Jianchuan_R1	PROSODY_Jianchuan_R2	PROSODY_Jianchuan_R3	id_Lanping	segment_Lanping	segment_Lanping_L1	segment_Lanping_L2	segment_Lanping_L3	segment_Lanping_R1	segment_Lanping_R2	segment_Lanping_R3	SC_Lanping	SC_Lanping_L1	SC_Lanping_L2	SC_Lanping_L3	SC_Lanping_R1	SC_Lanping_R2	SC_Lanping_R3	PROSODY_Lanping	PROSODY_Lanping_L1	PROSODY_Lanping_L2	PROSODY_Lanping_L3	PROSODY_Lanping_R1	PROSODY_Lanping_R2	PROSODY_Lanping_R3	id_Luobenzhuo	segment_Luobenzhuo	segment_Luobenzhuo_L1	segment_Luobenzhuo_L2	segment_Luobenzhuo_L3	segment_Luobenzhuo_R1	segment_Luobenzhuo_R2	segment_Luobenzhuo_R3	SC_Luobenzhuo	SC_Luobenzhuo_L1	SC_Luobenzhuo_L2	SC_Luobenzhuo_L3	SC_Luobenzhuo_R1	SC_Luobenzhuo_R2	SC_Luobenzhuo_R3	PROSODY_Luobenzhuo	PROSODY_Luobenzhuo_L1	PROSODY_Luobenzhuo_L2	PROSODY_Luobenzhuo_L3	PROSODY_Luobenzhuo_R1	PROSODY_Luobenzhuo_R2	PROSODY_Luobenzhuo_R3	id_Qiliqiao	segment_Qiliqiao	segment_Qiliqiao_L1	segment_Qiliqiao_L2	segment_Qiliqiao_L3	segment_Qiliqiao_R1	segment_Qiliqiao_R2	segment_Qiliqiao_R3	SC_Qiliqiao	SC_Qiliqiao_L1	SC_Qiliqiao_L2	SC_Qiliqiao_L3	SC_Qiliqiao_R1	SC_Qiliqiao_R2	SC_Qiliqiao_R3	PROSODY_Qiliqiao	PROSODY_Qiliqiao_L1	PROSODY_Qiliqiao_L2	PROSODY_Qiliqiao_L3	PROSODY_Qiliqiao_R1	PROSODY_Qiliqiao_R2	PROSODY_Qiliqiao_R3	id_Xiangyun	segment_Xiangyun	segment_Xiangyun_L1	segment_Xiangyun_L2	segment_Xiangyun_L3	segment_Xiangyun_R1	segment_Xiangyun_R2	segment_Xiangyun_R3	SC_Xiangyun	SC_Xiangyun_L1	SC_Xiangyun_L2	SC_Xiangyun_L3	SC_Xiangyun_R1	SC_Xiangyun_R2	SC_Xiangyun_R3	PROSODY_Xiangyun	PROSODY_Xiangyun_L1	PROSODY_Xiangyun_L2	PROSODY_Xiangyun_L3	PROSODY_Xiangyun_R1	PROSODY_Xiangyun_R2	PROSODY_Xiangyun_R3	id_Yunlong	segment_Yunlong	segment_Yunlong_L1	segment_Yunlong_L2	segment_Yunlong_L3	segment_Yunlong_R1	segment_Yunlong_R2	segment_Yunlong_R3	SC_Yunlong	SC_Yunlong_L1	SC_Yunlong_L2	SC_Yunlong_L3	SC_Yunlong_R1	SC_Yunlong_R2	SC_Yunlong_R3	PROSODY_Yunlong	PROSODY_Yunlong_L1	PROSODY_Yunlong_L2	PROSODY_Yunlong_L3	PROSODY_Yunlong_R1	PROSODY_Yunlong_R2	PROSODY_Yunlong_R3	id_Zhoucheng	segment_Zhoucheng	segment_Zhoucheng_L1	segment_Zhoucheng_L2	segment_Zhoucheng_L3	segment_Zhoucheng_R1	segment_Zhoucheng_R2	segment_Zhoucheng_R3	SC_Zhoucheng	SC_Zhoucheng_L1	SC_Zhoucheng_L2	SC_Zhoucheng_L3	SC_Zhoucheng_R1	SC_Zhoucheng_R2	SC_Zhoucheng_R3	PROSODY_Zhoucheng	PROSODY_Zhoucheng_L1	PROSODY_Zhoucheng_L2	PROSODY_Zhoucheng_L3	PROSODY_Zhoucheng_R1	PROSODY_Zhoucheng_R2	PROSODY_Zhoucheng_R3
1	0.2500	4	1.0000	12	1	ʈʂʰ	∅	∅	∅	-	ɤ	³¹	C	∅	∅	∅	_	E	_	2	∅	∅	∅	0	7	0	2	tɕʰ	∅	∅	∅	w	ɔ	³¹	C	∅	∅	∅	W	U	_	2	∅	∅	∅	6	7	0	3	tsʰ	∅	∅	∅	-	ɤ	³¹	C	∅	∅	∅	_	E	_	2	∅	∅	∅	0	7	0	4	tsʰ	∅	∅	∅	-	ɛ	⁴²	C	∅	∅	∅	_	E	_	2	∅	∅	∅	0	7	0																							5	tsʰ	∅	∅	∅	-	ɤ	³¹	C	∅	∅	∅	_	E	_	2	∅	∅	∅	0	7	0																																													6	tsʰ	∅	∅	∅	-	ɤ	³¹	C	∅	∅	∅	_	E	_	2	∅	∅	∅	0	7	0
2	0.5000	3	0.7500	12	1	-	ʈʂʰ	∅	∅	ɤ	³¹	∅	_	C	∅	∅	E	_	∅	0	2	∅	∅	7	0	∅	2	w	tɕʰ	∅	∅	ɔ	³¹	∅	W	C	∅	∅	U	_	∅	6	2	∅	∅	7	0	∅	3	-	tsʰ	∅	∅	ɤ	³¹	∅	_	C	∅	∅	E	_	∅	0	2	∅	∅	7	0	∅	4	-	tsʰ	∅	∅	ɛ	⁴²	∅	_	C	∅	∅	E	_	∅	0	2	∅	∅	7	0	∅																							5	-	tsʰ	∅	∅	ɤ	³¹	∅	_	C	∅	∅	E	_	∅	0	2	∅	∅	7	0	∅																																													6	-	tsʰ	∅	∅	ɤ	³¹	∅	_	C	∅	∅	E	_	∅	0	2	∅	∅	7	0	∅
3	0.7500	2	0.5000	12	1	ɤ	-	ʈʂʰ	∅	³¹	∅	∅	E	_	C	∅	_	∅	∅	7	0	2	∅	0	∅	∅	2	ɔ	w	tɕʰ	∅	³¹	∅	∅	U	W	C	∅	_	∅	∅	7	6	2	∅	0	∅	∅	3	ɤ	-	tsʰ	∅	³¹	∅	∅	E	_	C	∅	_	∅	∅	7	0	2	∅	0	∅	∅	4	ɛ	-	tsʰ	∅	⁴²	∅	∅	E	_	C	∅	_	∅	∅	7	0	2	∅	0	∅	∅																							5	ɤ	-	tsʰ	∅	³¹	∅	∅	E	_	C	∅	_	∅	∅	7	0	2	∅	0	∅	∅																																													6	ɤ	-	tsʰ	∅	³¹	∅	∅	E	_	C	∅	_	∅	∅	7	0	2	∅	0	∅	∅
4	1.0000	1	0.2500	12	1	³¹	ɤ	-	ʈʂʰ	∅	∅	∅	_	E	_	C	∅	∅	∅	0	7	0	2	∅	∅	∅	2	³¹	ɔ	w	tɕʰ	∅	∅	∅	_	U	W	C	∅	∅	∅	0	7	6	2	∅	∅	∅	3	³¹	ɤ	-	tsʰ	∅	∅	∅	_	E	_	C	∅	∅	∅	0	7	0	2	∅	∅	∅	4	⁴²	ɛ	-	tsʰ	∅	∅	∅	_	E	_	C	∅	∅	∅	0	7	0	2	∅	∅	∅																							5	³¹	ɤ	-	tsʰ	∅	∅	∅	_	E	_	C	∅	∅	∅	0	7	0	2	∅	∅	∅																																													6	³¹	ɤ	-	tsʰ	∅	∅	∅	_	E	_	C	∅	∅	∅	0	7	0	2	∅	∅	∅
1	0.3333	3	1.0000	22	7	p	∅	∅	∅	e	²¹	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	8	p	∅	∅	∅	e	²¹	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	9	p	∅	∅	∅	e	²¹	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	10	p	∅	∅	∅	e	²¹	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅																							11	p	∅	∅	∅	e	²¹	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	12	p	∅	∅	∅	e	²¹	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	13	p	∅	∅	∅	e	²¹	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅	14	p	∅	∅	∅	e	²¹	∅	P	∅	∅	∅	E	_	∅	1	∅	∅	∅	7	0	∅
2	0.6667	2	0.6667	22	7	e	p	∅	∅	²¹	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	8	e	p	∅	∅	²¹	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	9	e	p	∅	∅	²¹	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	10	e	p	∅	∅	²¹	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅																							11	e	p	∅	∅	²¹	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	12	e	p	∅	∅	²¹	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	13	e	p	∅	∅	²¹	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅	14	e	p	∅	∅	²¹	∅	∅	E	P	∅	∅	_	∅	∅	7	1	∅	∅	0	∅	∅
3	1.0000	1	0.3333	22	7	²¹	e	p	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	8	²¹	e	p	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	9	²¹	e	p	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	10	²¹	e	p	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅																							11	²¹	e	p	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	12	²¹	e	p	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	13	²¹	e	p	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅	14	²¹	e	p	∅	∅	∅	∅	_	E	P	∅	∅	∅	∅	0	7	1	∅	∅	∅	∅
1	0.2500	4	1.0000	33	15	t	∅	∅	∅	-	ɯ	²¹	T	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	16	t	∅	∅	∅	-	ɯ	²¹	T	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	17	t	∅	∅	∅	-	ɛ	²¹	T	∅	∅	∅	_	E	_	1	∅	∅	∅	0	7	0	18	t	∅	∅	∅	j	ɯ	²¹	T	∅	∅	∅	J	I	_	1	∅	∅	∅	6	7	0	19	ʈ	∅	∅	∅	-	ɯ	³¹	T	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	20	t	∅	∅	∅	-	ɯ	²¹	T	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0																							21	t	∅	∅	∅	-	ɯ	²¹	T	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0	22	t	∅	∅	∅	-	ɯ	²¹	T	∅	∅	∅	_	I	_	1	∅	∅	∅	0	7	0
2	0.5000	3	0.7500	33	15	-	t	∅	∅	ɯ	²¹	∅	_	T	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅	16	-	t	∅	∅	ɯ	²¹	∅	_	T	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅	17	-	t	∅	∅	ɛ	²¹	∅	_	T	∅	∅	E	_	∅	0	1	∅	∅	7	0	∅	18	j	t	∅	∅	ɯ	²¹	∅	J	T	∅	∅	I	_	∅	6	1	∅	∅	7	0	∅	19	-	ʈ	∅	∅	ɯ	³¹	∅	_	T	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅	20	-	t	∅	∅	ɯ	²¹	∅	_	T	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅																							21	-	t	∅	∅	ɯ	²¹	∅	_	T	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅	22	-	t	∅	∅	ɯ	²¹	∅	_	T	∅	∅	I	_	∅	0	1	∅	∅	7	0	∅
3	0.7500	2	0.5000	33	15	ɯ	-	t	∅	²¹	∅	∅	I	_	T	∅	_	∅	∅	7	0	1	∅	0	∅	∅	16	ɯ	-	t	∅	²¹	∅	∅	I	_	T	∅	_	∅	∅	7	0	1	∅	0	∅	∅	17	ɛ	-	t	∅	²¹	∅	∅	E	_	T	∅	_	∅	∅	7	0	1	∅	0	∅	∅	18	ɯ	j	t	∅	²¹	∅	∅	I	J	T	∅	_	∅	∅	7	6	1	∅	0	∅	∅	19	ɯ	-	ʈ	∅	³¹	∅	∅	I	_	T	∅	_	∅	∅	7	0	1	∅	0	∅	∅	20	ɯ	-	t	∅	²¹	∅	∅	I	_	T	∅	_	∅	∅	7	0	1	∅	0	∅	∅																							21	ɯ	-	t	∅	²¹	∅	∅	I	_	T	∅	_	∅	∅	7	0	1	∅	0	∅	∅	22	ɯ	-	t	∅	²¹	∅	∅	I	_	T	∅	_	∅	∅	7	0	1	∅	0	∅	∅
