COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t i t									
56-1	a m									
96-1	a t									
99-1	a t i k a									
114-1	t a k									
115-1										
133-1	a t i p a n									
144-1	a t a w									
150-1	k a w									
234-1	a k o m									
236-1	p a k n									
241-1	a w i n									
249-1	i t e									
1-1	w a t a									
2-1	m o									
65-1	i w									
74-1	p a n a									
106-1	t a n n									
128-1	p a k									
147-1	t a k									
231-1	p a n a w o									
232-1	p i p i									
239-1	n a m a k a n									
266-1	i i									
51-1	i w e									
97-1	m a p m									
109-1	a p w a k									
121-1	k a p a a									
149-1	t a k									
160-1	k i i k									
163-1	a p e n									
167-1	p a									
207-1	m i									
259-1	t a w a									
66-1	k a r a k a									
134-1	n a p a t									
139-1	m a k a i									
142-1	p a t a m									
145-1	k a t a t									
148-1	t a w a n									
162-1	i i n									
166-1	i m i									
179-1	t a									
201-1	p w e									
21-1	t a n									
24-1	p a k a n									
50-1	i n a									
57-1	t a k a w a n									
84-1	p i w a n									
91-1	m a k n									
131-1	t a k i m									
151-1	k i w									
154-1	w e									
192-1	t a t									
197-1	t a									
205-1	i p a n									
227-1	m a p w i t									
246-1	i w i									
251-1	w a n a									
271-1	t i w									
285-1	i a w i									
75-1	a p a e									
79-1	t a n									
104-1	k i p n									
153-1	t a k									
157-1	t a n a m									
174-1	p a k									
240-1	t i m a k									
270-1	k a w a t i									
52-2		e								
56-2		e m e								
96-2		a s								
99-2		e e								
114-2		a e m a								
115-2		e r e s								
133-2		r a s								
144-2		a a s								
150-2										
234-2		m								
236-2		a e								
241-2										
249-2		e								
74-2		a								
93-2		a o r o s								
95-2		a t o								
106-2		e e								
119-2		s								
128-2		o								
147-2										
231-2		a e								
232-2										
239-2		m a k a								
266-2		m								
51-2		e								
55-2		e m								
97-2		o m e								
121-2		a a k a s i								
163-2		e m								
167-2		m a								
259-2		t m a								
66-2		r a k o								
112-2		r a s								
116-2		a a a i								
125-2		a e m e s								
135-2										
139-2		o								
142-2		o r o m o								
148-2		r r								
162-2										
166-2										
179-2										
45-2		e e m e								
84-2										
131-2										
146-2		m e								
154-2		e								
192-2										
197-2		e m								
235-2		m a								
237-2		m e								
246-2		i								
250-2		r a a e m o								
267-2										
39-2		o r o m e								
42-2		r a m e								
44-2										
75-2										
94-2		e r e e								
122-2		o o e								
52-3			t i a a a							
56-3			t i m a							
96-3			t a t a t a							
99-3			a t i k a a a							
114-3			t i k i t i							
115-3			a t i t i t i							
133-3			i t i t a m a t i							
144-3			t i t i m a t i							
150-3			k a							
234-3			a k a							
236-3			t i k o							
241-3			j a a i k i							
249-3			i j a							
1-3			t a j a							
2-3			a t i k a a							
65-3			a a a							
93-3			t i m a m i t i							
95-3			a tʃ i a i							
106-3			t i m i t i t i							
119-3			i m a t i t i							
128-3			t i k i t i							
147-3			t i m i t i							
231-3			k a t a t i							
232-3			t i t i a i a a							
239-3			t a m a k a							
266-3			t a i t i a							
3-3			t a tʃ i k i a							
4-3			t a t a							
55-3			i i i k a m							
109-3			i a i k a t i							
121-3			j a j i a a a a							
149-3			tʃ e a a							
160-3			k i tʃ i							
207-3			m i							
112-3			t a i t i a t i t i							
125-3			k a t i m a t i							
134-3			t i t i tʃ i a							
135-3			t i k a k a m a t							
139-3			j a k i m o t i tʃ i							
57-3			t i k a t a a							
71-3			a							
131-3			t i k a k a a a t i m a t i							
146-3			i a i i i a							
227-3			t a j i i t i a							
132-3			i m i t i							
240-3			t i m a							
52-4				t i t e						
56-4				a m e						
96-4				a t a t						
99-4				a w i						
114-4				t o k						
115-4				a w						
133-4				a t i p a a n						
144-4				a t a w a						
150-4				k a w						
234-4				a k o m						
236-4				p a k a n						
241-4				a w i n						
249-4				i t e						
1-4				w a t a						
2-4				i m						
65-4				i w						
74-4				p a n a						
93-4				t a a a						
95-4				w a a						
106-4				t a n a a						
119-4				a a t a						
128-4				p o k						
147-4				t a k a						
231-4				p a n a w o						
232-4				a p i						
239-4				n a m a k a n						
266-4				i t i m						
3-4				a w						
