COGID	Albanian	English	French	German	Latin
560-1	l o				
438-1	r r i				
1222-1	ɑ̃				
353-1	m ə ɟ t o				
201-1	ɟ r k o				
20-1	r n u t				
503-1	ʃ r				
957-1	m k				
728-1	m eː i ð				
244-1	f u m				
289-1	m ɟ d o				
911-1	r u r				
724-1	m ʒ i r				
145-1	ʃ d t				
992-1	m				
1181-1	k o				
741-1	s e k o				
1150-1	ʃ rː t d				
585-1	ɔ				
814-1	ɑ i m u				
916-1	m u				
1079-1	t s ð				
630-1	r i ð u u u				
343-1	l ʃ a ə e u				
8-1	e r t m				
385-1	s e r				
683-1	k o m i k				
650-1	s o i				
612-1	f m				
871-1	r r k o				
667-1	s ai k o				
527-1	m d d i u				
499-1	f				
1029-1	h i				
560-2		k uː m			
438-2		u l i			
1222-2		eː oː			
353-2		f ɪ ʃ k au			
201-2		f m θ			
20-2		f ɪ ŋ ŋ θ			
503-2		f r l			
957-2		f p			
728-2		f ɪ ŋ			
244-2		n ɪ m			
289-2		g a f d			
911-2		w ɛ oː ə l			
724-2		f kː ai			
145-2		w ɑ			
992-2		w ɛ			
706-2		ɔ ð			
106-2		f θ θ r			
741-2		rː ŋ k			
421-2		b l ɪ m			
227-2		f ə t			
920-2		h ɛ m θ			
1083-2		h f r i			
1066-2		g f			
1125-2		k ʃ ɪ			
1197-2		m s θ r			
473-2		n ŋ ʒ θ			
284-2		n ɪ s			
661-2		f			
701-2		m u n			
315-2		k ɔ d			
1169-2		s i l ɑ			
1150-2		k ɛ i i œ ŋ			
982-2		s ɪ m			
987-2		s i ə			
1055-2		s θ ɛ r p			
1130-2		s p			
433-2		s u θ ə			
625-2		s ɪ p θ			
1186-2		n ɛ θ			
416-2		w ʃ			
1233-2		w ɪ ɔ θ			
884-2		w ɛ ɪ m			
1016-2		f eː i s u lː θ			
952-2		k			
78-2		b l a s			
514-2		b y m θ			
116-2		g t			
188-2		f ɛ ə n			
745-2		f k m r			
1100-2		f k a f d			
47-2		m aː i			
111-2		s v h ɛ			
1061-2		k au s t m			
24-2		n a f d			
232-2		n ə			
671-2		d a f d n			
385-2		s i			
945-2		s ɪ θ			
644-2		f s			
1041-2		s a i			
492-2		ə ɛ n			
1209-2		g f θ s			
527-2		w a ɔ ə r			
14-2		g ɛ ɪ v			
1-2		o l			
915-2		s s d			
271-2		ɑ ʃ			
560-3			v ɑ̃		
438-3			g		
1222-3			m x		
353-3			p		
201-3			p s		
20-3			p ɔ ɑ oː		
503-3			g l ɑ̃		
957-3			p		
728-3			s ɛ ɑ g		
244-3			p oː oː		
289-3			p ai ai eː		
911-3			p ð i		
724-3			g r		
145-3			au ai		
992-3			k		
1181-3			ʃ		
706-3			m		
106-3			p ŋ pf r		
741-3			p ð		
421-3			f j s t r		
227-3			g		
920-3			e k oː		
1083-3			e k ɑ̃ t y v		
1066-3			e g		
1125-3			g ɛ ø		
1197-3			m j pf r		
473-3			v ɟ v z		
284-3			t ɛ s		
661-3			ø v		
701-3			g oː ð r		
315-3			r ɔ̃ t ɛ̃		
1169-3			s ɑ̃ e		
1150-3			ai oː eː p ɑ̃		
982-3			s ɑ̃ a		
987-3			s w a z		
1055-3			oː nː ø		
1130-3			s ø v		
433-3			s ɑ̃ l j		
585-3			g ø v		
625-3			v ɛ̃		
1186-3			d		
814-3			p ɑ̃ r		
416-3			m z e		
1233-3			v ɑ̃ t e		
884-3			v ɛ r t		
916-3			t		
1016-3			o t ɛ t j t		
952-3			g		
514-3			ɑ l ɔ̃ t œ		
1079-3			a ʒ a ʒ		
1100-3			g ð aː ai		
47-3			m ɛ		
111-3			m a k		
1061-3			m ɔ̃ t e ɛ̃ t		
1155-3			e l m		
343-3			v w s r		
671-3			ɛ̃ ai oː		
460-3			p j s s t		
8-3			p ɑ̃ ɪi t		
644-3			s		
683-3			ʃ ɑ̃ t j e		
650-3			ʃ o l		
612-3			oː ɑ v		
871-3			a s t		
1209-3			m kː s e		
667-3			l w a z		
499-3			p		
14-3			p oː ð k		
1029-3			v z		
272-3			s ɛ r		
560-4				m ɪi m gʷ	
438-4				m r t	
