COGID	1	10	2	3	4	5	6	7	8	9
2689-1	m a m a									
893-1	a a á n dʒ a									
1285-1	m w a a									
1303-1	m g ɔ m a									
2197-1	s a a l dʒ									
2828-1	n i m a									
3572-1	s ɔ m i									
1095-1	l i m a									
1755-1	z ŋʰ ɛ									
1789-1	k u l dʒ a ŋ dʒ a									
3207-1	k ɛ l a									
3519-1	t j m a									
3686-1	dʒ i m k a									
4249-1	k u m i									
4451-1	k i s i									
448-1	t ɛ a ɛ d ʊ									
630-1	b ɛ ʊ l ʊ									
814-1	k ɔ i n dʒ ʊ									
1216-1	g a g a dʒ a									
1228-1	k w a a									
1418-1	s a m a z d a									
1475-1	k ɔ a									
2026-1	k w i a									
2775-1	k u á n dʒ a									
3397-1	k ɔ l ɔ									
3826-1	s ɔ k a									
4003-1	k i i h a									
4040-1	k ɔ m i									
4373-1	l ʊ n i									
4384-1	ʊ ŋʰ ɛ									
84-1	s a g ɛ l ɛ									
116-1	n i k a									
181-1	k ɔ ɔ ŋ dʒ ɔ									
419-1	l ɔ h a									
587-1	ɔ ɔ m k ɔ									
660-1	ʃ ɔ l a									
848-1	k ʊ l a									
1083-1	l i l a									
1122-1	ʃ i m a									
1159-1	m a									
1350-1	z w a a									
1374-1	m a á a m a									
1396-1	g ɔ h ɔ									
1430-1	i i s ɔ									
1666-1	k a ʊ w ɔ									
1767-1	k ɔ k ɔ									
1906-1	i m g i dʒ a									
2177-1	n g a h i									
2286-1	l a									
2317-1	m ɛ t a									
2419-1	s ʊ k a									
2750-1	ʊ ʊ n i									
3018-1	s i l a									
3275-1	g a a m a									
3441-1	s a á n dʒ a									
3464-1	ʃ ɔ m a									
3639-1	g j t á m dʒ dʒ a									
3885-1	s u m ɛ									
3981-1	i b á a z a									
4192-1	s ŋ g n d a									
4260-1	s w a a									
4350-1	l a ʊ n d ɔ									
43-1	b ɔ ɔ t a									
93-1	t ɔ m ɔ									
200-1	k i i									
374-1	t a a l ʊ z a									
459-1	l u m a									
508-1	p ɔ t ɛ									
528-1	k i l i									
575-1	t j i									
871-1	k ɛ n a									
1137-1	m ʊ k a									
1339-1	z w l a									
1585-1	ɔ a l a									
1712-1	k ɛ l ɛ									
1872-1	p i i									
2088-1	k i s a									
2166-1	s u á m dʒ a									
2334-1	k i k ɔ									
2393-1	m a m a									
2537-1	l ɔ m ɔ									
2665-1	i ɔ m k i									
2738-1	k a ʊ l ʊ									
2872-1	k ʊ l i									
2893-1	l ɔ ɔ ɛ z									
2997-1	k a á m h a									
3075-1	k ɔ l ɛ b a									
3675-1	l a á a l ʊ									
4028-1	t j ɛ									
4137-1	m ʊ l a									
4238-1	t a ɔ ʊ l a									
4316-1	t z t a									
4429-1	p a s a									
4440-1	k i l i									
4485-1	ɔ ɔ									
4574-1	k a á a l a									
4688-1	g g a ɔ ɔ									
143-1	s i i									
240-1	ʊ ʊ g a									
388-1	l a g ɛ m a									
401-1	k a									
599-1	t ŋ g m dʒ i									
649-1	l ʊ j t a									
755-1	k u l a									
836-1	s u i m dʒ i									
969-1	i s a									
994-1	l ɔ ɔ m b a									
1006-1	s ɔ ɔ ŋ b a									
1032-1	l ɔ l ɛ l a									
1043-1	m a l a									
1110-1	t j m a									
1263-1	t j p a									
1273-1	l ɔ ɔ t a									
1329-1	i a a a dʒ dʒ									
1362-1	t i i									
1606-1	ɔ i t ɔ									
1617-1	a ʊ a a									
1629-1	t u i i									
1744-1	i s β a									
1895-1	i a									
1917-1	ʃ j m a									
1969-1	l ɔ ɔ l ʊ									
1989-1	s u g a									
2037-1	m t ʊ t a									
2128-1	s ŋ i m dʒ a									
2186-1	k u m a									
2483-1	k u l a									
2592-1	ʊ ɔ l a									
2615-1	k j a									
2700-1	g a g n dʒ a									
2784-1	d ʊ l a									
2797-1	l ɔ m u									
2884-1	a p ʊ l a									
2904-1	g ɔ a m dʒ dʒ a									
2972-1	s j i									
3030-1	l i p a									
3148-1	i t a									
3160-1	ʊ u l a									
3261-1	k ʊ a a									
3364-1	ʃ ɔ t a									
3385-1	s i									
3419-1	t j i									
3430-1	ɔ m ɔ									
3583-1	m ɔ i i a									
3664-1	m ʊ k a									
3706-1	p j a n dʒ ʊ dʒ a									
3756-1	s i g n d a									
3837-1	s ɔ g ɛ m a									
3865-1	s ʊ l a									
4406-1	t j i									
4530-1	a j a a									
4552-1	k a n l a									
4621-1	i a i m i									
2689-2		ɲ a m a								
893-2		w o n o b a								
1303-2		m tʃ o n a								
2197-2		s tʃ n l a								
2828-2		s i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		d j n a a ŋ g a								
3207-2		v u l a								
3519-2		dʒ u m a								
3686-2		l oː ŋ d a								
4249-2		dʒ u m i								
4451-2		v i v i								
448-2		n o e g n o								
630-2		w e l e								
814-2		w o o m b e								
1216-2		s a v g d a								
1228-2		o n a								
1418-2		s w k k ŋ b a								
1475-2		w a								
2026-2		dʒ e i o								
3826-2		e o g a								
4003-2		l oː o k a								
4373-2		dʒ i m o								
4384-2		u n o								
84-2		s e g u n u								
116-2		v i g a								
419-2		l o v a								
587-2		o o ŋ g o								
660-2		w u n a								
848-2		tʃ u l a								
1122-2		v u m a								
1159-2		m a								
1350-2		l o t a								
1374-2		n d e a n o								
1906-2		iː n g i l a								
2419-2		s e g a								
2750-2		e e v o								
3441-2		s e tʃ m b a								
3464-2		v o m a								
3639-2		t j t e m g l a								
3981-2		n o v g b a								
4192-2		s e o m b a								
4350-2		l e e l t o								
278-2		t a								
3971-2		k a m a								
55-2		ɲ e m a								
43-2		w oː n d u								
93-2		g o m o								
459-2		l u m a								
1137-2		v i g u								
1585-2		u o l a								
1872-2		p tʃ a								
2166-2		n u e m b a								
2872-2		dʒ i v a								
2997-2		s a e m s a								
3075-2		s u l u b o								
3675-2		l o e a l e								
4137-2		m o l a								
4238-2		t o v o t o								
4316-2		t a t u								
4574-2		n o a a l a								
3067-2		n t u								
3531-2		l a k u d a								
1033-2		p j e a a o l a								
3185-2		s e o g a								
794-2		s e e a k a								
143-2		v u u								
240-2		v g a								
388-2		l a e u n a								
599-2		t a e m b i								
969-2		u v a								
994-2		p o a a g a								
1606-2		o e t o								
1629-2		g á i a								
1895-2		d o								
2592-2		l i l a								
2884-2		tʃ dʒ o a								
3148-2		i t a								
3261-2		dʒ e m e								
3583-2		m o l a								
3837-2		s o l o n a								
4621-2		m oː n i								
1929-2		dʒ u m a								
3940-2		g o l a								
860-2		u u a a a a								
2057-2		tʃ i m a								
552-2		ɲ u m a								
959-2		dʒ e v o								
1495-2		tʃ u t a								
2689-3			a r a							
893-3			a k d a							
1285-3			s r x a							
1303-3			f k j k a							
2197-3			dʒ k a l a							
2828-3			k i r e							
3572-3			s o ɲ e							
1095-3			k u r a							
1755-3			k m i							
1789-3			k l k ŋ g a							
3207-3			x u r a							
3519-3			k u r a							
3686-3			k m k a							
4249-3			k u m i							
4451-3			i k e							
448-3			o n ɲ a							
630-3			dʒ β l a							
1216-3			r a k b e							
1228-3			tʰ j a a							
1418-3			dʒ o m β g a							
1475-3			k k a							
3397-3			x o r a							
4003-3			k β k a							
4040-3			s i k e							
4373-3			o m a							
4384-3			n n o							
181-3			f u u m b o							
419-3			k o r a							
587-3			o k m k o							
660-3			l i l a							
1083-3			x i r a							
1350-3			l j x a							
