COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g a															
241-1	ʔ u ʔ															
2163-1	kʰ u r															
2181-1	n a m															
2060-1	ʔ o m															
410-1	d j															
1841-1	m m															
2017-1	h ə															
1004-1	t o															
614-1	b ou̯ h															
686-1	b l c															
88-1	g au̯ ʔ															
872-1	n ou̯ ŋ															
1891-1	d o															
68-1	s ɨi̯ m															
631-1	p r r															
594-1	g o															
1759-1	h a ɲ															
805-1	g ɨi̯ ɲ															
756-1	h ou̯ ʔ															
1201-1	m ɔ t															
2042-1	ʔ j															
1968-1	d a ʔ															
2000-1	r ou̯ ŋ															
17-1	v a t															
4-1	ə m															
788-1	d ɛ															
1219-1	g ɨi̯ m															
141-1	ʔ ou̯ ŋ															
541-1	p r j a ŋ															
1687-1	h u r															
123-1	ou̯ m															
1652-1	c ɨi̯ ɲ															
576-1	ŋ ɔ r															
1738-1	d a g															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p a t															
957-1	n o p															
1704-1	ʔ ɨi̯ ʔ															
304-1	j o m															
1796-1	c ɔ ŋ															
720-1	t ɛ h															
287-1	g j p															
321-1	kʰ o h															
206-1	d ou̯ ʔ															
1950-1	ʔ u															
665-1	o ɛ															
703-1	n ou̯ ʔ															
1290-1	m j															
1391-1	g o ʔ															
269-1	g a ʔ															
855-1	c a n															
2078-1	s a															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a r															
737-1	p r t															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ u ʔ														
2163-2		kʰ u ɣ														
2181-2		n ə m														
2060-2		ʔ au̯ m														
410-2		d j														
1841-2		m m														
2017-2		h ɔː														
1004-2		d au̯														
614-2		b o h														
686-2		b l ɔːi̯														
88-2		k a k														
872-2		n u ŋ														
1891-2		d au̯														
68-2		s i m														
631-2		b ə ɣ														
594-2		k au̯														
1759-2		h a n														
805-2		k i n														
756-2		h u k														
1201-2		m oː d														
2042-2		ʔ au̯														
1968-2		d a ʔ														
2000-2		d au̯ ŋ														
17-2		v a d														
4-2		əː m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ au̯ ŋ														
541-2		b tɕ j a ŋ														
1687-2		h u ɣ														
123-2		au̯ m														
1652-2		dʑ i n														
576-2		ŋ a ɣ														
1738-2		d a k														
442-2		h oː m														
368-2		d j a ŋ														
1778-2		b a d														
957-2		n a b														
1704-2		ʔ i ʔ														
304-2		j a m														
1796-2		dʑ a ŋ														
720-2		d ai̯ h														
287-2		k ə b m														
321-2		kʰ ə h														
206-2		d o k														
1950-2		ʔ u														
665-2		oː n														
703-2		n o k														
1290-2		m j														
1391-2		k ɔ d														
269-2		k a d														
855-2		dʑ a n														
2078-2		s j														
2213-2		m ai̯														
1859-3			ŋ aːi̯													
175-3			k ə													
241-3			ʔ ui̯ t													
2163-3			kʰ ui̯ r													
2181-3			n ə m													
2060-3			ʔ ɔː m													
410-3			ɗ j													
1841-3			m aːu̯													
2017-3			h ɨː													
1004-3			r oː													
614-3			b o h													
686-3			b l ɨː													
88-3			k a ʔ													
872-3			n ui̯ ŋ													
1891-3			ɗ oː													
68-3			s iː m													
631-3			b ə r													
594-3			k oː													
1759-3			h a ɲ													
805-3			k iː ɲ													
756-3			h o ʔ													
1201-3			m ɔː d													
2042-3			ʔ j													
1968-3			ɗ a ʔ													
2000-3			r oː ŋ													
17-3			v a d													
4-3			ɨː m													
788-3			ɗ aːi̯													
1219-3			aːu̯ iː m													
141-3			ʔ oː ŋ													
541-3			b r j a ŋ													
1687-3			h ui̯ r													
123-3			oː m													
1652-3			dʑ iː ɲ													
576-3			ŋ a r													
1738-3			ɗ a k													
442-3			h ɔː m													
368-3			ɗ j a ŋ													
1778-3			b a d													
957-3			n a b													
1704-3			ʔ iː t													
304-3			j a m													
1796-3			dʑ a ŋ													
720-3			d aːi̯ h													
287-3			k j b m													
321-3			kʰ ə h													
206-3			ɗ o ʔ													
1950-3			ʔ oːi̯													
665-3			ɔː r													
703-3			n o ʔ													
1290-3			m j													
1391-3			k a d													
269-3			k ə d													
855-3			dʑ a n													
2078-3			s ə													
2213-3			m aːi̯													
1858-3			s a													
1151-3			k j ə r													
737-3			b r d													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ u ʔ												
2163-4				k u ai̯												
2181-4				n ɔ m												
2060-4				ʔ au̯ m												
410-4				t j												
1841-4				m m												
2017-4				h eu̯												
1004-4				t au̯												
614-4				p o h												
686-4				p l ɔː												
88-4				k ai̯ k												
872-4				n u ŋ												
1891-4				t au̯												
68-4				s iː m												
631-4				p ai̯ ai̯												
594-4				k au̯												
1759-4				h a n												
805-4				k ɔː n												
756-4				h u k												
1201-4				m o d												
2042-4				ʔ ai̯												
1968-4				t a ʔ												
2000-4				t au̯ ŋ												
17-4				v a d												
4-4				əː m												
788-4				t ai̯												
1219-4				k iː m												
141-4				ʔ au̯ ŋ												
541-4				p ai̯ j a ŋ												
1687-4				h u ai̯												
123-4				au̯ m												
1652-4				dʑ iː n												
576-4				ŋ au̯ ʐ												
1738-4				t a k												
442-4				h ɔː m												
368-4				t j a ŋ												
1778-4				p a d												
957-4				n au̯ p												
1704-4				ʔ iː ʔ												
304-4				j au̯ m												
1796-4				dʑ ɔ ŋ												
720-4				d ai̯ h												
287-4				k ə p												
321-4				ui̯ o k												
206-4				t o k												
1950-4				ʔ u												
665-4				ɔː ai̯												
703-4				n o k												
1290-4				m j												
1391-4				k o ʔ												
269-4				k a d												
855-4				dʑ a n												
2078-4				s ɔː												
2213-4				m ai̯												
1858-4				s a												
1151-4				k j ɛ ai̯												
737-4				p ai̯ t												
1859-5					ŋ ei̯											
175-5					k a											
241-5					ʔ uː t											
2163-5					kʰ uː r											
2181-5					n a m											
2060-5					ʔ ɔː m											
410-5					ɗ j											
1841-5					m m											
2017-5					h w											
1004-5					r̥ ɔː											
614-5					b uː h											
686-5					b l w											
88-5					kʰ a ʔ											
872-5					n əː ŋ											
1891-5					ɗ ɔː											
68-5					s i m											
631-5					b l r											
594-5					k ɔː											
1759-5					h a ɲ											
805-5					k i ŋ											
756-5					h u k											
1201-5					m oː u											
2042-5					ʔ j											
1968-5					ɗ a ʔ											
2000-5					r ɔː ŋ											
17-5					s a l̥											
4-5					əː m											
788-5					ɗ ei̯											
1219-5					k i m											
141-5					ʔ ɔː ŋ											
541-5					b r j a ŋ											
1687-5					h uː r											
123-5					ɔː m											
