COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l a b a			
222-1	a b o b o n e			
208-1	a b u ɾ b u d u			
962-1	a g o ɾ l			
203-1	a g u d i			
138-1	ʃ eː l o			
504-1	ɗ oː ʃ a			
662-1	ɓ d a			
478-1	g o ɗ ɗ			
409-1	a ɾ e			
410-1	g u n d i			
256-1	ɓ a l e			
622-1	n d u			
546-1	n d u			
547-1	ʃ eː ʔ a			
847-1	n e n d e g i			
95-1	b ɛ ɗ i			
105-1	b eː n i			
510-1	b o ʃ a			
951-1	m b ɾ m a ɾ e			
1116-1	m b m a			
149-1	ɓ u dʒ ʔ i			
376-1	ɓ a l i			
815-1	k o ɾ a			
453-1	ɗ u ɲ e			
67-1	ɗ a ʃ e			
47-1	ɗ o k o l a			
869-1	ɗ ɔː l a			
57-1	k b g u			
303-1	g a dʒ ʔ i a			
443-1	g l ɾ a			
884-1	g u n d i			
166-1	g u n d i			
918-1	a b a ɾ e			
831-1	h b ʃ eː			
616-1	b eː e			
84-1	h o ʃ e l e			
346-1	h o h u l			
601-1	dʒ i g i			
177-1	k ʔ a ʔ a			
341-1	k ʔ o l a			
1066-1	ʔ e n dʒ i k a			
318-1	ʔ eː ʃ i			
241-1	m b ʃ o			
556-1	h a n d u ɲ u			
191-1	ɓ ʔ m b ə l			
458-1	a dʒ ʔ i dʒ ʔ i			
1-1	h a ɲ g i ɾ			
751-1	ɾ o			
864-1	a n o n i			
154-1	a m a n ʃ i			
278-1	a m i l u			
766-1	ʃ oː ɾ a			
251-1	a g m ɾ u			
582-1	u ʔ o n			
6-1	a l i			
1106-1	n g o			
473-1	ɲ i n e			
1111-1	h a l u			
957-1	m a ɾ e			
41-1	b i			
24-1	dʒ a			
25-1	l b ɾ e			
879-1	a b a ɾ a b eː d			
837-1	m a ʃ i			
233-1	b i b i i o			
938-1	ɓ u u a			
369-1	a ɾ e			
946-1	ɓ a n g o			
889-1	ɓ ʔ l l			
820-1	a ʃ o ɾ e			
438-1	n b ə n e			
283-1	b n ɲ a ʔ e ɾ			
52-1	d o ʃ			
842-1	ɗ o n o ʃ a			
110-1	i d d ɾ i			
165-1	m a			
1007-1	o n g o l e			
1088-1	h o ʃ eː l e			
1087-1	o n g o l e			
702-1	eː l a			
536-1	k ʔ d k a			
694-1	n d			
468-2		l a b a		
222-2		a b o b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r l a		
203-2		a g u d i ʔ		
138-2		ʃ i l e		
504-2		ɗ oː ʃ ɛ f		
662-2		ɓ oː d aː		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		ŋ n d h g e		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b o ʃ a		
951-2		m b r m a r		
1116-2		m b a m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ʔ l i		
815-2		g o r a		
453-2		ɗ u ŋ e		
67-2		ɗ a ʃ e		
47-2		d o k ʔ l f ŋ		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g a s ʔ i a		
443-2		g e r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː ʃ e		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f e n s e i i		
318-2		f e ʃ i		
241-2		m aː ʃ ʃ		
556-2		h a n d u		
191-2		b ʔ m b i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n h i r		
751-2		r o		
864-2		a ŋ o n a		
154-2		a m aː n s i		
278-2		a m i l u i		
766-2		ʃ oː r a		
251-2		a g u r u		
582-2		u ʔ u ŋ		
6-2		a l i		
1106-2		ŋ g o		
473-2		i n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		s i		
25-2		l a r e		
879-2		a b a r a b ɛ d		
566-2		aː f a aː o r r a oː		
742-2		a g u		
1044-2		ʃ i m b i l		
13-2		a l m a m i		
720-2		aː s ɛ l a		
837-2		m aː ʃ i		
233-2		ɓ i ɓ i o		
938-2		ɓ ʔ l l a		
369-2		a r e		
946-2		ɓ a ŋ g o		
889-2		ɓ ʔ l o		
820-2		a ʃ o r e		
405-2		b ə d e		
134-2		ɓ ʔ ɗ ɗ ʔ e		
1078-2		m i h i		
429-2		b o ŋ k ʃ		
187-2		b u s k ʔ e		
438-2		n d ɛ n e		
385-2		m o k ʔ o ʃ		
283-2		m n n s ʔ a r		
390-2		aː b a i		
783-2		m a r θ a		
842-2		ɗ o ŋ o ʃ e		
110-2		k i l d r i		
650-2		k ʔ o ʃ		
91-2		g a l a s i		
668-2		w ɛ l a		
777-2		d i n i aː		
728-2		s i ʃ i		
165-2		m a		
1007-2		o ŋ g o l e		
1087-2		o ŋ g o l e		
894-2		a s ʔ u		
536-2		k ʔ eː d e		
694-2		n d ə		
468-3			θ a b a	
222-3			a b ɔ b ɔ ʔ i	
208-3			a b u r b u d u	
962-3			a g ɔ r a	
203-3			a g u d i ʔ	
138-3			ʃ ʃ l e	
504-3			ɗ ɔ ʃ a f	
662-3			d u d a	
478-3			g g ɗ e	
409-3			a r e	
410-3			g u n d i	
256-3			p a l e	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			ɲ f d l g i	
95-3			b ɛ d i	
105-3			b i n i	
510-3			b ɔ ʃ a	
951-3			m b m a r e	
1116-3			m b u m a	
149-3			p u s ʔ i	
376-3			d a l i	
815-3			g ɔ r a	
453-3			ɗ u ŋ e	
67-3			ɗ a ʃ e	
47-3			d ɔ k ɔ θ a	
869-3			ɗ ʊː θ a	
57-3			k a g u	
303-3			g a s ʔ i a	
443-3			g e r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b a r e	
831-3			h a ʃ a	
616-3			b iː e	
84-3			h ɔ ʃ a l a	
346-3			h ɔ h u l	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n s i ŋ a	
318-3			f eː s i	
241-3			m a ʃ ʃ o	
556-3			h a n d u ŋ u	
191-3			b i m b i l	
458-3			a s ʔ i s ʔ i	
1-3			h a n g i r	
751-3			r ɔ	
864-3			a ŋ ɔ n i	
154-3			a m a n s i	
278-3			a m i l u ʔ a	
766-3			ʃ ɔː r a	
251-3			a g u r u	
582-3			ɔ ʔ ɔ ŋ	
6-3			a l i	
1106-3			n g ɔ	
473-3			ɪ e	
1111-3			h a l u	
957-3			m a r e	
24-3			s i	
25-3			θ a r e	
879-3			a b a r a b ɛ d	
566-3			a ɲ f a n f ɔ r ɔ	
742-3			a g ɔ	
1044-3			ʃ i m b i l u	
13-3			a l h a m i s	
720-3			a s ɛ l a ʔ	
233-3			b i b i ɔ	
938-3			p u l a a	
369-3			a r e	
889-3			p eː l e	
405-3			b d e	
134-3			p ə ɗ i ʔ i	
1078-3			m i h i	
429-3			b ɔ ŋ ɔ ʃ ʃ	
187-3			b u s ɔ i e a	
385-3			m ɔ k ʔ ɔ ʃ	
283-3			a n s a r e	
390-3			a b a	
783-3			m a r a a	
52-3			d ɔː ʃ	
842-3			ɗ ɔ ŋ ɔ ʃ a	
650-3			k ʔ ɔ ʃ	
91-3			g a l a s i	
668-3			w ɛ l a	
777-3			g i n d a l i a	
728-3			s i ʔ i	
165-3			m a	
1088-3			h ɔ ʃ a l e	
702-3			iː l a	
894-3			iː s ʔ u	
536-3			k ʔ d e	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ oː ʃ a
662-4				ɓ uː d a
478-4				g g ɗ e
409-4				a r e
410-4				g u n d i
256-4				ɓ a l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b i n i
510-4				b o ʃ a
951-4				m b r m a r
1116-4				m b ɛ m
149-4				ɓ u s ʔ i
376-4				ɓ a l i
815-4				g o r a
453-4				ɗ u ŋ e
67-4				ɗ a ʃ e
47-4				ɗ o k o l a
869-4				ɗ uː θ a
57-4				k aː g u
303-4				g a z ʔ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d i
918-4				a b a r e
831-4				h aː ʃ e
616-4				b a e
84-4				h o ʃ a l e
346-4				h o h u l
601-4				z i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
1066-4				f e n z i o a
318-4				f e ʃ i
241-4				m aː ʃ o
556-4				h a n d u ŋ u
191-4				ɓ ʔ m b i l
458-4				a z ʔ i z ʔ i
1-4				h a n g i r
751-4				r o
864-4				a ŋ o n i
154-4				a m a n z i
278-4				a m i l u i
766-4				ʃ oː r a
251-4				a g u r u
582-4				o ʔ o ŋ
6-4				a l i
1106-4				n g o
473-4				i n e
1111-4				h a l u
957-4				m a r e
41-4				b i
566-4				a n a a n a r a o ʔ
742-4				a g u
1044-4				ʃ i m b i l
13-4				a l m a m i
720-4				aː s e l a
837-4				m aː ʃ i
946-4				ɓ a ŋ g o
820-4				a ʃ o r i
405-4				b ə d e
134-4				ɓ ɛ ɗ ɓ ʔ i i
1078-4				m e h i
429-4				b o ŋ o ʃ
187-4				b u z f i e s
438-4				n d ɛ n e
385-4				m ə k ʔ o ʃ
390-4				a a
783-4				m aː r a
52-4				d o ʃ i
110-4				k ʔ i d e r i
650-4				k ʔ o ʃ
91-4				g a l a s i
668-4				w ɛ θ a
777-4				g i n d a l
728-4				z u ʃ i
1007-4				m ŋ g o l e
1088-4				h o ʃ a l i
1087-4				m ŋ g o l e
702-4				e l a
894-4				a s ʔ u
694-4				n d ə
