COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	θ a b a			
222-1	a b o b o n e			
208-1	a b u lː u d u			
962-1	a g o r θ a			
203-1	a g uː d e			
138-1	s i l e			
504-1	ɗ oː ʃ e			
662-1	ɓ uː ɗ e			
478-1	g o ɗ e			
409-1	a r e			
410-1	g uː n d e			
256-1	ɓ l e			
622-1	n d u			
546-1	n d u			
547-1	ʃ ɛ f a ʔ			
847-1	n ɛ n d ɛ g i			
95-1	b ɛ ɗ e			
105-1	b ɪ n e			
510-1	b o ʃ e			
951-1	m b ə m a ɾ e			
1116-1	m b u m a			
149-1	ɓ u tʃ ʔ i			
376-1	ɓ i l i			
815-1	g o r a f e			
453-1	ɗ uː n e			
67-1	ɗ a ʃ e			
47-1	ɗ o k ʔ o θ e			
869-1	ɗ uː θ e			
57-1	g u g u			
303-1	g a tʃ ʔ i a			
443-1	g e r e			
884-1	g u n d e			
166-1	g uː n d e			
918-1	a b ə ɾ o			
831-1	h s i			
616-1	ɓ eː e			
84-1	h o s a l e			
346-1	h u h u lː u			
601-1	dʒ i g i			
177-1	k ʔ a f a			
341-1	k ʔ o l e			
1066-1	f e n d e ŋ i			
318-1	f eː tʃ i			
241-1	m ə n s o			
556-1	h a n d u ŋ u			
191-1	ɓ ɪ m ɓ ɪ l			
458-1	a tʃ ʔ i dʒ ʔ e			
1-1	h a eː k i ɾ			
751-1	ɾ o			
864-1	a eː o n e			
154-1	a m a n dʒ e			
278-1	a m i l e			
766-1	ʃ oː r e			
251-1	a g u ɾ u			
582-1	u ʔ o			
6-1	a l i			
1106-1	n g o			
473-1	n i n e			
1111-1	h a θ u			
957-1	m a r e			
41-1	b eː			
24-1	tʃ iː			
25-1	θ r e			
879-1	a b a r a b ɛ d			
837-1	m ʃ i			
233-1	ɓ i b i o			
938-1	ɓ uː l a			
369-1	a r e			
946-1	ɓ a ŋ g o			
889-1	ɓ eː l a			
820-1	ʔ s o ɾ e			
438-1	n d i n o			
468-2		l a b a		
222-2		a b o b o n i		
208-2		a b u r b u d u		
962-2		a g o r a		
203-2		a g u d i		
138-2		ʃ i l i		
504-2		ɗ oː ʃ a f a		
662-2		ɓ u d aː		
478-2		g oː ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l a		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ n d i g i		
95-2		b ɛ ɗ i		
105-2		b i ŋ i		
510-2		b oː ʃ a		
951-2		m b a r e		
1116-2		m b u m a		
149-2		ɓ u ʃ ʔ i		
376-2		ɓ ə l i		
815-2		g o r a		
453-2		ɗ u n e		
67-2		ɗ a ʃ e		
47-2		ɗ o k u l a		
869-2		ɗ u l a		
57-2		g aː g u		
303-2		g a ʃ ʔ i a		
443-2		g e r a		
884-2		g u n d oː		
166-2		g u n d u		
918-2		a b a r o		
831-2		h a ʃ i		
616-2		b iː a		
84-2		h o ʃ a l a		
346-2		h u l o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f e n d e ŋ i		
318-2		f e ʃ a		
241-2		m a n iː ʃ o		
556-2		h a n d u		
191-2		ɓ i m ɓ i l		
458-2		a ʃ ʔ i ʃ ʔ i		
1-2		h a n tʃ i r		
751-2		r o		
864-2		a ŋ o n e		
154-2		a m a n z i		
278-2		m i l o ʔ i		
766-2		ʃ oː r a		
251-2		a g u r u		
582-2		u		
6-2		a l i		
1106-2		n g o		
473-2		ɪ ŋ e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		ʃ iː		
25-2		l a r e		
879-2		a b a r a b ɛ d		
566-2		aː w a r e r e s ʔ		
742-2		aː g o ʔ		
1044-2		ʃ i m b a l		
13-2		a l h a m i s		
720-2		aː s ɛ l a		
837-2		m aː ʃ i		
233-2		ɓ i ɓ i o		
938-2		ɓ u l a n e		
369-2		a r e		
946-2		ɓ a ŋ g o		
889-2		ɓ iː l a		
820-2		a ʃ o r i		
405-2		b eː d e		
134-2		ɓ ə ɗ e ʔ i		
1078-2		m i h i		
429-2		b oː ŋ k o ʃ		
187-2		b i s k ʔ e		
438-2		n d i n i		
468-3			θ a b a	
222-3			a b o b o n e	
208-3			a b u r b u d u	
962-3			a g o r a	
203-3			a g u d i ʔ i	
138-3			ʃ ɪ l u	
504-3			ɗ ɔ ʃ ɛ f i	
662-3			ɓ u d a	
478-3			eː g ʊu̯ ɗ a	
409-3			a r e	
410-3			g u n d u	
256-3			ɓ aː l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n ɛ n d ɪ a	
95-3			b ə d	
105-3			b ɪ n i	
510-3			b ɔ ʃ a	
951-3			m b i m a r i	
1116-3			m b u m a	
149-3			ɓ u s ʔ i	
376-3			ɓ ə l i	
815-3			g ɔ r a	
453-3			ɗ u n a	
67-3			ɗ a ʃ a	
47-3			ɗ ɔ k ɔ θ a	
869-3			ɗ u θ a	
57-3			g a g u	
303-3			g ɛ ʃ ʔ i a	
443-3			g e r a	
884-3			g u n d u	
166-3			g u n d u	
918-3			a b a r i	
831-3			h a h a ʃ a	
616-3			b iː a	
84-3			h ɔ ʃ ɛ l i	
346-3			h ɔ h ɔ l o	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n d ɛ ŋ i	
318-3			f ɛ ʃ	
241-3			m a ʃ ɔ	
556-3			h a n d u	
191-3			ɓ ɪ m b a l	
458-3			ʃ i ʃ ʔ i	
1-3			h a h i r	
751-3			r ɔ	
864-3			a ŋ ɔ n ʔ a	
154-3			a m a n s i	
278-3			a m i l ʔ i l	
766-3			ʃ ʊu̯ r a	
251-3			a g u r u	
582-3			u ɔ u	
6-3			a l i	
1106-3			n g ɔ	
473-3			ɪ n e	
