COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	z ə t ¹															
6485-1	ˀb aː n ¹															
4690-1	m aː n ¹															
5671-1	z ə n ¹															
4272-1	s t u p ¹															
10935-1	t aːu ¹															
4760-1	h j e n ¹															
1881-1	v a n ¹															
4777-1	ɕ ə t ¹															
10969-1	v a n ¹															
10970-1	ȵ a ¹															
10206-1	v a n ¹															
6565-1	t j a n ¹															
1281-1	ʔ j ə n ¹															
10569-1	ˀn a m ¹															
6899-1	pʰ j a ŋ ¹															
7081-1	k aːu ¹															
4090-1	ⁿd a m ¹															
2197-1	h a m ¹															
3352-1	t i ¹															
3892-1	ɕ ə t ¹															
1071-1	q a m ¹															
10313-1	ˀm ai ¹															
2671-1	t j ə t ¹															
5502-1	f ə k ¹															
7382-1	ⁿd ə n ¹															
932-1	k aː ŋ ¹															
533-1	ˀm ai ¹															
4159-1	f a ¹															
2804-1	h a k ¹															
5451-1	ɣ a ¹															
5773-1	ʔ aːu ¹															
6933-1	ʔ aːu ¹															
4657-1	ʔ aːu ¹															
4658-1	v j a ŋ ¹															
6966-1	h i ¹															
5351-1	ɣ a ¹															
4073-1	t aːu ¹															
2163-1	ˀb j a n ¹															
1121-1	f aːu ¹															
5790-1	f aː ŋ ¹															
10413-1	ˀm a ¹															
6731-1	ˀm a ¹															
1645-1	ˀm a ¹															
4914-1	ˀm a ¹															
6175-1	ȵ a ¹															
3092-1	z i ŋ ¹															
1247-1	l j e n ¹															
5620-1	s j u ¹															
4897-1	ˀm a ¹															
4811-1	ⁿb aː ŋ ¹															
1213-1	k aːu ¹															
11019-1	m aː ŋ ¹															
11020-1	k aːu ¹															
2129-1	t aː p ¹															
3211-1	h aː n ¹															
714-1	l o k ¹															
1729-1	k a ¹															
3679-1	ˀm a ¹															
1054-1	s u ¹															
7448-1	h a m ¹															
582-1	s i ¹															
4743-1	h aː n ¹															
5419-1	l j ə n ¹															
5601-1	ˀb aː n ¹															
2705-1	h a m ¹															
6381-1	ˀn aː ŋ ¹															
1017-1	k a ¹															
645-1	l aː k ¹															
273-1	m ə t ¹															
4338-1	t j a k ¹															
2533-1	k i ¹															
1089-1	t u p ¹															
843-1	ˀn a n ¹															
2787-1	ɕ ə t ¹															
4462-1	ˀn a n ¹															
10918-1	h a n ¹															
6582-1	h a ¹															
2070-1	k a ¹															
3075-1	s p a k ¹															
10848-1	f a ¹															
2480-1	z ə n ¹															
2214-1	t aːu ¹															
7225-1	h aː t ¹															
3515-1	t j a m ¹															
2588-1	z ə n ¹															
2908-1	ˀb j e k ¹															
2393-1	ˀn a ¹															
1156-1	ȵ a ¹															
2374-1	t a ¹															
2146-1	k a ¹															
5133-1	ˀn a ŋ ¹															
4981-1	l u k ¹															
10239-1	ˀm a ¹															
599-1	l j ə t ¹															
5048-1	k aːu ¹															
6331-1	h a ¹															
290-1	ȶʰ i n ¹															
311-1	h aː k ¹															
3430-1	s j u ¹															
5369-1	s j u ¹															
2749-1	t a n ¹															
2621-1	l j a k ¹															
1181-1	t a k ¹															
949-1	t j u ¹															
2839-1	t i ŋ ¹															
861-1	l aː k ¹															
6773-1	l aː k ¹															
5739-1	l aː k ¹															
5740-1	ɕ ə t ¹															
3550-1	ɕ u m ¹															
4445-1	ɣ u t ¹															
680-1	l aː ŋ ¹															
817-1	t aː n ¹															
782-1	pʰ j ə t ¹															
10396-1	s j u ¹															
4606-1	h aː n ¹															
5207-1	m a n ¹															
7280-1	ˀd h aːu ¹															
6983-1	ʔ j u t ¹															
5168-1	t aː ŋ ¹															
1264-1	s t u ¹															
915-1	t aːu ¹															
1767-1	t u ŋ ¹															
10901-1	t j a ŋ ¹															
10867-1	ˀd o ŋ ¹															
417-1	t j ə n ¹															
2285-1	pʰ s aːu ¹															
11002-1	ʔ ȶ ə t ¹															
6348-1	ˀm ai ¹															
6349-1	m aː n ¹															
10602-1	ˀb aː n ¹															
5654-1	l j e n ¹															
880-1	ˀm e ¹															
983-1	h aː n ¹															
2033-1	t o ¹															
1433-1	s j e ¹															
1467-1	p aː k ¹															
469-1	t j a m ¹															
3127-1	s j u ¹															
4623-1	h a ¹															
7099-1	l j e k ¹															
4726-1	h j e n ¹															
10465-1	ˀb aː n ¹															
5519-1	h ə n ¹															
5893-1	k j ə n ¹															
2857-1	t i ŋ ¹															
3645-1	h aː n ¹															
3032-1	v j e n ¹															
2088-1	v j a n ¹															
2463-1	t aːu ¹															
4794-1	ȵ i ¹															
4569-1	l u ŋ ¹															
4586-1	s u ¹															
4552-1	t a ¹															
3228-1	k aː ŋ ¹															
3245-1	j a ¹															
6651-1	l aː k ¹															
6652-1	ⁿb aː n ¹															
1817-1	l aː k ¹															
1818-1	ˀb j e k ¹															
11052-1	ˀn a ¹															
1230-1	l aː k ¹															
3380-1	h a k ¹															
8174-1	h a m ¹															
8599-1	t j a m ¹															
7782-1	ˀd j aːu ¹															
8294-1	l e k ¹															
