COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e									
56-1	i m									
96-1	a t a a									
99-1	a t i k a n									
114-1	t a k									
115-1	n m									
133-1	t i p a a a									
144-1	a t a w a									
150-1	k a w									
234-1	k n m									
236-1	p i k n n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a t a									
2-1	n e m									
65-1	i w									
74-1	p a n a									
106-1	t n i t									
128-1	p n k									
147-1	t i m i t									
231-1	p a n a w o									
232-1	p i p i									
239-1	n a m a k a n									
266-1	i t i m									
51-1	k w									
97-1	m a p a m a									
109-1	a p a i i									
121-1	k a p i p a k									
149-1	t a k									
160-1	k i p i k									
163-1	n p e n									
167-1	p a									
207-1	m i									
259-1	t a w a									
66-1	k a p a k a w									
134-1	n i p a t									
139-1	m a k a a i									
142-1	p a t a m t a									
145-1	k a t a t									
148-1	t a a a p a									
162-1	i n i n									
166-1	i m i									
179-1	t a									
201-1	p w									
21-1	t a n a									
24-1	p a k a t a n									
50-1	i n a									
57-1	t o k a w a n									
84-1	p i w a n									
91-1	m a k o n									
131-1	t a n i m									
151-1	k i w									
154-1	w e									
192-1	t n t									
197-1	t a m t									
205-1	i p a n									
227-1	t a p n i t									
246-1	i w i									
251-1	w a n a									
271-1	tʃ i w									
285-1	i m a w i n									
75-1	p i p a									
79-1	t a n									
104-1	k a p n									
153-1	tʃ a k									
157-1	t a a a m									
174-1	p i k									
240-1	t i m a k									
270-1	k a w a t i									
52-2		e t e								
56-2		m m e								
96-2		a m a e								
99-2		a m i m e m								
114-2		t o								
115-2		i o								
133-2		t i m a a a s								
144-2		a m a a a s								
150-2		a w								
234-2		k o m								
236-2		m i i m								
241-2		a a i m								
249-2		i t e								
74-2		m a m a								
93-2		t o m a o								
95-2		i								
106-2		t i e								
119-2		i e t t s								
128-2		o								
147-2		t i m								
231-2		m a m a e								
232-2		i								
239-2		m a m a k a								
266-2		i s i m								
51-2		a w e								
55-2		s m a m								
97-2		m a m r m								
121-2		k a m i a a a s								
163-2		i m e m								
167-2		m a								
259-2		t o w a								
66-2		k a p a a w								
112-2		t a a r s s								
116-2		t o m a a								
125-2		a t m a e								
135-2		i m i								
139-2		m m o a e								
142-2		m a a a m m								
148-2		t a a a k								
162-2		i i								
166-2		i m i								
179-2		t a								
45-2		o t o m m m								
84-2		m i a k								
131-2		m s i s								
146-2		a i a m a								
154-2		w e e								
192-2		t t								
197-2		t e m i m								
235-2		a o w i								
237-2		m i m a e i								
246-2		i w i								
250-2		m o m i t o t								
267-2		t o w a								
39-2		m a m a m i								
42-2		k i t r a m a								
44-2		w a k a m								
75-2		i i w a m								
94-2		e o e s								
122-2		i i e a								
52-3			tʃ tʃ tʃ							
56-3			i m tʃ							
96-3			tʃ a t							
99-3			t i tʃ a k							
114-3			tʃ o k i a i							
115-3			o t i							
133-3			tʃ i i e a a a							
144-3			tʃ i k a i i							
150-3			k k							
234-3			k o k							
236-3			tʃ i k o k							
241-3			a k i k							
249-3			i tʃ tʃ							
1-3			k tʃ							
2-3			k w i							
65-3			i k a							
93-3			tʃ e i a k i tʃ i							
95-3			k i tʃ i							
106-3			tʃ o k i i i							
119-3			i a tʃ i a i							
128-3			o o k i i							
147-3			tʃ i m i i							
231-3			tʃ a k a t							
232-3			tʃ i k i a							
239-3			k m k k							
266-3			i tʃ i t							
3-3			k i i i k							
4-3			a tʃ a m							
55-3			i h k							
109-3			i tʃ a tʃ i							
121-3			k i i a e i i							
149-3			tʃ e k							
160-3			k i i i k							
207-3			m i							
112-3			tʃ e i e a i a							
125-3			k a tʃ i k e i							
134-3			k i k tʃ i							
135-3			tʃ i k i m							
139-3			k m k t i i e							
57-3			tʃ k a k a k							
71-3			m k i							
131-3			tʃ o k a i i k							
146-3			i i i k a i							
227-3			k i tʃ i i t							
132-3			m m i i							
240-3			tʃ i m a k							
52-4				i t						
56-4				i m						
96-4				a t a i						
99-4				a m i p						
114-4				t o k i						
115-4				i m						
133-4				t i p a a a						
144-4				a t a w a i i						
150-4				k a w						
234-4				k o m						
236-4				p i k a n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a t a						
2-4				a m						
65-4				i w						
74-4				p a n a						
93-4				t a p a m i t						
95-4				a i t i						
106-4				t i n i t						
119-4				i a i t i i						
128-4				k o k						
147-4				t i m i t						
231-4				p a n a w						
232-4				p i i						
239-4				n a m a k a n						
266-4				i t i m						
3-4				a k i i m a						
4-4				w a m a						
51-4				i w i						
97-4				m a m a m a						
109-4				i p i k i						
121-4				k a p i a a k a i						
149-4				t o k						
160-4				k i m i k						
163-4				n p i n						
167-4				p a						
207-4				m i t						
259-4				t o w a						
66-4				k a m a k a w						
116-4				t a p a k a tʃ i						
134-4				n i p a t						
135-4				k i m i p						
139-4				m o p o i o p						
142-4				p a t a a a						
145-4				k a t a t t						
148-4				t a a a p a a						
162-4				i n i n						
166-4				i m i						
179-4				t a						
201-4				p e						
21-4				k a n a						
24-4				w a k a m a n						
45-4				a i a a m a						
50-4				i n a						
57-4				t o k a w a n						
71-4				o m i						
84-4				p i w a n						
91-4				m o k o n						
131-4				t o k a i i m						
146-4				i k i m a						
151-4				k i w						
154-4				w e						
192-4				t o t						
205-4				i p a n						
227-4				w a p i t o						
235-4				t a w i						
237-4				p a m a j i						
246-4				i w i						
250-4				m a m a t a p						
251-4				w a n a						
271-4				tʃ i w						
284-4				w i t i						
285-4				i m a w i n						
