COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	m a b e			
222-1	a b a b o n e			
208-1	a b u r b ɛ t e			
962-1	a b a l ʃ e			
203-1	a ʔ u ɗ e a i			
138-1	o s i l e			
504-1	h o ŋ o e			
662-1	ɓ u ɗ a n e			
478-1	oː ʔ a ɗ e			
409-1	a r e			
410-1	ɓ a ɲ t o			
256-1	ɓ iː l e			
622-1	n d e			
546-1	n d e			
547-1	m u ʃ e i			
847-1	m a n d o k e			
95-1	b uː ɗ e			
105-1	ɓ a m n e			
510-1	b uː s e			
951-1	m b a s ɛ r e			
1116-1	m b ɛ l e			
149-1	ɓ u l a			
376-1	ɓ iː l e			
815-1	ɗ o ŋ o e			
453-1	ɓ uː r e			
67-1	d uː s e			
47-1	ɗ a b k e o r e			
869-1	ɓ uː ʃ e			
57-1	k uː ɗ e			
303-1	k ʔ a n k a e			
443-1	lː a l e			
884-1	ɓ a ŋ g o			
166-1	ɓ a ɲ t o			
918-1	a b a r e			
831-1	m u ɲ ʃ e			
616-1	ɓ eː e			
84-1	m o s o l e			
346-1	m o h a l e			
601-1	m i b i			
177-1	k ʔ eː t e o			
341-1	ɓ iː l e			
1066-1	m a n k o r e			
318-1	k m aː s e			
241-1	m a ɲ k s e			
556-1	m a n d o ɾ e			
191-1	ɓ a n k a o			
458-1	a s b i ŋ e			
1-1	m a ŋ ɲ o ɾ i			
751-1	l e			
864-1	a m a ŋ k e			
154-1	a b m a ɲ ʃ o			
278-1	a m i l e n e			
766-1	s a r e			
251-1	a b a ɾ e			
582-1	a b ɛ s i			
6-1	i l e			
1106-1	n d e			
473-1	m a l e			
1111-1	m a r o			
957-1	m a r e			
41-1	b ə o			
468-2		m aː l a		
222-2		a b a b o n i		
208-2		a b a r b a d e		
962-2		a g o r ʃ a		
203-2		a g a ɗ i ʔ		
138-2		a m i l e		
504-2		g aː s ɛ r a		
662-2		b u ɗ e n e		
478-2		k g a ɗ e		
409-2		a r e		
410-2		g a n d e		
256-2		ɓ eː l e		
622-2		n d e		
546-2		n d e		
547-2		s ɛ r a		
847-2		m a n ɗ i g i		
95-2		b i d e		
105-2		b o m a s i		
510-2		b aː ʃ a		
951-2		m b aː l aː r e		
1116-2		m b ɛ l a		
149-2		ɓ i s ʔ i		
376-2		ɓ eː l e		
815-2		g aː ŋ o a		
453-2		b aː ʃ e		
67-2		g aː ʃ a		
47-2		ɗ o g e l o r a		
869-2		g oː ʃ a		
57-2		g aː g a		
303-2		k ʔ o s ʔ a a		
443-2		g aː r e		
884-2		g a n d u		
166-2		g a n d e		
918-2		a b a r e		
831-2		m aː n ʃ a		
616-2		b a e		
84-2		s aː s o l a		
346-2		s aː g o l e		
601-2		s i g i		
177-2		k ʔ a l a		
341-2		k eː l e		
1066-2		mː a n s ʔ i r i		
318-2		ɛ m aː ʃ a		
241-2		m aː ʃ e ʃ a		
556-2		mː a n ɗ i l i		
191-2		ɓ a n ɓ i l		
458-2		aː s ʔ i s ʔ a		
1-2		mː a n ʔ o l		
751-2		m a		
864-2		a mː a n e a		
154-2		a e m a n s i		
278-2		a m a l e ʔ a		
766-2		m aː r e		
251-2		a g aː r e		
582-2		a eː l e		
6-2		i r e		
1106-2		n d o		
473-2		m aː r e		
1111-2		s aː r a		
957-2		m aː r e		
41-2		ɓ i e		
468-3			m aː b a	
222-3			a b a b a r a	
208-3			a b a r b i d a	
962-3			a g ʊ r ʔ a	
203-3			a g a d i ʔ	
138-3			θ ɛ l a	
504-3			b ɔ ʃ a l a	
662-3			p u d iː a	
478-3			a g u d a	
409-3			aː r e	
410-3			g u n d a	
256-3			p ʔ eː l a	
622-3			m d u	
546-3			m d u	
547-3			s ɛ l a	
847-3			m a s d i ʔ i	
95-3			b u d a	
105-3			b ɔ ʔ ʔ ʃ a	
510-3			b u ʃ a	
951-3			m b a m a r i	
1116-3			m b a l a	
