COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	k a															
241-1	ʔ u ʔ															
2163-1	kʰ n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	kʰ n															
1841-1	m au̯															
2017-1	h ɔ															
1004-1	r ou̯															
614-1	b ou̯ h															
686-1	b l ɔ															
88-1	k ɔ ʔ															
872-1	n ɨ ŋ															
1891-1	kʰ ou̯															
68-1	s ɨi̯ m															
631-1	b ə̆ n															
594-1	g ou̯															
1759-1	h a n															
805-1	g ɨ n															
756-1	h ɨ ʔ															
1201-1	m kʰ ʔ															
2042-1	ʔ a															
1968-1	t a ʔ															
2000-1	k ou̯ ŋ															
17-1	v a ʔ															
4-1	ɔ ə m															
788-1	ɨ ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ ou̯ ŋ															
541-1	b r j a ŋ															
1687-1	h kʰ n															
123-1	ɔ ou̯ m															
1652-1	t ɨ n															
576-1	ŋ ɔ															
1738-1	ɨ a k															
442-1	h ɔ m															
368-1	t j a ŋ															
1778-1	p a ʔ															
957-1	n a p															
1704-1	ʔ ɨi̯ ʔ															
304-1	j ɔ m															
1796-1	t ɔ ŋ															
720-1	t b h															
287-1	k a p															
321-1	g ə h															
206-1	ɨ ou̯ ʔ															
1950-1	ʔ kʰ															
665-1	ɔ v n															
703-1	n ou̯ ʔ															
1290-1	m ʔ															
1391-1	k ɔ ʔ															
269-1	g a ʔ															
855-1	t a n															
2078-1	s ɔ															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p ə̆ t															
340-1	ʔ ɔ															
1111-1	s ɛ															
485-1	ŋ n															
1356-1	m u h															
1093-1	t ou̯ ŋ															
1063-1	kʰ ɔ m															
648-1	t ə̆ n															
223-1	g ɔ n															
1248-1	t															
1509-1	t ɔ n															
504-1	t u h															
2130-1	s ɨi̯															
1-1	ʔ o															
386-1	j ou̯ ʔ															
1411-1	ʔ															
1027-1	g a ʔ															
1459-1	g l ʔ															
1323-1	ə															
1859-2		ŋ ə														
175-2		g a														
241-2		ʔ o ʔ														
2163-2		kʰ n														
2181-2		n a m														
2060-2		ʔ e m														
410-2		d ui̯														
1841-2		m a														
2017-2		h ɔːi̯														
1004-2		f aː														
