COGID	1	10	2	3	4	5	6	7	8	9
2689-1	z a m a									
893-1	a á n i i a									
1285-1	n z a i									
1303-1	ŋ g ɔ m a									
2197-1	z n a l á									
2828-1	i n a									
3572-1	s ɔ n i i									
1095-1	l i m a									
1755-1	l k ɛ									
1789-1	k l a á ŋ g a									
3207-1	β ʊ l a									
3519-1	t ʊ m a									
3686-1	i i i m p a									
4249-1	k ʊ m i i									
4451-1	β i i s i									
448-1	β ʊ k ʊ ʊ i									
630-1	β ɛ ɛ l ɛ									
814-1	p ɔ i m w ɛ									
1216-1	g a β i a									
1228-1	β β a									
1418-1	z i m i i n a									
1475-1	g dʒ a									
2026-1	t w i									
2775-1	z ʊ m z a									
3397-1	z ɔ l a									
3826-1	ɔ ɔ k a									
4003-1	n i n β a									
4040-1	g ɛ n i i									
4373-1	l i m i									
4384-1	i z ɔ									
84-1	s ʊ g ʊ l ʊ									
116-1	w i k a									
181-1	g a n ŋ g a									
419-1	l ɔ g									
587-1	ɔ ɔ ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i i l a									
1122-1	β i l a									
1159-1	a									
1350-1	l d a									
1374-1	n n á a n ɛ									
1396-1	z ɔ β ʊ									
1430-1	i n s ɔ									
1666-1	t i n ɔ									
1767-1	k ɔ k ɔ									
1906-1	i ŋ g i l a									
2177-1	z g i i									
2286-1	l a									
2317-1	d ʊ d a									
2419-1	s ɛ k a									
2750-1	ɛ n z i									
3018-1	z i l a									
3275-1	k a l k a									
3441-1	s a ŋ g a									
3464-1	β ɔ k a									
3639-1	d ɛ t ɛ m ɛ l a									
3885-1	z ʊ ʊ m ɔ									
3981-1	i n m a n a									
4192-1	β i i i m β a									
4260-1	z a									
4350-1	l ɛ ɛ l ɔ									
43-1	b i ʊ m ʊ									
93-1	k ɔ n ɔ									
200-1	d i									
374-1	a a l d a									
459-1	l ʊ m a									
508-1	d ɔ d ʊ									
528-1	d i l i									
575-1	t a									
871-1	t ʊ l a									
1137-1	d ʊ k ʊ									
1339-1	t i i i									
1585-1	a a l a									
1712-1	z u l ɔ									
1872-1	p a									
2088-1	β i i s a									
2166-1	i ʊ ʊ i m b a									
2334-1	z i g ŋ									
2393-1	m a z a									
2537-1	l ɔ m ɔ									
2665-1	i i ŋ g i									
2738-1	d ɛ ɛ l ɛ									
2872-1	k ɔ s i									
2893-1	d i k ʊ a									
2997-1	g a n á s a									
3075-1	g ʊ l ʊ b ɛ									
3675-1	l d ʊ a l ɛ									
4028-1	d ɛ ɛ									
4137-1	m ʊ l a									
4238-1	i s ɔ p i									
4316-1	t a t ʊ									
4429-1	i a s a									
4440-1	b i i l i i									
4485-1	ʊ									
4574-1	β b a a l a									
4688-1	n n z ɛ									
143-1	b u									
240-1	ɔ ɔ g a									
388-1	b á b u m a									
401-1	b a									
2689-2		s a m a								
893-2		a n a								
1303-2		s k oː m a								
2197-2		w l a l a								
2828-2		w i n a								
3572-2		v o n i								
1095-2		l i m a								
1789-2		k a l a a ŋ n a								
3207-2		b u l a								
3519-2		t u m a								
3686-2		l i ŋ m b a								
4249-2		k u m i								
4451-2		v i i v i								
448-2		g u n l l i								
630-2		s e e l e								
814-2		w oː o m w e								
1216-2		g a v a								
1228-2		b s a t								
1418-2		s i m l l l a								
1475-2		k s a								
2026-2		t w e e								
3826-2		w o k a								
4003-2		l i l v a								
4373-2		l i m i								
4384-2		i n o								
84-2		a u l g u l u								
116-2		s i k a								
419-2		l o g a								
587-2		o l ŋ dʒ o								
660-2		l u l a								
848-2		k a l a								
1122-2		v i g a								
1159-2		w a								
1350-2		l w a t								
1374-2		n a a n								
1906-2		i n i l a								
2419-2		s e k a								
2750-2		e u s i								
3441-2		s e u u s a								
3464-2		v o n a								
3639-2		dʒ e e dʒ l l e e m a								
3981-2		l m l v a								
4192-2		v i m b a								
4350-2		l e e l o o								
278-2		s a								
3971-2		k a m a								
55-2		s a m a								
43-2		w i p u								
93-2		k o n o								
459-2		l u m a								
1137-2		s i g u								
1585-2		a a l a								
1872-2		p a a								
2166-2		u m b a								
2872-2		k o j i								
2997-2		s a a a s a								
3075-2		s u l u s u								
3675-2		l s e i l e								
4137-2		m i l a								
4238-2		j o j i								
4316-2		t á t u								
4574-2		s s a l a								
3067-2		n n u								
3531-2		a a n i g a								
1033-2		k o s o o a								
3185-2		w i o k a								
794-2		w e e a a k a								
143-2		v u a								
240-2		o s a								
388-2		u m a								
2689-3			s a s a							
893-3			a n a							
1285-3			n β a							
1303-3			e k o s a							
2197-3			s a l							
2828-3			l i n a							
3572-3			s o n i i							
1095-3			l i s a							
1755-3			l l e							
1789-3			x a l a m k a							
3207-3			β u l a							
3519-3			s u s a							
3686-3			i á b a							
4249-3			x u s i i							
4451-3			p i tʃ i							
448-3			s u ɲ u u i							
630-3			β o e l o							
1216-3			k a m a							
1228-3			s s a a							
1418-3			s i s a							
1475-3			k s a							
3397-3			β o l a							
4003-3			i p a							
4040-3			k e n i i							
4373-3			d i s i							
4384-3			i x o							
181-3			k o o m k o							
419-3			l o k a							
587-3			o á k o							
660-3			l e l a							
1083-3			l i l a							
1350-3			l s a a							
1374-3			n ŋ a n e							
1396-3			s o f u							
1666-3			r o a tʰ o							
1767-3			x o x o							
1906-3			i e k i l a							
2177-3			s k a a a							
2286-3			l a							
2317-3			β u β a							
2750-3			e a s i							
3275-3			x a e n a							
3464-3			tʃ o ɲ a							
3639-3			d m l a							
3981-3			a tʃ ŋ a							
4192-3			s i á s a							
4260-3			β β a a							
4350-3			l e e l a o							
278-3			p a							
745-3			β a a x o							
3971-3			x á s a							
93-3			o ɲ o							
200-3			β i a							
374-3			a a l β a							
508-3			β o o β u							
528-3			β i l i							
1137-3			s i d u							
1585-3			a a l a							
1712-3			m u l o							
2088-3			s i s a							
2334-3			s i k o							
2393-3			s a ɲ a							
2665-3			i m k i							
2738-3			β e e l e							
3675-3			l s á l e							
4137-3			tʃ i l a							
4440-3			x i l i							
4574-3			s tʃ a a l a							
4688-3			m m e							
2798-3			n β a							
3067-3			n p u							
3531-3			a n u x a							
3767-3			l o							
4632-3			x a a β i i							
401-3			x a							
2689-4				e a e a						
893-4				a e e n e a						
1285-4				l l a l						
3572-4				l m l i						
1755-4				k l dʒ						
1789-4				r a r r o r r a						
3686-4				k l m m m a						
4451-4				r i r u						
1216-4				e e e e e e						
4003-4				r r r a						
419-4				u u u a						
1122-4				e e e e						
1430-4				l l l l						
1666-4				r u r r l						
1767-4				l l l l						
55-4				s a s a						
94-4				ɲ ɲ i ɲ						
2717-4				ɔ a l ɔ a						
1339-4				l l l l						
4632-4				r r r r						
2689-5					f a m a					
893-5					p n n					
1285-5					β w					
1303-5					á g o m a					
2197-5					ʃ a l					
2828-5					w i β a					
3572-5					β o n i					
1095-5					l i m					
3207-5					β u l a					
3519-5					t u m a					
3686-5					n i i f a					
4249-5					k u m i					
448-5					b u k e e i					
630-5					β e e l e					
814-5					f o m f e					
1228-5					f f a					
1418-5					ʃ i m					
2026-5					t f e					
2775-5					β u u w					
3397-5					β o l					
3826-5					f o k a					
4040-5					e n i					
4373-5					d i m i					
4384-5					i p o					
84-5					u g u l u					
116-5					p i k a					
587-5					o á g o					
848-5					k l a					
1159-5					f a					
1350-5					l f a					
1396-5					f o f u					
1430-5					i s o					
1767-5					k o k o					
2286-5					l					
2317-5					β u β					
2419-5					s e k a					
2750-5					e e ʃ i					
3018-5					s i l					
3275-5					k t					
3441-5					s a ŋ g a					
3885-5					p m o					
4192-5					f i f a					
4260-5					β β					
4350-5					l e e l o					
278-5					β a a					
745-5					β k o					
3971-5					k a m a					
55-5					n a m a					
94-5					n o k o					
2717-5					u d a a n g a a					
4139-5					m i w					
200-5					β i					
374-5					l β					
508-5					β o β u					
528-5					β i l i					
575-5					t					
1137-5					ʃ i k u					
1339-5					t n i i					
1872-5					p a					
2537-5					l o m o					
2738-5					β e e l e					
2872-5					k o s i					
2893-5					t i k u					
3675-5					l b e e l e					
4028-5					s e					
4238-5					i s o ʃ i					
4429-5					s					
4485-5					n u					
2798-5					n β					
3531-5					a t i β					
3767-5					l l					
4632-5					k β i					
1033-5					k l s l l l l l					
3185-5					f i k a					
1303-6						p p				
1755-6						ɛ i i				
448-6						ɔ s s ɔ ɔ s				
1475-6						k k k				
3397-6						s s s ŋ				
2286-6						s ŋ				
278-6						l k				
2717-6						o a d a				
4137-6						i i i i				
3767-6						l l				
1033-6						l l k l l k				
2689-7							z a m a			
893-7							a a n a			
1285-7							z z a			
1303-7							z o m a			
2197-7							z a a			
2828-7							i n a			
3572-7							s o n i			
1095-7							i m a			
1755-7							o n e			
1789-7							k a a a k a			
3519-7							t u m a			
3686-7							ŋ ŋ m p a			
4249-7							k u m i			
4451-7							l i s i			
814-7							o m b e			
1216-7							g a f a a			
1475-7							g z a			
2026-7							t e			
2775-7							v u m v a			
3826-7							z o k a			
4003-7							i z a			
4040-7							ɣ e n i			
84-7							ɣ u u			
116-7							h i k a			
181-7							g o u ɣ o			
419-7							o g a			
587-7							o ŋ g o			
660-7							l e l a			
848-7							k á a			
1122-7							h n a			
1159-7							h a			
1374-7							n h a a n			
1396-7							z o f u			
1430-7							i ŋ s o			
1906-7							ɣ i a			
2177-7							z ɣ a			
2419-7							tʃ e k a			
3018-7							v i a			
3275-7							k a a n a			
3441-7							tʃ e g a			
3464-7							h o n a			
3639-7							d d m a			
3885-7							v i m u			
4192-7							f i m p a			
745-7							t a k o			
3971-7							k a m a			
55-7							t a m a			
2717-7							k g a ŋ g a			
4139-7							m i n a			
93-7							k o n o			
459-7							u m a			
575-7							t a a			
1712-7							v u o			
2088-7							z i tʃ a			
2166-7							u m b a			
2334-7							z i g o			
2393-7							m a ɲ a			
2537-7							o m o			
2665-7							i u ɣ i			
2997-7							g a a z a			
4028-7							ŋ w e			
4316-7							t ŋ t u			
4429-7							h á tʃ a			
4688-7							h l e			
3067-7							n u			
3185-7							f i k a			
794-7							v e e k a			
143-7							h u			
388-7							ŋ a u m a			
2689-8								t a m a		
1285-8								n w a		
1303-8								β o m a		
2197-8								t a r a		
2828-8								î n a		
3572-8								t o n i		
1755-8								n u		
1789-8								k u r a ŋ g a		
3207-8								r u r a		
3519-8								r u p a		
3686-8								r î r r t a		
4249-8								k u m î		
4451-8								β i t i		
814-8								t o m t e		
1228-8								f f a		
2026-8								t t u		
2775-8								β u m b a		
3826-8								t o k a		
4040-8								g u n î		
181-8								v o ŋ g o		
660-8								r e r a		
848-8								k r p a		
1083-8								k i k a		
1159-8								t a		
1350-8								r k a		
1396-8								ʝ o β u		
1666-8								t ŋ g ô		
2177-8								v g a		
2317-8								w u w a		
4260-8								a		
745-8								m u k ô		
3971-8								k e p a		
94-8								w ô k ô		
2717-8								t t a ŋ g a		
4139-8								m i n a		
43-8								w p á		
575-8								t a ʝ		
871-8								k á g a		
1339-8								t t i ŋ		
1585-8								a a r a		
1872-8								t a a		
2893-8								w î k u		
4028-8								t w e		
4316-8								t e t u		
