COGID	1	10	2	3	4	5	6	7	8	9
2689-1	n a m a									
893-1	a n a									
1285-1	n w a									
1303-1	g ɔ m a									
2197-1	z i a l a									
2828-1	i n a									
3572-1	s ɔ n i									
1095-1	l i m a									
1755-1	n ɛ									
1789-1	k a l a a ŋ g a									
3207-1	β u l a									
3519-1	t u m a									
3686-1	i i i m b a									
4249-1	k u m i									
4451-1	β i s i									
448-1	d ʊ z - a - a i									
630-1	β ɛ ɛ l ɛ									
814-1	ɔ m b ɛ									
1216-1	g a β a									
1228-1	b w a									
1418-1	z i m i i a									
1475-1	g w a									
2026-1	t w i									
2775-1	β u m b a									
3397-1	β ɔ l a									
3826-1	n ɔ ɔ k a									
4003-1	i β a									
4040-1	g ɛ n i									
4373-1	l i m i									
4384-1	i n ɔ									
84-1	s u g u l u									
116-1	ɲ i k a									
181-1	ɔ ɔ ŋ g ɔ ɔ									
419-1	l ɔ g a									
587-1	ɔ i ŋ g ɔ									
660-1	l ɛ l a									
848-1	k a l a									
1083-1	l i l a									
1122-1	β i a									
2689-2		ɲ a m a								
893-2		a a n a								
1303-2		w s o m o m a								
2197-2		w a l a								
2828-2		w i n a								
3572-2		s o n i								
1095-2		l i m a								
1789-2		k a l ŋ dʒ a								
3207-2		w u l a								
3519-2		t u m a								
3686-2		e i l m b a								
4249-2		k u m i								
4451-2		w i s i								
448-2		s o m u ɲ e e i								
630-2		v e e l e								
814-2		s o m b e								
1216-2		g a v a								
1228-2		b w a								
1418-2		s i m a								
1475-2		g w a								
2026-2		t w e								
3826-2		ɲ o k a								
4003-2		i a								
4373-2		l i m i								
4384-2		i ɲ o								
84-2		a a g u l u								
116-2		s i k a								
419-2		l o g a								
587-2		o a ŋ g o								
660-2		l e l a								
848-2		k a l a								
1122-2		v iː n a								
2689-3			ŋ a m a							
893-3			a n a							
1285-3			n w a							
1303-3			g o m a							
2197-3			ŋ a l a							
2828-3			i i n a							
3572-3			s o n i							
1095-3			l i m a							
1755-3			n e							
1789-3			x a l a a ŋ g a							
3207-3			w u l a							
3519-3			r u m a							
3686-3			i i m b a							
4249-3			x u m i							
4451-3			β i ŋ i							
448-3			s o n i							
630-3			β e e l e							
1216-3			k a β a							
1228-3			s w a							
1418-3			s i m a							
1475-3			g w a							
3397-3			β o l a							
4003-3			β a							
4040-3			k e n i							
4373-3			l i m i							
4384-3			i n o							
181-3			k o ŋ g o							
419-3			l o k a							
587-3			o ŋ g o							
660-3			l e l a							
1083-3			l i l a							
2689-4				n a b a						
893-4				a e n e e a						
1285-4				n n a e						
3572-4				m o ɲ e						
1755-4				e n o						
1789-4				k á n a ŋ ts á						
3686-4				e e e o m á						
4451-4				ɲ e b u						
1216-4				n á a n e e á a						
4003-4				i r á						
419-4				l u b á						
1122-4				dʒ e n á a						
