COGID	Albanian	English	French	German	Latin
560-1	j m i				
438-1	u r a				
1222-1	j				
353-1	p u s j ɛ r				
201-1	p y k				
20-1	f j r				
503-1	p e n				
957-1	d				
728-1	l a ŋ				
244-1	n u m ə n				
289-1	n u t				
911-1	r u r i				
724-1	d r u r				
145-1	d u				
992-1	k u				
1181-1	k u n d				
741-1	p i u				
1150-1	g ʊ r i				
585-1	t y				
814-1	a r e				
916-1	t				
1079-1	b b				
630-1	ʃ ʒ u t				
343-1	j i a r				
560-2		w ɑ d i			
438-2		w ɑ			
1222-2		w ɑ			
353-2		p ə s i			
201-2		p i n d			
20-2		f oi ə r			
503-2		f l i l			
957-2		d ə			
728-2		l ɑ ŋ			
244-2		l e m ə n			
289-2		n ɑ f θ			
911-2		w ɑ t ə r			
724-2		t r ɛ			
145-2		t w ɑ			
992-2		w i			
706-2		ɔ j			
106-2		f a n d r			
741-2		d ɑ s			
421-2		f l ʊ m			
227-2		p ʊ θ			
920-2		h ɑ r θ			
1083-2		h ɑ r l ʊ			
1066-2		j f			
1125-2		j n ʊ			
1197-2		m ɛ r			
473-2		n ai v ɑ l			
284-2		l a s ɑ			
661-2		ə l ɑ			
701-2		r o j			
315-2		r ɑ d			
1169-2		s a l t			
1150-2		k au ə r			
982-2		s i t			
987-2		l i v			
1055-2		s t ɛ r			
1130-2		s ɪ			
433-2		s ɑ l i			
625-2		l ə n			
1186-2		t e n d			
416-2		w			
1233-2		w ə n d ɑ			
884-2		w i r i d i			
1016-2		ɛ d ə m a l			
952-2		ɛ d			
78-2		f l a s			
514-2		b r ɛ l ɛ			
116-2		ɪ θ ɪ			
188-2		f r i l			
745-2		f ɪ n d ə r			
1100-2		f r ʊ f t			
47-2		h ɑ m ə n			
111-2		l ɛ s			
1061-2		m au t ɛ ɑ			
24-2		n u f d			
232-2		n ə n k			
671-2		r ɛ f t			
560-3			v i m i		
438-3			u r s		
1222-3			w s		
353-3			p u s e		
201-3			p u r i		
20-3			p a r i		
503-3			p u r i		
957-3			i		
728-3			s ʒ ŋ		
244-3			n u m i		
289-3			n ɔ f		
911-3			r u r i		
724-3			s r ɛ		
145-3			t u		
992-3			w		
1181-3			k a n i		
706-3			u k u r		
106-3			p ɔ t i r		
741-3			p ɔ̃ k u		
421-3			p n u i r		
227-3			p u r i		
920-3			k ɔ r i		
1083-3			k ɔ r n y		
1066-3			o ʒ u		
1125-3			ʒ ɛ		
1197-3			m u r i		
473-3			n u u		
284-3			e s u		
661-3			v i		
701-3			r u b r		
315-3			r u n		
1169-3			s ʒ n t		
1150-3			k u r t		
982-3			s ɛ t		
987-3			s n u		
1055-3			s t ɔ r		
1130-3			s u ʒ		
433-3			s u n		
585-3			t y		
625-3			t i ŋ i		
1186-3			t e		
814-3			w e r aː		
416-3			v ɔ t		
1233-3			v ɑ̃ t e		
884-3			v ɛ r m		
916-3			ɛ t		
1016-3			ɛ i m e		
952-3			ɛ		
514-3			r o n		
1079-3			b t b ɛ		
1100-3			p r u f t		
47-3			k u ɛ i		
111-3			ɛ k		
1061-3			m ɔ̃ t i		
1155-3			k ɔ n s		
343-3			v ɑ̃ t r		
671-3			r o p t		
560-4				v y i n	
438-4				eː r	
1222-4				a x r	
353-4				f v a z au	
201-4				f i z	
20-4				f a l i r	
503-4				f l i v	
957-4				n eː	
728-4				l a ŋ	
244-4				n eː m ə n	
289-4				n e t	
911-4				r eː z i n	
724-4				d r eː	
145-4				t au	
992-4				h	
1181-4				k a n l	
706-4				ai k r l a	
106-4				f a n d ə	
421-4				f l u ə r	
227-4				f uː t	
920-4				h a r t	
1083-4				h a r n	
1066-4				g eː	
1125-4				g ə n au	
1197-4				m a n d ə r	
473-4				n au b e l	
284-4				l eː ʃ ɑ	
661-4				y n	
701-4				au b	
315-4				r au l t	
1169-4				ʃ e l t	
1150-4				k au l t	
982-4				z i t	
987-4				n aː v	
1055-4				ʃ t a l	
1130-4				ʃ ə z eː	
433-4				ʃ u l	
585-4				ts oː	
625-4				l ə ŋ	
1186-4				t eː n t	
814-4				a r e	
416-4				v a	
1233-4				v y n d	
884-4				v y r m	
78-4				f l eː	
514-4				b r uː l aː	
116-4				eː t eː	
188-4				f a k r l	
745-4				f oi ə r	
1100-4				f r u s	
630-4				n k au ʃ t	
1155-4				h au l l e	
24-4				n u n	
232-4				n au n k	
671-4				r iː t a s	
560-5					w k i
438-5					w o r e
1222-5					w g s
353-5					p eː s k u
201-5					p e k u
20-5					p w r i d i
503-5					p u l w i a
957-5					n e
728-5					l o ŋ
244-5					n eː m i n
289-5					n uː b t
911-5					w aː r i d i
724-5					t r o
145-5					t w ai
992-5					k u
1181-5					k oː n i
706-5					o g i
106-5					p e r i r
741-5					p aː k
421-5					p l u i r
227-5					p u t
920-5					k o r t i n
1083-5					k o r n
1066-5					eː f
1125-5					d i
1197-5					m u n d r
473-5					n u w i l
284-5					n u s i
661-5					t e n eː
701-5					r u d
315-5					r u n n
1169-5					s o l t
982-5					s iː t
987-5					s n eː
1055-5					s t o r n
1130-5					s uː s aː
433-5					s u n i ʒ
585-5					t e
625-5					t i ŋ i
1186-5					t eː t
814-5					w i r i d i
416-5					w o t
1233-5					w e n t
884-5					w i r m
916-5					l
1016-5					aː n e m e l
952-5					aː
78-5					b l eː s
1079-5					b i
116-5					i t
188-5					p o r n
745-5					p e t i r
47-5					k m u m e n
111-5					l aː k
1061-5					m u n t e n
630-5					n k u s t
1155-5					k u l s
24-5					n o f t
232-5					n u n
343-5					w e l t e r
