COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
4-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
113-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
270-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
424-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
1078-1	Ø Ø Ø Ø Ø																		
1272-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
1293-1	Ø Ø Ø Ø																		
42-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
421-1	Ø Ø Ø Ø																		
900-1	Ø Ø Ø Ø Ø Ø Ø																		
361-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
651-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
48-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
931-1	Ø Ø Ø Ø Ø Ø Ø																		
961-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
1057-1	Ø Ø Ø Ø Ø Ø Ø																		
1035-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
1116-1	Ø Ø Ø Ø Ø Ø Ø																		
1251-1	Ø Ø Ø Ø Ø Ø																		
1414-1	Ø Ø Ø Ø																		
527-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
71-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
169-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
237-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
676-1	Ø Ø Ø Ø Ø Ø Ø																		
685-1	Ø Ø Ø Ø Ø Ø Ø																		
1386-1	Ø Ø Ø Ø Ø Ø Ø																		
294-1	Ø Ø Ø Ø Ø Ø Ø																		
697-1	Ø Ø Ø Ø																		
906-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
1193-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
1342-1	Ø Ø Ø Ø																		
157-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
401-1	Ø Ø Ø Ø Ø Ø Ø																		
437-1	Ø Ø																		
745-1	Ø Ø Ø Ø Ø																		
756-1	Ø Ø Ø Ø Ø Ø																		
880-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
923-1	Ø Ø Ø Ø Ø Ø																		
1052-1	Ø Ø Ø Ø Ø Ø																		
267-1	Ø Ø Ø Ø Ø																		
282-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
445-1	Ø Ø Ø Ø Ø Ø																		
485-1	Ø Ø Ø Ø Ø																		
1245-1	Ø Ø Ø Ø Ø																		
1327-1	Ø Ø Ø Ø Ø																		
218-1	Ø Ø Ø Ø Ø																		
372-1	Ø Ø Ø Ø Ø																		
538-1	Ø Ø Ø Ø Ø Ø Ø																		
601-1	Ø Ø Ø Ø Ø Ø Ø																		
126-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
642-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
843-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
971-1	Ø Ø Ø Ø																		
1267-1	Ø Ø Ø Ø Ø Ø Ø																		
1314-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
20-1	Ø Ø Ø Ø Ø Ø																		
100-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
253-1	Ø Ø Ø Ø Ø																		
310-1	Ø Ø																		
432-1	Ø Ø Ø																		
774-1	Ø Ø Ø Ø Ø Ø Ø																		
1062-1	Ø Ø Ø Ø																		
745-2		Ø Ø Ø Ø Ø																	
971-2		Ø Ø Ø Ø																	
4-3			Ø Ø Ø Ø Ø Ø Ø																
113-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
270-3			Ø Ø Ø Ø Ø Ø Ø Ø																
1078-3			Ø Ø Ø Ø Ø																
1293-3			Ø Ø Ø Ø																
42-3			Ø Ø Ø Ø Ø Ø Ø Ø																
421-3			Ø Ø Ø Ø																
470-3			Ø Ø Ø Ø Ø Ø Ø Ø																
584-3			Ø Ø Ø Ø Ø Ø Ø																
651-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
48-3			Ø Ø Ø Ø Ø Ø Ø Ø																
931-3			Ø Ø Ø Ø Ø Ø Ø																
961-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
1057-3			Ø Ø Ø Ø Ø Ø Ø																
1203-3			Ø Ø Ø Ø Ø																
813-3			Ø Ø Ø Ø Ø Ø																
1251-3			Ø Ø Ø Ø Ø Ø																
1414-3			Ø Ø Ø Ø																
527-3			Ø Ø Ø Ø Ø																
