COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
4-1	Ø Ø ɸ ɾ ɸ ɾ k o o o																		
113-1	Ø Ø i o kʰ Ø o kʰ o o o																		
270-1	ɸ o Ø Ø Ø Ø ɸ Ø o ɸ																		
424-1	Ø Ø ɸ Ø o o o o u																		
1078-1	kʰ Ø o o																		
1272-1	Ø Ø o o k Ø o ɾ ɸ																		
1293-1	Ø Ø ɾ o																		
42-1	kʰ ɺ b ɾ b ɸ ɾ Ø																		
421-1	kʰ o Ø Ø																		
900-1	Ø Ø o b Ø o Ø																		
361-1	Ø Ø Ø kʰ ɸ o Ø																		
651-1	k Ø o ɸ kʰ Ø Ø																		
48-1	Ø Ø Ø Ø ɸ Ø Ø Ø																		
931-1	b k Ø ɸ ɸ Ø																		
961-1	kʰ Ø Ø Ø Ø kʰ Ø ɾ Ø Ø Ø Ø Ø Ø																		
1057-1	Ø kʰ ɾ u ɾ Ø																		
1035-1	n Ø Ø Ø Ø Ø ɸ Ø																		
1116-1	Ø Ø Ø kʰ Ø Ø Ø																		
1251-1	ɸ Ø Ø Ø Ø																		
1414-1	Ø Ø Ø ɸ																		
527-1	Ø o Ø Ø Ø o o Ø																		
71-1	kʰ kʰ Ø Ø Ø Ø n Ø																		
169-1	ɸ Ø ɸ ɸ ɸ b b ŋ ŋ o ŋ ɸ																		
4-3			Ø Ø Ø Ø																
113-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
270-3			Ø Ø Ø Ø Ø																
1078-3			Ø Ø Ø Ø Ø																
1293-3			Ø o																
42-3			Ø Ø Ø Ø Ø Ø Ø																
421-3			Ø Ø Ø																
470-3			Ø Ø Ø Ø Ø Ø Ø o																
584-3			Ø o Ø																
651-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
48-3			Ø Ø Ø Ø Ø Ø Ø																
931-3			Ø Ø Ø Ø Ø Ø Ø																
961-3			Ø Ø Ø Ø o Ø Ø Ø																
1057-3			Ø Ø Ø Ø																
1203-3			Ø Ø Ø Ø																
813-3			Ø Ø Ø Ø																
1251-3			Ø Ø Ø Ø Ø Ø																
1414-3			Ø Ø Ø Ø																
527-3			Ø Ø Ø Ø																
169-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
4-4				Ø Ø h Ø ɪ h h h															
113-4				Ø Ø Ø Ø Ø Ø h Ø h Ø h															
270-4				h Ø m Ø h ʃ Ø															
424-4				Ø Ø m m Ø m Ø h Ø															
1078-4				Ø Ø Ø h m															
1272-4				m Ø Ø Ø m Ø ɪ															
1293-4				Ø Ø h h															
42-4				Ø Ø Ø Ø Ø Ø h Ø															
421-4				Ø Ø Ø Ø															
900-4				Ø i d Ø h Ø															
361-4				Ø Ø Ø ɪ Ø Ø Ø Ø Ø															
470-4				ʃ m Ø Ø m ŋ Ø															
584-4				Ø Ø m m Ø m m															
651-4				Ø m m Ø Ø Ø Ø Ø Ø Ø															
48-4				ŋ Ø ŋ ŋ Ø Ø ʃ Ø															
961-4				Ø Ø h Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
1203-4				Ø Ø Ø Ø															
1035-4				Ø Ø Ø ŋ Ø ŋ ɪ ŋ															
1116-4				Ø Ø Ø Ø Ø Ø ɪ															
349-4				Ø Ø Ø Ø Ø															
527-4				Ø Ø Ø Ø Ø Ø Ø															
71-4				Ø Ø Ø ŋ Ø ŋ ŋ															
169-4				Ø ʃ e ŋ ŋ ŋ Ø ŋ Ø d ŋ ŋ															
4-5					d i o o o a o o o														
113-5					o o o o g Ø h Ø g o Ø o														
270-5					o ɸ o Ø h a o k o														
424-5					Ø Ø o Ø o o a														
1078-5					k Ø o h o														
1272-5					Ø o o o o ŋ o														
1293-5					Ø h o														
42-5					g h h h														
421-5					g Ø ɸ o														
900-5					ɸ Ø h h o Ø														
361-5					Ø a o k h ŋ Ø														
470-5					ʃ o Ø o														
584-5					k														
651-5					Ø Ø														
931-5					o ɸ ŋ														
961-5					Ø Ø m h Ø														
1057-5					o o o Ø														
1203-5					ɪ Ø ɸ Ø														
813-5					ɪ Ø g a														
1116-5					o ɪ o o o														
1251-5					t Ø z Ø														
1414-5					Ø Ø ŋ														
349-5					o g Ø Ø														
527-5					tʰ h Ø ɪ ŋ o o m														
4-6						Ø Ø Ø Ø Ø Ø h h h h													
113-6						h h h h k Ø h Ø ɪ Ø h													
270-6						Ø Ø Ø h Ø Ø Ø ŋ Ø h h													
424-6						Ø Ø Ø Ø Ø Ø Ø h h													
1078-6						k Ø h h Ø													
1272-6						Ø Ø Ø h Ø m ŋ Ø Ø													
1293-6						Ø Ø Ø h													
42-6						k Ø Ø h h ɪ ŋ Ø													
421-6						k o Ø Ø													
900-6						Ø Ø ɪ Ø h Ø													
361-6						Ø Ø Ø Ø k Ø Ø Ø Ø													
470-6						ʃ Ø Ø Ø Ø Ø ʃ o													
584-6						k Ø h ɪ Ø ɪ h													
48-6						Ø Ø Ø Ø Ø u													
931-6						Ø Ø ɪ Ø Ø Ø ɪ Ø													
1203-6						Ø o Ø Ø Ø Ø													
1035-6						Ø Ø ŋ h Ø h													
1116-6						Ø Ø h h h h Ø													
1251-6						ʃ i Ø ɪ Ø													
1414-6						ɺ Ø Ø Ø													
349-6						Ø Ø k h Ø Ø Ø ʃ h													
71-6						k o o Ø Ø o o													
4-7							Ø Ø u u u h u u u												
113-7							k h u u u kʰ u o u												
270-7							ɸ u Ø h ŋ h a a												
424-7							i u u u u u u o												
1078-7							k Ø u h ʊ												
1272-7							ɸ o u u u u u ŋ ɪ												
1293-7							o h h												
42-7							k h a h h h h												
421-7							k Ø												
900-7							ɸ i h h h u												
361-7							ɸ Ø u u k h u ŋ o												
470-7							ʃ Ø u h h u												
584-7							k h ʊ m m u												
651-7							ʊ m ʊ ʊ ʃ ʊ k ʊ u												
931-7							ʊ ʊ ɸ u												
961-7							kʰ Ø h u g u h o												
1057-7							u o g u u u												
1203-7							u u ɸ o												
813-7							Ø u k u												
1116-7							u m g u u												
1251-7							Ø Ø Ø i u ʊ												
1414-7							Ø ɪ Ø h												
349-7							i i Ø i u g u m												
527-7							i i h h i h h u												
169-7							ʃ Ø Ø Ø g Ø Ø k Ø												
4-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø											
113-8								Ø Ø ɪ Ø Ø Ø Ø Ø ɪ											
270-8								Ø + ɸ Ø Ø Ø Ø											
424-8								ɸ Ø Ø Ø Ø ɪ +											
1078-8								Ø Ø Ø											
1272-8								Ø Ø Ø Ø Ø Ø ɪ											
1293-8								Ø Ø Ø											
42-8								Ø Ø Ø Ø Ø Ø Ø Ø											
421-8								Ø ɸ Ø											
900-8								Ø ũ Ø Ø Ø ɪ											
361-8								ɸ ɪ Ø Ø Ø Ø Ø ɪ											
470-8								Ø Ø Ø Ø Ø Ø											
584-8								Ø Ø Ø Ø Ø Ø											
651-8								Ø Ø Ø Ø Ø Ø Ø Ø Ø											
48-8								Ø Ø Ø Ø ũ ũ											
931-8								ũ Ø ũ Ø Ø ũ											
961-8								Ø Ø Ø Ø Ø Ø Ø ɪ											
1057-8								Ø Ø ũ Ø ɪ											
1203-8								Ø Ø Ø ɸ ũ											
813-8								Ø Ø Ø Ø Ø											
1116-8								Ø Ø Ø ŋ ɪ Ø											
1251-8								Ø Ø Ø Ø											
4-9									Ø Ø Ø Ø Ø Ø Ø Ø										
