COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
4	dʒ e		s ĩː + m ã	d i ʔ	d i ʔ	tʃ i	d i k ɺ ʊ	r i ʔ a	s i e	d i t a k eː	n i	j i	d ʒ i ɾ a	t iː	ɲ ɤ		s iː	t iː	d i
13					t s i k i d i d i		t s i k i d i												
19											k a ʃ i k u a m a		k ɨ ʃ k w a m a						
20	t ʃ ə m i							t a w a j a	t ɨ β a n										
28								k e t a						k e r aː					
30					b õ		b õ					b u i							
34											a k a + l i h i		ɾ i n ʒ i i					e + t i n e	
42	k ə n		k ãː	k ɾ a ŋ	k a ɺ	g l i	k a ɺ	k a ɾ u k w a	k ɨ e	k aː	k a l i	k a l k a l a	k ɨ n	k oː ɾ a	k ɾ i		k aː t		kʰ ɔ
48	u z u		ũ d a	u b		u b a		u m i t a	ɣ u a n t s a		u i		u n ʒ u	u ɬ iː x a	ɯ m a	u ʔ u	u n t aː s	u k u p a	
49					s t s ã ʔ		t s ã			s a ʔ s a ɾ i									
52	s i s i o																s i n + s a k		
59				d u	d u		d u	ɾ u w a s i ɾ a	s u e		n u b a	d u l			n u k w ɔ				
71	k u e			k u i k		g w i e				k u i a h n e	k u i z	k u j i	k u i			w i ʔ		k u i l e	
74					k a ɺ ʊ t ɪ		k a ɺ ʊ t ɪ												
84				dʒ a ŋ	dʒ a		dʒ ɪ	j a ʔ a						tʃ aː	ɲ ã				i ɪ
89	a ʔ g												a n g a						
97					s a d u d u		s a d u u										p l uː m a		
100	b u n s i + k a w a												a m b ɨ n ʃ i						ɸ ɺ u ɾ u n
113	k ə + k a		k a + k s i uː	k a + s a	a x k ʊ	k a	h k ʊ	k a h + k a	k ɨ h ɨ k a	k a + k w a	k a + k a	k a + g a	k ə + k a	k o k iː	k a + d a		k a + k aː	k a + k a	kʰ a + m o
122					k a ɺ dʒ ʊ k		k a ɺ dʒ a k a												
123								b o w a ɾ a											ɸ ʊ
126	k ə n k ə n i										k a l k a l a	k a l k a l g o	k ɨ n k ɨ n a						
133								a j								ã j ã			
141						n o												n u + e t i	
157	s a + g ə n ɨ				t s ã				t s ɨ e		s ã + ĩ		ʃ a					s a + i l a	k o ŋ z o
169	s a + k u k u		s aː	s a + g ɾ a			t s ã + k ũ		t s ɨ s k ɨ		s a + n k a l a		ʃ a + m u n k u	tʃ aː		s ã			
173						tʃ u g a						d u k u			d o k w ɔ				
183					ã d		h ã d									ã h			
205														t o k eː + ʝ a			t u k uː + b a		
206				dʒ i k a											ŋ i ɾ e				
212										w eː			w i a n ʒ ɨ n g a					u e t i	
218	n a ʒ			d e + k							n a i		n a j			t e + ʃ			
221						tʃ a + g e			n ɨ + n						n ɔ̃		t aː + k	n a n a e	
223					ʃ k a		ʃ k ɪ												
236					dʒ a ɺ ã		dʒ a ɺ ã												
237	i + n g w ə n ɨ							i + b i t a	i e	h iː	h i + ũ g u l a		i + n g u n a		h i			i + k a l a	i + ɾ b o + b o ŋ
249					s t s ɪ		k s ɪ												t ɪ
250												k a j i			k a				
252								t a	t ɨ									n a + m a k e	
253	z a m a ʒ										m a i		ʒ a m a i						
263									tʲ i h i k a					ɬ i k iː					
264				u ɾ a ŋ		u d a													
265					tʃ k a		dʒ a k a												
266												s i a							ʃ o
267	g ə tʃ ɨ									e ŋ a t a	g a t a		g ɨ t a		ŋ ɔ t ɔ			s a n a	
270	b u n z ə g a		i b ũ d ɪ̃	b ɾ u ŋ	b u ɺ ũ	m n u	b u ɺ i t u	b u ɾ a	β u s k ɨ	b u h ŋ a ʔ	m u l i	b u l k u	b ɨ n	p u ɾ uː	ŋ ɯ b ɾ ɯ		p l u ŋ	p u ɾ u	ɸ ɺ u ŋ
282	a s e w a							e s i a	h ɨ t s k a		h a t ʃ i g u a		ə h tʃ i g u a	o t i ŋ					
283				ʃ i s k a ŋ	s k ẽ	t i g a	s k ẽ								ɾ i k e				ʃ k i ŋ
293					b a ɺ ẽ k		b a ɺ ẽ k								k ɯ b a ɾ a	p a ɾ			ɸ ɺ a k
294	d ʒ o ʔ o							ɾ u s t a ɾ a	s u h u k a		n u g i	d u g	d u ʃ k ɨ n a	t u k iː			t u k		
297										b u k ɾ a								p u n u	
304				t u ʔ													a l t u ŋ w a		
306					tʃ k a		dʒ a k ɪ												
308						b l i ɾ e									m ɾ ɣ ɾ e				
309												k u t						k u n e	
310	z										z a		ʒ a						
319														ʝ u		j o	u		
316				m a ŋ								b a			b e			p a	
320					t ã														tʰ o
321							d a				n a		n ɨ n						
324			ã h ã							a h									
