ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	LATITUDE	LONGITUDE	LANGUAGE_FAMILY	COGID
2608	110_yo	I	LencaSalvador	Lenca-Salvador	unani	unani	u n a n i	lenc1242	13.56	-87.50	Lencan	1412
2609	110_yo	I	LencaHonduras	Lenca-Honduras	unan	unan	u n a n	lenc1243	13.67	-88.11	Lencan	1412
2610	110_yo	I	Cacaopera	Cacaopera	jami	jami	j a m i	caca1247	13.74	-88.11	Misumalpam	1413
2611	110_yo	I	Mayangna	Mayangna	jaŋ	jaŋ	j a ŋ	maya1285	14.13	-84.34	Misumalpam	1413
2612	110_yo	I	Ulwa	Ulwa	jaŋ	jaŋ	j a ŋ	ulwa1239	12.93	-83.58	Misumalpam	1413
2613	110_yo	I	Miskito	Mískito	jaŋ	jaŋ	j a ŋ	misk1235	15.16	-84.29	Misumalpam	1413
2614	110_yo	I	Pech	Pech	tas	tas	t a s	pech1241	15.80	-85.56	Chibcha	1414
2615	110_yo	I	Rama	Rama	na:s	na:s	n aː s	rama1270	11.50	-83.86	Chibcha	1414
2616	110_yo	I	MalekuJaika	Maléku Jaíka	ton	ton	t o n	male1297	10.75	-84.73	Chibcha	1414
2617	110_yo	I	Boruca	Boruca	át	át	á/a t	boru1252	8.88	-83.21	Chibcha	1415
2618	110_yo	I	Bribri	Bribri	dʒěʔ	dʒěʔ	dʒ ě/e ʔ	brib1243	9.40	-83.05	Chibcha	1414
2619	110_yo	I	Cabecar	Cabécar	dʒís	dʒís	dʒ í/i s	cabe1245	9.67	-83.41	Chibcha	1414
2620	110_yo	I	Teribe	Teribe	tʰà	tʰà	tʰ à/a	teri1250	9.06	-82.96	Chibcha	1416
2621	110_yo	I	Ngabere	Ngäbere	ti	ti	t i	ngab1239	8.83	-82.39	Chibcha	1417
2622	110_yo	I	Buglere	Buglere	tʃa	tʃa	tʃ a	bugl1243	8.58	-81.26	Chibcha	1414
2623	110_yo	I	Dorasque	Dorasque	kura	kura	k u r a	dora1242	8.57	-82.38	Chibcha	1418
2624	110_yo	I	SanBlasKuna	San Blas Kuna	ani	ani	a n i	sanb1242	9.16	-78.31	Chibcha	1415
2625	110_yo	I	Cogui	Cogui	nas	nas	n a s	cogu1240	10.95	-73.80	Chibcha	1414
2626	110_yo	I	Arhuaco	Arhuaco	nən	nən	n ə n	arhu1242	10.70	-73.64	Chibcha	1414
2627	110_yo	I	Malayo	Malayo	ɾa	ɾa	ɾ a	mala1522	10.93	-73.42	Chibcha	1414
2628	110_yo	I	Chimila	Chimila	na:ɾi	na:ɾi	n aː ɾ i	chim1309	10.19	-74.26	Chibcha	1414
2629	110_yo	I	Chibcha	Chibcha	hɨtʲa	hɨtʲa	h ɨ tʲ a	chib1270	6.25	-74.17	Chibcha	1415
2630	110_yo	I	CentralTunebo	Central Tunebo	'asa	'asa	'a/a s a	cent2150	6.89	-72.09	Chibcha	1415
2631	110_yo	I	Bari	Barí	nãĩ	nãĩ	n ã ĩ	bari1297	9.08	-72.94	Chibcha	1414
481	21_ceniza	ash	LencaSalvador	Lenca-Salvador	pilil	pilil	p i l i l	lenc1242	13.56	-87.50	Lencan	270
482	21_ceniza	ash	LencaHonduras	Lenca-Honduras	pokko	pokko	p o k o	lenc1243	13.67	-88.11	Lencan	271
483	21_ceniza	ash	Cacaopera	Cacaopera	wabu	wabu	w a b u	caca1247	13.74	-88.11	Misumalpam	272
484	21_ceniza	ash	Mayangna	Mayangna	wan	wan	w a n	maya1285	14.13	-84.34	Misumalpam	272
485	21_ceniza	ash	Ulwa	Ulwa	kauh	kauh	k a u h	ulwa1239	12.93	-83.58	Misumalpam	273
486	21_ceniza	ash	Miskito	Mískito	jamhpus	jamhpus	j a m h p u s	misk1235	15.16	-84.29	Misumalpam	274
487	21_ceniza	ash	Pech	Pech	tokó	tokó	t o k ó/o	pech1241	15.80	-85.56	Chibcha	275
488	21_ceniza	ash	Rama	Rama	pluŋ	pluŋ	p l u ŋ	rama1270	11.50	-83.86	Chibcha	270
489	21_ceniza	ash	MalekuJaika	Maléku Jaíka	puɾu:	puɾu:	p u ɾ uː	male1297	10.75	-84.73	Chibcha	270
490	21_ceniza	ash	Boruca	Boruca	bɾùŋ	bɾùŋ	b ɾ ù/u ŋ	boru1252	8.88	-83.21	Chibcha	270
491	21_ceniza	ash	Bribri	Bribri	buɺṹ	buɺṹ	b u ɺ ṹ/ũ	brib1243	9.40	-83.05	Chibcha	270
492	21_ceniza	ash	Cabecar	Cabécar	buɺi᷅tú	buɺi᷅tú	b u ɺ i᷅/i t ú/u	cabe1245	9.67	-83.41	Chibcha	270
493	21_ceniza	ash	Teribe	Teribe	ɸɺúŋ	ɸɺúŋ	ɸ ɺ ú/u ŋ	teri1250	9.06	-82.96	Chibcha	270
494	21_ceniza	ash	Ngabere	Ngäbere	ŋɯbɾɯ	ŋɯbɾɯ	ŋ ɯ b ɾ ɯ	ngab1239	8.83	-82.39	Chibcha	270
495	21_ceniza	ash	Buglere	Buglere	mnu	mnu	m n u	bugl1243	8.58	-81.26	Chibcha	270
496	21_ceniza	ash	Dorasque	Dorasque	bulku	bulku	b u l k u	dora1242	8.57	-82.38	Chibcha	270
497	21_ceniza	ash	SanBlasKuna	San Blas Kuna	puɾu	puɾu	p u ɾ u	sanb1242	9.16	-78.31	Chibcha	270
498	21_ceniza	ash	Cogui	Cogui	'muli	'muli	'm/m u l i	cogu1240	10.95	-73.80	Chibcha	270
499	21_ceniza	ash	Arhuaco	Arhuaco	'bunzəga	'bunzəga	'b/b u n z ə g a	arhu1242	10.70	-73.64	Chibcha	270
500	21_ceniza	ash	Malayo	Malayo	bɨn	bɨn	b ɨ n	mala1522	10.93	-73.42	Chibcha	270
501	21_ceniza	ash	Chimila	Chimila	'buhŋaʔ	'buhŋaʔ	'b/b u h ŋ a ʔ	chim1309	10.19	-74.26	Chibcha	270
502	21_ceniza	ash	Chibcha	Chibcha	βuskɨ	βuskɨ	β u s k ɨ	chib1270	6.25	-74.17	Chibcha	270
503	21_ceniza	ash	CentralTunebo	Central Tunebo	'buɾa	'buɾa	'b/b u ɾ a	cent2150	6.89	-72.09	Chibcha	270
504	21_ceniza	ash	Bari	Barí	ibũdɪ̃	ibũdɪ̃	i b ũ d ɪ̃	bari1297	9.08	-72.94	Chibcha	270
840	36_en	at	LencaSalvador	Lenca-Salvador	k'ati	k'ati	k 'a/a t i	lenc1242	13.56	-87.50	Lencan	437
841	36_en	at	LencaHonduras	Lenca-Honduras	ap	ap	a p	lenc1243	13.67	-88.11	Lencan	438
842	36_en	at	Cacaopera	Cacaopera	m	m	m	caca1247	13.74	-88.11	Misumalpam	438
843	36_en	at	Mayangna	Mayangna	kat	kat	k a t	maya1285	14.13	-84.34	Misumalpam	437
844	36_en	at	Ulwa	Ulwa	kat	kat	k a t	ulwa1239	12.93	-83.58	Misumalpam	437
845	36_en	at	Miskito	Mískito	ɾa	ɾa	ɾ a	misk1235	15.16	-84.29	Misumalpam	439
846	36_en	at	Pech	Pech	jã́	jã́	j ã́/ã	pech1241	15.80	-85.56	Chibcha	440
847	36_en	at	Rama	Rama	ka	ka	k a	rama1270	11.50	-83.86	Chibcha	437
848	36_en	at	MalekuJaika	Maléku Jaíka	ko	ko	k o	male1297	10.75	-84.73	Chibcha	437
849	36_en	at	Boruca	Boruca	kà	kà	k à/a	boru1252	8.88	-83.21	Chibcha	437
850	36_en	at	Bribri	Bribri	iã̀	iã̀	i ã̀/ã	brib1243	9.40	-83.05	Chibcha	440
851	36_en	at	Cabecar	Cabécar	skà	skà	s k à/a	cabe1245	9.67	-83.41	Chibcha	441
852	36_en	at	Teribe	Teribe	ʃkò	ʃkò	ʃ k ò/o	teri1250	9.06	-82.96	Chibcha	441
853	36_en	at	Ngabere	Ngäbere	te	te	t e	ngab1239	8.83	-82.39	Chibcha	442
854	36_en	at	Buglere	Buglere	ske	ske	s k e	bugl1243	8.58	-81.26	Chibcha	441
855	36_en	at	Dorasque	Dorasque	ga	ga	g a	dora1242	8.57	-82.38	Chibcha	437
856	36_en	at	SanBlasKuna	San Blas Kuna	ki	ki	k i	sanb1242	9.16	-78.31	Chibcha	443
857	36_en	at	Cogui	Cogui	ka	ka	k a	cogu1240	10.95	-73.80	Chibcha	437
858	36_en	at	Arhuaco	Arhuaco	ekɨ	ekɨ	e k ɨ	arhu1242	10.70	-73.64	Chibcha	437
859	36_en	at	Malayo	Malayo	ka	ka	k a	mala1522	10.93	-73.42	Chibcha	437
860	36_en	at	Chimila	Chimila	la	la	l a	chim1309	10.19	-74.26	Chibcha	439
861	36_en	at	Chibcha	Chibcha	na	na	n a	chib1270	6.25	-74.17	Chibcha	443
862	36_en	at	CentralTunebo	Central Tunebo	kwi'taɾa	kwi'taɾa	k w i 't/t a ɾ a	cent2150	6.89	-72.09	Chibcha	444
863	36_en	at	Bari	Barí	aki	aki	a k i	bari1297	9.08	-72.94	Chibcha	443
1365	58_malo	bad	LencaSalvador	Lenca-Salvador	ʃamtoa	ʃamtoa	ʃ a m t o a	lenc1242	13.56	-87.50	Lencan	719
1366	58_malo	bad	LencaHonduras	Lenca-Honduras	kiauɾu	kiauɾu	k i a u ɾ u	lenc1243	13.67	-88.11	Lencan	720
1367	58_malo	bad	Cacaopera	Cacaopera	jamua	jamua	j a m u a	caca1247	13.74	-88.11	Misumalpam	719
1368	58_malo	bad	Mayangna	Mayangna	dutni	dutni	d u t n i	maya1285	14.13	-84.34	Misumalpam	721
1369	58_malo	bad	Ulwa	Ulwa	dutka	dutka	d u t k a	ulwa1239	12.93	-83.58	Misumalpam	721
1370	58_malo	bad	Miskito	Mískito	sawɾa	sawɾa	s a w ɾ a	misk1235	15.16	-84.29	Misumalpam	722
1371	58_malo	bad	Pech	Pech	wàɾkwá	wàɾkwá	w à/a ɾ k w á/a	pech1241	15.80	-85.56	Chibcha	723
1372	58_malo	bad	Rama	Rama	kwahala	kwahala	k w a h a l a	rama1270	11.50	-83.86	Chibcha	723
1373	58_malo	bad	MalekuJaika	Maléku Jaíka	eme: koka:ɾiŋa	eme: koka:ɾiŋa	e m eː + k o k aː ɾ i ŋ a	male1297	10.75	-84.73	Chibcha	724
1374	58_malo	bad	Boruca	Boruca	sádʒèŋ	sádʒèŋ	s á/a dʒ è/e ŋ	boru1252	8.88	-83.21	Chibcha	725
1375	58_malo	bad	Bribri	Bribri	suɺǔ	suɺǔ	s u ɺ ǔ/u	brib1243	9.40	-83.05	Chibcha	726
1376	58_malo	bad	Cabecar	Cabécar	saɺuí	saɺuí	s a ɺ u í/i	cabe1245	9.67	-83.41	Chibcha	726
1377	58_malo	bad	Teribe	Teribe	ó	ó	ó/o	teri1250	9.06	-82.96	Chibcha	727
1378	58_malo	bad	Ngabere	Ngäbere	kɔme	kɔme	k ɔ m e	ngab1239	8.83	-82.39	Chibcha	728
1379	58_malo	bad	Buglere	Buglere	me no	me no	m e + n o	bugl1243	8.58	-81.26	Chibcha	729
1380	58_malo	bad	Dorasque	Dorasque	irógla	irógla	i r ó/o g l a	dora1242	8.57	-82.38	Chibcha	730
1381	58_malo	bad	SanBlasKuna	San Blas Kuna	itʃakkwakwa	itʃakkwakwa	i tʃ a k w a k w a	sanb1242	9.16	-78.31	Chibcha	731
1382	58_malo	bad	Cogui	Cogui	'ʃane	'ʃane	'ʃ/ʃ a n e	cogu1240	10.95	-73.80	Chibcha	732
1383	58_malo	bad	Arhuaco	Arhuaco	du naʔ neika	du naʔ neika	d u + n a ʔ + n e i k a	arhu1242	10.70	-73.64	Chibcha	733
1384	58_malo	bad	Malayo	Malayo	unanduanéka	unanduanéka	u n a n d u a n é/e k a	mala1522	10.93	-73.42	Chibcha	734
