COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
4-1	dʒ e																		
113-1	k ə + k a																		
270-1	b u n z ə g a																		
424-1	m o u g a																		
1078-1	k u																		
1272-1	m a i k ə n ɨ																		
1293-1	m a																		
42-1	k ə n																		
421-1	k ə m																		
900-1	m ə ɲ ɨ																		
361-1	m a ʔ k e i w a																		
651-1	a ʔ t ʃ u k w																		
48-1	u z u																		
931-1	u m ɨ																		
961-1	k u k w ɨ																		
1057-1	a ʔ n ɨ																		
1035-1	w a k ɨ																		
1116-1	i n ɨ																		
1251-1	t u																		
1414-1	n ə n																		
527-1	z i																		
71-1	k u e																		
169-1	s a + k u k u																		
4-3			s ĩː + m ã																
113-3			k a + k s i uː																
270-3			i b ũ d ɪ̃																
1078-3			k u																
1293-3			b a i																
42-3			k ãː																
421-3			k a b																
470-3			t eː																
584-3			k a																
651-3			d u k																
48-3			ũ d a																
931-3			oː																
961-3			k o k t i																
1057-3			ãː																
1203-3			aː b i																
813-3			n i s a																
1251-3			t u																
1414-3			n ã ĩ																
527-3			i ʃ a n a b a																
169-3			s aː																
4-4				d i ʔ															
113-4				k a + s a															
270-4				b ɾ u ŋ															
424-4				b u ʔ k															
1078-4				k u a															
1272-4				m a ŋ															
1293-4				b a															
42-4				k ɾ a ŋ															
421-4				k a b															
900-4				b o k															
361-4				b a x k a ŋ															
470-4				s e x k a															
584-4				k a															
651-4				t u x k															
48-4				u b															
961-4				k u a g a x															
1203-4				dʒ i b i															
1035-4				u ŋ															
1116-4				i															
349-4				k u a ʔ s															
527-4				dʒ i ŋ															
71-4				k u i k															
169-4				s a + g ɾ a															
4-5					d i ʔ														
113-5					a x k ʊ														
270-5					b u ɺ ũ														
424-5					b ʊ														
1078-5					k ũ														
1272-5					b a dʒ ã														
1293-5					b e ʔ														
42-5					k a ɺ														
421-5					k a p ɪ														
900-5					b õ														
361-5					t k ɪ														
470-5					s ẽ s ẽ														
584-5					k ʊ														
651-5					s u k														
931-5					u ʊ b a ɺ a														
961-5					k u k ʊ														
1057-5					a k														
1203-5					a p ɪ														
813-5					dʒ ɪ k														
1116-5					i														
1251-5					t s u ʔ														
1414-5					dʒ e ʔ														
349-5					a x k u ʊ														
527-5					ɪ														
4-6						tʃ i													
113-6						k a													
270-6						m n u													
424-6						b o k e													
1078-6						k ũ													
1272-6						m a i													
1293-6						b a													
42-6						g l i													
421-6						g b e													
900-6						b o g a													
361-6						b a g a													
470-6						s k e k e													
584-6						g a													
48-6						u b a													
931-6						g w a g w a													
1203-6						b e													
1035-6						ŋ w e													
1116-6						dʒ e m a													
1251-6						t u s u													
1414-6						tʃ a													
349-6						k w a ɾ a													
71-6						g w i e													
4-7							d i k ɺ ʊ												
113-7							h k ʊ												
270-7							b u ɺ i t u												
424-7							b o												
1078-7							k ũ												
1272-7							b a dʒ ã												
1293-7							b a												
42-7							k a ɺ												
421-7							k a p ɪ												
900-7							b õ												
361-7							t k i												
470-7							t s ẽ												
584-7							k ʊ												
651-7							s k u												
931-7							u ʊ b a ɺ a												
961-7							k u k ʊ												
1057-7							h a k												
1203-7							p i												
813-7							dʒ i k												
1116-7							h i d ʊ												
1251-7							t s u												
1414-7							dʒ i s												
349-7							h k u ʊ												
527-7							h ĩ												
169-7							t s ã + k ũ												
4-8								r i ʔ a											
113-8								k a h + k a											
270-8								b u ɾ a											
424-8								b u k a j a											
1078-8								k u ɾ i a											
1272-8								b a j a											
1293-8								b a ʔ a											
42-8								k a ɾ u k w a											
421-8								k a m i											
900-8								b o w a ɾ a											
361-8								b a k a j a											
470-8								s e r o a											
584-8								k a j a											
651-8								s u k w i											
48-8								u m i t a											
931-8								u b a											
961-8								k u h + k a h a											
1057-8								a k a											
1203-8								a b a											
813-8								r e ʃ a											
1116-8								i k u ɾ											
1251-8								s u t a											
4-9									s i e										
113-9									k ɨ h ɨ k a										
270-9									β u s k ɨ										
424-9									b o										
1078-9									k u e										
1272-9									m i k a										
1293-9									m ɨ e										
42-9									k ɨ e										
421-9									k ɨ β ɨ										
900-9									ʔ a o a										
361-9									m ɨ h ɨ k a										
584-9									k ɨ e										
651-9									tʲ u h u										
48-9									ɣ u a n t s a										
931-9									u p k u a										
961-9									k u h u + k a										
1057-9									h ɨ k a										
1203-9									b a										
813-9									s a k a										
1035-9									ɣ u a										
1116-9									i p k u a										
1251-9									tʲ u e										
349-9									h u k a										
527-9									t s i n a										
169-9									t s ɨ s k ɨ										
4-10										d i t a k eː									
113-10										k a + k w a									
270-10										b u h ŋ a ʔ									
424-10										b u h n a									
1078-10										k uː									
1272-10										m aː h n a									
42-10										k aː									
900-10										m o n s e									
470-10										s aː h n i h k aː									
584-10										k aː									
651-10										t u k u a									
931-10										w aː k w a									
961-10										k uː s a + k a									
813-10										d aː									
1035-10										w aː ŋ g ɾ aː ʔ									
1414-10										n aː ɾ i									
71-10										k u i a h n e									
4-11											n i								
113-11											k a + k a								
270-11											m u l i								
424-11											m a u ʒ u a								
1078-11											k u i								
1272-11											m a i g u a								
1293-11											m a								
42-11											k a l i								
421-11											k a b a								
900-11											m a u i								
361-11											m a k e u a								
584-11											k a i								
48-11											u i								
931-11											u b a								
961-11											k u + k a								
1057-11											h a g i								
1203-11											a b i								
1035-11											ũ a								
1116-11											h i								
1251-11											s u m i								
1414-11											n a s								
527-11											ʒ i								
71-11											k u i z								
169-11											s a + n k a l a								
4-12												j i							
113-12												k a + g a							
270-12												b u l k u							
424-12												m o							
1078-12												k ũ							
1272-12												m a s							
1293-12												b a							
42-12												k a l k a l a							
421-12												k a b i							
900-12												b o k a l a							
361-12												p a k a							
470-12												s a i g a							
584-12												k a l a ʔ k a							
961-12												k u + g a							
1057-12												a g a							
1203-12												h a v e							
813-12												n e k o							
349-12												u g a							
527-12												k i s i							
71-12												k u j i							
4-13													d ʒ i ɾ a						
113-13													k ə + k a						
270-13													b ɨ n						
424-13													m o w a						
1272-13													m a i g w a						
1293-13													m a						
42-13													k ɨ n						
421-13													k ɨ ũ						
900-13													m o ɲ a						
361-13													m a k e g w a						
470-13													s e						
651-13													a t u k w						
48-13													u n ʒ u						
931-13													u m a						
961-13													k u + k w a						
1057-13													ɨ g i n a						
1203-13													ɨ m a						
1035-13													w a k a						
1251-13													t u d u						
1414-13													ɾ a						
527-13													d i						
71-13													k u i						
169-13													ʃ a + m u n k u						
4-14														t iː					
113-14														k o k iː					
270-14														p u ɾ uː					
424-14														p a u ŋ k a					
1078-14														k uː					
1272-14														p o iː k i r iː					
1293-14														p oː					
42-14														k oː ɾ a					
900-14														p i uː					
361-14														p a k eː k i r iː					
470-14														tʃ i tʃ iː x a					
651-14														ɬ o k iː					
48-14														u ɬ iː x a					
1057-14														o k t a ɾ aː					
813-14														t a iː k i					
1414-14														t o n					
169-14														tʃ aː					
4-15															ɲ ɤ				
113-15															k a + d a				
270-15															ŋ ɯ b ɾ ɯ				
424-15															b u				
1078-15															k ɯ̃				
1272-15															m ɔ				
1293-15															m ɔ				
42-15															k ɾ i				
421-15															k i m ɪ̃				
900-15															m ɯ t a				
361-15															b ɔ k ɔ				
470-15															t i b o				
584-15															k ʔ				
48-15															ɯ m a				
1057-15															h ɔ				
1035-15															g w a				
349-15															k w a t a				
527-15															ŋ ĩ				
424-16																p o k			
1078-16																uː			
1272-16																m ã j h			
1293-16																p a			
470-16																s ã j w a			
584-16																a			
651-16																s u k			
48-16																u ʔ u			
931-16																w a			
813-16																t ã j s a			
1035-16																u ʃ ã			
1116-16																ĩ			
1251-16																t u t u			
1414-16																t a s			
71-16																w i ʔ			
169-16																s ã			
4-17																	s iː		
113-17																	k a + k aː		
270-17																	p l u ŋ		
424-17																	p u k s a k		
1078-17																	k u ŋ		
1272-17																	p a ŋ s a k		
1293-17																	m aː		
42-17																	k aː t		
421-17																	k a m i		
470-17																	s a i m a		
584-17																	k aː		
651-17																	s u k		
48-17																	u n t aː s		
931-17																	u p		
961-17																	k u + k aː		
1203-17																	a i ɾ b iː		
813-17																	t a i k		
1116-17																	j aː k a l		
1414-17																	n aː s		
349-17																	uː k		
4-18																		t iː	
113-18																		k a + k a	
270-18																		p u ɾ u	
424-18																		p oː	
1078-18																		k uː	
1272-18																		p aː	
1293-18																		p e	
421-18																		k a p e	
900-18																		m o l a	
361-18																		p a k e	
584-18																		k aː	
651-18																		e n u k e	
48-18																		u k u p a	
1057-18																		a k w a	
1203-18																		a p e	
1035-18																		u a	
1116-18																		i p i	
1251-18																		n uː	
349-18																		u k a	
71-18																		k u i l e	
4-19																			d i
113-19																			kʰ a + m o
270-19																			ɸ ɺ u ŋ
424-19																			b ʊ
1078-19																			kʰ ũ ŋ
1272-19																			m i a
1293-19																			ɸ a
42-19																			kʰ ɔ
421-19																			p ɪ
900-19																			ɸ o ŋ
361-19																			b k i ŋ
470-19																			s e n t e
651-19																			k u o ʃ k u ɪ
931-19																			b o k u o
961-19																			k u o ŋ + u o
1057-19																			a k
813-19																			n e k u o
1035-19																			m a
349-19																			k u o t a
