COGID	Arhuaco	Atanque	Bari	Boruca	Bribri	Buglere	Cabecar	CentralTunebo	Chibcha	Chimila	Cogui	Dorasque	Malayo	MalekuJaika	Ngabere	Pech	Rama	SanBlasKuna	Teribe
4-1	Ø Ø Ø Ø ɸ Ø Ø Ø Ø Ø																		
113-1	Ø Ø Ø Ø kʰ o Ø ɸ ɸ o Ø																		
270-1	Ø Ø Ø Ø Ø ɸ Ø o ɸ																		
424-1	Ø Ø ɸ ɸ Ø Ø Ø Ø																		
1078-1	kʰ Ø Ø Ø Ø																		
1272-1	Ø o Ø Ø Ø Ø Ø n Ø																		
1293-1	Ø o Ø ɸ																		
42-1	kʰ o ɸ ɸ ɸ ɸ ɸ Ø																		
421-1	kʰ o Ø Ø																		
900-1	Ø Ø Ø ɸ Ø ɸ Ø																		
361-1	Ø Ø Ø Ø ɸ Ø Ø Ø																		
651-1	Ø Ø Ø Ø ɸ kʰ Ø ɸ																		
48-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
931-1	ɸ Ø Ø Ø ɸ ɸ Ø																		
961-1	Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																		
1057-1	Ø Ø Ø Ø Ø Ø Ø																		
1035-1	n Ø Ø Ø Ø Ø Ø																		
1116-1	Ø Ø Ø Ø Ø Ø Ø																		
1251-1	ɸ ɸ Ø ɸ Ø																		
1414-1	ɸ Ø Ø Ø																		
527-1	Ø Ø Ø Ø Ø Ø Ø Ø																		
71-1	kʰ Ø Ø Ø Ø Ø Ø Ø																		
169-1	ɸ Ø Ø ɸ ɸ ɸ ɸ ɸ ɸ ɸ ɸ ɸ ɸ ɸ																		
237-1	Ø Ø Ø n n n n Ø Ø Ø Ø o																		
676-1	kʰ Ø Ø Ø ɸ ɸ ɸ																		
685-1	ɸ Ø Ø Ø ɸ Ø Ø																		
1386-1	Ø Ø Ø o o o																		
294-1	n o Ø Ø Ø Ø o																		
697-1	Ø o Ø Ø																		
906-1	Ø Ø Ø Ø Ø Ø Ø Ø o																		
1193-1	n o ɸ Ø ɸ ɸ ɸ																		
1342-1	Ø Ø Ø Ø																		
157-1	ɸ ɸ Ø Ø ɸ ɸ ɸ ɸ ɸ																		
401-1	Ø Ø kʰ Ø Ø Ø																		
437-1	kʰ Ø																		
745-1	Ø Ø n o ɸ																		
756-1	Ø ɸ ɸ Ø ɸ ɸ																		
880-1	n ɸ ɸ Ø Ø																		
923-1	Ø ɸ n Ø Ø Ø																		
1052-1	kʰ Ø Ø n n Ø																		
267-1	Ø Ø																		
282-1	ɸ ɸ Ø Ø ɸ Ø n Ø o																		
445-1	Ø Ø ɸ ɸ ɸ ɸ																		
485-1	ɸ Ø Ø ɸ Ø																		
745-2		Ø Ø Ø Ø Ø																	
4-3			Ø Ø Ø Ø Ø Ø Ø																
113-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
270-3			Ø Ø Ø Ø Ø Ø Ø Ø																
1078-3			Ø Ø Ø Ø Ø																
1293-3			Ø Ø Ø Ø																
42-3			Ø Ø Ø Ø Ø Ø Ø Ø																
421-3			Ø Ø Ø Ø																
470-3			Ø Ø Ø Ø Ø Ø Ø Ø																
584-3			Ø Ø Ø Ø Ø Ø Ø																
651-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
48-3			Ø Ø Ø Ø Ø Ø Ø Ø																
931-3			Ø Ø Ø Ø Ø Ø Ø																
961-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
1057-3			Ø Ø Ø Ø Ø Ø Ø																
1203-3			Ø Ø Ø Ø Ø																
813-3			Ø Ø Ø Ø Ø Ø																
1251-3			Ø Ø Ø Ø Ø Ø																
1414-3			Ø Ø Ø Ø																
527-3			Ø Ø Ø Ø Ø																
169-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø																
676-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
685-3			Ø Ø Ø Ø Ø Ø Ø																
609-3			Ø Ø Ø Ø Ø Ø																
880-3			Ø Ø Ø Ø Ø Ø Ø Ø Ø																
1052-3			Ø Ø Ø Ø Ø Ø																
445-3			Ø Ø Ø																
625-3			Ø Ø Ø Ø Ø Ø Ø Ø																
4-4				Ø Ø Ø Ø															
113-4				Ø Ø Ø Ø Ø Ø Ø Ø															
270-4				m Ø Ø Ø															
424-4				m Ø Ø Ø Ø Ø Ø Ø Ø															
1078-4				Ø Ø Ø Ø Ø															
1272-4				m Ø Ø Ø Ø Ø Ø															
1293-4				m Ø Ø Ø															
42-4				Ø Ø Ø Ø Ø Ø Ø Ø															
421-4				Ø Ø m Ø															
900-4				m Ø Ø Ø Ø Ø															
361-4				m Ø Ø Ø Ø Ø Ø Ø															
470-4				Ø Ø Ø Ø Ø Ø Ø															
584-4				Ø Ø Ø Ø Ø Ø Ø															
651-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
48-4				Ø Ø Ø Ø Ø Ø Ø Ø															
961-4				Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
1203-4				Ø m Ø															
1035-4				Ø Ø Ø Ø Ø Ø Ø Ø															
1116-4				Ø Ø Ø Ø Ø Ø Ø															
349-4				Ø Ø Ø Ø e															
527-4				Ø Ø Ø Ø Ø Ø Ø Ø															
71-4				Ø Ø Ø Ø Ø Ø Ø Ø															
169-4				Ø Ø e Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø															
59-4				Ø Ø Ø Ø Ø Ø Ø Ø															
697-4				m Ø Ø Ø															
84-4				Ø Ø Ø															
401-4				Ø Ø Ø Ø Ø Ø															
437-4				Ø Ø Ø															
745-4				Ø Ø Ø															
923-4				Ø Ø Ø Ø Ø Ø															
1181-4				Ø Ø Ø Ø Ø Ø Ø															
283-4				Ø Ø Ø Ø Ø															
485-4				Ø Ø Ø Ø															
4-5					Ø i u Ø a u u u														
113-5					u u u u k Ø g Ø u														
270-5					Ø ɸ u i Ø Ø Ø Ø u														
424-5					Ø u u Ø u Ø u a														
1078-5					k Ø a														
1272-5					u Ø i u u a														
1293-5					Ø Ø Ø														
42-5					k u Ø Ø Ø a u														
421-5					k ɸ Ø														
900-5					ɸ Ø u Ø Ø u Ø														
361-5					Ø u u k Ø u Ø														
470-5					t u Ø Ø														
584-5					k														
651-5					Ø Ø Ø Ø														
931-5					Ø ɸ														
961-5					Ø Ø a Ø														
1057-5					u u Ø u u a														
1203-5					Ø u u ɸ ɪ														
813-5					Ø ɪ Ø g														
1116-5					ɪ														
1251-5					tʰ Ø tʰ i														
1414-5					Ø Ø Ø														
349-5					Ø k o u u														
527-5					tʰ Ø Ø ɪ u Ø Ø Ø														
676-5					g u i i u u u u o														
685-5					Ø Ø Ø u t t														
59-5					u ɺ ɺ t ɺ Ø														
1193-5					ɺ Ø u Ø Ø u o														
1342-5					a u Ø u a														
84-5					o Ø Ø														
157-5					Ø Ø														
745-5					o u Ø u														
1181-5					Ø u Ø ɺ Ø u														
283-5					tʰ i g o														
445-5					Ø														
4-6						Ø Ø Ø Ø Ø Ø Ø Ø Ø Ø													
