COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	h a							
5-1	n a							
4-1	tʰ i k							
6-1	ɲ a ŋ							
15-1	dʑ i							
55-1	l ɔ							
56-1	u							
60-1	h i							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tsʰ u							
86-1	pʰ ɔː							
92-1	pʰ ɔː							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d au							
107-1	h e							
112-1	pʰ a							
115-1	ɕ a							
114-1	t ɔ m							
120-1	t a							
124-1	a							
125-1	tʰ ɔ k							
132-1	h i							
131-1	ɲ i ŋ							
136-1	b u							
134-1	kʰ a k							
137-1	ɔ							
138-1	d ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	ɕ a m							
147-1	h ɔi							
149-1	h u t							
153-1	ɕ a							
152-1	kʰ ɛ ŋ							
158-1	kʰ u s							
163-1	l i							
164-1	n u							
167-1	pʰ a							
171-1	ɲ u ŋ							
172-1	b u k							
173-1	tʰ ɔ ŋ							
183-1	l ɛi							
185-1	m a							
188-1	t u ŋ							
189-1	ts u ŋ							
193-1	h ai							
196-1	m a ɹ							
199-1	ɕ ɛi							
200-1	kʰ a ɹ							
201-1	kʰ i							
202-1	kʰ ɔ							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	ɲ a ŋ							
117-1	b u							
146-1	kʰ i p							
219-1	h a							
218-1	dʑ i							
224-1	m a ŋ							
240-1	ɕ a k							
244-1	w a t							
255-1	t a s							
260-1	b i							
263-1	l au							
269-1	dʑ ɛ ŋ							
271-1	tʰ a k							
209-1	kʰ i p							
277-1	m ɛ m							
278-1	b ɔ ŋ							
135-1	d au							
284-1	m u							
797-1	u							
290-1	l ɔː							
289-1	k i k							
296-1	n i							
310-1	ɕ i							
319-1	i							
325-1	l i							
327-1	tʰ i							
331-1	k u							
337-1	b ɛ ŋ							
338-1	ɲ i ŋ							
339-1	w ɹ							
350-1	kʰ u							
349-1	tʰ u ŋ							
357-1	tɕʰ a							
355-1	ɔ							
363-1	b a n							
361-1	tʰ u							
365-1	ʑ a r							
364-1	d ɔː k							
375-1	r ɔ k							
379-1	ɕ ɛ t							
380-1	kʰ u							
396-1	w u							
400-1	m a							
405-1	d a ŋ							
404-1	s u m							
409-1	l ɛ k							
410-1	s u t							
415-1	b ɛi							
416-1	b u							
101-1	ɲ a							
37-1	kʰ a							
424-1	pʰ ɔi							
434-1	ɕ ɛ ɹ							
445-1	p a							
446-1	ɕ i							
451-1	t a							
457-1	ɲ a m							
456-1	b a							
464-1	b ɕ i ŋ							
473-1	ɕ i							
474-1	w							
479-1	ʑ ɛ ɹ							
489-1	w i							
490-1	w a ŋ							
494-1	ɕ u							
503-1	kʰ u							
502-1	ɕ a ŋ							
235-1	r u ŋ							
519-1	l i							
523-1	u k							
527-1	kʰ j ɛ ŋ							
538-1	s							
544-1	w a m							
850-1	a							
554-1	dʑ u							
553-1	d u ŋ							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p a							
564-1	w au							
567-1	m a							
570-1	pʰ u							
575-1	au							
582-1	l au							
585-1	w t							
589-1	kʰ u m							
593-1	d ɛ ŋ							
594-1	l u ŋ							
595-1	tʰ u ŋ							
596-1	ɲ a k							
598-1	ʑ u							
599-1	d ɛ m							
602-1	ʑ au							
603-1	l a p							
606-1	s u m							
605-1	b a							
620-1	l ɛi							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɔ							
646-1	l i ŋ							
168-1	h ɛ k							
658-1	h ɔ							
665-1	pʰ a							
668-1	pʰ a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	d ɛ ŋ							
493-1	ʑ u							
693-1	ɕ u							
694-1	m a							
702-1	ts u m							
704-1	m a							
176-1	l a							
709-1	ʑ a m							
710-1	t u							
714-1	m ɛ							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m u							
723-1	ts i ŋ							
726-1	ts i ŋ							
729-1	b ɔ							
730-1	d i							
739-1	b i							
740-1	b u							
741-1	kʰ ɔ p							
744-1	ɔ							
743-1	h a ŋ							
746-1	pʰ ɔ ŋ							
748-1	tʰ i k							
747-1	kʰ u							
749-1	kʰ ɛ ŋ							
751-1	t a ŋ							
762-1	m ɛ ŋ							
764-1	h i ŋ							
765-1	dʑ i							
788-1	h u							
615-1	l a k							
803-1	ɕ u							
802-1	w a k							
808-1	b i							
809-1	tsʰ i							
819-1	d u k							
821-1	ɕ u							
820-1	b i							
828-1	ɕ a k							
827-1	p u							
835-1	h ai							
308-1	d u							
844-1	ʑ i							
848-1	m u							
705-1	l a							
613-1	ɔ							
649-1	h ɛ k							
876-1	ɕ u							
878-1	w ɔ m							
889-1	h a m							
898-1	ɲ u t							
902-1	z a							
910-1	i							
916-1	l i							
919-1	l i							
922-1	ɕ i s							
930-1	ɕ u							
933-1	k i							
939-1	d i k							
947-1	w ɛ ŋ							
948-1	ɲ a							
963-1	ʑ a							
967-1	tɕʰ u p							
969-1	ɕ a							
970-1	kʰ ɔ k							
972-1	n u							
731-1	m u							
973-1	dʑ i ŋ							
974-1	h a s							
979-1	dʑ ɛ ŋ							
