COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r ɨ									
18-1	n a r e									
35-1	h i θ u s a r i									
36-1	h u θ a ts ɨ									
48-1	n a g a s a r i									
60-1	θ ui r i									
63-1	s e r a m e									
64-1	k i									
67-1	h w a									
68-1	n ɨ u									
71-1	tɕ i									
76-1	h u n ɨ									
83-1	ts ɨ n u									
87-1	h a n ɨ									
95-1	m i m i									
98-1	h a n a									
99-1	k u tɕ i									
-102-1	s e b a									
103-1	ts ɨ m ɨ									
110-1	θ ɨː									
116-1	ʔ u n ɨ ts ɨ									
120-1	n u m u r i									
132-1	k i k u r i									
139-1	k u r u s u r i									
140-1	ʔ u ʔʲ u r i									
156-1	θ a tɕ u r i									
168-1	ts ɨ k i									
169-1	h u s i									
14-2		k o r e								
18-2		d a r e								
35-2		h i t o ts u								
36-2		h u t a tsː u								
48-2		n a g a i								
60-2		t o r i								
63-2		s i r a m i								
64-2		k i								
67-2		h a pː a								
68-2		n e t e								
71-2		tɕ i								
76-2		h o n e								
83-2		ts u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i b a								
103-2		ts u m e								
110-2		t e								
116-2		m u n e								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o z o g u								
156-2		t a r e r u								
168-2		ts u k i								
169-2		h o s i								
14-3			k o r e							
18-3			d a r e							
35-3			h iː t o							
36-3			h u t e							
48-3			n a g a i							
60-3			t o r i							
63-3			s i r e							
64-3			k iː							
67-3			h a							
68-3			n e ts u							
71-3			tɕ i							
76-3			h o n e							
83-3			ts u n o							
87-3			h a n e							
95-3			m iː							
98-3			h a n a							
99-3			k ui							
-102-3			s i t e							
103-3			ts u m e							
110-3			t e							
116-3			m ui n e							
120-3			n o m u							
132-3			k i							
139-3			k o r e							
140-3			o iː							
156-3			t a r e							
168-3			ts u k i							
169-3			h o ɕ							
14-4				k o r e						
18-4				d a r e						
35-4				h i t o t u						
36-4				h u t a tː u						
48-4				n a g a i						
60-4				t o r i						
63-4				s i r a m i						
64-4				k i						
67-4				h a pː a						
68-4				n e s o						
71-4				t i						
76-4				h o n e						
83-4				t u n o						
87-4				h a n e						
95-4				m i m i						
98-4				h a n a						
99-4				k u t i						
-102-4				s i b a						
103-4				t u m e						
110-4				t e						
116-4				m u n e						
120-4				n o m u						
132-4				k i k u						
139-4				k o r o s u						
140-4				o d o g u						
156-4				t a tː e r u						
168-4				t u k i						
169-4				h o s i						
14-5					k o r e					
18-5					d a r e					
35-5					h i t e ts u					
36-5					h u t a tsː u					
48-5					n a ŋ a i					
60-5					t o r i					
63-5					s i r a m i					
64-5					k i					
67-5					h a pː a					
68-5					n e					
71-5					tɕ i					
76-5					h o n e					
83-5					ts u n o					
87-5					h a n e					
95-5					m i m i					
98-5					h a n a					
99-5					k u tɕ i					
-102-5					s i b a					
103-5					ts u m e					
110-5					t eː					
116-5					m u n e					
120-5					n o m u					
132-5					k i k u					
139-5					k o r o s u					
140-5					o j o ŋ u					
156-5					t a tː e r u					
168-5					ts u k i					
169-5					h o s i					
14-6						k o r e				
18-6						d a r e				
35-6						h w iː t u				
36-6						h u t a ts ɨ				
48-6						n a g a i				
60-6						t o r i				
