COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i +								
2-1	k a + n e x + tɬ i								
8-1	w iː j								
16-1	e s + tɬ i								
24-1	s t i +								
32-1	x i k i								
51-1	o n +								
52-1	w aː m + k i								
53-1	n a k a s								
54-1	tɬ aː l i								
55-1	k w a								
60-1	iː x + t l oː oː								
83-1	tɬ iː + tɬ								
87-1	x a tɬ aː n i								
92-1	x a k a								
103-1	x a +								
106-1	k a k i								
138-1	n a x a +								
139-1	x i k + t i a								
142-1	x a t								
145-1	x o + t eː k a								
176-1	tɬ x a + tɬ								
179-1	n a k a + tɬ								
180-1	x eː x + tɬ i								
186-1	k e tʃ +								
190-1	j a k a + tɬ								
194-1	s eː								
220-1	o x + tɬ i								
231-1	i t a								
240-1	k o tʃ i								
283-1	t e + tɬ								
293-1	iː n +								
314-1	k w a w i + tɬ								
315-1	oː x e								
322-1	t e x w iː								
323-1	tɬ eː n								
9-1	t oː t oː + tɬ								
17-1	a ʔ i + tɬ								
22-1	tɬ a +.t.i +.t.i								
30-1	w iː x								
88-1	i i								
158-1	w e j a k								
159-1	a i ts i + tɬ								
177-1	x i a k								
184-1	t oː k aː + tɬ								
187-1	j a n k w i + k								
227-1	x aː l								
235-1	x o + tɬ aː l i								
249-1	x oː k + tɬ i								
251-1	x o + t + k e x a								
289-1	k w i tɬ a x i l								
294-1	t x a								
296-1	n e n ʔ i l +								
313-1	tɬ a n								
316-1	n e x + n e x i								
318-1	t t o oː n i k								
320-1	eː + tɬ								
324-1	iː s t a k								
326-1	aː k n								
1-2		n u ts i							
2-2		t h + n ts ts + t i							
8-2		w ts j							
16-2		e s + t i							
24-2		i s t i + t							
32-2		ts i b i							
51-2		u n + i +							
52-2		w a k + t u n							
53-2		n a b a s							
54-2		t o n l i.n							
55-2		b w a							
60-2		iː ts r t ts u ts u							
83-2		t ts n + t							
87-2		ts a t o n i							
92-2		ts a b a							
103-2		ts o n n							
106-2		b a b i							
138-2		n a ts a							
139-2		ts i b + t i a							
142-2		ts a t i							
145-2		j u + t ts b a							
176-2		t ts b a + t							
179-2		n a b a + t							
180-2		ts ts ts + t i							
186-2		b t ts + t							
190-2		ts a b a + t							
194-2		s ts							
220-2		u j + t i							
231-2		i t a							
240-2		b u ts i							
283-2		t e n + t							
293-2		i n + iː							
314-2		b w a w i + t							
315-2		o ts e							
322-2		t e j j e n							
323-2		t ts							
9-2		t o t u + t							
17-2		o j i + t							
22-2		t a t i a							
88-2		i							
158-2		w e ts a k							
159-2		i t i eː + t							
177-2		ts i a k							
184-2		t o k a + t							
187-2		ts a m k w u + k							
227-2		ts o l							
235-2		ts u + t o l i a							
249-2		ts o k + t i							
289-2		k w u t a ts i l							
294-2		t e ts a							
296-2		n e n e ts i t							
313-2		t a n +							
316-2		n e ts + n e ts u							
318-2		t u t o n i n							
324-2		i s t a k							
326-2		o k							
1-3			eː o tʃ i						
2-3			ʔ + n eː x + i						
8-3			w eː j						
16-3			e s + t i						
24-3			i s t i +						
32-3			x i k i						
51-3			o n + iː						
52-3			w aː k + ʔ						
53-3			n a k a s						
54-3			t eː l i						
55-3			k w eː						
60-3			iː x + t o l o l o						
83-3			t iː + t						
87-3			x a t eː n iː						
92-3			x a k a						
103-3			x eː + ʔ						
106-3			k a k i						
138-3			n a x a						
139-3			x i k + t i a						
142-3			x a t i						
145-3			x o + t eː k a						
176-3			t eː k a +						
179-3			n a k a + t						
180-3			x eː x + t i						
186-3			k eː tʃ						
190-3			j a.ʔ k a + t						
194-3			s eː						
220-3			o x + t i						
231-3			i t a						
240-3			k o tʃ i						
283-3			t e + t						
293-3			n						
314-3			k w a w i + t						
315-3			x x e						
322-3			t e x eː e n						
323-3			t eː						
9-3			t x t eː + t						
17-3			o eː i + t						
22-3			t a.ʔ t i						
30-3			w i x						
88-3			i i						
158-3			w eː j a ʔ						
159-3			a t i eː						
177-3			x i a k						
184-3			t tʃ k aː + ʔ						
187-3			j a n k w i + k						
227-3			x eː l i						
235-3			x o + t aː l i aː						
249-3			x x k + t i						
251-3			x o + + k e x a						
289-3			k w i t a x i l						
294-3			t e x a						
313-3			t a n						
316-3			n e x + n e x i						
318-3			t o t n ʔ i.n						
320-3			eː + t						
324-3			iː s t eː ʔ						
326-3			aː k						
1-4				n o tʃ i					
2-4				k n e s + tɬ i					
8-4				x e j i					
16-4				e s + tɬ i					
24-4				i s t e tɬ					
32-4				s i k i					
51-4				o n + i					
52-4				w a + k i					
53-4				n a k a s					
54-4				tɬ s l i					
55-4				k w a					
60-4				i s + t e o l					
83-4				tɬ i + tɬ i					
87-4				s a tɬ s n i					
92-4				s a k a					
103-4				s ts					
106-4				k a k i					
138-4				n a s a					
139-4				s i k + t i a					
142-4				s a t i					
145-4				s o + t e k a					
176-4				tɬ s x e tɬ					
179-4				n a k a + tɬ					
180-4				s e s + tɬ i					
186-4				k e tʃ -.a.tʃ tɬ					
190-4				j e k -.a.tʃ tɬ					
194-4				s e					
220-4				o s + tɬ i					
231-4				a					
240-4				k o tʃ i					
283-4				t e + tɬ					
293-4				i n + n					
314-4				k w a x i + tɬ					
315-4				s s e					
322-4				t e s w a n					
323-4				tɬ e					
9-4				t s t o + tɬ					
17-4				o s i tɬ					
30-4				w i x					
88-4				i o i					
158-4				w e j a k					
177-4				s e a k n					
184-4				t s k s					
187-4				j a n k w i + k					
227-4				s s l i					
235-4				s o + tɬ x l i a					
249-4				s s k + tɬ i					
251-4				x o + k e x a					
289-4				k w i tɬ a h i l					
294-4				t a s a					
296-4				n e n e ts i l +.ts.i.n.+					
313-4				tɬ a n + i					
316-4				n e s + n e s i					
318-4				t o t o n i i					
320-4				e -.a.tʃ tɬ					
324-4				i s t a k					
326-4				s k					
1-5					m o h i				
2-5					k n eː x + t i				
8-5					w eː h				
16-5					e s + t i				
24-5					i s t i t				
32-5					h i g i				
51-5					o n + i				
52-5					aː k + t oː k				
53-5					n a g a s				
54-5					t aː h h i				
55-5					b a				
60-5					oː x x				
83-5					t i + t				
87-5					h a t aː n i				
92-5					h a g a				
103-5					h a				
106-5					g a g i				
138-5					n e h e				
139-5					h i g + t i a				
142-5					h a t i				
145-5					h o + t eː k a				
176-5					t oː k a + t				
179-5					n a g a + t				
180-5					h eː h + t i				
186-5					g e h t				
190-5					h a g + t				
194-5					s eː				
220-5					o h + t i				
231-5					i t a				
240-5					g o h i				
283-5					t e + t				
293-5					o n				
314-5					g w a i + t				
315-5					oː h e				
322-5					t e h ts e				
323-5					t eː				
9-5					t oː t oː + t				
17-5					o h i + t				
22-5					t a t i a				
30-5					w i m				
88-5					i i				
158-5					w eː h a k				
159-5					x t i m a + t				
177-5					h i a k				
184-5					t oː g aː + h				
187-5					h a m b i + k				
227-5					x aː h h i				
235-5					h o + t aː h i a				
249-5					h oː g + t i				
251-5					p o + g e m a				
289-5					b i t a ts i ts				
294-5					t e h a				
296-5					n e n e t i t				
313-5					t a n t				
316-5					n e h + n e h i				
318-5					t o t ts n i k				
320-5					m + t i				
324-5					i s t aː k				
