COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i + n								
2-1	tɬ k o + n eː p + tɬ i								
8-1	w eː j								
16-1	e s + tɬ i								
24-1	i s t +								
32-1	m i k i								
51-1	o n +								
52-1	w a k + tɬ i								
53-1	n a k a s + tɬ								
54-1	tɬ aː l								
55-1	k w a								
60-1	iː p + t o o								
1-2		n u tʃ i							
2-2		+ n e tʃ t i							
8-2		w e j							
16-2		e s + t i							
24-2		i s t i n							
32-2		m i k i							
51-2		u n + i							
52-2		w aː k + t u k							
53-2		n a k a s							
54-2		t aː h l i							
55-2		k w aː							
60-2		iː tʃ e h l							
1-3			m o tʃ i n						
2-3			+ n e tʃ + i						
8-3			w eː j						
16-3			e s + t i						
24-3			i s t i +						
32-3			m i k i						
51-3			o n + iː						
52-3			w aː k + ʔ						
53-3			n a k a s						
54-3			t aː l i						
55-3			k w a						
60-3			iː tʃ + t o l o l o						
1-4				m o tʃ i n					
2-4				+ n e ts tɬ i					
8-4				w e j i					
16-4				e ts + tɬ i					
24-4				i ts t e tɬ					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + k i k i					
53-4				n a k a ts					
54-4				tɬ a l i					
55-4				k w a					
60-4				i ts + t a l o l					
1-5					n o tʃ i				
2-5					k a n eː tʃ + t i				
8-5					w e j i				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n + a				
52-5					aː g + t o				
53-5					n a g a s				
54-5					t aː h l i				
55-5					b aː				
60-5					iː tʃ				
1-6						n u tʃ i			
2-6						k uː n e p + t i			
8-6						w e j i			
16-6						e s + t i			
24-6						i s t			
32-6						m i k i			
51-6						u n + i			
52-6						w aː k + k u k			
53-6						n a k a s			
54-6						t aː l i			
55-6						k w a			
60-6						iː p + t l u l uː			
1-7							o tʃ		
2-7							n e p + i		
8-7							w e j		
16-7							o p + t		
24-7							p t		
32-7							m k i		
51-7							o n + i		
52-7							w a k t + t		
53-7							n e k e p		
54-7							t a l		
55-7							k w e		
60-7							i p + l l o		
1-8								o tʃ ɨ	
2-8								a n ə ts tɬ ɨ	
8-8								ə j	
16-8								ə s + tɬ ɨ	
24-8								ɨ s t ɨ + tɬ	
32-8								m ɨ k	
51-8								o n + i	
52-8								w k + oː	
53-8								n a k a s +	
54-8								tɬ aː l + l	
55-8								k w a	
60-8								i ts + t l o l o p	
1-9									m o tʃ iː
2-9									n e ts + tɬ i
8-9									b e iː
16-9									e ts + tɬ iː
24-9									iː ts t iː +
32-9									m iː k iː
51-9									o n + iː
52-9									b ø k + k iː
53-9									n a k a ts
54-9									tɬ ø l iː
55-9									k w a
60-9									i ts + t e l o l
