COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ i +								
2-1	k o + n e ts + tɬ i								
8-1	w p								
16-1	e s + tɬ i								
24-1	s t +								
32-1	m i k i								
51-1	o n +								
52-1	w aː k + tɬ i								
53-1	n a k a s +								
54-1	tɬ aː l i +								
55-1	k w a +								
60-1	iː ts + o o +								
83-1	tɬ + tɬ i								
87-1	ts a tɬ aː n i								
92-1	m a k a								
103-1	m aː								
106-1	k a k i								
138-1	n a ʔ w aː.+.tɬ +								
139-1	m i k + t i a +								
142-1	m a t i								
145-1	m o + t k a								
176-1	tɬ aː k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
186-1	k e tʃ +								
190-1	ts a k aː.+.tɬ + tɬ								
194-1	s								
220-1	o ʔ + tɬ i								
231-1	t a								
240-1	k o tʃ i								
283-1	t e + tɬ								
293-1	iː n +								
314-1	k w a w i + + tɬ								
315-1	oː m e								
322-1	t e ʔ w iː + + t								
323-1	tɬ eː i								
9-1	t oː t oː + tɬ								
17-1	oː i + tɬ								
22-1	tɬ a tɬ i aː t								
30-1	w iː ts								
88-1	i i								
158-1	w e p a k +								
159-1	aː t i m i + tɬ								
177-1	m i a k								
184-1	t oː k aː ʔ i + tɬ								
187-1	p a n k w i + k								
227-1	p aː l i + i								
1-2		n u m i							
2-2		t + n eː m + t i							
8-2		w o m							
16-2		e s + r i							
24-2		i s t i + t							
32-2		m i b i							
51-2		u n + i +							
52-2		w a.i k + t u k							
53-2		n a b a s							
54-2		r a.i h l							
55-2		k w a t							
60-2		uː m r e l u l u							
83-2		r eː + r							
87-2		p a r a.i n i							
92-2		m a b a							
103-2		m a n							
106-2		b a b i							
138-2		n e h e							
139-2		m i k + t i -.h t u.k							
142-2		m a t i							
145-2		m u + t e b a							
176-2		t a.i k a + t							
179-2		n a b a + r							
180-2		m eː m + r i							
186-2		b eː m + t							
190-2		m a b e + r							
194-2		s e							
220-2		u h + t i							
231-2		i r a							
240-2		b u m i							
283-2		t e + r							
293-2		i n + iː							
314-2		b w a w i + r							
315-2		uː m e							
322-2		t e h u.k ts e n							
323-2		r eː							
9-2		t uː t uː + t							
17-2		u j i + r							
22-2		r a r i -.h u.k							
88-2		t i							
158-2		w e m a k n							
159-2		a t i uː + t							
177-2		m i a k							
184-2		t uː b a + t							
187-2		m a m k w i + k							
227-2		+ m a h l i							
1-3			n o p i						
2-3			k i + n eː p + i						
8-3			w eː j						
16-3			e s + t i						
24-3			i s t i						
32-3			m i k i						
51-3			o n + iː						
52-3			w aː + ʔ						
53-3			n a k a s						
54-3			t aː l i						
55-3			k w aː						
60-3			iː p + t o l o l o						
83-3			t i + t						
87-3			p a t aː n i						
92-3			m a k a						
103-3			m aː ʔ						
106-3			k a k i						
138-3			n e h						
139-3			m i k + t i a						
142-3			m a t i						
145-3			m o + t eː k a						
176-3			aː k a						
179-3			n a k a + t						
180-3			m eː j + t i						
186-3			k eː p t						
190-3			p a k a + t						
194-3			s eː						
220-3			o h + t i						
231-3			i t a						
240-3			k o p i						
283-3			t e + t						
293-3			iː n						
314-3			k w a w i + t						
315-3			oː m e						
322-3			t e h m e h						
323-3			t eː ʔ						
9-3			t oː t o + t						
17-3			o m i + t						
22-3			t a.ʔ t						
30-3			w i ts						
88-3			i i						
158-3			w eː p a ʔ						
159-3			a t i i						
177-3			m i a k						
184-3			t o k aː +						
187-3			p a n k w i + k						
227-3			p aː l i						
1-4				n o tʃ i					
2-4				n e ts + tɬ i					
8-4				w e p i					
16-4				e ts + tɬ i					
24-4				i ts t e					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + k o k.i					
53-4				n a k a ts					
54-4				tɬ a l					
55-4				k w a					
60-4				i ts + t e l o l					
83-4				tɬ i + tɬ					
87-4				ts a tɬ a n i					
92-4				m a k a					
103-4				m a					
106-4				k a k i					
138-4				n e h a					
139-4				m i k + t i a					
142-4				m a t i					
145-4				m o + t e k a					
176-4				tɬ a ts e tɬ					
179-4				n a k a + tɬ					
