COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	n o tʃ e + n								
2-1	k o + n eː ts + tɬ i								
8-1	w e j								
16-1	e s + tɬ i								
24-1	s t +								
32-1	m e k i								
51-1	o n +								
52-1	w aː k + tɬ i								
53-1	n a k a s + tɬ								
54-1	tɬ aː l								
55-1	k w a								
60-1	i ts + t l o o								
83-1	tɬ e + tɬ								
87-1	ts a tɬ aː n i								
92-1	m a k a								
103-1	m aː								
106-1	k a k i								
138-1	n e ʔ w aː.+.tɬ								
139-1	m e k + t i a								
142-1	m a t i								
145-1	m o + t eː k a								
176-1	tɬ aː k a + tɬ								
179-1	n a k a + tɬ								
180-1	m eː ts + tɬ i								
1-2		n u tʃ i							
2-2		+ n e tʃ t i							
8-2		w e j							
16-2		e s + t i							
24-2		i s t i							
32-2		m i k i							
51-2		u n + i							
52-2		w aː k + t u k							
53-2		n a k a s							
54-2		t aː h l i							
55-2		k w aː							
60-2		iː tʃ t e h l							
83-2		t i + t							
87-2		tʃ a t aː n i							
92-2		m a k a							
103-2		m o							
106-2		k a k i							
138-2		n e h							
139-2		m i k + t i -.h							
142-2		m a t i							
145-2		m u + t e k a							
176-2		t aː k a + t							
179-2		n a k a + t							
180-2		m e tʃ + t i							
1-3			m o tʃ i n						
2-3			ʔ + n e ts + i						
8-3			w eː j						
16-3			e s + t i						
24-3			i s t i +						
32-3			m i k i						
51-3			o n + iː						
52-3			w aː + ʔ						
53-3			n a k a s						
54-3			t aː l i						
55-3			k w a						
60-3			iː ts + t o l o l o						
83-3			t iː + t						
87-3			ts a t aː n i						
92-3			m a k a						
103-3			m aː +						
106-3			k a k i						
138-3			n e h +						
139-3			m i + t i a						
142-3			m a t i						
145-3			m o + t eː k a						
176-3			t aː k a + t						
179-3			n a k a + t						
180-3			m eː ʔ + t i						
1-4				n o tʃ i					
2-4				+ n e ts + tɬ i					
8-4				w e j i					
16-4				e ts + tɬ i					
24-4				i ts t e					
32-4				m i k i					
51-4				o n + i					
52-4				w a k + k o k.i					
53-4				n a k a ts					
54-4				tɬ a l i					
55-4				k w a					
60-4				i ts + t e l o l					
83-4				tɬ i + tɬ					
87-4				ts a tɬ a n i					
92-4				m a k a					
103-4				m a					
106-4				k a k i					
138-4				n e h a					
139-4				m i k + t i a					
142-4				m a t i					
145-4				m o + t e.j k a					
176-4				tɬ a ts e + tɬ					
179-4				n a k a + tɬ					
180-4				m e ts + tɬ i					
1-5					n o tʃ i				
2-5					k a n eː tʃ + t i				
8-5					w e j				
16-5					e s + t i				
24-5					i s t i				
32-5					m i g i				
51-5					o n +				
52-5					aː g + t o				
53-5					n a g a s				
54-5					t aː h l i				
55-5					b aː				
60-5					iː tʃ				
83-5					t i + t				
87-5					tʃ a t aː n i				
92-5					m a g a				
103-5					m a				
106-5					g a g i				
138-5					n e h a				
139-5					m i g + t i				
142-5					m a t iː				
145-5					m o + t e k a				
176-5					t aː k a t				
179-5					n a g a + t				
180-5					m eː tʃ + t i				
1-6						n u tʃ i			
2-6						k uː n e ts + t i			
8-6						w e j			
16-6						e s + t i			
24-6						i s t			
32-6						m i k i			
51-6						u n + i			
52-6						w aː k + k u k			
53-6						n a k a s			
54-6						t aː l			
55-6						k w a			
60-6						iː ts + t l u l uː			
83-6						t i + t			
87-6						ts a t aː n			
92-6						m a k a			
103-6						m aː			
106-6						k a k i			
138-6						n a h			
139-6						m i k + t i a			
142-6						m a t			
145-6						m u + t eː k a			
176-6						aː k a +			
179-6						n a k a + t			
180-6						m eː p + t i			
1-7							n o tʃ a.n		
2-7							n e s + i		
8-7							w o j		
16-7							o s + t a.n		
24-7							i s t		
32-7							m a.n k i		
51-7							o n + i		
52-7							w a k +		
53-7							n a k a s		
54-7							t a l		
55-7							k w a		
60-7							i s + l o l o		
83-7							t + t		
87-7							s a t a n i		
92-7							m a k e		
103-7							m a		
106-7							k e k i		
138-7							n e e		
139-7							m a.n k + t a.n		
142-7							m a t i		
145-7							m o + t e k a		
176-7							t a k a + t		
179-7							n a k a + t		
180-7							m e ts + t a.n		
1-8								o tʃ ɨ	
2-8								a n ə ts tɬ ɨ	
8-8								ə j	
16-8								ə s + tɬ ɨ	
24-8								ɨ s t ɨ + tɬ	
32-8								m ɨ k	
51-8								o n + i	
52-8								w k + oː	
53-8								n a k a s +	
54-8								tɬ aː l + l	
55-8								k w aː	
60-8								ts + t l o l o p	
83-8								tɬ i + tɬ	
87-8								ts a tɬ aː n ɨ	
92-8								m a k a	
103-8								m aː j	
106-8								k a k	
138-8								n ə h a	
139-8								m ɨ k + t ɨ	
142-8								m a t	
145-8								m o + t eː k a	
176-8								t aː k a + tɬ	
179-8								n a k a + tɬ	
180-8								m eː ts + tɬ ɨ	
1-9									m o tʃ iː
2-9									u + n e ts + tɬ iː
8-9									b e j iː
16-9									e ts + tɬ iː
24-9									iː ts t iː + tɬ
32-9									m iː k iː
51-9									o n + iː
52-9									b ø k + k iː
53-9									n a k a ts tɬ
54-9									tɬ ø l iː
55-9									k w a
60-9									i ts + t e l o l
83-9									tɬ i + tɬ
87-9									ts a tɬ ø n iː
92-9									m a k a
103-9									m a
106-9									k a k iː
138-9									n e h a +
139-9									m iː k + t iː a
142-9									m a t iː
145-9									m o + t i k a
176-9									t ø k a + tɬ
179-9									n a k a + tɬ
180-9									m i ts + tɬ iː
