COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	kʰ a							
5-1	n a							
4-1	t i k							
6-1	n a ŋ							
15-1	dʑ i							
55-1	l ɔ							
56-1	a							
60-1	ɕ i							
61-1	kʰ u ŋ							
80-1	tɕʰ ɔ k							
87-1	tɕʰ u							
86-1	pʰ a							
92-1	pʰ a							
102-1	m a							
106-1	pʰ ɔ k							
108-1	t a							
107-1	pʰ a							
112-1	pʰ a ŋ							
115-1	ɕ a							
114-1	t ɔ ŋ							
120-1	t a							
124-1	a							
125-1	t ɔ k							
132-1	h i							
131-1	n i ŋ							
136-1	m u							
134-1	kʰ a k							
137-1	a							
138-1	t ɔ k							
140-1	h a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h u							
149-1	m i k							
153-1	ɕ a							
152-1	kʰ a ŋ							
158-1	kʰ i k							
163-1	l i							
164-1	ɲ u							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b u k							
173-1	t ɔ ŋ							
183-1	l a							
185-1	m a							
188-1	kʰ u ŋ							
189-1	ts u ŋ							
193-1	h a							
196-1	m a ɹ							
199-1	ɕ a							
200-1	kʰ a ŋ							
201-1	kʰ i							
202-1	kʰ ɔ s							
203-1	t ɔ ŋ							
204-1	p u							
206-1	ɲ a ŋ							
117-1	p u							
146-1	kʰ i p							
219-1	h a							
218-1	kʰ i							
224-1	m a ŋ							
240-1	ɕ a k							
244-1	w a t							
255-1	t a s							
260-1	p a							
263-1	l a							
269-1	kʰ a k							
271-1	t a k							
209-1	kʰ i p							
277-1	m a m							
278-1	p ɔ ŋ							
135-1	d a							
284-1	m u							
797-1	a							
290-1	l i ŋ							
289-1	k i k							
296-1	n i							
310-1	ɕ i							
319-1	i							
325-1	l i							
327-1	t i							
331-1	k u							
337-1	b a ŋ							
338-1	n i ŋ							
339-1	a ɹ							
350-1	kʰ u							
349-1	t u ŋ							
357-1	tɕʰ a							
355-1	a							
363-1	m a ŋ							
361-1	t u							
365-1	ɕ a ŋ							
364-1	kʰ a k							
375-1	l ɔ k							
379-1	ɕ a t							
380-1	kʰ u							
396-1	j u							
400-1	m a							
405-1	t a ŋ							
404-1	ɕ u m							
409-1	l ɛ k							
410-1	h i k							
415-1	p a							
416-1	p a							
101-1	ŋ a ŋ							
37-1	kʰ a							
424-1	pʰ u							
434-1	ɕ a ŋ							
445-1	p a							
446-1	ɕ i							
451-1	t a							
457-1	n a m							
456-1	b a							
464-1	b ɕ i ŋ							
473-1	ɕ i							
474-1	ɔ ŋ							
479-1	ɕ i ŋ							
489-1	j i							
490-1	j a ŋ							
494-1	ɕ a							
503-1	kʰ u							
502-1	ɕ a ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	u k							
527-1	kʰ j ɛ ŋ							
538-1	ɕ							
544-1	w a m							
850-1	a							
554-1	dʑ u							
553-1	d u ŋ							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p a							
564-1	j a							
567-1	m a							
570-1	pʰ u							
575-1	ai							
582-1	l a							
585-1	a t							
589-1	kʰ u m							
593-1	t a ŋ							
594-1	l u ŋ							
595-1	t u ŋ							
596-1	ŋ a k							
598-1	ʑ a ŋ							
599-1	d i m							
602-1	ʑ i							
603-1	l a p							
606-1	ɕ u m							
605-1	p a							
620-1	l a							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɔ							
646-1	l i ŋ							
168-1	h ɛ k							
658-1	h a ŋ							
665-1	pʰ a							
668-1	pʰ a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	m a ŋ							
493-1	ʑ u							
693-1	ɕ a							
694-1	m a							
702-1	ts u m							
704-1	m a							
176-1	l a							
709-1	ɕ a m							
710-1	t u s							
714-1	m a t							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m u							
723-1	tɕʰ i ŋ							
726-1	dʑ i ŋ							
729-1	b ɔ							
730-1	d i							
739-1	p i							
740-1	p a							
741-1	kʰ ɔ k							
744-1	a							
743-1	h a ŋ							
746-1	pʰ ɔ ŋ							
748-1	t i k							
747-1	kʰ u							
749-1	kʰ a ŋ							
751-1	t a ŋ							
762-1	m a ŋ							
764-1	h i ŋ							
765-1	dʑ i							
788-1	h u ŋ							
615-1	l a k							
803-1	ɕ a							
802-1	w a k							
808-1	p i							
809-1	ts i							
819-1	t u k							
821-1	ɕ a							
820-1	p i							
828-1	ɕ a k							
827-1	p u							
835-1	h a							
308-1	d u							
844-1	ʑ i ŋ							
848-1	m u							
705-1	l a							
613-1	ɔ							
649-1	h ɛ k							
876-1	ɕ u							
878-1	j ɔ m							
889-1	h a m							
898-1	n u k							
902-1	h a ŋ							
910-1	i ŋ							
916-1	l i							
919-1	l i							
922-1	ɕ i k							
930-1	ɕ u							
933-1	k i							
939-1	d i k							
947-1	j a ŋ							
948-1	n a ŋ							
963-1	ʑ a							
967-1	tɕʰ u k							
969-1	ɕ a							
970-1	kʰ ɔ k							
972-1	n a							
731-1	m u							
973-1	dʑ i ŋ							
974-1	h a s							
979-1	tɕʰ a ŋ							
182-1	kʰ u							
993-1	n a m							
994-1	j u							
1001-1	ɕ a							
1002-1	t a k							
1005-1	tɕʰ u ŋ							
1009-1	kʰ a							
1022-1	ɕ a							
1021-1	dʑ ɔ k							
1043-1	w u ŋ							
1049-1	t u s							
1065-1	kʰ i ŋ							
1068-1	w u							
1077-1	l u ŋ							
1081-1	l a ŋ							
1084-1	h i ŋ							
1092-1	m a							
1091-1	tɕʰ u							
1096-1	n a							
1097-1	kʰ u							
1102-1	ɲ u							
1104-1	t ɔ ŋ							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	b a							
1116-1	ɕ a ŋ							
722-1	kʰ a							
1141-1	j a ŋ							
1147-1	p a							
1146-1	ʑ ɔ							
1150-1	h a ŋ							
1151-1	ɔ ŋ							
1158-1	kʰ a k							
1159-1	pʰ u							
1164-1	t a							
1163-1	l a							
1167-1	ɕ a ŋ							
1171-1	l u							
1177-1	tɕʰ u ŋ							
1187-1	kʰ a							
1189-1	ɲ i k							
52-1	kʰ a							
1195-1	ʑ i							
1203-1	t u k							
1211-1	j ɔ							
329-1	w a							
1217-1	m a ŋ							
72-1	kʰ a							
1218-1	tɕʰ i k							
1222-1	tɕʰ ɔ ŋ							
1229-1	dʑ a ŋ							
1238-1	t a ŋ							
1249-1	m i							
1252-1	j a							
1254-1	n a m							
1253-1	ɕ u ŋ							
1257-1	k a ɹ							
1263-1	dʑ u							
1266-1	dʑ a k							
584-1	t ɔ ŋ							
7-1	w u							
1191-1	l a ŋ							
13-1	tɕʰ a							
18-1	dʑ i							
33-1	n a m							
74-1	t a ŋ							
81-1	ɕ a ŋ							
83-1	m i k							
89-1	t ɔ ŋ							
90-1	ʑ a p							
123-1	tɕʰ i k							
122-1	kʰ u s							
121-1	m a							
154-1	tɕʰ a							
159-1	ɕ a							
161-1	kʰ i							
170-1	kʰ a t							
91-1	a							
181-1	n u							
186-1	dʑ a							
191-1	ɕ a							
217-1	k a							
221-1	h a							
252-1	ts a ŋ							
253-1	l a m							
261-1	b a							
262-1	j u							
281-1	ts a k							
287-1	h a ŋ							
288-1	h a							
292-1	d ɔ k							
297-1	kʰ ɔ k							
311-1	k i							
332-1	b a							
358-1	j ɔ ŋ							
366-1	kʰ a							
378-1	tɕʰ a t							
382-1	m i							
392-1	dʑ ɔ k							
397-1	b a							
471-1	m a ŋ							
477-1	d u							
478-1	l u							
481-1	dʑ a ŋ							
483-1	ʑ a ŋ							
511-1	kʰ a							
525-1	tɕʰ i							
542-1	dʑ ɔ ŋ							
