COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
276		dʒ a tʃ i				dʒ a ɲ tʃ i		
2407					pʰ a kʰ e n		pʰ a kʰ e n	
2296				tʰ o g tʃʰ a m				t o k p a n
1796	kʰ a b a ɾ a	kʰ a b a r		kʰ a b a r				pʰ a r
1628		ɾ i tʃ i k p u	ɾ i tʃ i k p u			ɾ i tʃ i k p u		
1132	b ă ŋ tʃ a ŋ		b ă ŋ tʃ a ŋ					b ă ŋ tʃ a ŋ
855		b e ŋ k u ɾ t a			b e ŋ k u t̪ a	b e ŋ k u t̪ a		
153	l i ʃ i ŋ			l i ʃ i ŋ				
2498	l e k aː l o	l e k a ʔ a n z u		l e k a ă n tʃʰ a m	l e k aː l o	l e k a ʔ a l o		
1852		kʰ o m tʰ e ɾ a ŋ	kʰ o m d̪ a ɾ a ŋ		kʰ o m d̪ a ɾ a ŋ	kʰ o m tʰ e ɾ a ŋ	kʰ o m d i r a ŋ	
1924		k ɾ e m ʃ i pː a				k ɾ e m ʃ i pː a		
1263		ɾ j u	ɾ j u			ɾ j u	ɾ j u	
1061		g u m z i ŋ			g u m z i ŋ		g u m z i ŋ	
2101		ʃ i n dʒ i		ʃ i n tʃʰ a m				
1112					t a ŋ l e m		t a ŋ l e m kʰ e n	
1996	m u t̪ i r k a	m u ŋ t̪ a ŋ			m u ŋ d i r		m u ŋ d i r kʰ e n	m u ŋ d i r p a n
1603		r a	r a		ɾ u	r a	ɾ u	
864		g o ŋ			g o ŋ			
856			k j a k p a				k j a k p a	
1809					tʃ i kʰ e n		tʃ i kʰ e n	
2489		pʰ a k p o	pʰ a k p o					
2338	ɲ o ɾ l a	ɲ u r tʃ u				j u r tʃ u	ɲ u r kʰ ə n	
2219		ʃ e ʃ u				ʃ e ʃ u		
446		n a ɾ i j a l			n a ɾ i j a l		n a ɾ i j a l	
580	b l a s a							b l a s a
1602	tʃ a			tʃ a				tʃ a
2110	a l o				a l o	ʔ a l o		
755		tʃ j a m t u ɾ t a	tʃ j a m t u ɾ t a					
1959	u ɲ u	u ɲ u b a g m o		u ɲ u b a				
2092		l e m	tʃ a m l e m b o		l e m b o	l e m b o		
2766		i ŋ o m	i ŋ o m		ɲ i ŋ a m	ŋ a m tʃ a	i ŋ a m	
1576		g o ŋ ɾ i			g o ŋ ɾ i	ɾ i g o ŋ ɾ i		
2007		b u	b u ʃ u		b u ʃ u	b u a t̪ a	b u a t̪ a	
1088	j o n			j o n				j o n
1108	t̪ a ŋ h e p k a							t̪ a ŋ h e m p a n
773	g a ɾ a ŋ tʃ i ŋ n a ŋ			g ă z a ŋ tʃ i ŋ n a	g a ɾ a ŋ tʃ i ŋ n a ŋ		g a ɾ a ŋ tʃ i ŋ n a ŋ	
200		pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a			pʰ ɾ a ŋ g a	pʰ ɾ a ŋ g a	
728	tʰ a ŋ p u							tʰ a ŋ p u
2055					u kʰ e n		u kʰ e n	
2588		kʰ u	kʰ u		kʰ u	kʰ u	kʰ u	
2625		b e n a m z u m	b i n a z u ŋ			b o i n a m z u ŋ	b i n a z u ŋ	i n a ŋ z u m
2072		g e p ʃ u			g e p k a n	g e p k a n	g e p kʰ ə n	g e p a n
416		kʰ a m tʃ u d a ŋ				kʰ a m tʃ u d a ŋ		
