COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʃ a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ tʃ i l a							
125-1	b i ŋ ɾ a							
162-1	l e i s i							
171-1	kʰ o m s a							
219-1	t a ŋ p u							
247-1	tʃ a ŋ l u ŋ							
282-1	l u ŋ p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m u m b a i							
363-1	n i m b u							
397-1	kʰ a m d i							
406-1	kʰ a m u ŋ							
426-1	m i k p a							
473-1	pʰ i n d a ŋ							
499-1	z a m i n							
526-1	g a ʃ a							
544-1	kʰ u							
553-1	k o t y ŋ							
599-1	g o d a m							
608-1	b a n d o							
617-1	j e n							
645-1	a n a							
663-1	s o ŋ tʰ u r							
672-1	t o ŋ p a							
681-1	ɲ i ɾ i							
690-1	m i ŋ							
708-1	a ɾ i ŋ m u							
717-1	tʃ o k p u							
726-1	s i							
744-1	a p a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a ŋ							
836-1	p a s i							
881-1	l a m							
10-2		d a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ tʃ i l a						
125-2		b e j ŋ ɾ a						
162-2		l e i s i						
171-2		g o m z a						
219-2		d a ŋ p u						
247-2		d̪ a ŋ l u ŋ						
282-2		l u s p u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m p a i						
363-2		n i m b u						
397-2		g a m d i						
406-2		kʰ a u						
426-2		m o k p a						
473-2		b i n tʃ a ŋ						
499-2		z a m i n						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		k o tʃ a ŋ						
599-2		g o i d a m						
608-2		b a n tʃ o						
617-2		j e n						
645-2		a n a						
663-2		s o ŋ tʰ u r						
672-2		t o ŋ p a						
681-2		ɲ i ɾ i						
690-2		m i ŋ						
708-2		d̪ a ɾ i ŋ b u						
717-2		dʒ o k p u						
726-2		s i						
744-2		a b a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o i n a ŋ						
836-2		p ʃ i						
881-2		l a m						
10-3			dʒ a ŋ					
37-3			n a n					
46-3			n a n					
98-3			kʰ a ŋ tʃ i l a					
125-3			b i w a ŋ ɾ a					
162-3			l e i s i					
171-3			tʰ o m ʃ a					
219-3			d̪ a ŋ p u					
247-3			tʃʰ a ŋ l u					
282-3			l u s p u					
292-3			kʰ a ŋ					
301-3			l i					
354-3			m ŭ m p a					
363-3			n a m b u					
397-3			g a m p i					
406-3			kʰ a u					
426-3			m ŭ k p a					
473-3			b i n tʃ a ŋ					
499-3			z a m u n					
526-3			g a p a					
544-3			kʰ u					
553-3			k o t a ŋ					
599-3			g o i tʰ a m					
608-3			b a ɲ p o					
617-3			j e n					
645-3			a n a					
663-3			s o ŋ tʰ u r					
672-3			t o ŋ p a					
681-3			n i ɾ i					
690-3			m i n					
708-3			tʰ a ŋ r i ŋ b u					
717-3			d̪ o k p u					
726-3			s i					
744-3			a p a					
782-3			m i					
791-3			ŋ a					
800-3			ŋ a					
809-3			m o m n a ŋ					
836-3			pʰ i ʃ i					
881-3			l a m					
10-4				tʃʰ a ŋ				
37-4				n a n				
46-4				n a n				
98-4				kʰ a ŋ t i l a				
125-4				b i j ŋ a a				
162-4				l e i s i				
171-4				g o m a				
219-4				t a ŋ p u				
247-4				tʃʰ a ŋ l u m				
282-4				l u s p u				
292-4				kʰ a m				
301-4				l i				
354-4				m u m b a tʃ i				
363-4				n a m b u				
397-4				g a m tʃ i				
406-4				kʰ a m u				
426-4				m u k p a				
473-4				b i n tʃʰ a ŋ				
499-4				z a m i n				
526-4				g a z a				
544-4				kʰ u				
553-4				k u t a ŋ				
599-4				k u i d̪ a m				
608-4				b a n t u				
617-4				j e n				
645-4				a n a				
663-4				s o tʰ u r				
672-4				t o ŋ p a				
681-4				ɲ i ɾ i				
690-4				m i n				
708-4				tʰ a r i ŋ b u				
717-4				tʃ o k p u				
726-4				s i				
744-4				a b a				
782-4				m i				
791-4				ŋ a				
800-4				ŋ a				
809-4				m o m n a ŋ				
836-4				p a j i				
881-4				l a m				
10-5					dʒ a ŋ			
37-5					n a n			
46-5					n a n			
98-5					kʰ a ŋ tʃ i l a			
125-5					b e ŋ ɾ a			
162-5					l e i s i			
171-5					kʰ o m ʃ a			
219-5					t a ŋ p u			
247-5					tʃ a ŋ l u			
282-5					l u s p u			
292-5					kʰ a ŋ			
301-5					l i			
354-5					m u m b a t i			
363-5					n a m b u			
397-5					g a m tʃ i			
406-5					kʰ a u			
426-5					m u k p a			
473-5					pʰ i n tʃ a ŋ			
499-5					z a m a n			
526-5					g a ʃ a			
544-5					kʰ u			
553-5					k o t a ŋ			
599-5					g o i d a m			
608-5					b a n d o			
617-5					j e n			
645-5					a n a			
663-5					s o ŋ tʰ u r			
672-5					t o ŋ p a			
681-5					ɲ i ɾ i			
690-5					m i ŋ			
708-5					tʰ a ŋ ɾ i ŋ b u			
717-5					d o k p u			
726-5					s i			
744-5					a a			
782-5					m i			
791-5					ŋ a			
800-5					ŋ a			
809-5					m o m n a ŋ			
836-5					p s i			
881-5					l a m			
10-6						tʃ a ŋ		
37-6						n a n		
46-6						n a n		
98-6						kʰ a ŋ tʃ i l a		
125-6						b i ŋ ɾ a		
162-6						l e s i		
171-6						kʰ o m ʃ a		
219-6						t a ŋ p u		
247-6						tʃʰ a ŋ l u ŋ		
282-6						l u s p u		
292-6						kʰ a ŋ		
301-6						l i		
354-6						m u m p a i		
363-6						n a m b u		
397-6						g a m d i		
406-6						kʰ a ɲ u		
426-6						m u k p a		
473-6						pʰ i n a ŋ		
499-6						z a m i n		
526-6						g a ŋ a		
544-6						kʰ u		
553-6						k o t a ŋ		
599-6						g o tʰ a m		
608-6						b a n tʃ o		
617-6						j e n		
645-6						a n a		
663-6						s o ŋ tʰ u r		
672-6						t o ŋ p a		
681-6						ŋ i ɾ i		
690-6						m i ŋ		
708-6						tʰ a ɾ i ŋ b u		
717-6						tʃ o k p u		
726-6						s i		
744-6						a w a		
782-6						m i		
791-6						ŋ a		
800-6						ŋ a		
809-6						m o m n a ŋ		
836-6						p s i		
881-6						l a m		
10-7							d a ŋ	
37-7							n a n	
46-7							n a n	
98-7							kʰ a ŋ tʃ i l a	
125-7							b i a ŋ ɾ a	
162-7							l e i s i	
171-7							o m l a	
219-7							d a ŋ p u	
247-7							d a ŋ l u m	
282-7							l u s p u	
292-7							kʰ a ŋ	
301-7							l i	
354-7							m u m b a i	
363-7							n a m b u	
397-7							g a m d i	
406-7							kʰ a u	
426-7							m u k p a	
473-7							pʰ i n tʰ a ŋ	
499-7							z a m i n	
526-7							g a ʃ a	
544-7							kʰ u	
553-7							k o tʃ a ŋ	
599-7							g o i tʰ a m	
608-7							b a n tʰ u	
617-7							j e n	
645-7							a n a	
663-7							s o ŋ tʰ u r	
672-7							d o ŋ p a	
681-7							ɲ i ɾ i	
690-7							m i ŋ	
708-7							tʰ a ɾ i ŋ b u	
717-7							tʃ o k p u	
726-7							s i	
744-7							a p a	
782-7							m i	
791-7							ŋ a	
800-7							ŋ a	
