COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʃ ă ŋ							
37-1	n a ŋ							
46-1	n a ŋ							
98-1	kʰ a ŋ i a							
125-1	kʰ ă l a a a							
162-1	j ă i a i							
171-1	kʰ o ŋ a							
219-1	tʃ a ŋ m u							
247-1	ʃ ă ŋ a u							
282-1	j u ŋ m u							
292-1	kʰ ă ŋ							
301-1	ă i							
354-1	j u i t̪ a i							
363-1	j i ŋ m u							
397-1	kʰ u tʃ i							
406-1	kʰ ă m o							
426-1	j u k p a							
473-1	pʰ ă i k a ŋ							
499-1	n ă m i n							
526-1	kʰ ă ŋ a							
544-1	kʰ u							
553-1	kʰ ă k a ŋ							
599-1	kʰ ă i a							
608-1	pʰ ă a o							
617-1	j a n							
645-1	ă n a							
663-1	ʃ o ŋ l u							
672-1	tʃ o ŋ p a							
681-1	j i ɾ i							
690-1	j i ŋ							
708-1	tʃ ă j i ŋ m u							
717-1	tʃ o k p u							
726-1	n i							
744-1	ă p a							
782-1	j i							
791-1	j a							
800-1	j a							
809-1	j o i n a ŋ							
836-1	kʰ a n i							
881-1	j ă m							
890-1	j ă i a							
899-1	n e a							
926-1	tʃ ă							
944-1	kʰ ă j a ŋ							
953-1	a j a j a ŋ							
980-1	j ă j o ŋ							
998-1	kʰ ă i							
1022-1	kʰ ɲ a o							
1031-1	kʰ ă n a ŋ u l a							
1069-1	tʃ ă ŋ a ŋ a a							
1079-1	ʃ o ŋ j a a a							
1098-1	j a ŋ m u a							
1117-1	tʃ u n							
1141-1	j i ŋ m u							
1189-1	j a n							
1198-1	j u l a							
1208-1	n ă l a a							
1217-1	j ă j i k							
1253-1	ă j a							
1271-1	j ă ɲ a ŋ							
1289-1	j i n							
1316-1	j a ŋ							
1325-1	kʰ ă							
1334-1	ʃ i ŋ m a							
1343-1	pʰ u i n a ŋ							
1361-1	j ă n a ŋ a							
1370-1	j a ɲ u							
1388-1	j a n m a							
1397-1	tʃ u ɾ							
1406-1	tʃ o ŋ							
1424-1	kʰ ă ɾ a ŋ a a a							
1433-1	j u m u							
1442-1	j ă m							
1451-1	kʰ ă k a							
1468-1	pʰ ă k p a							
1477-1	j a							
1502-1	j a ŋ u							
1511-1	j u ɾ u ŋ m a							
1529-1	kʰ a l o							
1538-1	j o l u							
1557-1	tʃ ă i l u							
1618-1	i a m a							
1663-1	n o m							
1689-1	j o i							
1698-1	kʰ u ŋ							
1707-1	j o ŋ n a ŋ							
1716-1	j ă u tʃ o ŋ							
1742-1	j u l u							
1751-1	kʰ ă l i l a							
1778-1	n a							
1787-1	kʰ u ɾ m u							
