COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
1118		tʃʰ u i						tʰ u l i
872	pʰ u ŋ k a			pʰ u ŋ k a				
2172	b i l o		b i l o		b i l o	b i	b i kʰ e n	b i l o
2256	pʰ u l o	pʰ u l o	pʰ u l o		u kʰ e n		pʰ u a kʰ e n	pʰ u l a n
1169	o t p a			o t p a				
1264				z o ɾ				z o ɾ
2774	b u ɲ i ŋ	b o ɲ i ŋ	b o ɲ i	b o ɲ i ŋ	b o ɲ i ŋ	b o ɲ i ŋ	b u ɲ i ŋ	b o n i ŋ
1061		g u m z i ŋ			g u m z i ŋ		g u m z i ŋ	
2416						z i k a n		z i g p a n
2		a ʃ i			a ʃ i		a ʃ i	
1088	j o n			j o n				j o n
2404	pʰ a l o		pʰ a w o					pʰ a l o
1132	b ă ŋ tʃ a ŋ		b ă ŋ tʃ a ŋ					b ă ŋ tʃ a ŋ
483	w a	w a	w a		w a	w a	w a	w a
2092		l e m	tʃ a m l e m b o		l e m b o	l e m b o		
873		pʰ u ŋ b e	pʰ u ŋ b e		pʰ u ŋ b e	pʰ u ŋ b e	pʰ u ŋ b e	
1627	d̪ u l u l a			d o l u				
2555				g a tʃ a	k a tʃ u		k a tʃ u	
380		d̪ o ŋ p a	d̪ u ŋ p a					t o ŋ p a
1950	z u	z u	z u	z u	z u	z u	z u	z u
66			z a m i ŋ			z a m i n		z a m i n z i m b u
581		d u i p a	d u i p a		d u i p a	d u i p a	d u i p a	
2645	h ă ŋ		h ă ŋ		h ă ŋ			h ă ŋ
2615	ɾ i	ɾ i	ɾ i	ɾ i	ɾ i	ɾ i	ɾ i	ɾ i
2338	ɲ o ɾ l a	ɲ u r tʃ u				j u r tʃ u	ɲ u r kʰ ə n	
67				n a n	n a n			
1879	tʃʰ e r tʃʰ e r			tʃʰ e r tʃʰ e r				
1751	b u ʃ i l a	b u ʃ i l a	b u ʃ i l a	b u ʃ i l a	b u tʃ i l a	b u ʃ i l a	b u tʃ i l a	p u tʃʰ l a
2110	a l o				a l o	ʔ a l o		
2544	ʃ i ŋ	ʃ i ŋ	ʃ i ŋ	ʃ i ŋ	ʃ i ŋ	ʃ i ŋ	ʃ i ŋ	ʃ i ŋ
854	p a i pʰ u			p a i p u				p e p u
2314				k o t tʃʰ a m	g o t kʰ ə n		g o t kʰ ə n	g o t p a n
1648						ɾ i t a ŋ p u		ɾ i t a ŋ p u
2277			ŋ j e w o			ŋ j e w o		
562	s a ŋ k a			s a ŋ k a				
2063		tʰ a kʰ u				tʰ a kʰ u		
2483					n a m kʰ a n	n a m kʰ a n	n a m kʰ e n	
1170		tʃʰ a tʃʰ a	tʃʰ a tʃʰ a		tʃʰ a tʃʰ a		tʃ a tʃ i	
1040	pʰ u i b u			pʰ o i b u				
117					kʰ a r i		kʰ a r i	
1629					ŋ o n b u		ŋ o n b u	
2166					g r a n dʒ a m e kʰ e n		g r a ŋ g i m e kʰ e n	
1760	s a h̥	s a h̥	s a	s a				
389		g o g a	g o g a		g o g a	g o g a	g o g a	g o g a
1707	m o ŋ n a ŋ	m o ŋ n a ŋ	m o ŋ n a ŋ	m o ŋ n a ŋ	m o ŋ n a ŋ	m o ŋ n a ŋ	m o ŋ n a m	m o ŋ n a ŋ
415	kʰ a m u ŋ		kʰ a u		kʰ a u		kʰ a u	kʰ a m u
2296				tʰ o g tʃʰ a m				t o k p a n
1150	s o ŋ o		z o ŋ a		s o ŋ a	s o ŋ a	s o ŋ a	
1307		t̪ʰ e p z a	t̪ʰ e p z a	k e p k a	t e p k a	t e p k a	t e p k a	k e p k a
865						z a s	z a s	
2081		d̪ o ŋ b a	d̪ o ŋ b a			d̪ o ŋ k a n	d o ŋ kʰ e n	
2407					pʰ a kʰ e n		pʰ a kʰ e n	
1487		dʒ o g t a ŋ	dʒ o g t a ŋ		dʒ o k t a ŋ	dʒ o k t a ŋ	tʃ o k t̪ a ŋ	tʃ o k t̪ a ŋ
1007	d u ŋ d u ŋ m a			d u ŋ d u ŋ m a				
1680	kʰ a n d i	kʰ a n d a		kʰ a n t i	kʰ a n d a	kʰ a n d a	kʰ a n tʰ u r	kʰ a n d a
1961					o tʰ u g a ŋ p u	ʔ o ɲ u g a m p u	o i g a ŋ p u	
