COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	kʰ a							
5-1	n a							
4-1	tʰ ɔ k							
6-1	n a ŋ							
15-1	b i							
55-1	l ɛi							
56-1	a							
60-1	ɕ i							
61-1	d u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ a							
92-1	pʰ a							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d ɛi							
107-1	b a							
112-1	pʰ a m							
115-1	ɕ a							
114-1	t ɔ ŋ							
120-1	d a							
124-1	a							
125-1	t ɔ k							
132-1	ɕ i							
131-1	r i ŋ							
136-1	m ɛi							
134-1	kʰ a k							
137-1	a							
138-1	d ɔ k							
140-1	h w a							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h ɛi							
149-1	m a k							
153-1	ɕ a							
152-1	kʰ a n							
158-1	k ɔ k							
163-1	r i							
164-1	w u							
167-1	pʰ a ŋ							
171-1	d u ŋ							
172-1	b u k							
173-1	t ɔ s							
183-1	r ɛi							
185-1	m a							
188-1	kʰ ɔ ŋ							
189-1	ts i ŋ							
193-1	h ɛi							
196-1	m a s							
199-1	tɕʰ ɛi							
200-1	kʰ a ŋ							
201-1	kʰ i							
202-1	kʰ ɔ k							
203-1	t ɔ ŋ							
204-1	b u							
206-1	ɲ a m							
117-1	b u							
146-1	kʰ i k							
219-1	h a a							
218-1	tɕʰ i							
224-1	m a							
240-1	tɕʰ a k							
244-1	w a t							
255-1	w ɔ s							
260-1	b ɛi							
263-1	r a							
269-1	kʰ j ɔ k							
271-1	tʰ a k							
209-1	kʰ i k							
277-1	m a s							
278-1	b ɔ ŋ							
135-1	d ɛi							
284-1	m u							
797-1	a							
290-1	n i							
289-1	k i k							
296-1	n i							
310-1	ɕ i							
319-1	i							
325-1	r i							
327-1	tʰ ɛi							
331-1	k a							
337-1	b ɛ ŋ							
338-1	n i ŋ							
339-1	ɔ s							
350-1	kʰ							
349-1	t u ŋ							
357-1	tɕʰ a							
355-1	a							
363-1	m a s							
361-1	tʰ u							
365-1	ɕ a ɹ							
364-1	dʑ a t							
375-1	r ɔ k							
379-1	ɕ a t							
380-1	kʰ a							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	ɕ a m							
409-1	r ɛ k							
410-1	h i k							
415-1	b ɛi							
416-1	b a							
101-1	d ɔ							
37-1	kʰ a							
424-1	pʰ ɛi							
434-1	tɕʰ ɛ ɹ							
445-1	p							
446-1	ɕ i							
451-1	t aˀ							
457-1	n a m							
456-1	b a							
464-1	b i ŋ							
473-1	ɕ i							
474-1	ɔ ŋ							
479-1	ɕ ɔ ɹ							
489-1	j a							
490-1	h ɔ ŋ							
494-1	ɕ u							
503-1	kʰ ɛi							
502-1	ʑ a ŋ							
235-1	d u ŋ							
519-1	l i							
523-1	ɔ k							
527-1	kʰ j ɛ ŋ							
538-1	ɕ							
544-1	w a m							
850-1	a							
554-1	dʑ u							
553-1	d i ŋ							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p a							
564-1	j a							
567-1	m a							
570-1	pʰ u							
575-1	ai							
582-1	l a							
585-1	a s							
589-1	k a m							
593-1	d a ŋ							
594-1	l a ŋ							
595-1	t u s							
596-1	ɕ ɔ k							
598-1	ʑ ɔ ŋ							
599-1	d a ŋ							
602-1	ʑ ɛi							
603-1	r a p							
606-1	ɕ u ŋ							
605-1	b a							
620-1	l ɛi							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɔ							
646-1	r ɔ ŋ							
168-1	h j ɔ k							
658-1	h ɔ n							
665-1	pʰ a							
668-1	w a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	m ɛ n							
493-1	ʑ u							
693-1	ɕ a							
694-1	m a							
702-1	ts a m							
704-1	m a							
176-1	l a							
709-1	ɕ a s							
710-1	t ɔ s							
714-1	m a t							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m u							
723-1	ts i ŋ							
726-1	dʑ i ŋ							
729-1	b							
730-1	d i							
739-1	p i							
740-1	b ɛi							
741-1	kʰ ɔ k							
744-1	ɛi							
743-1	h a n							
746-1	pʰ ɔ ŋ							
748-1	tʰ i k							
747-1	kʰ u							
749-1	kʰ a n							
751-1	t a s							
762-1	m ɛ n							
764-1	h ɔ n							
765-1	dʑ i							
788-1	h a m							
615-1	l a k							
803-1	ɕ a							
802-1	dʑ a k							
808-1	b a							
809-1	ts i							
819-1	d u k							
821-1	ɕ u							
820-1	b ɛi							
828-1	ɕ a k							
827-1	p u							
835-1	h ɔ							
308-1	d u							
844-1	ʑ i ŋ							
848-1	m ɛi							
705-1	l a							
613-1	ɛi							
649-1	h j ɔ k							
876-1	ɕ u							
878-1	j ɔ ŋ							
889-1	h a m							
898-1	n u k							
902-1	h ɔ m							
910-1	a							
916-1	r i							
919-1	r i							
922-1	ɕ i k							
930-1	ɕ u							
933-1	k ɛi							
939-1	d tɕʰ ɔ k							
947-1	w ɛ ŋ							
948-1	n ɔ m							
963-1	ʑ a							
967-1	tɕʰ u k							
969-1	ɕ a							
970-1	k ɔ k							
972-1	n ɛi							
731-1	m u							
973-1	dʑ i ŋ							
974-1	h ɔ s							
979-1	dʑ ɛ ŋ							
182-1	kʰ u							
993-1	n ɛ s							
994-1	ʑ u							
1001-1	ɕ a							
1002-1	d a k							
1005-1	tɕʰ u ɹ							
1009-1	kʰ a							
1022-1	ɕ a							
1021-1	dʑ ɔ k							
1043-1	d ɔ ŋ							
1049-1	t ɛi s							
1065-1	ɕ i ŋ							
1068-1	w u							
1077-1	d u ŋ							
1081-1	r a ŋ							
1084-1	d i ŋ							
1092-1	m ɛi							
1091-1	tɕʰ i							
1096-1	n ɛi							
1097-1	tɕʰ u							
1102-1	ɲ ɛi							
1104-1	tʰ ɔ ŋ							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	b ɛi							
1116-1	ɕ a ŋ							
722-1	kʰ a							
1141-1	j a ŋ							
1147-1	b ɛi							
1146-1	ʑ u							
1150-1	h w a ŋ							
1151-1	ɔ m							
1158-1	tɕʰ a k							
1159-1	pʰ u							
1164-1	tʰ							
1163-1	r a							
1167-1	ɕ a ŋ							
1171-1	l ɛi							
1177-1	ʑ u p							
1187-1	kʰ ɛi							
1189-1	ɲ i k							
52-1	kʰ a							
1195-1	ʑ i							
1203-1	tʰ u k							
1211-1	j a							
329-1	r a							
1217-1	m ɛ s							
72-1	kʰ a							
1218-1	tɕʰ i k							
1222-1	tɕʰ ɔ ɹ							
1229-1	dʑ a ŋ							
1238-1	d a ŋ							
1249-1	m i							
1252-1	j a							
1254-1	n ɛ s							
1253-1	ɕ a ŋ							
1257-1	k a s							
1263-1	dʑ u							
1266-1	dʑ a k							
584-1	t ɔ m							
7-1	w ɛi							
1191-1	l a a ŋ							
13-1	tɕʰ a							
18-1	b i							
33-1	n ɛ s							
74-1	t a ŋ							
81-1	ɕ a ŋ							
83-1	m i k							
89-1	t ɔ ŋ							
90-1	ʑ a p							
123-1	tɕʰ a							
122-1	kʰ ɔ s							
121-1	m a							
154-1	tɕʰ a							
159-1	ɕ a							
161-1	tɕʰ i							
170-1	tɕʰ ɛ t							
91-1	ai							
181-1	n u							
186-1	dʑ ɛi							
191-1	ɕ ɛi							
217-1	k a							
221-1	n u							
252-1	ts ɛ							
253-1	r a m							
261-1	b u							
262-1	w u							
281-1	tɕʰ ɔ k							
287-1	n a ŋ							
288-1	h a							
292-1	d ɔ k							
297-1	kʰ ɔ k							
311-1	k i							
332-1	b u							
358-1	ts ɔ ŋ							
366-1	k ɛi							
378-1	tɕʰ a							
