COGID	dutch	english	french	german
1469-1	h ɑ n d			
2047-1	z ɔ l			
2054-1	d oː n ə ə r			
1375-1	l ɛɪ x ə			
760-1	w ɪ n d			
756-1	s n aː			
726-1	m uː d ə r			
1351-1	x r ɑ n d ə t ɑ			
1353-1	x r ɑ n ə ɔ d ə r			
412-1	v uː ɣ x ə r ɛɪ n + l ə r			
406-1	k uː eː ɣ ə ə eː n l ə r			
1005-1	s t eː p + d ɑ t ə r			
1012-1	s t ə ɔ d ə r			
1016-1	w eː t w ə r			
1069-1	s			
509-1	v ə l ə			
693-1	m w ɛɪ l			
2179-1	n ɛ s t			
1753-1	v ɪ s t			
1131-1	w eː l f			
1198-1	b ɑ r t			
2032-1	h ɑ r			
2241-1	n aː l ə			
2244-1	l ɪ p			
610-1	x ə			
945-1	h aː r t			
1534-1	l ɛ k ə			
384-1	z uː x ə			
1650-1	n uː s			
1663-1	v ɑ l t			
2279-1	l ɛɪ n ə n			
471-1	v ɛ			
1385-1	z ɛɪ t ə			
792-1	j aː k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɑ n d ə d			
1970-1	v ɔ l			
1230-1	d r ɑu			
2017-1	n n uː			
968-1	w ɛ l t			
1674-1	l ɑ n d			
1671-1	h øː l ə l			
829-1	k l ɪ p			
1025-1	w ɑ x ə r			
1027-1	z ɛɪ			
1832-1	r oː f			
-1816-1	r z ɛɪ aː			
-335-1	l ə n uː n			
1043-1	s t r oː m			
423-1	s t ɛɪ n			
2049-1	m ə n			
2062-1	s t ɔ r m			
2065-1	r eː n n b oː			
1368-1	s ɑ d ə			
1365-1	t oː w			
754-1	r eː n			
768-1	w ɛ d ə r			
1211-1	v f ə r			
106-1	m ɑ n			
-98-1	b aː v iː			
719-1	v ɑ t ə r			
1341-1	z oː n			
-2027-1	x n n			
-2026-1	n ɛ v ə m			
409-1	z oː eː t ə r + l ɔ ɣ			
402-1	d uː eː x ə r ɛɪ t ɛɪ x d			
1014-1	s t eː p + d ɔ x t ə			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t eː ɑu			
2194-1	ɔ k s			
2199-1	k ɑ l p			
2197-1	s iː p			
1523-1	z ɑu			
1521-1	b ɑ x			
512-1	m ɛ r aː			
2141-1	h ɛ n			
2147-1	x ɑ ŋ ŋ			
814-1	k r uː x			
810-1	d oː w ə			
1755-1	h ɛ n			
1758-1	m uː p			
1760-1	r ɑ			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l w s			
1307-1	n ɛɪ t			
1305-1	v l uː			
711-1	w ɔ s p			
1442-1	v l ɛɪ ɣ			
62-1	m uː x			
-73-1	m eː s k ɛɪ t ɑu			
1810-1	h ɛɪ d			
1805-1	v l eː s			
1813-1	h aː r r			
1811-1	b l uː d			
690-1	r ʉ p			
2177-1	h ɑu p			
246-1	ɛɪ ɣ ə r + r ɑu ə			
249-1	ɛɪ ɣ l n d l			
1506-1	n + z ə r + l ɔ			
2242-1	m ɔ ɑu			
2245-1	t ɔ ŋ ə			
1196-1	n ə x ə			
2174-1	s x l d ə r			
575-1	s ɑ ɑ oː l			
603-1	aː l + n b oː			
601-1	h ɑ n d			
615-1	v ɪ ŋ x ə r			
901-1	k l ɑu			
608-1	v ɛ t			
596-1	t ɛɪ			
937-1	b r ɛ s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l ɛɪ v ə r			
1606-1	h ʉ p			
472-1	n n ŋ l			
1535-1	z w ɛ t			
1546-1	s p uː t			
1959-1	s l eː p ə			
694-1	s n ɑ r k			
1961-1	d r ɛɪ m ə			
323-1	s + l ə m			
1885-1	x r ɑ v			
2156-1	k r l t l t ə			
1903-1	w ɔ n d ə			
525-1	z w ɛ l ɛ ŋ			
276-1	l ɑ r eː			
274-1	d p			
278-1	b l ɪ n d			
258-1	v ə oː ŋ r k			
256-1	n œy k t d			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	oː w ə			
2003-1	k ɛ t ə l			
2024-1	p ɑ n			
1321-1	k ɑ p ə			
1976-1	t oː ŋ l			
1243-1	m eː l t ɛɪ			
1265-1	p iː l			
1261-1	z ɪ v ə			
655-1	b r ɛ d			
650-1	d œy x			
1532-1	x n d t ə			
-36-1	z ʉ p			
34-1	b oː n			
-1647-1	v ɛɪ x			
-1615-1	h p l			
125-1	v ɑ t			
1659-1	h oː n ɛɪ x			
1661-1	m ɪ l k			
1676-1	b ɔ t ə r			
480-1	d ə ə r ɛ k			
1466-1	k l ɛɪ ŋ ɔ ŋ			
