COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r x r									
18-1	d a r ɨ r									
35-1	h i ts u θ u r									
36-1	h u ts a θ u r									
48-1	n a g a r									
60-1	θ u r i r									
63-1	s i r a m i r									
64-1	k i r									
67-1	h a ɨː									
68-1	n i r									
71-1	j θ r									
76-1	h u n x r									
83-1	θ u n u r									
87-1	h a n x e									
95-1	m i m i r									
98-1	h a n a r									
99-1	k u j i r									
-102-1	s i ts a r									
103-1	θ u m x r									
110-1	θ i r									
116-1	m ɨ n ɨ e									
120-1	n u m u r									
132-1	k i i u r									
139-1	k u r u s u r									
140-1	u u g u r									
156-1	θ a θ oː r u r									
168-1	tɕ u k i e									
169-1	h u s i r									
170-1	m i g u r									
173-1	i s i r									
180-1	k u m u r									
185-1	h a i r									
186-1	m u sː r u r									
187-1	m i j i r									
190-1	a k a r									
193-1	k θ r u r									
194-1	s i r u r									
195-1	k u r u r									
216-1	m a r z s a i									
221-1	n a m i									
239-1	i θ ɨ r									
252-1	m i s u r									
253-1	b u ɕ u r									
254-1	i θ u θ ɨ r									
266-1	k a iː x e									
267-1	n a g a r x r u r									
268-1	ɨ m o r									
272-1	a m ɨ g a r									
276-1	a r a u r									
281-1	m u s i r									
304-1	θ u sː a h i r									
305-1	j i m r r									
308-1	h a n a r									
309-1	k u s a r									
310-1	θ u r									
311-1	n i r									
342-1	b u k i r									
346-1	k u r a r									
347-1	k i r u r									
348-1	h i r u r									
351-1	θ u x a r									
361-1	u m u r a i r									
379-1	k u s a iː a a									
394-1	h i d a r i r									
395-1	m i g i r									
400-1	h i ɨː a r u r									
412-1	s a k x r u r									
413-1	tɕ ɨ k i s ɨ s u r									
414-1	h u r u r									
422-1	h u k u r ɨ r u r									
423-1	k a h g a ɨ r u r									
430-1	h a i u r									
435-1	h u h u r									
446-1	s i ts a e									
447-1	ʔ x e									
458-1	θ u s i r									
56-1	h w ts u r									
62-1	i n u r									
70-1	θ a n x r									
96-1	m a r									
101-1	h a r									
114-1	k u b i r									
119-1	k i m u r									
134-1	s i θ i r u r									
138-1	s i n u r i									
146-1	a r u k u r									
161-1	g d r i									
182-1	k ɨ ɨː u e i r									
188-1	a m a r									
196-1	b u r u r									
262-1	h i r u m a r									
300-1	h sː s u a									
313-1	d x r									
350-1	s x ɨː a r i									
352-1	j i k a r i									
396-1	h u r z s r i									
401-1	u s ui r									
420-1	u tɕ u r u r i									
424-1	u θ a u r									
442-1	s i m x θ u j ɨ r u r									
455-1	i k i ts θ r u r									
15-1	a r sː r									
49-1	u n n g oː u i									
130-1	m i r u r									
149-1	k u r u r									
175-1	s u n a r									
199-1	ʔ tɕ z r									
230-1	a w u h s θ u r									
233-1	a w ɕ h i ts u ts a m i r									
264-1	k i r i r									
274-1	n u r x θ a a i									
298-1	k x g a x a r									
303-1	h a r a x a θ a r									
354-1	a tɕ ɨ r									
369-1	k θ r ɨ r u r									
376-1	x a r z r i									
415-1	m u s u b u r									
418-1	n d r									
456-1	θ ɨ n a r									
59-1	ɨ ɕ r									
118-1	s i ɴ iː u r									
142-1	θ u sː u r									
14-2		k o r e								
18-2		d a r e								
35-2		h i ts oː tɕ u								
36-2		h u ts g tɕ u								
48-2		n a g a kʲ								
60-2		t o r i								
63-2		s i r a m i kʲ								
64-2		k i								
67-2		h e h								
68-2		n e								
71-2		tɕ i								
76-2		h o n e								
83-2		tɕ u n o								
87-2		h a n e								
95-2		m i m i								
98-2		h a n a								
99-2		k u tɕ i								
-102-2		s i r a								
103-2		tɕ u m e								
110-2		t e								
116-2		m u n e kʲ								
120-2		n o m u								
132-2		k i k u								
139-2		k o r o s u								
140-2		o w oː g u								
156-2		t a h oː r u m								
168-2		tɕ u k i								
169-2		h o s i								
170-2		m i dʑ u								
173-2		i s i								
180-2		k u m o								
185-2		h u i kʲ								
186-2		m o r r u								
187-2		m i tɕ i								
190-2		u k a i kʲ								
193-2		k i r o kʲ								
194-2		s i r o kʲ								
195-2		k u r o kʲ								
216-2		m a r a a								
221-2		n a m								
239-2		i tɕ u								
